company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2007.0,FY,2007-01-01,2007-12-31,2010-02-08 21:29:13+00:00,5.24,5.24,1.48,5.12,0.0,855000000.0,1790000000.0,1751000000.0,39000000.0,1790000000.0,24354000000.0,30341000000.0,17000000.0,3062000000.0,24354000000.0,5987000000.0,336000000.0,3062000000.0,2925000000.0,-319000000.0,2606000000.0,30341000000.0,341600000.0,341700000.0,354300000.0
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2008.0,FY,2008-01-01,2008-12-31,2011-02-09 12:07:10+00:00,-3.77,-3.77,1.57,-3.77,3060000000.0,859000000.0,-1262000000.0,-1379000000.0,117000000.0,-1262000000.0,26375000000.0,32315000000.0,38000000.0,3143000000.0,26375000000.0,5940000000.0,295000000.0,6203000000.0,-263000000.0,-257000000.0,-520000000.0,32315000000.0,334700000.0,334500000.0,334500000.0
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2008.0,Q3,2008-07-01,2008-09-30,2009-10-21 11:31:53+00:00,1.53,1.53,,1.51,,233000000.0,512000000.0,509000000.0,3000000.0,512000000.0,6825000000.0,8381000000.0,45000000.0,785000000.0,6825000000.0,1556000000.0,74000000.0,785000000.0,771000000.0,-29000000.0,742000000.0,8381000000.0,334600000.0,334200000.0,340100000.0
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2008.0,Q2,2008-04-01,2008-06-30,2009-07-23 08:07:31+00:00,1.46,1.46,,1.44,,256000000.0,495000000.0,483000000.0,12000000.0,495000000.0,7025000000.0,8628000000.0,5000000.0,797000000.0,7025000000.0,1603000000.0,72000000.0,797000000.0,806000000.0,-67000000.0,739000000.0,8628000000.0,339000000.0,339000000.0,344100000.0
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2009.0,Q4,2009-10-01,2009-12-31,,1.32,1.32,1.29,1.3,,126000000.0,413000000.0,210000000.0,203000000.0,413000000.0,1690000000.0,2408000000.0,3000000.0,335000000.0,1690000000.0,718000000.0,50000000.0,335000000.0,383000000.0,-47000000.0,336000000.0,2408000000.0,319300000.0,319200000.0,323300000.0
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2009.0,FY,2009-01-01,2009-12-31,2012-02-08 09:01:52+00:00,5.28,5.28,1.69,5.21,,636000000.0,1686000000.0,1434000000.0,252000000.0,1686000000.0,22805000000.0,27650000000.0,65000000.0,2571000000.0,22805000000.0,4845000000.0,269000000.0,2571000000.0,2274000000.0,-204000000.0,2070000000.0,27650000000.0,319300000.0,319200000.0,323300000.0
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2009.0,Q3YTD,2009-01-01,2009-09-30,,3.96,3.96,0.4,3.91,,510000000.0,1273000000.0,1224000000.0,49000000.0,1273000000.0,21115000000.0,25242000000.0,62000000.0,2236000000.0,21115000000.0,4127000000.0,219000000.0,2236000000.0,1891000000.0,-157000000.0,1734000000.0,25242000000.0,316100000.0,317100000.0,320600000.0
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2009.0,Q3,2009-07-01,2009-09-30,2010-10-27 10:46:40+00:00,1.55,1.55,,1.53,,120000000.0,490000000.0,464000000.0,26000000.0,490000000.0,6987000000.0,8350000000.0,41000000.0,744000000.0,6987000000.0,1363000000.0,76000000.0,744000000.0,619000000.0,-35000000.0,584000000.0,8350000000.0,316100000.0,317100000.0,320600000.0
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2009.0,Q2,2009-04-01,2009-06-30,2009-07-23 08:07:31+00:00,1.22,1.22,,1.21,,202000000.0,394000000.0,394000000.0,0.0,394000000.0,7530000000.0,8957000000.0,13000000.0,774000000.0,7530000000.0,1427000000.0,70000000.0,774000000.0,653000000.0,-57000000.0,596000000.0,8957000000.0,323000000.0,322000000.0,325800000.0
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2009.0,Q2YTD,2009-01-01,2009-06-30,,2.41,2.41,0.4,2.38,,390000000.0,783000000.0,760000000.0,23000000.0,783000000.0,14128000000.0,16892000000.0,21000000.0,1492000000.0,14128000000.0,2764000000.0,143000000.0,1492000000.0,1272000000.0,-122000000.0,1150000000.0,16892000000.0,323000000.0,322000000.0,325800000.0
