company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netchangeindeposits,netincome,netincomecontinuing,netincomediscontinued,netincreaseinfedfundssold,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,provisionforloanlosses,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments
Citigroup Inc,C,,831001,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 17:00:16+00:00,369000000.0,5923000000.0,72732000000.0,2421000000.0,,1005000000.0,-106923000000.0,1060000000.0,128921000000.0,,144494000000.0,-62377000000.0,-71551000000.0,144494000000.0,-62377000000.0,-71551000000.0,11692000000.0,93422000000.0,2909000000.0,2909000000.0,,,12691000000.0,-951000000.0,,121000000.0,-10778000000.0,16982000000.0,-669190000000.0,-4003000000.0,-65517000000.0,-663000000.0,-1000000000.0,610816000000.0
Citigroup Inc,C,,831001,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 17:07:08+00:00,206000000.0,3170000000.0,55678000000.0,2466000000.0,,-2948000000.0,128279000000.0,6864000000.0,90414000000.0,70626000000.0,-24537000000.0,-78850000000.0,97686000000.0,-24537000000.0,-78850000000.0,97686000000.0,-8953000000.0,-37811000000.0,-31686000000.0,-31686000000.0,,,-34890000000.0,-400000000.0,,-304000000.0,-7526000000.0,33311000000.0,-715822000000.0,-3780000000.0,-146697000000.0,-7000000.0,,640752000000.0
Citigroup Inc,C,,831001,2009.0,Q4,2009-10-01,2009-12-31,,136000000.0,962000000.0,7051000000.0,1563000000.0,,50000000.0,-82730000000.0,17514000000.0,22408000000.0,,7471000000.0,32460000000.0,-41088000000.0,7471000000.0,32460000000.0,-41088000000.0,-1010000000.0,3300000000.0,-7811000000.0,-7811000000.0,,,39864000000.0,-4000000.0,,97000000.0,-2000000.0,7890000000.0,-87193000000.0,-1405000000.0,-35745000000.0,,,121058000000.0
Citigroup Inc,C,,831001,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 09:31:44+00:00,434000000.0,-289000000.0,28389000000.0,2853000000.0,,632000000.0,-90777000000.0,17514000000.0,112872000000.0,,13006000000.0,37168000000.0,-54610000000.0,13006000000.0,37168000000.0,-54610000000.0,-3781000000.0,61718000000.0,-1161000000.0,-1161000000.0,,,-4963000000.0,-120000000.0,,23000000.0,-3237000000.0,39004000000.0,-429766000000.0,-2264000000.0,-175738000000.0,-3000000.0,,469198000000.0
Citigroup Inc,C,,831001,2009.0,Q3,2009-07-01,2009-09-30,,102000000.0,-666000000.0,6254000000.0,431000000.0,,411000000.0,30480000000.0,,30259000000.0,,4576000000.0,-11749000000.0,6905000000.0,4576000000.0,-11749000000.0,6905000000.0,-433000000.0,27866000000.0,778000000.0,778000000.0,,,-33657000000.0,-8000000.0,,-576000000.0,-696000000.0,8771000000.0,-122789000000.0,-244000000.0,-52844000000.0,-1000000.0,,111284000000.0
Citigroup Inc,C,,831001,2010.0,Q4,2010-10-01,2010-12-31,,73000000.0,915000000.0,5920000000.0,1285000000.0,,67000000.0,46194000000.0,,11605000000.0,,-22691000000.0,12686000000.0,11405000000.0,-22691000000.0,12686000000.0,11405000000.0,1630000000.0,-5127000000.0,1211000000.0,1211000000.0,,,-41960000000.0,-20000000.0,,163000000.0,-9000000.0,4602000000.0,-71678000000.0,-1558000000.0,-29139000000.0,-1000000.0,,85922000000.0
Citigroup Inc,C,,831001,2010.0,FY,2010-01-01,2010-12-31,2013-03-01 07:49:35+00:00,302000000.0,4307000000.0,23209000000.0,2664000000.0,,691000000.0,30298000000.0,,37427000000.0,,-77428000000.0,43337000000.0,35686000000.0,-77428000000.0,43337000000.0,35686000000.0,2500000000.0,9065000000.0,10670000000.0,10670000000.0,,,-33325000000.0,-806000000.0,,214000000.0,-9000000.0,25077000000.0,-406046000000.0,-2363000000.0,-123099000000.0,-6000000.0,,451746000000.0
Citigroup Inc,C,,831001,2010.0,Q3TTM,2009-10-01,2010-09-30,,365000000.0,4354000000.0,24340000000.0,2942000000.0,,674000000.0,-98626000000.0,17514000000.0,48230000000.0,,-47266000000.0,63111000000.0,-16807000000.0,-47266000000.0,63111000000.0,-16807000000.0,-140000000.0,17492000000.0,1648000000.0,1648000000.0,,,48499000000.0,-790000000.0,,148000000.0,-2000000.0,28365000000.0,-421561000000.0,-2210000000.0,-129705000000.0,-5000000.0,,486882000000.0
Citigroup Inc,C,,831001,2010.0,Q3,2010-07-01,2010-09-30,,,623000000.0,5188000000.0,,,672000000.0,,,10794000000.0,,27908000000.0,-9627000000.0,-17320000000.0,27908000000.0,-9627000000.0,-17320000000.0,1633000000.0,36144000000.0,0.0,,,,,-62000000.0,,,,,-133521000000.0,-277000000.0,-18968000000.0,,,124171000000.0
Citigroup Inc,C,,831001,2010.0,Q2TTM,2009-07-01,2010-06-30,,,3065000000.0,25406000000.0,,,413000000.0,,17514000000.0,67695000000.0,,-70598000000.0,60989000000.0,7418000000.0,-70598000000.0,60989000000.0,7418000000.0,-2206000000.0,9214000000.0,0.0,,,,,-736000000.0,,-428000000.0,-698000000.0,,-410829000000.0,-2177000000.0,-163581000000.0,-6000000.0,,473995000000.0
Citigroup Inc,C,,831001,2010.0,Q2,2010-04-01,2010-06-30,,,967000000.0,6390000000.0,,,137000000.0,,,5822000000.0,,-33168000000.0,25880000000.0,6183000000.0,-33168000000.0,25880000000.0,6183000000.0,-969000000.0,-13963000000.0,0.0,,,,,-598000000.0,,-1000000.0,,,-105343000000.0,-250000000.0,-24425000000.0,-4000000.0,,131473000000.0
Citigroup Inc,C,,831001,2010.0,Q2YTD,2010-01-01,2010-06-30,2011-08-05 14:45:03+00:00,168000000.0,2769000000.0,12101000000.0,1243000000.0,,-48000000.0,39015000000.0,,15028000000.0,,-82645000000.0,40278000000.0,41601000000.0,-82645000000.0,40278000000.0,41601000000.0,-763000000.0,-21952000000.0,7125000000.0,7125000000.0,,,-20525000000.0,-724000000.0,,51000000.0,,14783000000.0,-200847000000.0,-528000000.0,-74992000000.0,-5000000.0,,241653000000.0
Citigroup Inc,C,,831001,2011.0,Q4,2011-10-01,2011-12-31,,62000000.0,88000000.0,5848000000.0,737000000.0,,-2779000000.0,64182000000.0,,5017000000.0,,-2761000000.0,-28668000000.0,33975000000.0,-2761000000.0,-28668000000.0,33975000000.0,-249000000.0,17532000000.0,1000000000.0,1000000000.0,,,-34646000000.0,-2000000.0,,-16000000.0,-38000000.0,2640000000.0,-85047000000.0,-1001000000.0,-25270000000.0,,,57380000000.0
