company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,investmentbankingincome,investmentsecuritiesinterestincome,longtermdebtinterestexpense,marketingexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,netinterestincome,netoccupancyequipmentexpense,netrealizedcapitalgains,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,premiumsearned,propertyliabilityinsuranceclaims,provisionforcreditlosses,restructuringcharge,salariesandemployeebenefitsexpense,totalinterestexpense,totalinterestincome,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Citigroup Inc,C,,831001,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 17:00:16+00:00,0.68,0.68,,0.67,,-2546000000.0,,121347000000.0,75958000000.0,2729000000.0,3900000000.0,3192000000.0,708000000.0,3617000000.0,283000000.0,45389000000.0,10457000000.0,1168000000.0,-12347000000.0,11318000000.0,40028000000.0,3062000000.0,,17917000000.0,1528000000.0,32705000000.0,75958000000.0,121347000000.0,58737000000.0,31911000000.0,646000000.0,77300000000.0,5319100000.0,4905800000.0,4924000000.0
Citigroup Inc,C,,831001,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 17:07:08+00:00,-5.63,-5.63,,-5.63,,-20326000000.0,,106499000000.0,52750000000.0,2188000000.0,-28027000000.0,-32029000000.0,4002000000.0,-27684000000.0,-343000000.0,53749000000.0,11310000000.0,-2061000000.0,-23889000000.0,23096000000.0,20579000000.0,3221000000.0,,34714000000.0,1550000000.0,31096000000.0,52750000000.0,106499000000.0,69240000000.0,-2150000000.0,-52355000000.0,51599000000.0,4917200000.0,5265400000.0,5768900000.0
Citigroup Inc,C,,831001,2008.0,Q3,2008-07-01,2008-09-30,2009-11-06 17:11:41+00:00,-0.61,-0.61,,-0.61,,-3295000000.0,,26130000000.0,12726000000.0,496000000.0,-2908000000.0,-3521000000.0,613000000.0,-2815000000.0,-93000000.0,13404000000.0,2857000000.0,-605000000.0,-3013000000.0,3102000000.0,5649000000.0,823000000.0,,9067000000.0,8000000.0,7544000000.0,12726000000.0,26130000000.0,14007000000.0,2854000000.0,-6816000000.0,16258000000.0,4614800000.0,5341800000.0,5831100000.0
Citigroup Inc,C,,831001,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 16:48:34+00:00,,-0.55,,-0.55,,-2447000000.0,,27337000000.0,13351000000.0,616000000.0,-2423000000.0,-2329000000.0,-94000000.0,-2495000000.0,72000000.0,13986000000.0,2866000000.0,-139000000.0,-3605000000.0,2941000000.0,6449000000.0,847000000.0,260000000.0,6983000000.0,-44000000.0,8692000000.0,13351000000.0,27337000000.0,15331000000.0,3552000000.0,-4776000000.0,17538000000.0,,5287400000.0,5776800000.0
Citigroup Inc,C,,831001,2009.0,Q4,2009-10-01,2009-12-31,,-6.55,-6.55,,-6.55,,-7353000000.0,,17466000000.0,6723000000.0,413000000.0,-7508000000.0,-7740000000.0,232000000.0,-7579000000.0,71000000.0,10743000000.0,2293000000.0,-474000000.0,-733000000.0,3385000000.0,-4888000000.0,757000000.0,-324000000.0,8508000000.0,-34000000.0,6257000000.0,6723000000.0,17466000000.0,11990000000.0,-5338000000.0,-15093000000.0,5405000000.0,201000000.0,1156800000.0,1209900000.0
Citigroup Inc,C,,831001,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 09:31:44+00:00,-7.99,-7.99,,-7.99,,-6733000000.0,,76398000000.0,27902000000.0,1415000000.0,-1511000000.0,-1066000000.0,-445000000.0,-1606000000.0,95000000.0,48496000000.0,8912000000.0,-910000000.0,6068000000.0,12621000000.0,23611000000.0,3020000000.0,,40262000000.0,-113000000.0,24987000000.0,27902000000.0,76398000000.0,47822000000.0,31789000000.0,-7799000000.0,80285000000.0,201000000.0,1156800000.0,1209900000.0
Citigroup Inc,C,,831001,2009.0,Q3,2009-07-01,2009-09-30,2010-11-05 08:16:38+00:00,-0.27,-0.27,,-0.27,,-1122000000.0,,18678000000.0,6680000000.0,317000000.0,175000000.0,593000000.0,-418000000.0,101000000.0,74000000.0,11998000000.0,2149000000.0,-285000000.0,1343000000.0,3256000000.0,6571000000.0,763000000.0,324000000.0,8771000000.0,-34000000.0,6136000000.0,6680000000.0,18678000000.0,12148000000.0,8392000000.0,-529000000.0,20390000000.0,-374100000.0,12104300000.0,12216000000.0
Citigroup Inc,C,,831001,2009.0,Q3YTD,2009-01-01,2009-09-30,,0.49,0.49,0.27,0.49,,620000000.0,,58932000000.0,21179000000.0,1002000000.0,5997000000.0,6674000000.0,-677000000.0,5973000000.0,24000000.0,37753000000.0,6619000000.0,-436000000.0,6801000000.0,9236000000.0,28499000000.0,2263000000.0,324000000.0,31754000000.0,-79000000.0,18730000000.0,21179000000.0,58932000000.0,35832000000.0,37127000000.0,7294000000.0,74880000000.0,-374100000.0,12104300000.0,12216000000.0
Citigroup Inc,C,,831001,2009.0,Q2YTD,2009-01-01,2009-06-30,,1.09,1.09,0.47,1.09,,1742000000.0,,40254000000.0,14499000000.0,685000000.0,5822000000.0,6081000000.0,-259000000.0,5872000000.0,-50000000.0,25755000000.0,4470000000.0,-151000000.0,5458000000.0,5980000000.0,21928000000.0,1500000000.0,,22983000000.0,-45000000.0,12594000000.0,14499000000.0,40254000000.0,23684000000.0,28735000000.0,7823000000.0,54490000000.0,8732700000.0,5399500000.0,5967800000.0
Citigroup Inc,C,,831001,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 16:15:58+00:00,0.49,0.49,,0.49,,907000000.0,,19671000000.0,6842000000.0,351000000.0,4245000000.0,4387000000.0,-142000000.0,4279000000.0,-34000000.0,12829000000.0,2245000000.0,-160000000.0,1788000000.0,3076000000.0,14767000000.0,745000000.0,,12676000000.0,-32000000.0,6359000000.0,6842000000.0,19671000000.0,11999000000.0,17140000000.0,5294000000.0,29969000000.0,8732700000.0,5399500000.0,5967800000.0
