company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofplantpropertyandequipment
Huntington Ingalls Industries Inc,HII,5TZLZ6WJTBVJ0QWBG121,1501585,2009.0,FY,2009-01-01,2009-12-31,2012-03-29 08:38:40+00:00,,30000000.0,0.0,16000000.0,156000000.0,,-395000000.0,0.0,0.0,266000000.0,-178000000.0,-88000000.0,266000000.0,-178000000.0,-88000000.0,0.0,124000000.0,124000000.0,-3000000.0,266000000.0,3000000.0,0.0,-181000000.0,0.0,,
Huntington Ingalls Industries Inc,HII,5TZLZ6WJTBVJ0QWBG121,1501585,2010.0,Q4,2010-10-01,2010-12-31,,,4000000.0,,4000000.0,36000000.0,,83000000.0,,178000000.0,-115000000.0,-93000000.0,208000000.0,-115000000.0,-93000000.0,208000000.0,,59000000.0,59000000.0,26000000.0,-115000000.0,2000000.0,,-95000000.0,-178000000.0,,
Huntington Ingalls Industries Inc,HII,5TZLZ6WJTBVJ0QWBG121,1501585,2010.0,FY,2010-01-01,2010-12-31,2013-02-27 15:10:25+00:00,,23000000.0,0.0,16000000.0,160000000.0,,40000000.0,0.0,178000000.0,-170000000.0,-189000000.0,359000000.0,-170000000.0,-189000000.0,359000000.0,0.0,131000000.0,131000000.0,5000000.0,-170000000.0,2000000.0,0.0,-191000000.0,-178000000.0,0.0,
Huntington Ingalls Industries Inc,HII,5TZLZ6WJTBVJ0QWBG121,1501585,2010.0,Q3,2010-07-01,2010-09-30,,,5000000.0,,4000000.0,42000000.0,,101000000.0,,,-137000000.0,-36000000.0,173000000.0,-137000000.0,-36000000.0,173000000.0,,42000000.0,42000000.0,-17000000.0,-137000000.0,,,-36000000.0,,,
Huntington Ingalls Industries Inc,HII,5TZLZ6WJTBVJ0QWBG121,1501585,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-11-10 10:17:46+00:00,,19000000.0,,12000000.0,124000000.0,,-43000000.0,,,-55000000.0,-96000000.0,151000000.0,-55000000.0,-96000000.0,151000000.0,,72000000.0,72000000.0,-21000000.0,-55000000.0,,,-96000000.0,,,
Huntington Ingalls Industries Inc,HII,5TZLZ6WJTBVJ0QWBG121,1501585,2010.0,Q2YTD,2010-01-01,2010-06-30,2011-08-11 10:01:08+00:00,,14000000.0,,8000000.0,82000000.0,,-144000000.0,,,82000000.0,-60000000.0,-22000000.0,82000000.0,-60000000.0,-22000000.0,,30000000.0,30000000.0,-4000000.0,82000000.0,,,-60000000.0,,,
Huntington Ingalls Industries Inc,HII,5TZLZ6WJTBVJ0QWBG121,1501585,2011.0,Q4,2011-10-01,2011-12-31,,,7000000.0,12000000.0,9000000.0,41000000.0,,642000000.0,1000000.0,,-17000000.0,-78000000.0,474000000.0,-17000000.0,-78000000.0,474000000.0,379000000.0,63000000.0,63000000.0,-279000000.0,-10000000.0,,,-78000000.0,-8000000.0,,
Huntington Ingalls Industries Inc,HII,5TZLZ6WJTBVJ0QWBG121,1501585,2011.0,FY,2011-01-01,2011-12-31,2014-02-27 11:34:17+00:00,,26000000.0,46000000.0,64000000.0,164000000.0,,395000000.0,2000000.0,1775000000.0,584000000.0,-197000000.0,528000000.0,584000000.0,-197000000.0,528000000.0,915000000.0,-100000000.0,-100000000.0,43000000.0,1266000000.0,0.0,-1429000000.0,-197000000.0,-1030000000.0,0.0,
Huntington Ingalls Industries Inc,HII,5TZLZ6WJTBVJ0QWBG121,1501585,2011.0,Q3TTM,2010-10-01,2011-09-30,,,23000000.0,34000000.0,59000000.0,159000000.0,,-164000000.0,1000000.0,1953000000.0,486000000.0,-212000000.0,262000000.0,486000000.0,-212000000.0,262000000.0,536000000.0,-104000000.0,-104000000.0,348000000.0,1161000000.0,2000000.0,-1429000000.0,-214000000.0,-1200000000.0,,
Huntington Ingalls Industries Inc,HII,5TZLZ6WJTBVJ0QWBG121,1501585,2011.0,Q3,2011-07-01,2011-09-30,,,7000000.0,23000000.0,47000000.0,42000000.0,,115000000.0,,,-41000000.0,-36000000.0,232000000.0,-41000000.0,-36000000.0,232000000.0,155000000.0,-248000000.0,-248000000.0,316000000.0,-34000000.0,,,-36000000.0,-7000000.0,,
