company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,rdexpense,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Baxalta Inc ,BXLT,5493000JW8DCO3T45R55,1620546,2013.0,FY,2013-01-01,2013-12-31,2016-03-03 17:21:13+00:00,1.9,1.9,,1.89,325000000.0,1288000000.0,1288000000.0,,1288000000.0,2329000000.0,5555000000.0,-1000000.0,595000000.0,1017000000.0,2329000000.0,3226000000.0,,1612000000.0,1614000000.0,-1000000.0,1613000000.0,5555000000.0,677900000.0,676000000.0,681000000.0
Baxalta Inc ,BXLT,5493000JW8DCO3T45R55,1620546,2014.0,FY,2014-01-01,2014-12-31,2016-03-03 17:21:13+00:00,2.57,2.57,0.0,2.55,346000000.0,1737000000.0,1186000000.0,551000000.0,1737000000.0,2443000000.0,5952000000.0,-104000000.0,820000000.0,1053000000.0,2443000000.0,3509000000.0,,1873000000.0,1636000000.0,-104000000.0,1532000000.0,5952000000.0,675900000.0,676000000.0,681000000.0
Baxalta Inc ,BXLT,5493000JW8DCO3T45R55,1620546,2014.0,Q3,2014-07-01,2014-09-30,2015-11-12 17:17:29+00:00,0.36,0.36,,0.36,84000000.0,246000000.0,225000000.0,21000000.0,246000000.0,614000000.0,1488000000.0,23000000.0,310000000.0,278000000.0,614000000.0,874000000.0,,588000000.0,286000000.0,23000000.0,309000000.0,1488000000.0,683300000.0,676000000.0,681000000.0
Baxalta Inc ,BXLT,5493000JW8DCO3T45R55,1620546,2014.0,Q2,2014-04-01,2014-06-30,2015-08-13 16:16:11+00:00,0.55,0.55,,0.55,97000000.0,370000000.0,318000000.0,52000000.0,370000000.0,599000000.0,1452000000.0,-30000000.0,166000000.0,242000000.0,599000000.0,853000000.0,,408000000.0,445000000.0,-30000000.0,415000000.0,1452000000.0,672700000.0,676000000.0,681000000.0
Baxalta Inc ,BXLT,5493000JW8DCO3T45R55,1620546,2015.0,Q4,2015-10-01,2015-12-31,,0.13,0.13,,0.14,22000000.0,95000000.0,101000000.0,-6000000.0,95000000.0,681000000.0,1763000000.0,15000000.0,494000000.0,458000000.0,681000000.0,1082000000.0,22000000.0,952000000.0,130000000.0,-7000000.0,123000000.0,1763000000.0,678000000.0,677000000.0,683000000.0
Baxalta Inc ,BXLT,5493000JW8DCO3T45R55,1620546,2015.0,FY,2015-01-01,2015-12-31,2016-03-03 17:21:13+00:00,1.41,1.41,0.07,1.4,270000000.0,956000000.0,928000000.0,28000000.0,956000000.0,2386000000.0,6148000000.0,102000000.0,1176000000.0,1442000000.0,2386000000.0,3762000000.0,48000000.0,2618000000.0,1144000000.0,54000000.0,1198000000.0,6148000000.0,678000000.0,677000000.0,683000000.0
Baxalta Inc ,BXLT,5493000JW8DCO3T45R55,1620546,2015.0,Q3YTD,2015-01-01,2015-09-30,,1.28,1.28,0.07,1.26,248000000.0,861000000.0,827000000.0,34000000.0,861000000.0,1705000000.0,4385000000.0,87000000.0,682000000.0,984000000.0,1705000000.0,2680000000.0,26000000.0,1666000000.0,1014000000.0,61000000.0,1075000000.0,4385000000.0,671700000.0,677000000.0,683000000.0
Baxalta Inc ,BXLT,5493000JW8DCO3T45R55,1620546,2015.0,Q3,2015-07-01,2015-09-30,2015-11-12 17:17:29+00:00,0.46,0.46,0.07,0.45,73000000.0,309000000.0,281000000.0,28000000.0,309000000.0,633000000.0,1595000000.0,79000000.0,286000000.0,378000000.0,633000000.0,962000000.0,23000000.0,664000000.0,298000000.0,56000000.0,354000000.0,1595000000.0,671700000.0,677000000.0,683000000.0
Baxalta Inc ,BXLT,5493000JW8DCO3T45R55,1620546,2015.0,Q2YTD,2015-01-01,2015-06-30,,0.82,0.82,,0.81,175000000.0,552000000.0,546000000.0,6000000.0,552000000.0,1072000000.0,2790000000.0,8000000.0,396000000.0,606000000.0,1072000000.0,1718000000.0,3000000.0,1002000000.0,716000000.0,5000000.0,721000000.0,2790000000.0,682900000.0,676000000.0,681000000.0
Baxalta Inc ,BXLT,5493000JW8DCO3T45R55,1620546,2015.0,Q2,2015-04-01,2015-06-30,2015-08-13 16:16:11+00:00,0.41,0.41,,0.41,98000000.0,280000000.0,284000000.0,-4000000.0,280000000.0,501000000.0,1429000000.0,20000000.0,240000000.0,323000000.0,501000000.0,928000000.0,3000000.0,563000000.0,365000000.0,17000000.0,382000000.0,1429000000.0,682900000.0,676000000.0,681000000.0
Baxalta Inc ,BXLT,5493000JW8DCO3T45R55,1620546,2015.0,Q1,2015-01-01,2015-03-31,2016-05-09 17:26:51+00:00,0.41,0.41,,0.4,77000000.0,272000000.0,262000000.0,10000000.0,272000000.0,571000000.0,1361000000.0,-12000000.0,156000000.0,283000000.0,571000000.0,790000000.0,0.0,439000000.0,351000000.0,-12000000.0,339000000.0,1361000000.0,663400000.0,676000000.0,681000000.0
Baxalta Inc ,BXLT,5493000JW8DCO3T45R55,1620546,2016.0,Q1TTM,2015-04-01,2016-03-31,,1.21,1.21,0.14,1.21,220000000.0,829000000.0,811000000.0,18000000.0,829000000.0,2525000000.0,6335000000.0,135000000.0,1300000000.0,1543000000.0,2525000000.0,3810000000.0,71000000.0,2843000000.0,967000000.0,64000000.0,1031000000.0,6335000000.0,690500000.0,681000000.0,690000000.0
Baxalta Inc ,BXLT,5493000JW8DCO3T45R55,1620546,2016.0,Q1,2016-01-01,2016-03-31,2016-05-09 17:26:51+00:00,0.21,0.21,0.07,0.21,27000000.0,145000000.0,145000000.0,,145000000.0,710000000.0,1548000000.0,21000000.0,280000000.0,384000000.0,710000000.0,838000000.0,23000000.0,664000000.0,174000000.0,-2000000.0,172000000.0,1548000000.0,690500000.0,681000000.0,690000000.0
