company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,explorationexpense,impairmentexpense,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,otheroperatingexpenses,otherrevenue,otherspecialcharges,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Range Resources Corp,RRC,H3Y3WLYCX0BTO1TRW162,315852,2007.0,FY,2007-01-01,2007-12-31,2010-02-23 19:45:38+00:00,1.51,1.51,0.13,220578000.0,1.45,45782000.0,11236000.0,96307000.0,,217268000.0,153675000.0,63593000.0,217268000.0,107499000.0,864827000.0,42443000.0,5031000.0,35438000.0,-9493000.0,,,,69670000.0,149942000.0,705392000.0,77737000.0,382704000.0,322688000.0,-72706000.0,249982000.0,855334000.0,143900000.0,143791000.0,149911000.0
Range Resources Corp,RRC,H3Y3WLYCX0BTO1TRW162,315852,2008.0,FY,2008-01-01,2008-12-31,2011-03-02 12:58:37+00:00,2.32,2.32,0.16,299831000.0,2.25,67690000.0,47355000.0,193831000.0,,351040000.0,351040000.0,,351040000.0,142387000.0,1252812000.0,55172000.0,,-24689000.0,71861000.0,,,,92308000.0,197559000.0,1127114000.0,99748000.0,482495000.0,644619000.0,-99748000.0,544871000.0,1324673000.0,151300000.0,151116000.0,155943000.0
Range Resources Corp,RRC,H3Y3WLYCX0BTO1TRW162,315852,2008.0,Q3,2008-07-01,2008-09-30,2009-10-21 20:10:57+00:00,,1.87,0.04,76690000.0,1.81,19149000.0,5055000.0,172576000.0,,284950000.0,284950000.0,,284950000.0,36532000.0,349257000.0,15210000.0,544000.0,-37515000.0,272869000.0,,,,24650000.0,51742000.0,570384000.0,25373000.0,88029000.0,482355000.0,-24829000.0,457526000.0,622126000.0,,152765000.0,157729000.0
Range Resources Corp,RRC,H3Y3WLYCX0BTO1TRW162,315852,2008.0,Q2,2008-04-01,2008-06-30,2009-07-23 06:49:02+00:00,-0.22,-0.22,0.04,72115000.0,-0.22,19462000.0,3474000.0,-19496000.0,,-32355000.0,-32355000.0,,-32355000.0,37228000.0,348846000.0,16056000.0,-359000.0,7539000.0,-196684000.0,,,,23938000.0,53284000.0,98878000.0,23842000.0,126528000.0,-27650000.0,-24201000.0,-51851000.0,152162000.0,147100000.0,150772000.0,150772000.0
Range Resources Corp,RRC,H3Y3WLYCX0BTO1TRW162,315852,2009.0,Q4,2009-10-01,2009-12-31,,-0.55,-0.11,0.04,-3093000.0,-0.1,8467000.0,-46714000.0,64753000.0,,-16777000.0,76073000.0,-92850000.0,-16777000.0,33956000.0,149824000.0,2115000.0,-2782000.0,1438000.0,1237000.0,-10377000.0,,2479000.0,30738000.0,36071000.0,114990000.0,-11556000.0,-17062000.0,132052000.0,8774000.0,140826000.0,151061000.0,89800000.0,154514000.0,158778000.0
Range Resources Corp,RRC,H3Y3WLYCX0BTO1TRW162,315852,2009.0,FY,2009-01-01,2009-12-31,2012-02-23 16:08:09+00:00,-0.6,-0.35,0.16,267148000.0,-0.34,44276000.0,37865000.0,45793000.0,,-53870000.0,38980000.0,-92850000.0,-53870000.0,135436000.0,751749000.0,25536000.0,-9442000.0,31073000.0,66446000.0,-10413000.0,,2479000.0,115319000.0,160972000.0,657223000.0,75261000.0,487747000.0,169476000.0,-84703000.0,84773000.0,818195000.0,89800000.0,154514000.0,158778000.0
Range Resources Corp,RRC,H3Y3WLYCX0BTO1TRW162,315852,2009.0,Q3YTD,2009-01-01,2009-09-30,,-0.05,-0.24,0.12,270241000.0,-0.24,35809000.0,84579000.0,-18960000.0,,-37093000.0,-37093000.0,,-37093000.0,101480000.0,601925000.0,23421000.0,-6660000.0,29635000.0,65209000.0,-36000.0,,,84581000.0,124901000.0,542233000.0,86817000.0,504809000.0,37424000.0,-93477000.0,-56053000.0,667134000.0,,154653000.0,154653000.0
Range Resources Corp,RRC,H3Y3WLYCX0BTO1TRW162,315852,2009.0,Q3,2009-07-01,2009-09-30,2010-10-27 21:02:56+00:00,-0.19,-0.19,0.04,97208000.0,-0.19,10902000.0,24053000.0,-15261000.0,,-29818000.0,-29818000.0,,-29818000.0,31111000.0,204566000.0,7600000.0,-475000.0,16445000.0,-482000.0,-32000.0,,840000.0,29928000.0,38711000.0,165373000.0,30633000.0,179344000.0,-13971000.0,-31108000.0,-45079000.0,204084000.0,156900000.0,154653000.0,154653000.0
Range Resources Corp,RRC,H3Y3WLYCX0BTO1TRW162,315852,2009.0,Q2YTD,2009-01-01,2009-06-30,,-0.05,-0.05,0.08,173033000.0,-0.05,24707000.0,60526000.0,-3699000.0,,-7275000.0,-7275000.0,,-7275000.0,70369000.0,397359000.0,15821000.0,-6217000.0,13190000.0,65691000.0,-36000.0,,,54013000.0,86190000.0,376860000.0,56184000.0,325433000.0,51427000.0,-62401000.0,-10974000.0,463050000.0,153400000.0,154389000.0,154389000.0
Range Resources Corp,RRC,H3Y3WLYCX0BTO1TRW162,315852,2009.0,Q2,2009-04-01,2009-06-30,2010-07-27 06:04:36+00:00,-0.26,-0.26,0.04,88713000.0,-0.26,11368000.0,40954000.0,-22526000.0,,-39883000.0,-39883000.0,,-39883000.0,34828000.0,194675000.0,7564000.0,-4358000.0,756000.0,-9856000.0,29000.0,,,29103000.0,42392000.0,142427000.0,29555000.0,170923000.0,-28496000.0,-33913000.0,-62409000.0,184819000.0,153400000.0,154389000.0,154389000.0
Range Resources Corp,RRC,H3Y3WLYCX0BTO1TRW162,315852,2009.0,Q1,2009-01-01,2009-03-31,2010-04-27 18:43:26+00:00,0.21,0.21,0.04,84320000.0,0.21,13339000.0,19572000.0,18827000.0,,32608000.0,32608000.0,,32608000.0,35541000.0,202684000.0,8257000.0,-1830000.0,12434000.0,75547000.0,-36000.0,,,24910000.0,43798000.0,234433000.0,26629000.0,154539000.0,79894000.0,-28459000.0,51435000.0,278231000.0,155300000.0,153719000.0,157231000.0
