company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
GENZYME CORP,GENZ,,732485,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 19:48:27+00:00,201105000.0,1.82,1.82,1.74,0.0,255481000.0,480193000.0,480193000.0,,480193000.0,927330000.0,3813519000.0,3295000.0,0.0,844035000.0,,1187184000.0,927330000.0,2886189000.0,12147000.0,90661000.0,2232324000.0,653865000.0,81809000.0,735674000.0,3813519000.0,263800000.0,263895000.0,280767000.0
GENZYME CORP,GENZ,,732485,2008.0,FY,2008-01-01,2008-12-31,2011-03-01 17:19:47+00:00,212552000.0,1.57,1.57,1.5,2036000.0,207565000.0,421081000.0,427105000.0,-6024000.0,421081000.0,855114000.0,4127425000.0,286000.0,2036000.0,1294411000.0,,1172700000.0,855114000.0,3272311000.0,4418000.0,48190000.0,2683735000.0,590612000.0,44058000.0,634670000.0,4127425000.0,268200000.0,268490000.0,285595000.0
GENZYME CORP,GENZ,,732485,2008.0,Q3,2008-07-01,2008-09-30,2009-11-02 13:56:28+00:00,55295000.0,0.44,0.44,0.42,,60512000.0,119596000.0,119596000.0,,119596000.0,285208000.0,1160284000.0,-133000.0,0.0,305242000.0,,331170000.0,285208000.0,875076000.0,792000.0,-2336000.0,691707000.0,183369000.0,-3261000.0,180108000.0,1160284000.0,271800000.0,269176000.0,288179000.0
GENZYME CORP,GENZ,,732485,2008.0,Q2,2008-04-01,2008-06-30,2009-09-04 13:21:56+00:00,55605000.0,0.26,0.26,0.25,,38407000.0,69564000.0,69564000.0,,69564000.0,300330000.0,1171134000.0,582000.0,0.0,381861000.0,,347305000.0,300330000.0,870804000.0,1149000.0,22505000.0,784771000.0,86033000.0,21938000.0,107971000.0,1171134000.0,267600000.0,266904000.0,284262000.0
GENZYME CORP,GENZ,,732485,2009.0,Q4,2009-10-01,2009-12-31,,63886000.0,0.1,0.1,0.1,,-34023000.0,23245000.0,30229000.0,-6984000.0,23245000.0,144130000.0,676141000.0,1350000.0,28297000.0,200481000.0,,248796000.0,144130000.0,532011000.0,,4305000.0,541460000.0,-9449000.0,5655000.0,-3794000.0,676141000.0,269000000.0,268841000.0,274071000.0
GENZYME CORP,GENZ,,732485,2009.0,FY,2009-01-01,2009-12-31,2011-03-01 17:19:47+00:00,253507000.0,1.57,1.57,1.54,,122766000.0,422300000.0,426931000.0,-4631000.0,422300000.0,1070347000.0,3977288000.0,22512000.0,65584000.0,833853000.0,,1244398000.0,1070347000.0,2906941000.0,,17586000.0,2397342000.0,509599000.0,40098000.0,549697000.0,3977288000.0,269000000.0,268841000.0,274071000.0
GENZYME CORP,GENZ,,732485,2009.0,Q3YTD,2009-01-01,2009-09-30,,189621000.0,1.47,1.47,1.44,,156789000.0,399055000.0,396702000.0,2353000.0,399055000.0,926217000.0,3301147000.0,21162000.0,37287000.0,633372000.0,,995602000.0,926217000.0,2374930000.0,,13281000.0,1855882000.0,519048000.0,34443000.0,553491000.0,3301147000.0,266600000.0,268957000.0,273741000.0
GENZYME CORP,GENZ,,732485,2009.0,Q3,2009-07-01,2009-09-30,2010-11-09 14:31:34+00:00,68078000.0,0.06,0.06,0.06,,-965000.0,15995000.0,13642000.0,2353000.0,15995000.0,279882000.0,923766000.0,614000.0,28197000.0,215925000.0,,323513000.0,279882000.0,643884000.0,,3892000.0,635713000.0,8171000.0,4506000.0,12677000.0,923766000.0,266600000.0,268957000.0,273741000.0
GENZYME CORP,GENZ,,732485,2009.0,Q2YTD,2009-01-01,2009-06-30,,121543000.0,1.41,1.41,1.38,,157754000.0,383060000.0,383060000.0,,383060000.0,646335000.0,2377381000.0,20548000.0,9090000.0,417447000.0,,672089000.0,646335000.0,1731046000.0,,9389000.0,1220169000.0,510877000.0,29937000.0,540814000.0,2377381000.0,271800000.0,269958000.0,274852000.0
GENZYME CORP,GENZ,,732485,2009.0,Q2,2009-04-01,2009-06-30,2010-09-07 17:05:53+00:00,63945000.0,0.69,0.69,0.68,,78870000.0,187574000.0,187574000.0,,187574000.0,350523000.0,1228510000.0,22103000.0,9090000.0,210522000.0,,354128000.0,350523000.0,877987000.0,,4039000.0,637685000.0,240302000.0,26142000.0,266444000.0,1228510000.0,271800000.0,269958000.0,274852000.0
GENZYME CORP,GENZ,,732485,2009.0,Q1,2009-01-01,2009-03-31,2010-05-10 20:33:32+00:00,57598000.0,0.72,0.72,0.7,,78884000.0,195486000.0,195486000.0,,195486000.0,295812000.0,1148871000.0,-1555000.0,,206925000.0,,317961000.0,295812000.0,853059000.0,,5350000.0,582484000.0,270575000.0,3795000.0,274370000.0,1148871000.0,271500000.0,270854000.0,277628000.0
GENZYME CORP,GENZ,,732485,2010.0,Q4,2010-10-01,2010-12-31,,61618000.0,1.78,1.78,1.75,26873000.0,39617000.0,471911000.0,76538000.0,395373000.0,471911000.0,168488000.0,892996000.0,933000.0,33310000.0,193745000.0,28260000.0,260193000.0,168488000.0,724508000.0,3668000.0,-1619000.0,603999000.0,120509000.0,-4354000.0,116155000.0,892996000.0,262200000.0,261531000.0,268601000.0
GENZYME CORP,GENZ,,732485,2010.0,FY,2010-01-01,2010-12-31,2011-03-01 17:19:47+00:00,262254000.0,1.61,1.61,1.57,26873000.0,-24750000.0,422144000.0,32063000.0,390081000.0,422144000.0,1191540000.0,4048708000.0,465000.0,102746000.0,847284000.0,28260000.0,1553921000.0,1191540000.0,2857168000.0,7026000.0,-21956000.0,2821338000.0,35830000.0,-28517000.0,7313000.0,4048708000.0,262200000.0,261531000.0,268601000.0
GENZYME CORP,GENZ,,732485,2010.0,Q3YTD,2010-01-01,2010-09-30,,200636000.0,-0.17,-0.17,-0.18,,-64367000.0,-49767000.0,-44475000.0,-5292000.0,-49767000.0,1023052000.0,3155712000.0,-468000.0,69436000.0,653539000.0,,1293728000.0,1023052000.0,2132660000.0,3358000.0,-20337000.0,2217339000.0,-84679000.0,-24163000.0,-108842000.0,3155712000.0,255400000.0,255359000.0,263786000.0
GENZYME CORP,GENZ,,732485,2010.0,Q3TTM,2009-10-01,2010-09-30,,264522000.0,-0.07,-0.07,-0.08,,-98390000.0,-26522000.0,-14246000.0,-12276000.0,-26522000.0,1167182000.0,3831853000.0,882000.0,97733000.0,854020000.0,,1542524000.0,1167182000.0,2664671000.0,3358000.0,-16032000.0,2758799000.0,-94128000.0,-18508000.0,-112636000.0,3831853000.0,255400000.0,255359000.0,263786000.0
GENZYME CORP,GENZ,,732485,2010.0,Q3,2010-07-01,2010-09-30,2010-11-09 14:31:34+00:00,61761000.0,0.27,0.27,0.26,,17385000.0,68954000.0,74246000.0,-5292000.0,68954000.0,309273000.0,1001800000.0,-385000.0,-3134000.0,207051000.0,,337883000.0,309273000.0,692527000.0,3358000.0,6408000.0,603561000.0,88966000.0,2665000.0,91631000.0,1001800000.0,255400000.0,255359000.0,263786000.0
GENZYME CORP,GENZ,,732485,2010.0,Q2YTD,2010-01-01,2010-06-30,,138875000.0,-0.44,-0.44,-0.44,,-81752000.0,-118721000.0,-118721000.0,,-118721000.0,713779000.0,2153912000.0,-83000.0,72570000.0,446488000.0,,955845000.0,713779000.0,1440133000.0,,-26745000.0,1613778000.0,-173645000.0,-26828000.0,-200473000.0,2153912000.0,377300000.0,265270000.0,265270000.0
GENZYME CORP,GENZ,,732485,2010.0,Q2TTM,2009-07-01,2010-06-30,,270839000.0,-0.28,-0.28,-0.28,,-116740000.0,-79481000.0,-74850000.0,-4631000.0,-79481000.0,1137791000.0,3753819000.0,1881000.0,129064000.0,862894000.0,,1528154000.0,1137791000.0,2616028000.0,,-18548000.0,2790951000.0,-174923000.0,-16667000.0,-191590000.0,3753819000.0,377300000.0,265270000.0,265270000.0
