company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,otherspecialcharges,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
United States Steel Corp,X,JNLUVFYJT1OZSIQ24U47,1163302,2007.0,FY,2007-01-01,2007-12-31,2010-02-24 15:54:56+00:00,7.44,7.44,,506000000.0,7.4,,218000000.0,890000000.0,890000000.0,879000000.0,11000000.0,14633000000.0,16873000000.0,,-19000000.0,-49000000.0,,589000000.0,14633000000.0,2240000000.0,152000000.0,47000000.0,1027000000.0,1213000000.0,-105000000.0,1108000000.0,16873000000.0,118100000.0,118100000.0,118800000.0
United States Steel Corp,X,JNLUVFYJT1OZSIQ24U47,1163302,2008.0,FY,2008-01-01,2008-12-31,2011-02-22 16:54:59+00:00,18.04,18.04,,605000000.0,17.96,,853000000.0,2154000000.0,2154000000.0,2112000000.0,42000000.0,19723000000.0,23754000000.0,93000000.0,-251000000.0,-17000000.0,,625000000.0,19723000000.0,4031000000.0,169000000.0,14000000.0,962000000.0,3069000000.0,-62000000.0,3007000000.0,23754000000.0,117102000.0,117102000.0,117102000.0
United States Steel Corp,X,JNLUVFYJT1OZSIQ24U47,1163302,2008.0,Q3,2008-07-01,2008-09-30,2009-10-27 13:13:12+00:00,7.84,7.84,0.3,149000000.0,7.79,,339000000.0,942000000.0,942000000.0,919000000.0,23000000.0,5752000000.0,7312000000.0,,-10000000.0,-57000000.0,,151000000.0,5752000000.0,1560000000.0,40000000.0,-6000000.0,233000000.0,1327000000.0,-46000000.0,1281000000.0,7312000000.0,117200000.0,117169000.0,117826000.0
United States Steel Corp,X,JNLUVFYJT1OZSIQ24U47,1163302,2008.0,Q2,2008-04-01,2008-06-30,2009-07-28 14:40:47+00:00,5.69,5.69,0.25,159000000.0,5.65,,255000000.0,674000000.0,674000000.0,668000000.0,6000000.0,5497000000.0,6744000000.0,,-2000000.0,-35000000.0,,171000000.0,5497000000.0,1247000000.0,42000000.0,17000000.0,293000000.0,954000000.0,-25000000.0,929000000.0,6744000000.0,117400000.0,117507000.0,118217000.0
United States Steel Corp,X,JNLUVFYJT1OZSIQ24U47,1163302,2009.0,Q4,2009-10-01,2009-12-31,,-1.61,-1.61,-0.1,177000000.0,-1.61,,-117000000.0,-268000000.0,-268000000.0,-267000000.0,-1000000.0,3348000000.0,3354000000.0,-12000000.0,-7000000.0,7000000.0,,158000000.0,3348000000.0,6000000.0,43000000.0,-1000000.0,335000000.0,-329000000.0,-56000000.0,-385000000.0,3354000000.0,134469000.0,134469000.0,134469000.0
United States Steel Corp,X,JNLUVFYJT1OZSIQ24U47,1163302,2009.0,FY,2009-01-01,2009-12-31,2012-02-28 13:55:38+00:00,-10.42,-10.42,,661000000.0,-10.42,,-439000000.0,-1406000000.0,-1406000000.0,-1401000000.0,-5000000.0,11597000000.0,11048000000.0,-12000000.0,-49000000.0,-95000000.0,,618000000.0,11597000000.0,-549000000.0,159000000.0,10000000.0,1135000000.0,-1684000000.0,-161000000.0,-1845000000.0,11048000000.0,134469000.0,134469000.0,134469000.0
United States Steel Corp,X,JNLUVFYJT1OZSIQ24U47,1163302,2009.0,Q3,2009-07-01,2009-09-30,2010-10-26 15:08:12+00:00,-2.11,-2.11,0.05,167000000.0,-2.11,,-130000000.0,-307000000.0,-307000000.0,-303000000.0,-4000000.0,2902000000.0,2817000000.0,,-3000000.0,0.0,,163000000.0,2902000000.0,-85000000.0,42000000.0,17000000.0,327000000.0,-412000000.0,-25000000.0,-437000000.0,2817000000.0,143363000.0,143363000.0,143363000.0
United States Steel Corp,X,JNLUVFYJT1OZSIQ24U47,1163302,2009.0,Q3YTD,2009-01-01,2009-09-30,,-8.81,-8.81,0.1,484000000.0,-8.81,,-322000000.0,-1138000000.0,-1138000000.0,-1134000000.0,-4000000.0,8249000000.0,7694000000.0,,-42000000.0,-102000000.0,,460000000.0,8249000000.0,-555000000.0,116000000.0,11000000.0,800000000.0,-1355000000.0,-105000000.0,-1460000000.0,7694000000.0,143363000.0,143363000.0,143363000.0
United States Steel Corp,X,JNLUVFYJT1OZSIQ24U47,1163302,2009.0,Q2,2009-04-01,2009-06-30,2010-07-27 15:32:12+00:00,-2.92,-2.92,0.05,159000000.0,-2.92,,-82000000.0,-392000000.0,-392000000.0,-392000000.0,,2340000000.0,2127000000.0,,-35000000.0,-26000000.0,,154000000.0,2340000000.0,-213000000.0,38000000.0,29000000.0,252000000.0,-465000000.0,-9000000.0,-474000000.0,2127000000.0,134634000.0,134634000.0,134634000.0
United States Steel Corp,X,JNLUVFYJT1OZSIQ24U47,1163302,2009.0,Q2YTD,2009-01-01,2009-06-30,,-6.7,-6.7,0.05,317000000.0,-6.7,,-192000000.0,-831000000.0,-831000000.0,-831000000.0,,5347000000.0,4877000000.0,,-39000000.0,-102000000.0,,297000000.0,5347000000.0,-470000000.0,74000000.0,-6000000.0,473000000.0,-943000000.0,-80000000.0,-1023000000.0,4877000000.0,134634000.0,134634000.0,134634000.0
