company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,goodwill,intangibleassets,longtermdebt,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,othercurrentassets,othercurrentliabilities,otherequity,othernoncurrentassets,othernoncurrentliabilities,restrictedcash,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities
Baker Hughes A GE Co,BKR,,1701605,2016.0,FY,,2016-12-31,2018-02-23 17:17:47+00:00,1898000000.0,2563000000.0,-1894000000.0,981000000.0,,0.0,1596000000.0,6680000000.0,2449000000.0,38000000.0,3224000000.0,2325000000.0,167000000.0,326000000.0,880000000.0,519000000.0,633000000.0,1201000000.0,16582000000.0,2540000000.0,495000000.0,,0.0,239000000.0,21721000000.0,14688000000.0,7401000000.0,4934000000.0,14688000000.0,14855000000.0,6866000000.0,21721000000.0,11995000000.0,1932000000.0
Baker Hughes A GE Co,BKR,,1701605,2017.0,FY,,2017-12-31,2019-02-19 16:55:51+00:00,3377000000.0,6015000000.0,-703000000.0,,,15083000000.0,1775000000.0,19927000000.0,6358000000.0,6312000000.0,4507000000.0,6959000000.0,24133000000.0,715000000.0,490000000.0,1172000000.0,872000000.0,2038000000.0,,4117000000.0,889000000.0,7030000000.0,-103000000.0,2037000000.0,56500000000.0,14277000000.0,18424000000.0,9227000000.0,14277000000.0,38410000000.0,18090000000.0,56500000000.0,31117000000.0,8863000000.0
Baker Hughes A GE Co,BKR,,1701605,2017.0,Q3,,2017-09-30,2017-10-30 18:21:10+00:00,3203000000.0,5194000000.0,-627000000.0,4777000000.0,,15716000000.0,1543000000.0,20395000000.0,6826000000.0,3039000000.0,5309000000.0,6255000000.0,25163000000.0,324000000.0,633000000.0,1262000000.0,1301000000.0,2120000000.0,0.0,4429000000.0,996000000.0,,-104000000.0,1866000000.0,54810000000.0,14985000000.0,16581000000.0,8732000000.0,14985000000.0,40148000000.0,14662000000.0,54810000000.0,31974000000.0,5930000000.0
Baker Hughes A GE Co,BKR,,1701605,2017.0,Q2,,2017-06-30,2017-07-28 08:52:45+00:00,,,,,0.0,1.0,,,,,,,,,,,,,-1.0,,,,,,0.0,,,,0.0,,0.0,0.0,,
Baker Hughes A GE Co,BKR,,1701605,2018.0,FY,,2018-12-31,2020-02-13 16:18:34+00:00,4025000000.0,5969000000.0,-1219000000.0,,,18659000000.0,1765000000.0,20717000000.0,5719000000.0,6285000000.0,4620000000.0,6228000000.0,17548000000.0,1072000000.0,143000000.0,1018000000.0,659000000.0,2288000000.0,,3732000000.0,960000000.0,3723000000.0,25000000.0,942000000.0,52439000000.0,17465000000.0,14971000000.0,9020000000.0,17465000000.0,35013000000.0,17426000000.0,52439000000.0,31240000000.0,8406000000.0
Baker Hughes A GE Co,BKR,,1701605,2018.0,Q3,,2018-09-30,2018-10-30 16:24:26+00:00,3686000000.0,5809000000.0,-821000000.0,,,14575000000.0,1587000000.0,20790000000.0,5831000000.0,6293000000.0,4681000000.0,6226000000.0,22823000000.0,1212000000.0,181000000.0,1082000000.0,863000000.0,2184000000.0,,3423000000.0,1024000000.0,4765000000.0,-14000000.0,1000000000.0,53600000000.0,13740000000.0,16118000000.0,8457000000.0,13740000000.0,36563000000.0,17037000000.0,53600000000.0,31256000000.0,8580000000.0
Baker Hughes A GE Co,BKR,,1701605,2018.0,Q2,,2018-06-30,2018-07-30 15:16:00+00:00,3574000000.0,6038000000.0,-787000000.0,,,14625000000.0,1630000000.0,20758000000.0,5973000000.0,6319000000.0,4675000000.0,6335000000.0,23006000000.0,1187000000.0,148000000.0,1100000000.0,850000000.0,2362000000.0,,3395000000.0,1073000000.0,4879000000.0,-27000000.0,1067000000.0,54090000000.0,13811000000.0,16442000000.0,8633000000.0,13811000000.0,36817000000.0,17273000000.0,54090000000.0,31313000000.0,8640000000.0
Baker Hughes A GE Co,BKR,,1701605,2018.0,Q1,,2018-03-31,2018-04-27 16:12:11+00:00,3439000000.0,5865000000.0,-585000000.0,,,14845000000.0,1676000000.0,20435000000.0,6203000000.0,6296000000.0,4696000000.0,6593000000.0,23843000000.0,1287000000.0,424000000.0,1172000000.0,862000000.0,2034000000.0,,3649000000.0,909000000.0,5631000000.0,-8000000.0,1176000000.0,55221000000.0,14252000000.0,17054000000.0,8325000000.0,14252000000.0,38095000000.0,17126000000.0,55221000000.0,31574000000.0,8801000000.0
Baker Hughes A GE Co,BKR,,1701605,2019.0,FY,,2019-12-31,2020-04-24 07:42:22+00:00,4268000000.0,6416000000.0,-1636000000.0,,,23565000000.0,2870000000.0,20690000000.0,5381000000.0,6301000000.0,4608000000.0,6240000000.0,12570000000.0,954000000.0,51000000.0,1079000000.0,949000000.0,2555000000.0,,4882000000.0,1425000000.0,3249000000.0,0.0,321000000.0,53369000000.0,21929000000.0,15222000000.0,10014000000.0,21929000000.0,34499000000.0,18870000000.0,53369000000.0,31907000000.0,8856000000.0
Baker Hughes A GE Co,BKR,,1701605,2019.0,Q3,,2019-09-30,2019-10-30 16:29:16+00:00,3870000000.0,6165000000.0,-1694000000.0,,,23570000000.0,2436000000.0,20654000000.0,5431000000.0,6313000000.0,4739000000.0,6141000000.0,12560000000.0,943000000.0,74000000.0,977000000.0,1057000000.0,2332000000.0,,4611000000.0,1417000000.0,2808000000.0,0.0,694000000.0,52549000000.0,21876000000.0,14769000000.0,9332000000.0,21876000000.0,34436000000.0,18113000000.0,52549000000.0,31639000000.0,8781000000.0
Baker Hughes A GE Co,BKR,,1701605,2019.0,Q2,,2019-06-30,2019-08-01 07:26:44+00:00,3966000000.0,6310000000.0,-1271000000.0,,,18668000000.0,2214000000.0,20705000000.0,5510000000.0,6256000000.0,4807000000.0,6130000000.0,17393000000.0,898000000.0,75000000.0,997000000.0,730000000.0,2269000000.0,,4648000000.0,1426000000.0,3138000000.0,-9000000.0,892000000.0,52876000000.0,17388000000.0,14985000000.0,9341000000.0,17388000000.0,34781000000.0,18095000000.0,52876000000.0,31761000000.0,8754000000.0
Baker Hughes A GE Co,BKR,,1701605,2019.0,Q1,,2019-03-31,2019-04-30 16:20:23+00:00,3918000000.0,6319000000.0,-1134000000.0,,,18646000000.0,1923000000.0,20762000000.0,5663000000.0,6270000000.0,4871000000.0,6218000000.0,17574000000.0,997000000.0,89000000.0,1033000000.0,649000000.0,2305000000.0,,4577000000.0,1599000000.0,3073000000.0,0.0,906000000.0,53129000000.0,17512000000.0,14912000000.0,9052000000.0,17512000000.0,35086000000.0,18043000000.0,53129000000.0,31999000000.0,8991000000.0
Baker Hughes A GE Co,BKR,,1701605,2020.0,Q1,,2020-03-31,2020-04-24 07:42:22+00:00,3991000000.0,6148000000.0,-1804000000.0,,,23486000000.0,3196000000.0,5878000000.0,4576000000.0,6285000000.0,4534000000.0,5997000000.0,6515000000.0,1315000000.0,314000000.0,1025000000.0,961000000.0,2744000000.0,,4810000000.0,1479000000.0,3010000000.0,-10212000000.0,210000000.0,37229000000.0,11470000000.0,14653000000.0,10141000000.0,11470000000.0,17985000000.0,19244000000.0,37229000000.0,16579000000.0,9103000000.0
