company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,otherspecialcharges,preferreddividends,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Kansas City Southern,KSU,5493008C12PZMWP3WY03,54480,2007.0,FY,2007-01-01,2007-12-31,2010-02-11 19:37:06+00:00,1.77,1.77,,159000000.0,1.57,67100000.0,154200000.0,154200000.0,134000000.0,400000.0,953700000.0,1742800000.0,11100000.0,267700000.0,,19800000.0,,,953700000.0,789100000.0,163600000.0,11400000.0,426700000.0,362400000.0,-141100000.0,221300000.0,1742800000.0,75700000.0,75832000.0,97616000.0
Kansas City Southern,KSU,5493008C12PZMWP3WY03,54480,2008.0,FY,2008-01-01,2008-12-31,2011-02-09 14:13:58+00:00,1.99,1.99,,167800000.0,1.84,63800000.0,182100000.0,182100000.0,166600000.0,300000.0,1084200000.0,1852100000.0,-15000000.0,212700000.0,,15200000.0,,,1084200000.0,767900000.0,144500000.0,18000000.0,380500000.0,387400000.0,-141500000.0,245900000.0,1852100000.0,83700000.0,83674000.0,98602000.0
Kansas City Southern,KSU,5493008C12PZMWP3WY03,54480,2008.0,Q3,2008-07-01,2008-09-30,2009-10-29 17:09:40+00:00,0.55,0.55,,42700000.0,0.52,25100000.0,51700000.0,51700000.0,48900000.0,100000.0,263500000.0,491500000.0,-3700000.0,74300000.0,,2700000.0,,,263500000.0,228000000.0,35500000.0,5000000.0,117000000.0,111000000.0,-34200000.0,76800000.0,491500000.0,88900000.0,88400000.0,98918000.0
Kansas City Southern,KSU,5493008C12PZMWP3WY03,54480,2008.0,Q2,2008-04-01,2008-06-30,2009-07-30 15:38:51+00:00,0.64,0.64,,40200000.0,0.56,26400000.0,55500000.0,55500000.0,50500000.0,100000.0,269300000.0,486200000.0,5900000.0,72100000.0,,4900000.0,,,269300000.0,216900000.0,33300000.0,4700000.0,112300000.0,104600000.0,-22700000.0,81900000.0,486200000.0,78900000.0,79272000.0,99146000.0
Kansas City Southern,KSU,5493008C12PZMWP3WY03,54480,2009.0,Q4,2009-10-01,2009-12-31,,0.35,0.35,,42700000.0,0.35,17700000.0,35200000.0,35200000.0,32300000.0,200000.0,259700000.0,406800000.0,3200000.0,12200000.0,,2700000.0,,,259700000.0,147100000.0,45300000.0,2800000.0,54900000.0,92200000.0,-39300000.0,52900000.0,406800000.0,93500000.0,93145000.0,93649000.0
Kansas City Southern,KSU,5493008C12PZMWP3WY03,54480,2009.0,FY,2009-01-01,2009-12-31,2012-02-08 15:19:28+00:00,0.6,0.6,,181600000.0,0.6,34100000.0,68100000.0,68100000.0,56100000.0,1000000.0,858100000.0,1480200000.0,7300000.0,173700000.0,0.0,11000000.0,,,858100000.0,622100000.0,179600000.0,7700000.0,355300000.0,266800000.0,-164600000.0,102200000.0,1480200000.0,93500000.0,93145000.0,93649000.0
Kansas City Southern,KSU,5493008C12PZMWP3WY03,54480,2009.0,Q3YTD,2009-01-01,2009-09-30,,0.25,0.25,,138900000.0,0.25,16400000.0,32900000.0,32900000.0,23800000.0,800000.0,598400000.0,1073400000.0,4100000.0,161500000.0,,8300000.0,,,598400000.0,475000000.0,134300000.0,4900000.0,300400000.0,174600000.0,-125300000.0,49300000.0,1073400000.0,94100000.0,94683000.0,95243000.0
Kansas City Southern,KSU,5493008C12PZMWP3WY03,54480,2009.0,Q3,2009-07-01,2009-09-30,2010-10-26 11:54:43+00:00,0.27,0.27,,44600000.0,0.27,14800000.0,28600000.0,28600000.0,25400000.0,400000.0,208500000.0,386100000.0,-1200000.0,49100000.0,,2800000.0,,,208500000.0,177600000.0,41200000.0,1900000.0,93700000.0,83900000.0,-40500000.0,43400000.0,386100000.0,94100000.0,94683000.0,95243000.0
Kansas City Southern,KSU,5493008C12PZMWP3WY03,54480,2009.0,Q2YTD,2009-01-01,2009-06-30,,-0.02,-0.02,,94300000.0,-0.02,1600000.0,4300000.0,4300000.0,-1600000.0,400000.0,389900000.0,687300000.0,5300000.0,112400000.0,,5500000.0,,,389900000.0,297400000.0,93100000.0,3000000.0,206700000.0,90700000.0,-84800000.0,5900000.0,687300000.0,92900000.0,91955000.0,99408000.0
Kansas City Southern,KSU,5493008C12PZMWP3WY03,54480,2009.0,Q2,2009-04-01,2009-06-30,2010-07-27 13:46:57+00:00,0.07,0.07,,47400000.0,0.07,1500000.0,7100000.0,7100000.0,6500000.0,500000.0,196500000.0,341300000.0,8900000.0,54300000.0,,100000.0,,,196500000.0,144800000.0,45400000.0,2000000.0,101700000.0,43100000.0,-34500000.0,8600000.0,341300000.0,92900000.0,91955000.0,99408000.0
Kansas City Southern,KSU,5493008C12PZMWP3WY03,54480,2009.0,Q1,2009-01-01,2009-03-31,2010-04-27 12:07:50+00:00,-0.09,-0.09,,46900000.0,-0.09,100000.0,-2800000.0,-2800000.0,-8100000.0,-100000.0,193400000.0,346000000.0,-3600000.0,58100000.0,,5400000.0,,,193400000.0,152600000.0,47700000.0,1000000.0,105000000.0,47600000.0,-50300000.0,-2700000.0,346000000.0,90000000.0,90743000.0,90743000.0
Kansas City Southern,KSU,5493008C12PZMWP3WY03,54480,2010.0,Q4,2010-10-01,2010-12-31,,0.51,0.51,,46100000.0,0.51,30700000.0,55600000.0,55600000.0,51800000.0,1000000.0,90200000.0,478600000.0,2300000.0,48200000.0,,2800000.0,,159000000.0,90200000.0,388400000.0,54600000.0,3500000.0,253300000.0,135100000.0,-48800000.0,86300000.0,478600000.0,100100000.0,100054000.0,107534000.0
Kansas City Southern,KSU,5493008C12PZMWP3WY03,54480,2010.0,FY,2010-01-01,2010-12-31,2013-02-04 13:46:45+00:00,1.69,1.69,0.0,184900000.0,1.67,109200000.0,180000000.0,180000000.0,169200000.0,-200000.0,795300000.0,1814800000.0,9400000.0,189100000.0,0.0,11000000.0,,159000000.0,795300000.0,1019500000.0,226400000.0,19700000.0,533000000.0,486500000.0,-197300000.0,289200000.0,1814800000.0,100100000.0,100054000.0,107534000.0
Kansas City Southern,KSU,5493008C12PZMWP3WY03,54480,2010.0,Q3YTD,2010-01-01,2010-09-30,,1.18,1.18,,138800000.0,1.16,78500000.0,124400000.0,124400000.0,117400000.0,-1200000.0,705100000.0,1336200000.0,7100000.0,140900000.0,,8200000.0,,,705100000.0,631100000.0,171800000.0,16200000.0,279700000.0,351400000.0,-148500000.0,202900000.0,1336200000.0,102400000.0,102082000.0,109510000.0
Kansas City Southern,KSU,5493008C12PZMWP3WY03,54480,2010.0,Q3TTM,2009-10-01,2010-09-30,,1.53,1.53,,181500000.0,1.51,96200000.0,159600000.0,159600000.0,149700000.0,-1000000.0,964800000.0,1743000000.0,10300000.0,153100000.0,,10900000.0,,,964800000.0,778200000.0,217100000.0,19000000.0,334600000.0,443600000.0,-187800000.0,255800000.0,1743000000.0,102400000.0,102082000.0,109510000.0
