company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,goodwill,intangibleassets,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,othernoncurrentnonoperatingliabilities,prepaidexpenses,redeemablenoncontrollinginterest,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
Quest Diagnostics Inc,DGX,8MCWUBXQ0WE04KMXBX50,1022079,2008.0,FY,,2008-12-31,2010-02-17 16:21:03+00:00,1219619000.0,832873000.0,-68068000.0,253946000.0,,2264206000.0,218419000.0,5054926000.0,827403000.0,3078089000.0,,102125000.0,879687000.0,20238000.0,,,,144995000.0,475846000.0,,,89456000.0,,2561679000.0,5142000.0,8403830000.0,3604896000.0,1496819000.0,1224761000.0,3604896000.0,3625134000.0,4778696000.0,8403830000.0,6027324000.0,3553935000.0,-1152921000.0
Quest Diagnostics Inc,DGX,8MCWUBXQ0WE04KMXBX50,1022079,2009.0,FY,,2009-12-31,2011-02-16 16:10:16+00:00,888705000.0,827343000.0,-20961000.0,534256000.0,,2304509000.0,131800000.0,5083944000.0,823665000.0,2936792000.0,,91386000.0,825946000.0,21825000.0,,,,150663000.0,556175000.0,,,94640000.0,,3216639000.0,170507000.0,8563643000.0,3989639000.0,1679425000.0,1059212000.0,3989639000.0,4011464000.0,4552179000.0,8563643000.0,6058272000.0,3492967000.0,-1510548000.0
Quest Diagnostics Inc,DGX,8MCWUBXQ0WE04KMXBX50,1022079,2009.0,Q3,,2009-09-30,2009-10-27 07:33:19+00:00,886973000.0,888288000.0,-13932000.0,247033000.0,,2285525000.0,154983000.0,5090776000.0,829653000.0,2877734000.0,,80857000.0,831946000.0,25341000.0,,,,142668000.0,559039000.0,,,99521000.0,,3053421000.0,103872000.0,8365725000.0,3912766000.0,1470682000.0,990845000.0,3912766000.0,3938107000.0,4427618000.0,8365725000.0,6063097000.0,3436773000.0,-1412248000.0
Quest Diagnostics Inc,DGX,8MCWUBXQ0WE04KMXBX50,1022079,2009.0,Q2,,2009-06-30,2009-07-28 17:08:24+00:00,818907000.0,896535000.0,-55589000.0,119294000.0,,2275311000.0,154017000.0,5067267000.0,819320000.0,2877767000.0,,79715000.0,843757000.0,24498000.0,,,,141993000.0,544150000.0,,,89537000.0,,2879722000.0,204969000.0,8211435000.0,3741144000.0,1339098000.0,1023876000.0,3741144000.0,3765642000.0,4445793000.0,8211435000.0,6028580000.0,3421917000.0,-1358300000.0
Quest Diagnostics Inc,DGX,8MCWUBXQ0WE04KMXBX50,1022079,2010.0,FY,,2010-12-31,2012-02-16 16:39:21+00:00,865272000.0,845299000.0,10626000.0,449301000.0,,2313563000.0,142470000.0,5101938000.0,796405000.0,2641160000.0,,76572000.0,834376000.0,20645000.0,,,,189494000.0,618077000.0,,,91775000.0,,3867420000.0,348996000.0,8527630000.0,4033480000.0,1605417000.0,1214268000.0,4033480000.0,4054125000.0,4473505000.0,8527630000.0,6087837000.0,3259237000.0,-2158129000.0
Quest Diagnostics Inc,DGX,8MCWUBXQ0WE04KMXBX50,1022079,2010.0,Q3,,2010-09-30,2010-10-26 16:30:16+00:00,816806000.0,884094000.0,6276000.0,369261000.0,,2307662000.0,131069000.0,5100389000.0,806077000.0,2835937000.0,,73188000.0,812371000.0,23340000.0,,,,187787000.0,594364000.0,,,95102000.0,,3718829000.0,331526000.0,8459338000.0,3857365000.0,1552714000.0,1148332000.0,3857365000.0,3880705000.0,4578633000.0,8459338000.0,6094253000.0,3430301000.0,-2175402000.0
Quest Diagnostics Inc,DGX,8MCWUBXQ0WE04KMXBX50,1022079,2010.0,Q2,,2010-06-30,2010-07-27 17:24:10+00:00,824375000.0,869643000.0,-48230000.0,447888000.0,,2292959000.0,133403000.0,5063151000.0,799834000.0,2973839000.0,,78432000.0,804190000.0,22556000.0,,,,183273000.0,565562000.0,,,101978000.0,,3537858000.0,171128000.0,8481792000.0,3924332000.0,1631344000.0,995503000.0,3924332000.0,3946888000.0,4534904000.0,8481792000.0,6046258000.0,3539401000.0,-1858255000.0
Quest Diagnostics Inc,DGX,8MCWUBXQ0WE04KMXBX50,1022079,2010.0,Q1,,2010-03-31,2010-04-26 16:18:02+00:00,906094000.0,865160000.0,-22634000.0,463239000.0,,2278448000.0,130958000.0,5082253000.0,817454000.0,2944789000.0,,79462000.0,811875000.0,25041000.0,,,,159379000.0,565707000.0,,,106429000.0,,3361029000.0,170404000.0,8516209000.0,3904174000.0,1645248000.0,1076498000.0,3904174000.0,3929215000.0,4586994000.0,8516209000.0,6059086000.0,3510496000.0,-1712669000.0
Quest Diagnostics Inc,DGX,8MCWUBXQ0WE04KMXBX50,1022079,2011.0,FY,,2011-12-31,2013-02-27 16:38:49+00:00,906764000.0,906455000.0,-8067000.0,164886000.0,,2349664000.0,153328000.0,5795765000.0,1035612000.0,3370522000.0,,89132000.0,799771000.0,22127000.0,,0.0,0.0,280971000.0,666699000.0,0.0,0.0,87459000.0,,4263599000.0,654395000.0,9313379000.0,3692872000.0,1401260000.0,1561159000.0,3692872000.0,3714999000.0,5598380000.0,9313379000.0,7112348000.0,4037221000.0,-2912324000.0
Quest Diagnostics Inc,DGX,8MCWUBXQ0WE04KMXBX50,1022079,2011.0,Q3,,2011-09-30,2011-11-03 16:34:50+00:00,928162000.0,936259000.0,-5444000.0,110825000.0,,2333310000.0,166907000.0,5796193000.0,1054606000.0,3367847000.0,,84954000.0,806043000.0,22578000.0,,,,273352000.0,649588000.0,,,97332000.0,,4101066000.0,835910000.0,9326471000.0,3522386000.0,1396277000.0,1764072000.0,3522386000.0,3544964000.0,5781507000.0,9326471000.0,7124151000.0,4017435000.0,-2906546000.0
