company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,amortizationofdeferredpolicyacquisitioncosts,basicdilutedeps,basiceps,capitalizedleaseobligationinterestexpense,cashdividendspershare,currentandfuturebenefits,depositsinterestexpense,depreciationexpense,dilutedeps,extraordinaryincome,impairmentexpense,incometaxexpense,investmentsecuritiesinterestincome,longtermdebtinterestexpense,marketingexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,netinterestincome,netoccupancyequipmentexpense,netrealizedcapitalgains,nonoperatingincome,otheradjustmentstoconsolidatednetincome,othergains,otherinterestexpense,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,policyacquisitioncosts,preferreddividends,premiumsearned,propertyliabilityinsuranceclaims,provisionforcreditlosses,restructuringcharge,salariesandemployeebenefitsexpense,totalinterestexpense,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,trustfeeincome,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 17:41:05+00:00,,1671680000.0,3.79,3.79,,0.54,,,,3.76,,340153000.0,115482000.0,,60953000.0,,447796000.0,447796000.0,,447796000.0,,-60953000.0,,715233000.0,,,,,,2286170000.0,300800000.0,,,7925348000.0,4019147000.0,,,,60953000.0,8317150000.0,8941381000.0,563278000.0,8880428000.0,,118200000.0,118005967.0,118974679.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2008.0,Q3,2008-07-01,2008-09-30,2009-11-04 16:55:26+00:00,0.0,422767000.0,-0.94,-0.94,0.0,0.14,0.0,0.0,0.0,-0.94,0.0,0.0,-52091000.0,0.0,15190000.0,0.0,0.0,0.0,0.0,0.0,0.0,-15190000.0,0.0,-99512000.0,0.0,0.0,111429000.0,0.0,0.0,585050000.0,69911000.0,0.0,0.0,1984136000.0,1095048000.0,0.0,0.0,0.0,15190000.0,2102865000.0,1954535000.0,-163520000.0,1939345000.0,0.0,0.0,117985882.0,117985882.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2008.0,Q2,2008-04-01,2008-06-30,2009-08-05 17:55:57+00:00,,425088000.0,1.61,1.61,,0.14,,,,1.59,,,59460000.0,,15287000.0,,189954000.0,189954000.0,,189954000.0,,-15287000.0,,173964000.0,,,,,,560763000.0,79280000.0,,,1995516000.0,998208000.0,,,,15287000.0,1984059000.0,2248760000.0,249414000.0,2233473000.0,,118000000.0,118309388.0,119640883.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2009.0,FY,2009-01-01,2009-12-31,2012-02-23 16:25:39+00:00,,1601880000.0,3.65,3.65,,0.59,,,,3.63,,121660000.0,279032000.0,,60669000.0,,430574000.0,430574000.0,,430574000.0,,-60669000.0,,706362000.0,,,,,,2377364000.0,482464000.0,,,7550335000.0,3867982000.0,,,,60669000.0,7968886000.0,8739161000.0,709606000.0,8678492000.0,,118000000.0,118036632.0,118495640.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2009.0,Q3,2009-07-01,2009-09-30,2010-11-03 16:45:37+00:00,,390382000.0,1.22,1.22,,0.15,,,,1.22,,,64336000.0,,15160000.0,,144730000.0,144730000.0,,144730000.0,,-15160000.0,,199592000.0,,,,,,601120000.0,82883000.0,,,1874398000.0,941145000.0,,,,15160000.0,1932647000.0,2156873000.0,209066000.0,2141713000.0,,118600000.0,118184367.0,118291841.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2009.0,Q2,2009-04-01,2009-06-30,2009-08-05 17:55:57+00:00,,398493000.0,1.63,1.63,,0.15,,,,1.63,,,88196000.0,,15160000.0,,193322000.0,193322000.0,,193322000.0,,-15160000.0,,175540000.0,,,,,,589036000.0,222203000.0,,,1875866000.0,989402000.0,,,,15160000.0,1976931000.0,2273609000.0,281518000.0,2258449000.0,,118600000.0,118482958.0,118728304.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2010.0,Q4,2010-10-01,2010-12-31,,,257418000.0,-1.61,-1.61,,0.16,,,,-1.6,,317548000.0,62912000.0,,15162000.0,,-184961000.0,-184961000.0,,-184961000.0,,-15162000.0,,199989000.0,,,,,,759255000.0,102792000.0,,,1813987000.0,889434000.0,,,,15162000.0,2223655000.0,2116768000.0,-122049000.0,2101606000.0,,110600000.0,110632551.0,111473214.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2010.0,FY,2010-01-01,2010-12-31,2013-02-20 17:11:44+00:00,,1401569000.0,2.52,2.52,,0.63,,,,2.5,,317548000.0,327898000.0,,60646000.0,,278607000.0,278607000.0,,278607000.0,,-60646000.0,,773166000.0,,,,,,2516622000.0,362684000.0,,,7403039000.0,3635999000.0,,,,60646000.0,7871738000.0,8538889000.0,606505000.0,8478243000.0,,110600000.0,110632551.0,111473214.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2010.0,Q3,2010-07-01,2010-09-30,2011-11-02 17:28:58+00:00,,376850000.0,1.31,1.31,,0.16,,,,1.3,,,85062000.0,,15162000.0,,141670000.0,141670000.0,,141670000.0,,-15162000.0,,188237000.0,,,,,,581974000.0,93220000.0,,,1832514000.0,913253000.0,,,,15162000.0,1872077000.0,2113971000.0,226732000.0,2098809000.0,,108100000.0,107806207.0,108584282.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2010.0,Q3YTD,2010-01-01,2010-09-30,,,1144151000.0,4.13,4.13,,0.47,,,,4.1,,,264986000.0,,45484000.0,,463568000.0,463568000.0,,463568000.0,,-45484000.0,,573177000.0,,,,,,1757367000.0,259892000.0,,,5589052000.0,2746565000.0,,,,45484000.0,5648083000.0,6422121000.0,728554000.0,6376637000.0,,108100000.0,107806207.0,108584282.0
