company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments,saleofplantpropertyandequipment
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 17:41:05+00:00,-29412000.0,-349191000.0,-60859000.0,91609000.0,31853000.0,-22278000.0,-176719000.0,,,-412134000.0,-329003000.0,999135000.0,-412134000.0,-329003000.0,999135000.0,235720000.0,447796000.0,447796000.0,665861000.0,5682000.0,-79523000.0,-63672000.0,-3392408000.0,-56068000.0,-285144000.0,-59000000.0,-10000000.0,3166404000.0,739000.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-05 17:55:57+00:00,,,,,31853000.0,276000.0,,,,-66267000.0,-216030000.0,,-66267000.0,-216030000.0,433660000.0,151639000.0,,,,5220000.0,-51668000.0,-30740000.0,-1798615000.0,-28798000.0,-30747000.0,,-10000000.0,1630637000.0,561000.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2009.0,FY,2009-01-01,2009-12-31,2012-02-23 16:25:39+00:00,-22461000.0,-328264000.0,-60569000.0,113799000.0,,9038000.0,-408411000.0,,,-142562000.0,141467000.0,269925000.0,-142562000.0,141467000.0,269925000.0,277868000.0,430574000.0,430574000.0,156424000.0,-1790000.0,1964000.0,-69596000.0,-2240686000.0,-55885000.0,-36227000.0,-31949000.0,-3000000.0,2434526000.0,1548000.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2009.0,Q3,2009-07-01,2009-09-30,,,,,,,1031000.0,,,,-77315000.0,116157000.0,,-77315000.0,116157000.0,386796000.0,426669000.0,,,,-179000.0,22785000.0,-17701000.0,-558369000.0,-10304000.0,-27486000.0,-31949000.0,,662018000.0,27000.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-03 16:45:37+00:00,,,,,,7880000.0,,,,-147839000.0,122087000.0,,-147839000.0,122087000.0,213039000.0,195167000.0,,,,-1711000.0,56982000.0,-51961000.0,-1563908000.0,-38366000.0,-59218000.0,-31949000.0,-3000000.0,1667066000.0,313000.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2009.0,Q2TTM,2008-07-01,2009-06-30,,0.0,-349191000.0,-60859000.0,0.0,,-15705000.0,0.0,,,-416391000.0,-107043000.0,391718000.0,-416391000.0,-107043000.0,391718000.0,-147421000.0,447796000.0,447796000.0,-56078000.0,-1070000.0,6342000.0,-67192000.0,-2599332000.0,-55332000.0,-286129000.0,-59000000.0,-3000000.0,2540815000.0,464000.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2009.0,Q2YTD,2009-01-01,2009-06-30,2009-08-05 17:55:57+00:00,,,,,,6849000.0,,,,-70524000.0,5930000.0,,-70524000.0,5930000.0,-173757000.0,-231502000.0,,,,-1532000.0,34197000.0,-34260000.0,-1005539000.0,-28062000.0,-31732000.0,,-3000000.0,1005048000.0,286000.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2010.0,Q4,2010-10-01,2010-12-31,,0.0,-341148000.0,-60539000.0,0.0,,1232000.0,0.0,,,-185916000.0,91612000.0,75281000.0,-185916000.0,91612000.0,75281000.0,-17791000.0,278607000.0,278607000.0,-203326000.0,-136000.0,-56332000.0,-16916000.0,-794629000.0,-9111000.0,-12317000.0,-153387000.0,-3160000.0,951422000.0,262000.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2010.0,FY,2010-01-01,2010-12-31,2013-02-20 17:11:44+00:00,-10406000.0,-341148000.0,-60539000.0,126602000.0,0.0,-429000.0,-659519000.0,,,-699473000.0,-8876000.0,540742000.0,-699473000.0,-8876000.0,540742000.0,-168036000.0,278607000.0,278607000.0,805458000.0,-6801000.0,373000.0,-69618000.0,-3068720000.0,-51211000.0,-97348000.0,-522546000.0,-3160000.0,3110302000.0,380000.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2010.0,Q3,2010-07-01,2010-09-30,,,,,,,3310000.0,,,,-73268000.0,87365000.0,,-73268000.0,87365000.0,147177000.0,164584000.0,,,,-175000.0,11412000.0,-17238000.0,-653166000.0,-14268000.0,490000.0,-56345000.0,,743315000.0,72000.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-11-02 17:28:58+00:00,,,,,,-1661000.0,,,,-513557000.0,-100488000.0,,-513557000.0,-100488000.0,465461000.0,-150245000.0,,,,-6665000.0,56705000.0,-52702000.0,-2274091000.0,-42100000.0,-85031000.0,-369159000.0,0.0,2158880000.0,118000.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2010.0,Q2,2010-04-01,2010-06-30,,,,,,,-2743000.0,,,,-241594000.0,119128000.0,,-241594000.0,119128000.0,196391000.0,71182000.0,,,,-2562000.0,28971000.0,-17876000.0,-617307000.0,-14636000.0,-8681000.0,-212475000.0,,722095000.0,5000.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2010.0,Q2YTD,2010-01-01,2010-06-30,2011-08-03 16:43:58+00:00,,,,,,-4971000.0,,,,-440289000.0,-187853000.0,,-440289000.0,-187853000.0,318284000.0,-314829000.0,,,,-6490000.0,45293000.0,-35464000.0,-1620925000.0,-27832000.0,-85521000.0,-312814000.0,,1415565000.0,46000.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2010.0,Q1,2010-01-01,2010-03-31,2011-05-04 16:38:12+00:00,,,,,,-2228000.0,,,,-198695000.0,-306981000.0,,-198695000.0,-306981000.0,121893000.0,-386011000.0,,,,-3928000.0,16322000.0,-17588000.0,-1003618000.0,-13196000.0,-76840000.0,-100339000.0,,693470000.0,41000.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2011.0,FY,2011-01-01,2011-12-31,2014-02-18 18:00:08+00:00,-20461000.0,218372000.0,-60244000.0,129391000.0,0.0,-5671000.0,-58651000.0,0.0,,-636848000.0,-196588000.0,855304000.0,-636848000.0,-196588000.0,855304000.0,16197000.0,538956000.0,538956000.0,266069000.0,-3178000.0,,-67385000.0,-2968429000.0,-35747000.0,-27437000.0,-533848000.0,-5000000.0,2803765000.0,3823000.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2011.0,Q3,2011-07-01,2011-09-30,,,,,,,-5068000.0,,,,-450157000.0,-145459000.0,,-450157000.0,-145459000.0,509691000.0,-90993000.0,,,,-2874000.0,1489000.0,-50858000.0,-2258561000.0,-25153000.0,-26482000.0,-364943000.0,-5000000.0,2134201000.0,2565000.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2011.0,Q3YTD,2011-01-01,2011-09-30,2012-10-29 16:33:13+00:00,,,,,,-5068000.0,,,,-450157000.0,-145459000.0,,-450157000.0,-145459000.0,509691000.0,-90993000.0,,,,-2874000.0,1489000.0,-50858000.0,-2258561000.0,-25153000.0,-26482000.0,-364943000.0,-5000000.0,2134201000.0,2565000.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2011.0,Q2,2011-04-01,2011-06-30,,,,,,,-3812000.0,,,,231070000.0,166450000.0,,231070000.0,166450000.0,-183626000.0,210082000.0,,,,1943000.0,-317000.0,16122000.0,795985000.0,6213000.0,32411000.0,175594000.0,5000000.0,-635397000.0,-34000.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2011.0,Q1,2011-01-01,2011-03-31,2012-05-02 16:43:51+00:00,,,,,,3812000.0,,,,-231070000.0,-166450000.0,,-231070000.0,-166450000.0,183626000.0,-210082000.0,,,,-1943000.0,317000.0,-16122000.0,-795985000.0,-6213000.0,-32411000.0,-175594000.0,-5000000.0,635397000.0,34000.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2012.0,Q4,2012-10-01,2012-12-31,,,289850000.0,-60188000.0,,1364000.0,-3516000.0,,,,-58533000.0,-351592000.0,250539000.0,-58533000.0,-351592000.0,250539000.0,-163102000.0,0.0,,,-736000.0,,-16760000.0,-1317740000.0,-16415000.0,690000.0,-41727000.0,,981277000.0,-78000.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2012.0,FY,2012-01-01,2012-12-31,2015-02-19 16:36:35+00:00,-18413000.0,289850000.0,-60188000.0,124387000.0,1364000.0,-6483000.0,-688354000.0,0.0,,-480641000.0,-449883000.0,679698000.0,-480641000.0,-449883000.0,679698000.0,-257309000.0,483705000.0,483705000.0,778373000.0,1728000.0,,-69393000.0,-4087996000.0,-56457000.0,-780000.0,-412196000.0,,3690831000.0,2375000.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2012.0,Q3,2012-07-01,2012-09-30,,,,,,,146000.0,,,,-129572000.0,-149708000.0,429159000.0,-129572000.0,-149708000.0,244648000.0,-34486000.0,,,-184511000.0,77000.0,,-17284000.0,-1243131000.0,-17679000.0,-591000.0,-111774000.0,,1110455000.0,647000.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2012.0,Q3YTD,2012-01-01,2012-09-30,2013-10-30 16:15:39+00:00,,,,,,-2967000.0,,0.0,,-422108000.0,-98291000.0,429159000.0,-422108000.0,-98291000.0,429159000.0,-94207000.0,,,,2464000.0,,-52633000.0,-2770256000.0,-40042000.0,-1470000.0,-370469000.0,,2709554000.0,2453000.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2012.0,Q2,2012-04-01,2012-06-30,,0.0,,,,,-3918000.0,,,,-170236000.0,32841000.0,183490000.0,-170236000.0,32841000.0,183490000.0,42177000.0,163260000.0,163260000.0,20230000.0,3913000.0,,-19408000.0,-706571000.0,-15237000.0,325000.0,-155066000.0,,754654000.0,-5000.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2012.0,Q2YTD,2012-01-01,2012-06-30,2013-07-31 16:26:17+00:00,,,,,,-3113000.0,,0.0,,-292536000.0,51417000.0,,-292536000.0,51417000.0,184511000.0,-59721000.0,,,,2387000.0,,-35349000.0,-1527125000.0,-22363000.0,-879000.0,-258695000.0,,1599099000.0,1806000.0
