company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accruedinvestmentincome,aoci,cashandequivalents,claimsandclaimexpenses,commitmentsandcontingencies,commonequity,deferredacquisitioncost,futurepolicybenefits,goodwill,intangibleassets,longtermdebt,mortgageservicingrights,netpremisesandequipment,noncontrollinginterests,otherassets,otherlongtermliabilities,othershorttermpayables,retainedearnings,separateaccountbusinessassets,separateaccountbusinessliabilities,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities,treasurystock,unearnedpremiumscredit,unearnedpremiumsdebit
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2008.0,FY,,2008-12-31,2009-08-05 17:55:57+00:00,144679000.0,-670946000.0,1040684000.0,,0.0,2929603000.0,2650672000.0,7095645000.0,1001899000.0,,971957000.0,1506694000.0,278621000.0,,5800747000.0,5550811000.0,,2650371000.0,1778809000.0,1778809000.0,24514586000.0,3709505000.0,3709505000.0,3709505000.0,20805081000.0,24514586000.0,,9798600000.0,-1199523000.0,5407859000.0,513181000.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2009.0,FY,,2009-12-31,2011-02-25 17:41:05+00:00,155757000.0,65925000.0,1318552000.0,,,2964330000.0,2504654000.0,7349633000.0,926398000.0,,972058000.0,1428027000.0,275420000.0,,6073706000.0,4171552000.0,1388279000.0,3054466000.0,1972332000.0,1972332000.0,25860667000.0,4853249000.0,4853249000.0,4853249000.0,21007418000.0,25860667000.0,,10697888000.0,-1231472000.0,5153564000.0,507933000.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2009.0,Q2,,2009-06-30,2009-08-05 17:55:57+00:00,149475000.0,-311600000.0,809182000.0,,0.0,2942569000.0,2573130000.0,7203830000.0,1009394000.0,,972007000.0,1470121000.0,275735000.0,,5598322000.0,5314349000.0,,2933131000.0,1764269000.0,1764269000.0,24822474000.0,4364577000.0,4364577000.0,4364577000.0,20457897000.0,24822474000.0,,10590657000.0,-1199523000.0,5203442000.0,582189000.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2010.0,FY,,2010-12-31,2011-11-02 17:28:58+00:00,147069000.0,285524000.0,1150516000.0,,0.0,2995410000.0,2493422000.0,8105153000.0,619779000.0,311509000.0,972164000.0,1320964000.0,267169000.0,,6327197000.0,4135212000.0,1339582000.0,3264025000.0,2000371000.0,2000371000.0,26397018000.0,4780537000.0,4780537000.0,4780537000.0,21616481000.0,26397018000.0,,11216095000.0,-1764422000.0,5063999000.0,542927000.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2010.0,Q3,,2010-09-30,2010-11-03 16:45:37+00:00,155013000.0,514671000.0,1168307000.0,,,2987169000.0,2432990000.0,8038559000.0,926195000.0,,972137000.0,1355871000.0,272750000.0,,6645175000.0,4186274000.0,1426934000.0,3465332000.0,1890221000.0,1890221000.0,26845334000.0,5366541000.0,5366541000.0,5366541000.0,21478793000.0,26845334000.0,,11453645000.0,-1600631000.0,4964668000.0,545167000.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2011.0,FY,,2011-12-31,2013-02-20 17:11:44+00:00,153783000.0,557576000.0,1166713000.0,,,3026941000.0,2492857000.0,8359206000.0,639097000.0,303832000.0,972278000.0,1309687000.0,242908000.0,,6716938000.0,4151656000.0,1486026000.0,3586784000.0,1694729000.0,1694729000.0,27019862000.0,4873950000.0,4873950000.0,4873950000.0,22145912000.0,27019862000.0,,11650196000.0,-2297351000.0,5482017000.0,649122000.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2011.0,Q3,,2011-09-30,2011-11-02 17:28:58+00:00,159470000.0,524412000.0,1059523000.0,,0.0,3017758000.0,2563885000.0,8217526000.0,639018000.0,306387000.0,972249000.0,1307569000.0,247497000.0,,6736248000.0,4149213000.0,1442821000.0,3596751000.0,1662046000.0,1662046000.0,26774000000.0,5014472000.0,5014472000.0,5014472000.0,21759528000.0,26774000000.0,,11478080000.0,-2124449000.0,5315673000.0,614277000.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2011.0,Q2,,2011-06-30,2011-08-03 16:43:58+00:00,148310000.0,381273000.0,1135099000.0,,0.0,3004981000.0,2565013000.0,8212705000.0,640638000.0,348683000.0,972220000.0,1313326000.0,254257000.0,,6574333000.0,4100704000.0,1397302000.0,3537946000.0,1975847000.0,1975847000.0,26779755000.0,4875976000.0,4875976000.0,4875976000.0,21903779000.0,26779755000.0,,11211727000.0,-2048224000.0,5245001000.0,612522000.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2011.0,Q1,,2011-03-31,2011-05-04 16:38:12+00:00,161073000.0,297022000.0,940434000.0,,,2998586000.0,2526401000.0,8166055000.0,621412000.0,306425000.0,1244550000.0,1327438000.0,259460000.0,,6422436000.0,4010064000.0,1368847000.0,3389644000.0,2040482000.0,2040482000.0,26697375000.0,4747393000.0,4747393000.0,4747393000.0,21949982000.0,26697375000.0,,11515726000.0,-1937859000.0,5119984000.0,576088000.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2012.0,FY,,2012-12-31,2014-02-18 18:00:08+00:00,149032000.0,830403000.0,909404000.0,3960590000.0,0.0,3053928000.0,2861163000.0,8513505000.0,640714000.0,262994000.0,972399000.0,1311682000.0,250796000.0,,7256749000.0,876523000.0,1514091000.0,4001096000.0,1731873000.0,1731873000.0,28946607000.0,5185366000.0,5185366000.0,5185366000.0,23761241000.0,28946607000.0,,12742173000.0,-2700061000.0,6192260000.0,830027000.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2012.0,Q3,,2012-09-30,2012-10-29 16:33:13+00:00,162465000.0,858859000.0,1072506000.0,,0.0,3044594000.0,2760365000.0,8481404000.0,640934000.0,269953000.0,972368000.0,1302373000.0,246969000.0,,6609075000.0,4215142000.0,1608605000.0,3992869000.0,1765818000.0,1765818000.0,28169623000.0,5229613000.0,5229613000.0,5229613000.0,22940010000.0,28169623000.0,,12578489000.0,-2666709000.0,5896673000.0,760676000.0
Assurant Inc,AIZ,H3F39CAXWQRVWURFXL38,1267238,2012.0,Q2,,2012-06-30,2012-08-01 17:08:21+00:00,153733000.0,676432000.0,1106992000.0,,0.0,3030137000.0,2635132000.0,8412128000.0,639517000.0,279906000.0,972337000.0,1302609000.0,241722000.0,,6767706000.0,4005121000.0,1413769000.0,3883865000.0,1721478000.0,1721478000.0,27243589000.0,5033568000.0,5033568000.0,5033568000.0,22210021000.0,27243589000.0,,11708974000.0,-2556866000.0,5685188000.0,685820000.0
