company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,explorationexpense,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,otherrevenue,otherspecialcharges,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Questar Corp,STR,6I24RUKVDSWEO85W2995,751652,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 21:45:02+00:00,2.95,2.95,0.485,369100000.0,2.88,22000000.0,11200000.0,290600000.0,507400000.0,507400000.0,,507400000.0,0.0,1211000000.0,2726600000.0,5700000.0,101000000.0,,900000.0,,170100000.0,1211000000.0,1515600000.0,72200000.0,23200000.0,674300000.0,841300000.0,-43300000.0,798000000.0,2726600000.0,172000000.0,172000000.0,175900000.0
Questar Corp,STR,6I24RUKVDSWEO85W2995,751652,2008.0,FY,2008-01-01,2008-12-31,2010-02-26 21:45:02+00:00,3.96,3.96,0.4925,494400000.0,3.88,29300000.0,59400000.0,378000000.0,692800000.0,692800000.0,,683800000.0,9000000.0,1375200000.0,3465100000.0,-79200000.0,164900000.0,,-64700000.0,,166100000.0,1375200000.0,2089900000.0,119500000.0,29000000.0,849400000.0,1240500000.0,-169700000.0,1070800000.0,3465100000.0,172700000.0,172800000.0,176100000.0
Questar Corp,STR,6I24RUKVDSWEO85W2995,751652,2008.0,Q3,2008-07-01,2008-09-30,2009-11-05 16:57:07+00:00,1.18,1.18,0.1225,126000000.0,1.16,7400000.0,4100000.0,121200000.0,206600000.0,206600000.0,,204200000.0,2400000.0,224400000.0,760000000.0,-22500000.0,47600000.0,,-59000000.0,,34000000.0,224400000.0,535600000.0,32800000.0,7600000.0,160100000.0,375500000.0,-47700000.0,327800000.0,760000000.0,173100000.0,172900000.0,176100000.0
Questar Corp,STR,6I24RUKVDSWEO85W2995,751652,2008.0,Q2,2008-04-01,2008-06-30,2009-09-01 19:39:10+00:00,1.0,1.0,0.1225,115200000.0,0.98,3800000.0,14200000.0,102200000.0,174700000.0,174700000.0,,172600000.0,2100000.0,317200000.0,825800000.0,16300000.0,49300000.0,,-3500000.0,,45000000.0,317200000.0,508600000.0,32500000.0,8500000.0,224000000.0,284600000.0,-7700000.0,276900000.0,825800000.0,172600000.0,172700000.0,176300000.0
Questar Corp,STR,6I24RUKVDSWEO85W2995,751652,2009.0,Q4,2009-10-01,2009-12-31,,0.86,0.86,0.13,-230500000.0,0.85,-12000000.0,-7500000.0,7100000.0,148900000.0,7500000.0,141400000.0,150600000.0,-1700000.0,-98500000.0,-556600000.0,166100000.0,-21600000.0,,1600000.0,,-18900000.0,-98500000.0,-458100000.0,-17000000.0,700000.0,-288900000.0,-169200000.0,183800000.0,14600000.0,-556600000.0,174000000.0,174100000.0,176300000.0
Questar Corp,STR,6I24RUKVDSWEO85W2995,751652,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 16:18:33+00:00,2.26,2.26,0.505,147100000.0,2.23,,,104400000.0,393300000.0,180500000.0,212800000.0,393300000.0,,499000000.0,1109900000.0,,42400000.0,,-200000.0,0.0,93400000.0,499000000.0,610900000.0,59600000.0,16300000.0,282700000.0,328200000.0,-43300000.0,284900000.0,1109900000.0,174000000.0,174100000.0,176300000.0
Questar Corp,STR,6I24RUKVDSWEO85W2995,751652,2009.0,Q3,2009-07-01,2009-09-30,2010-11-04 16:47:59+00:00,0.57,0.57,0.125,36200000.0,0.56,,0.0,14100000.0,98200000.0,26800000.0,71400000.0,97600000.0,600000.0,9600000.0,130900000.0,,10100000.0,,-100000.0,0.0,23700000.0,9600000.0,121300000.0,14400000.0,3900000.0,69900000.0,51400000.0,-10500000.0,40900000.0,130900000.0,171200000.0,174300000.0,176300000.0
Questar Corp,STR,6I24RUKVDSWEO85W2995,751652,2009.0,Q3YTD,2009-01-01,2009-09-30,,1.4,1.4,0.38,377600000.0,1.38,12000000.0,7500000.0,97300000.0,244400000.0,173000000.0,71400000.0,242700000.0,1700000.0,597500000.0,1666500000.0,-166100000.0,64000000.0,,-1800000.0,,112300000.0,597500000.0,1069000000.0,76600000.0,15600000.0,571600000.0,497400000.0,-227100000.0,270300000.0,1666500000.0,171200000.0,174300000.0,176300000.0
Questar Corp,STR,6I24RUKVDSWEO85W2995,751652,2009.0,Q2,2009-04-01,2009-06-30,2009-09-01 19:39:10+00:00,0.44,0.44,0.125,180100000.0,0.44,8900000.0,3800000.0,44500000.0,78500000.0,78500000.0,,77900000.0,600000.0,172300000.0,613100000.0,-27800000.0,24900000.0,,200000.0,,47400000.0,172300000.0,440800000.0,30400000.0,5700000.0,265300000.0,175500000.0,-52500000.0,123000000.0,613100000.0,177000000.0,174100000.0,176100000.0
Questar Corp,STR,6I24RUKVDSWEO85W2995,751652,2009.0,Q2YTD,2009-01-01,2009-06-30,,0.83,0.83,0.25,341400000.0,0.82,12000000.0,7500000.0,83200000.0,146200000.0,146200000.0,,145100000.0,1100000.0,587900000.0,1535600000.0,-166100000.0,53900000.0,,-1700000.0,,88600000.0,587900000.0,947700000.0,62200000.0,11700000.0,501700000.0,446000000.0,-216600000.0,229400000.0,1535600000.0,177000000.0,174100000.0,176100000.0
