company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,otherincome,otheroperatingexpenses,otherspecialcharges,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
W. R. Grace & Co,GRA,,1045309,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 12:17:56+00:00,1.69,1.69,,1.68,4300000.0,136900000.0,136900000.0,,121500000.0,15400000.0,2333500000.0,3317000000.0,,26100000.0,,14600000.0,82700000.0,5200000.0,646500000.0,2333500000.0,983500000.0,120000000.0,600000.0,749000000.0,234500000.0,-93300000.0,141200000.0,3317000000.0,71900000.0,72000000.0,72500000.0
W. R. Grace & Co,GRA,,1045309,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 10:03:27+00:00,0.99,0.99,,0.98,11500000.0,81200000.0,81200000.0,,71200000.0,10000000.0,1900500000.0,2825000000.0,,-13000000.0,,-29500000.0,70100000.0,33400000.0,660200000.0,1900500000.0,924500000.0,86300000.0,1700000.0,734200000.0,190300000.0,-97600000.0,92700000.0,2825000000.0,71900000.0,72200000.0,72600000.0
W. R. Grace & Co,GRA,,1045309,2009.0,Q3,2009-07-01,2009-09-30,2010-11-05 10:39:21+00:00,0.61,0.61,,0.61,23600000.0,50800000.0,50800000.0,,44400000.0,6400000.0,491100000.0,753600000.0,,17100000.0,,400000.0,16600000.0,1900000.0,158200000.0,491100000.0,262500000.0,28100000.0,0.0,177100000.0,85400000.0,-11000000.0,74400000.0,753600000.0,72800000.0,72200000.0,72900000.0
W. R. Grace & Co,GRA,,1045309,2009.0,Q2,2009-04-01,2009-06-30,2010-08-05 16:50:04+00:00,0.27,0.27,,0.26,16800000.0,22700000.0,22700000.0,,19300000.0,3400000.0,467900000.0,711000000.0,,-1900000.0,,0.0,17600000.0,5900000.0,159900000.0,467900000.0,243100000.0,17600000.0,-700000.0,183400000.0,59700000.0,-20200000.0,39500000.0,711000000.0,71500000.0,72200000.0,72900000.0
W. R. Grace & Co,GRA,,1045309,2010.0,Q4,2010-10-01,2010-12-31,,0.62,0.62,,0.59,11600000.0,44800000.0,44800000.0,,44900000.0,-100000.0,448100000.0,693000000.0,,200000.0,,4500000.0,15400000.0,2100000.0,158000000.0,448100000.0,244900000.0,13500000.0,4800000.0,180000000.0,64900000.0,-8500000.0,56400000.0,693000000.0,72700000.0,72700000.0,74400000.0
W. R. Grace & Co,GRA,,1045309,2010.0,FY,2010-01-01,2010-12-31,2013-02-27 12:00:09+00:00,2.85,2.85,,2.78,32500000.0,207400000.0,207400000.0,,207100000.0,300000.0,1726400000.0,2675000000.0,,0.0,,4500000.0,60300000.0,11200000.0,591500000.0,1726400000.0,948600000.0,59000000.0,17800000.0,667500000.0,281100000.0,-41200000.0,239900000.0,2675000000.0,72700000.0,72700000.0,74400000.0
W. R. Grace & Co,GRA,,1045309,2010.0,Q3,2010-07-01,2010-09-30,2011-11-04 09:28:21+00:00,0.75,0.75,,0.74,17100000.0,54900000.0,54900000.0,,54900000.0,0.0,436600000.0,682100000.0,,2100000.0,,0.0,14800000.0,5700000.0,143000000.0,436600000.0,245500000.0,13800000.0,1700000.0,163500000.0,82000000.0,-10000000.0,72000000.0,682100000.0,73200000.0,72800000.0,74300000.0
W. R. Grace & Co,GRA,,1045309,2010.0,Q3YTD,2010-01-01,2010-09-30,,2.23,2.23,,2.19,20900000.0,162600000.0,162600000.0,,162200000.0,400000.0,1278300000.0,1982000000.0,,-200000.0,,,44900000.0,9100000.0,433500000.0,1278300000.0,703700000.0,45500000.0,13000000.0,487500000.0,216200000.0,-32700000.0,183500000.0,1982000000.0,73200000.0,72800000.0,74300000.0
W. R. Grace & Co,GRA,,1045309,2010.0,Q2,2010-04-01,2010-06-30,2011-08-05 09:38:53+00:00,0.7,0.7,,0.69,20300000.0,51000000.0,51000000.0,,51000000.0,0.0,440500000.0,685000000.0,,100000.0,,0.0,14800000.0,1200000.0,148200000.0,440500000.0,244500000.0,15300000.0,6200000.0,164200000.0,80300000.0,-9000000.0,71300000.0,685000000.0,72900000.0,72700000.0,74400000.0
W. R. Grace & Co,GRA,,1045309,2010.0,Q2YTD,2010-01-01,2010-06-30,,1.48,1.48,,1.45,3800000.0,107700000.0,107700000.0,,107300000.0,400000.0,841700000.0,1299900000.0,,-2300000.0,,,30100000.0,3400000.0,290500000.0,841700000.0,458200000.0,31700000.0,11300000.0,324000000.0,134200000.0,-22700000.0,111500000.0,1299900000.0,72900000.0,72700000.0,74400000.0
W. R. Grace & Co,GRA,,1045309,2010.0,Q1,2010-01-01,2010-03-31,2011-05-06 15:32:44+00:00,0.78,0.78,,0.76,-16500000.0,56700000.0,56700000.0,,56300000.0,400000.0,401200000.0,614900000.0,,-2400000.0,,0.0,15300000.0,2200000.0,142300000.0,401200000.0,213700000.0,16400000.0,5100000.0,159800000.0,53900000.0,-13700000.0,40200000.0,614900000.0,72200000.0,72400000.0,74400000.0
W. R. Grace & Co,GRA,,1045309,2011.0,Q3,2011-07-01,2011-09-30,2012-11-08 16:23:25+00:00,1.1,1.1,,1.07,40400000.0,81200000.0,81200000.0,,81300000.0,-100000.0,547800000.0,864200000.0,,-2700000.0,,1100000.0,16800000.0,100000.0,164100000.0,547800000.0,316400000.0,15500000.0,5500000.0,182100000.0,134300000.0,-12700000.0,121600000.0,864200000.0,73900000.0,73700000.0,75700000.0
