company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,otheroperatingexpenses,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Harley-Davidson Inc,HOG,ZDNAWZWXIKMWI51R2A08,793952,2007.0,FY,2007-01-01,2007-12-31,2010-02-23 11:14:11+00:00,3.75,3.75,1.06,3.74,0.0,513976000.0,933843000.0,933843000.0,0.0,933843000.0,3694223000.0,6143044000.0,11252000.0,,,0.0,1012008000.0,3705475000.0,2437569000.0,0.0,22258000.0,1012008000.0,1425561000.0,22258000.0,1447819000.0,6143044000.0,249000000.0,249000000.0,249700000.0
Harley-Davidson Inc,HOG,ZDNAWZWXIKMWI51R2A08,793952,2008.0,FY,2008-01-01,2008-12-31,2010-02-23 11:14:11+00:00,2.8,2.8,1.29,2.79,0.0,381686000.0,654718000.0,684235000.0,-29517000.0,654718000.0,3784033000.0,5955384000.0,39555000.0,,,12475000.0,1060154000.0,3823588000.0,2131796000.0,4542000.0,11296000.0,1072629000.0,1059167000.0,6754000.0,1065921000.0,5955384000.0,233800000.0,233800000.0,234700000.0
Harley-Davidson Inc,HOG,ZDNAWZWXIKMWI51R2A08,793952,2008.0,Q3,2008-06-30,2008-09-28,2009-10-30 13:45:14+00:00,0.71,0.71,0.33,0.71,0.0,102986000.0,166541000.0,166541000.0,,166541000.0,1015095000.0,1534800000.0,,,,926000.0,250777000.0,1015095000.0,519705000.0,1226000.0,2751000.0,251703000.0,268002000.0,1525000.0,269527000.0,1534800000.0,234600000.0,234600000.0,234600000.0
Harley-Davidson Inc,HOG,ZDNAWZWXIKMWI51R2A08,793952,2008.0,Q2,2008-03-31,2008-06-29,2009-07-31 15:23:48+00:00,0.95,0.95,0.33,0.95,0.0,125316000.0,222787000.0,222787000.0,,222787000.0,1080338000.0,1679409000.0,,,,11549000.0,241659000.0,1080338000.0,599071000.0,0.0,2240000.0,253208000.0,345863000.0,2240000.0,348103000.0,1679409000.0,234500000.0,234500000.0,234500000.0
Harley-Davidson Inc,HOG,ZDNAWZWXIKMWI51R2A08,793952,2009.0,Q4,2009-09-28,2009-12-31,,-0.94,-0.94,0.1,-0.93,-18888000.0,-90930000.0,-218696000.0,-103645000.0,-115051000.0,-218696000.0,455507000.0,862930000.0,163295000.0,,,122336000.0,327208000.0,618802000.0,244128000.0,9084000.0,1037000.0,430656000.0,-186528000.0,-8047000.0,-194575000.0,862930000.0,229700000.0,229700000.0,229700000.0
Harley-Davidson Inc,HOG,ZDNAWZWXIKMWI51R2A08,793952,2009.0,FY,2009-01-01,2009-12-31,2012-02-23 14:28:10+00:00,-0.24,-0.24,0.4,-0.24,28387000.0,108019000.0,-55116000.0,70641000.0,-125757000.0,-55116000.0,3184568000.0,4781909000.0,169206000.0,,,224278000.0,979384000.0,3353774000.0,1428135000.0,21680000.0,4254000.0,1232049000.0,196086000.0,-17426000.0,178660000.0,4781909000.0,229700000.0,229700000.0,229700000.0
Harley-Davidson Inc,HOG,ZDNAWZWXIKMWI51R2A08,793952,2009.0,Q3,2009-06-29,2009-09-27,2009-10-30 13:45:14+00:00,0.11,0.11,0.1,0.11,18888000.0,42800000.0,26483000.0,26483000.0,,26483000.0,917522000.0,1258268000.0,,,,51949000.0,200261000.0,917522000.0,340746000.0,1312000.0,947000.0,271098000.0,69648000.0,-365000.0,69283000.0,1258268000.0,240800000.0,240800000.0,240800000.0
Harley-Davidson Inc,HOG,ZDNAWZWXIKMWI51R2A08,793952,2009.0,Q3YTD,2009-01-01,2009-09-27,,0.7,0.7,0.3,0.69,47275000.0,198949000.0,163580000.0,174286000.0,-10706000.0,163580000.0,2729061000.0,3918979000.0,5911000.0,,,101942000.0,652176000.0,2734972000.0,1184007000.0,12596000.0,3217000.0,801393000.0,382614000.0,-9379000.0,373235000.0,3918979000.0,240800000.0,240800000.0,240800000.0
Harley-Davidson Inc,HOG,ZDNAWZWXIKMWI51R2A08,793952,2009.0,Q2,2009-03-30,2009-06-28,2009-07-31 15:23:48+00:00,0.08,0.08,0.1,0.08,28387000.0,49777000.0,19750000.0,19750000.0,,19750000.0,953453000.0,1277612000.0,,,,15131000.0,209893000.0,953453000.0,324159000.0,1538000.0,317000.0,253411000.0,70748000.0,-1221000.0,69527000.0,1277612000.0,246900000.0,246900000.0,246900000.0
Harley-Davidson Inc,HOG,ZDNAWZWXIKMWI51R2A08,793952,2009.0,Q2YTD,2009-01-01,2009-06-28,,0.59,0.59,0.2,0.58,28387000.0,156149000.0,137097000.0,147803000.0,-10706000.0,137097000.0,1811539000.0,2660711000.0,5911000.0,,,49993000.0,451915000.0,1817450000.0,843261000.0,11284000.0,2270000.0,530295000.0,312966000.0,-9014000.0,303952000.0,2660711000.0,246900000.0,246900000.0,246900000.0
Harley-Davidson Inc,HOG,ZDNAWZWXIKMWI51R2A08,793952,2009.0,Q1,2009-01-01,2009-03-29,2010-05-06 15:33:45+00:00,0.51,0.51,0.1,0.5,,106372000.0,117347000.0,128053000.0,-10706000.0,117347000.0,858086000.0,1383099000.0,5911000.0,,,34862000.0,242022000.0,863997000.0,519102000.0,9746000.0,1953000.0,276884000.0,242218000.0,-7793000.0,234425000.0,1383099000.0,230100000.0,230100000.0,234700000.0
Harley-Davidson Inc,HOG,ZDNAWZWXIKMWI51R2A08,793952,2010.0,Q4,2010-09-27,2010-12-31,,-0.19,-0.19,0.1,-0.2,,-24884000.0,-46766000.0,-42076000.0,-4690000.0,-46766000.0,705390000.0,1083398000.0,24001000.0,,,17671000.0,299616000.0,729391000.0,354007000.0,105456000.0,1776000.0,317287000.0,36720000.0,-103680000.0,-66960000.0,1083398000.0,232600000.0,232600000.0,236400000.0
