company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,effectofexchangeratechanges,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Harley-Davidson Inc,HOG,ZDNAWZWXIKMWI51R2A08,793952,2007.0,FY,2007-01-01,2007-12-31,2010-02-23 11:14:11+00:00,,12909000.0,21478000.0,398144000.0,-1037803000.0,391205000.0,798146000.0,,,-1037803000.0,391205000.0,798146000.0,164457000.0,,3066000.0,120964000.0,0.0,-260805000.0,-981968000.0,-242113000.0,-46247000.0,-1153439000.0,1494322000.0,
Harley-Davidson Inc,HOG,ZDNAWZWXIKMWI51R2A08,793952,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 15:51:35+00:00,,-20352000.0,1179000.0,2244615000.0,1293390000.0,-294875000.0,-608029000.0,,,1293390000.0,-294875000.0,-608029000.0,190704000.0,,320000.0,91172000.0,-179430000.0,-302314000.0,-608621000.0,-228959000.0,-400000000.0,-250410000.0,451533000.0,
Harley-Davidson Inc,HOG,ZDNAWZWXIKMWI51R2A08,793952,2008.0,Q3,2008-06-30,2008-09-28,,-95224000.0,-13122000.0,443000.0,88538000.0,29125000.0,-132812000.0,,,,29125000.0,-132812000.0,-182206000.0,-299015000.0,,49000.0,54387000.0,,-76652000.0,-141647000.0,-54090000.0,116621000.0,-99874000.0,103762000.0,
Harley-Davidson Inc,HOG,ZDNAWZWXIKMWI51R2A08,793952,2008.0,Q3YTD,2008-01-01,2008-09-28,2009-10-30 13:45:14+00:00,-95224000.0,-1609000.0,1179000.0,1082088000.0,608317000.0,-283955000.0,,,,608317000.0,-283955000.0,-221222000.0,101531000.0,,301000.0,74187000.0,,-225243000.0,-471735000.0,-153687000.0,0.0,-250008000.0,362504000.0,
Harley-Davidson Inc,HOG,ZDNAWZWXIKMWI51R2A08,793952,2008.0,Q2YTD,2008-01-01,2008-06-29,2009-07-31 15:23:48+00:00,,11513000.0,736000.0,993550000.0,579192000.0,-151143000.0,,,,579192000.0,-151143000.0,-39016000.0,400546000.0,,252000.0,19800000.0,,-148591000.0,-330088000.0,-99597000.0,-116621000.0,-150134000.0,258742000.0,
Harley-Davidson Inc,HOG,ZDNAWZWXIKMWI51R2A08,793952,2009.0,Q4,2009-09-28,2009-12-31,,,-562000.0,,1720573000.0,401466000.0,-295437000.0,609010000.0,,,401466000.0,-295437000.0,97958000.0,112114000.0,-511052000.0,-56669000.0,-400914000.0,-91311000.0,-23478000.0,-474354000.0,-27337000.0,-1237336000.0,-1624000.0,607168000.0,
Harley-Davidson Inc,HOG,ZDNAWZWXIKMWI51R2A08,793952,2009.0,FY,2009-01-01,2009-12-31,2012-02-23 14:28:10+00:00,,6789000.0,11000.0,3504732000.0,1381937000.0,-863487000.0,609010000.0,,,1381937000.0,-863487000.0,609010000.0,1042938000.0,,170000.0,64004000.0,-91311000.0,-93807000.0,-1417911000.0,-116748000.0,-2027249000.0,-1920000.0,607168000.0,
Harley-Davidson Inc,HOG,ZDNAWZWXIKMWI51R2A08,793952,2009.0,Q3YTD,2009-01-01,2009-09-27,2009-10-30 13:45:14+00:00,0.0,7351000.0,11000.0,1784159000.0,980471000.0,-568050000.0,,,,980471000.0,-568050000.0,511052000.0,930824000.0,,56839000.0,464918000.0,,-70329000.0,-943557000.0,-89411000.0,-789913000.0,-296000.0,0.0,
Harley-Davidson Inc,HOG,ZDNAWZWXIKMWI51R2A08,793952,2009.0,Q3,2009-06-29,2009-09-27,,,-10094000.0,1000.0,697133000.0,335722000.0,-507934000.0,,,,335722000.0,-507934000.0,675494000.0,493188000.0,,-31014000.0,186225000.0,,-23416000.0,-662071000.0,-32088000.0,-306982000.0,,,
Harley-Davidson Inc,HOG,ZDNAWZWXIKMWI51R2A08,793952,2009.0,Q2YTD,2009-01-01,2009-06-28,2009-07-31 15:23:48+00:00,,17445000.0,10000.0,1087026000.0,644749000.0,-60116000.0,,,,644749000.0,-60116000.0,-164442000.0,437636000.0,,87853000.0,278693000.0,,-46913000.0,-281486000.0,-57323000.0,-482931000.0,-296000.0,0.0,
