company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accumulateddepreciation,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,dividendspayable,grossppe,longtermdebt,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
EOG Resources Inc,EOG,XWTZDRYZPBUHIQBKDB46,821189,2009.0,FY,,2009-12-31,2011-02-24 17:06:25+00:00,979139000.0,771417000.0,9825218000.0,339720000.0,685751000.0,,799228000.0,37009000.0,128272000.0,36286000.0,25964443000.0,2760000000.0,261723000.0,16139225000.0,,,3382413000.0,83641000.0,164863000.0,139901000.0,632652000.0,8866747000.0,37000000.0,18118667000.0,10013348000.0,1839541000.0,1345560000.0,10013348000.0,9998042000.0,8120625000.0,18118667000.0,139901000.0,6775065000.0,7653000.0
EOG Resources Inc,EOG,XWTZDRYZPBUHIQBKDB46,821189,2009.0,Q3,,2009-09-30,2009-11-05 17:22:08+00:00,783764000.0,604260000.0,9524312000.0,291627000.0,608511000.0,,731068000.0,27134000.0,200638000.0,36255000.0,24776867000.0,2760000000.0,240230000.0,15252555000.0,,,3133252000.0,351554000.0,143494000.0,137049000.0,609150000.0,8502940000.0,37000000.0,17221293000.0,9517740000.0,1831689000.0,1201151000.0,9517740000.0,9517740000.0,7703553000.0,17221293000.0,137049000.0,6502402000.0,-7895000.0
EOG Resources Inc,EOG,XWTZDRYZPBUHIQBKDB46,821189,2010.0,FY,,2010-12-31,2012-02-24 16:20:46+00:00,1664944000.0,1113279000.0,12315982000.0,440071000.0,788853000.0,,932534000.0,64176000.0,123871000.0,38962000.0,30996882000.0,5003341000.0,415792000.0,18680900000.0,,,3501706000.0,145346000.0,172322000.0,415887000.0,667455000.0,8870179000.0,220000000.0,21624233000.0,10253936000.0,2527446000.0,2220099000.0,10253936000.0,10231632000.0,11392601000.0,21624233000.0,415887000.0,9172502000.0,11152000.0
EOG Resources Inc,EOG,XWTZDRYZPBUHIQBKDB46,821189,2010.0,Q3,,2010-09-30,2010-11-02 17:25:46+00:00,1541268000.0,897732000.0,11557256000.0,375847000.0,27832000.0,,897586000.0,89357000.0,160130000.0,38946000.0,29807066000.0,3768638000.0,381263000.0,18249810000.0,,,3423942000.0,138261000.0,197956000.0,160604000.0,695855000.0,8855869000.0,0.0,19944859000.0,10140480000.0,1534445000.0,1938300000.0,10140480000.0,10118124000.0,9826735000.0,19944859000.0,160604000.0,7888435000.0,11178000.0
EOG Resources Inc,EOG,XWTZDRYZPBUHIQBKDB46,821189,2010.0,Q1,,2010-03-31,2010-05-04 16:36:43+00:00,1134286000.0,869042000.0,10325928000.0,405234000.0,230084000.0,,822898000.0,47363000.0,110834000.0,38765000.0,27142863000.0,2760000000.0,313067000.0,16816935000.0,,,3455903000.0,86301000.0,172124000.0,146276000.0,635239000.0,8945648000.0,37000000.0,18509068000.0,10182643000.0,1545857000.0,1493009000.0,10182643000.0,10164917000.0,8344151000.0,18509068000.0,146276000.0,6851142000.0,8863000.0
EOG Resources Inc,EOG,XWTZDRYZPBUHIQBKDB46,821189,2011.0,FY,,2011-12-31,2013-02-21 20:04:48+00:00,2033615000.0,1451227000.0,14525600000.0,401746000.0,615726000.0,0.0,2474745000.0,26609000.0,283094000.0,42578000.0,35814424000.0,5009166000.0,590594000.0,21288824000.0,,,3867219000.0,569782000.0,163032000.0,296035000.0,799189000.0,9789345000.0,0.0,24838797000.0,12690768000.0,3253938000.0,2522319000.0,12690768000.0,12640904000.0,12197893000.0,24838797000.0,296035000.0,9675574000.0,24932000.0
EOG Resources Inc,EOG,XWTZDRYZPBUHIQBKDB46,821189,2011.0,Q3,,2011-09-30,2011-11-01 17:25:36+00:00,1926455000.0,1249649000.0,13453905000.0,372448000.0,1386728000.0,,2433291000.0,28013000.0,296943000.0,43015000.0,34190103000.0,5007746000.0,580355000.0,20736198000.0,,,3858243000.0,490617000.0,179910000.0,323118000.0,768518000.0,9711207000.0,220000000.0,24794678000.0,12540044000.0,3735362000.0,2666323000.0,12540044000.0,12493848000.0,12300830000.0,24794678000.0,323118000.0,9634507000.0,23098000.0
EOG Resources Inc,EOG,XWTZDRYZPBUHIQBKDB46,821189,2011.0,Q2,,2011-06-30,2011-08-04 17:10:53+00:00,1870172000.0,1279740000.0,13463534000.0,492880000.0,1577438000.0,,2383844000.0,27694000.0,198825000.0,42976000.0,33460357000.0,5006251000.0,540094000.0,19996823000.0,,,3681009000.0,212984000.0,144265000.0,324606000.0,718696000.0,9213356000.0,220000000.0,23959379000.0,12102975000.0,3637950000.0,2476238000.0,12102975000.0,12077185000.0,11882194000.0,23959379000.0,324606000.0,9405956000.0,12895000.0
EOG Resources Inc,EOG,XWTZDRYZPBUHIQBKDB46,821189,2011.0,Q1,,2011-03-31,2011-05-05 18:40:16+00:00,1838959000.0,1228549000.0,12748006000.0,485464000.0,1668285000.0,,2351161000.0,58618000.0,144841000.0,40247000.0,32389458000.0,5004725000.0,481826000.0,19641452000.0,,,3571473000.0,160325000.0,256144000.0,306467000.0,680754000.0,8963475000.0,220000000.0,23545522000.0,11811821000.0,3597603000.0,2500191000.0,11811821000.0,11788379000.0,11757143000.0,23545522000.0,306467000.0,9256952000.0,11721000.0
EOG Resources Inc,EOG,XWTZDRYZPBUHIQBKDB46,821189,2012.0,FY,,2012-12-31,2014-02-24 17:25:32+00:00,2078948000.0,1656618000.0,17529236000.0,439895000.0,876435000.0,0.0,2703060000.0,29163000.0,184921000.0,45802000.0,40866917000.0,5905602000.0,683187000.0,23337681000.0,,,4327396000.0,344481000.0,207808000.0,409013000.0,894758000.0,10175631000.0,406579000.0,27336578000.0,13284764000.0,3589884000.0,2924058000.0,13284764000.0,13284764000.0,14051814000.0,27336578000.0,409013000.0,11127756000.0,-33822000.0
