company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,otheradjustmentstonetincometocommon,othergains,otherincome,otheroperatingexpenses,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
CF Industries Holdings Inc,CF,,1324404,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 16:45:36+00:00,6.7,6.7,0.08,6.56,199500000.0,427300000.0,427300000.0,372700000.0,54600000.0,2086700000.0,2756700000.0,,,900000.0,1600000.0,,,68400000.0,2086700000.0,670000000.0,1700000.0,24400000.0,68400000.0,601600000.0,24300000.0,625900000.0,2756700000.0,55600000.0,55700000.0,56800000.0
CF Industries Holdings Inc,CF,,1324404,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 16:51:27+00:00,12.35,12.35,0.4,12.13,378100000.0,801500000.0,801500000.0,684600000.0,116900000.0,2698400000.0,3921100000.0,,,4200000.0,700000.0,,,72500000.0,2698400000.0,1222700000.0,1600000.0,26100000.0,72500000.0,1150200000.0,25200000.0,1175400000.0,3921100000.0,55400000.0,55400000.0,56400000.0
CF Industries Holdings Inc,CF,,1324404,2008.0,Q3,2008-07-01,2008-09-30,2009-11-02 17:28:44+00:00,0.83,0.83,0.1,0.82,27500000.0,76600000.0,76600000.0,47100000.0,29500000.0,899900000.0,1020800000.0,,,-1400000.0,-3400000.0,,,18300000.0,899900000.0,120900000.0,400000.0,6700000.0,18300000.0,102600000.0,2900000.0,105500000.0,1020800000.0,56700000.0,56700000.0,57700000.0
CF Industries Holdings Inc,CF,,1324404,2008.0,Q2,2008-04-01,2008-06-30,2009-08-05 12:05:07+00:00,5.11,5.11,0.1,5.01,159900000.0,307700000.0,307700000.0,288600000.0,19100000.0,691100000.0,1161000000.0,,,7200000.0,2100000.0,,,17800000.0,691100000.0,469900000.0,400000.0,6600000.0,17800000.0,452100000.0,8300000.0,460400000.0,1161000000.0,56500000.0,56400000.0,57600000.0
CF Industries Holdings Inc,CF,,1324404,2009.0,Q4,2009-10-01,2009-12-31,,1.06,1.06,0.1,1.03,25900000.0,57300000.0,57300000.0,51400000.0,5900000.0,380600000.0,506700000.0,,,-300000.0,12400000.0,,,55000000.0,380600000.0,126100000.0,400000.0,400000.0,55000000.0,71100000.0,12400000.0,83500000.0,506700000.0,48500000.0,48500000.0,49200000.0
CF Industries Holdings Inc,CF,,1324404,2009.0,FY,2009-01-01,2009-12-31,2012-02-27 16:49:08+00:00,7.54,7.54,0.4,7.42,246000000.0,448500000.0,448500000.0,365600000.0,82900000.0,1769000000.0,2608400000.0,,,-1100000.0,12800000.0,,,159600000.0,1769000000.0,839400000.0,1500000.0,4500000.0,159600000.0,679800000.0,15800000.0,695600000.0,2608400000.0,48500000.0,48500000.0,49200000.0
CF Industries Holdings Inc,CF,,1324404,2009.0,Q3YTD,2009-01-01,2009-09-30,,6.48,6.48,0.3,6.39,220100000.0,391200000.0,391200000.0,314200000.0,77000000.0,1388400000.0,2101700000.0,,,-800000.0,400000.0,,,104600000.0,1388400000.0,713300000.0,1100000.0,4100000.0,104600000.0,608700000.0,3400000.0,612100000.0,2101700000.0,48700000.0,48500000.0,49300000.0
CF Industries Holdings Inc,CF,,1324404,2009.0,Q3,2009-07-01,2009-09-30,2010-11-05 14:23:43+00:00,0.79,0.79,0.1,0.78,32100000.0,60000000.0,60000000.0,38500000.0,21500000.0,306100000.0,430100000.0,,,600000.0,,,,34200000.0,306100000.0,124000000.0,400000.0,2100000.0,34200000.0,89800000.0,1700000.0,91500000.0,430100000.0,48700000.0,48500000.0,49300000.0
CF Industries Holdings Inc,CF,,1324404,2009.0,Q2YTD,2009-01-01,2009-06-30,,5.69,5.69,0.2,5.61,188000000.0,331200000.0,331200000.0,275700000.0,55500000.0,1082300000.0,1671600000.0,,,-1400000.0,400000.0,,,70400000.0,1082300000.0,589300000.0,700000.0,2000000.0,70400000.0,518900000.0,1700000.0,520600000.0,1671600000.0,48400000.0,48400000.0,49200000.0
CF Industries Holdings Inc,CF,,1324404,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 14:02:30+00:00,4.4,4.4,0.1,4.33,146800000.0,248200000.0,248200000.0,213000000.0,35200000.0,564000000.0,991000000.0,,,-700000.0,100000.0,,,31800000.0,564000000.0,427000000.0,300000.0,700000.0,31800000.0,395200000.0,500000.0,395700000.0,991000000.0,48400000.0,48400000.0,49200000.0
