company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,currentdeferredtaxassets,currentdeferredtaxliabilities,currentemployeebenefitliabilities,employeebenefitassets,goodwill,intangibleassets,longtermdebt,netppe,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,otherequity,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,othernoncurrentnonoperatingliabilities,prepaidexpenses,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
Verisk Analytics Inc,VRSK,549300I1YSWNIRKBWP67,1442145,2012.0,Q3,,2012-09-30,2012-10-30 16:26:09+00:00,176464000.0,175520000.0,-76853000.0,97770000.0,0.0,991876000.0,219800000.0,24152000.0,3287000.0,2912000.0,,1220384000.0,530023000.0,1301683000.0,144799000.0,,80755000.0,27891000.0,33613000.0,,,,-544000.0,46890000.0,82799000.0,,,25387000.0,807428000.0,265794000.0,4895000.0,2303433000.0,142048000.0,361337000.0,668257000.0,142048000.0,142048000.0,2161385000.0,2303433000.0,1797297000.0,1493128000.0,-1579859000.0
Verisk Analytics Inc,VRSK,549300I1YSWNIRKBWP67,1442145,2012.0,Q2,,2012-06-30,2012-07-31 16:47:21+00:00,153684000.0,173607000.0,-77354000.0,97198000.0,0.0,963189000.0,253880000.0,46956000.0,,2912000.0,,934762000.0,363555000.0,1054395000.0,133731000.0,,41880000.0,35621000.0,46460000.0,,,,-591000.0,23800000.0,62506000.0,,,28492000.0,724517000.0,201783000.0,4782000.0,1853343000.0,46682000.0,397495000.0,612259000.0,46682000.0,46682000.0,1806661000.0,1853343000.0,1322117000.0,1194402000.0,-1563079000.0
Verisk Analytics Inc,VRSK,549300I1YSWNIRKBWP67,1442145,2012.0,Q1,,2012-03-31,2012-05-01 16:21:08+00:00,144974000.0,194540000.0,-77403000.0,114930000.0,0.0,918021000.0,288942000.0,37247000.0,,2912000.0,,933298000.0,375742000.0,1099285000.0,124781000.0,,39868000.0,115549000.0,39536000.0,250000.0,,,-648000.0,38382000.0,80043000.0,,,28619000.0,651186000.0,130478000.0,4968000.0,1892043000.0,-10258000.0,419840000.0,567556000.0,-10258000.0,-10258000.0,1902301000.0,1892043000.0,1347422000.0,1334745000.0,-1501414000.0
Verisk Analytics Inc,VRSK,549300I1YSWNIRKBWP67,1442145,2014.0,FY,,2014-12-31,2016-02-23 18:18:35+00:00,180726000.0,220668000.0,-80514000.0,39359000.0,0.0,1171333000.0,252592000.0,70284000.0,,1894000.0,18589000.0,1207146000.0,406476000.0,1100874000.0,302273000.0,,202540000.0,16215000.0,18875000.0,,,,-161000.0,26363000.0,43388000.0,,,31496000.0,1654149000.0,336058000.0,3801000.0,2345330000.0,211043000.0,384483000.0,771270000.0,211043000.0,211043000.0,2134287000.0,2345330000.0,1658574000.0,1363017000.0,-2533764000.0
Verisk Analytics Inc,VRSK,549300I1YSWNIRKBWP67,1442145,2014.0,Q3,,2014-09-30,2014-10-28 16:17:21+00:00,164288000.0,188711000.0,-42861000.0,432490000.0,0.0,1256678000.0,254160000.0,35188000.0,,2437000.0,72512000.0,1184374000.0,406560000.0,1136205000.0,281347000.0,,194871000.0,16012000.0,14383000.0,,0.0,0.0,-197000.0,27255000.0,43288000.0,0.0,0.0,31150000.0,1556779000.0,140455000.0,3730000.0,2677700000.0,725984000.0,705652000.0,561340000.0,725984000.0,725984000.0,1951716000.0,2677700000.0,1690701000.0,1390376000.0,-2044415000.0
Verisk Analytics Inc,VRSK,549300I1YSWNIRKBWP67,1442145,2014.0,Q2,,2014-06-30,2014-07-29 16:16:56+00:00,157350000.0,177973000.0,-42377000.0,419448000.0,0.0,1240999000.0,309175000.0,33576000.0,,2437000.0,68659000.0,1184374000.0,420747000.0,1135645000.0,272875000.0,,194523000.0,16164000.0,32546000.0,,0.0,0.0,-230000.0,24059000.0,43917000.0,0.0,0.0,37183000.0,1457764000.0,139781000.0,3837000.0,2675277000.0,676285000.0,704563000.0,608743000.0,676285000.0,676285000.0,1998992000.0,2675277000.0,1697839000.0,1390249000.0,-1979871000.0
Verisk Analytics Inc,VRSK,549300I1YSWNIRKBWP67,1442145,2015.0,FY,,2015-12-31,2017-02-21 16:58:15+00:00,222100000.0,251000000.0,-242000000.0,138300000.0,0.0,2023500000.0,340900000.0,48600000.0,,1800000.0,32900000.0,2753000000.0,1245100000.0,2270900000.0,350300000.0,0.0,329200000.0,14900000.0,52900000.0,,76100000.0,39700000.0,,607800000.0,58400000.0,,69000000.0,34100000.0,2161700000.0,874800000.0,3600000.0,5593700000.0,1372000000.0,604600000.0,1479300000.0,1372000000.0,1372000000.0,4221700000.0,5593700000.0,4638800000.0,2742400000.0,-2571200000.0
Verisk Analytics Inc,VRSK,549300I1YSWNIRKBWP67,1442145,2015.0,Q3,,2015-09-30,2015-10-27 16:20:24+00:00,266467000.0,266000000.0,-179417000.0,168825000.0,0.0,1999916000.0,366924000.0,49978000.0,,1894000.0,31245000.0,3119485000.0,1415566000.0,2292892000.0,391625000.0,,401422000.0,15888000.0,83200000.0,,,,0.0,43414000.0,54501000.0,,,46129000.0,2047969000.0,905473000.0,3630000.0,5619097000.0,1313636000.0,617762000.0,1540758000.0,1313636000.0,1313636000.0,4305461000.0,5619097000.0,4609710000.0,2764703000.0,-2554832000.0
Verisk Analytics Inc,VRSK,549300I1YSWNIRKBWP67,1442145,2015.0,Q2,,2015-06-30,2015-07-28 16:26:34+00:00,246361000.0,267379000.0,-83873000.0,145491000.0,0.0,1971407000.0,436001000.0,69952000.0,,1894000.0,27026000.0,3057642000.0,1655565000.0,2293864000.0,386093000.0,,463561000.0,15878000.0,85962000.0,,,,-104000.0,39350000.0,47985000.0,,,37478000.0,1916155000.0,1025797000.0,3725000.0,5775663000.0,1244322000.0,609987000.0,1710053000.0,1244322000.0,1244322000.0,4531341000.0,5775663000.0,4779583000.0,2821288000.0,-2559263000.0
Verisk Analytics Inc,VRSK,549300I1YSWNIRKBWP67,1442145,2015.0,Q1,,2015-03-31,2015-04-28 16:20:59+00:00,142471000.0,226637000.0,-80058000.0,152847000.0,0.0,1190627000.0,359527000.0,17563000.0,,1894000.0,22723000.0,1207144000.0,392335000.0,1100358000.0,303829000.0,,203383000.0,16171000.0,23350000.0,,,,-135000.0,24475000.0,43095000.0,,,29741000.0,1752835000.0,205878000.0,3855000.0,2404499000.0,331722000.0,453993000.0,709770000.0,331722000.0,331722000.0,2072777000.0,2404499000.0,1646677000.0,1363007000.0,-2531547000.0
