company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Verisk Analytics Inc,VRSK,549300I1YSWNIRKBWP67,1442145,2009.0,FY,2009-01-01,2009-12-31,2012-02-28 16:21:57+00:00,32621000.0,0.72,0.72,,38578000.0,0.7,137991000.0,126614000.0,126614000.0,,126614000.0,491294000.0,1027104000.0,-2332000.0,,0.0,162604000.0,491294000.0,535810000.0,35265000.0,195000.0,233803000.0,302007000.0,-37402000.0,264605000.0,1027104000.0,175900000.0,174767795.0,182165661.0
Verisk Analytics Inc,VRSK,549300I1YSWNIRKBWP67,1442145,2010.0,FY,2010-01-01,2010-12-31,2013-02-26 16:22:16+00:00,27398000.0,1.36,1.36,,40728000.0,1.3,164098000.0,242552000.0,242552000.0,,242552000.0,463473000.0,1138343000.0,95000.0,,544000.0,166374000.0,463473000.0,674870000.0,34664000.0,305000.0,235044000.0,440914000.0,-34264000.0,406650000.0,1138343000.0,178300000.0,177733503.0,186394962.0
Verisk Analytics Inc,VRSK,549300I1YSWNIRKBWP67,1442145,2010.0,Q3YTD,2010-01-01,2010-09-30,,20482000.0,0.98,0.98,,29908000.0,0.94,125406000.0,176659000.0,176659000.0,,176659000.0,346998000.0,845185000.0,70000.0,,-544000.0,121134000.0,346998000.0,498187000.0,25395000.0,183000.0,170980000.0,327207000.0,-25142000.0,302065000.0,845185000.0,179700000.0,178687236.0,187188667.0
Verisk Analytics Inc,VRSK,549300I1YSWNIRKBWP67,1442145,2010.0,Q3,2010-07-01,2010-09-30,2011-11-01 16:16:15+00:00,6158000.0,0.35,0.35,,10035000.0,0.34,42422000.0,62880000.0,62880000.0,,62880000.0,117005000.0,287354000.0,9000.0,,-544000.0,40982000.0,117005000.0,170349000.0,8484000.0,59000.0,56631000.0,113718000.0,-8416000.0,105302000.0,287354000.0,179700000.0,178687236.0,187188667.0
Verisk Analytics Inc,VRSK,549300I1YSWNIRKBWP67,1442145,2010.0,Q2YTD,2010-01-01,2010-06-30,,14324000.0,0.63,0.63,,19873000.0,0.6,82984000.0,113779000.0,113779000.0,,113779000.0,229993000.0,557831000.0,61000.0,,,80152000.0,229993000.0,327838000.0,16911000.0,124000.0,114349000.0,213489000.0,-16726000.0,196763000.0,557831000.0,182500000.0,180492106.0,189541893.0
Verisk Analytics Inc,VRSK,549300I1YSWNIRKBWP67,1442145,2010.0,Q2,2010-04-01,2010-06-30,2011-08-02 16:16:33+00:00,7020000.0,0.32,0.32,,9944000.0,0.31,40347000.0,58404000.0,58404000.0,,58404000.0,115000000.0,281677000.0,29000.0,,0.0,42638000.0,115000000.0,166677000.0,8445000.0,92000.0,59602000.0,107075000.0,-8324000.0,98751000.0,281677000.0,182500000.0,180492106.0,189541893.0
Verisk Analytics Inc,VRSK,549300I1YSWNIRKBWP67,1442145,2010.0,Q1,2010-01-01,2010-03-31,2011-05-03 16:31:46+00:00,7304000.0,0.31,0.31,,9929000.0,0.29,42637000.0,55375000.0,55375000.0,,55375000.0,114993000.0,276154000.0,32000.0,,,37514000.0,114993000.0,161161000.0,8466000.0,32000.0,54747000.0,106414000.0,-8402000.0,98012000.0,276154000.0,178600000.0,180053550.0,189454756.0
Verisk Analytics Inc,VRSK,549300I1YSWNIRKBWP67,1442145,2011.0,Q4,2011-10-01,2011-12-31,,6856000.0,0.49,0.49,,7177000.0,0.47,32248000.0,80318000.0,60016000.0,20302000.0,80318000.0,47619000.0,211146000.0,285000.0,,,42855000.0,47619000.0,163527000.0,14754000.0,94000.0,56888000.0,106639000.0,-14375000.0,92264000.0,211146000.0,166300000.0,166015238.0,173325110.0
Verisk Analytics Inc,VRSK,549300I1YSWNIRKBWP67,1442145,2011.0,FY,2011-01-01,2011-12-31,2014-02-25 16:16:32+00:00,32985000.0,1.7,1.7,,40135000.0,1.63,165739000.0,282758000.0,262456000.0,20302000.0,282758000.0,440979000.0,1191393000.0,686000.0,,-3364000.0,199495000.0,440979000.0,750414000.0,53847000.0,193000.0,269251000.0,481163000.0,-52968000.0,428195000.0,1191393000.0,166300000.0,166015238.0,173325110.0
Verisk Analytics Inc,VRSK,549300I1YSWNIRKBWP67,1442145,2011.0,Q3YTD,2011-01-01,2011-09-30,,26129000.0,1.21,1.21,,32958000.0,1.16,133491000.0,202440000.0,202440000.0,,202440000.0,393360000.0,980247000.0,401000.0,,-3364000.0,156640000.0,393360000.0,586887000.0,39093000.0,99000.0,212363000.0,374524000.0,-38593000.0,335931000.0,980247000.0,165100000.0,164195325.0,171169658.0
Verisk Analytics Inc,VRSK,549300I1YSWNIRKBWP67,1442145,2011.0,Q3TTM,2010-10-01,2011-09-30,,33045000.0,1.59,1.59,,43778000.0,1.52,172183000.0,268333000.0,268333000.0,,268333000.0,509835000.0,1273405000.0,426000.0,,-2276000.0,201880000.0,509835000.0,763570000.0,48362000.0,221000.0,276427000.0,488231000.0,-47715000.0,440516000.0,1273405000.0,165100000.0,164195325.0,171169658.0
Verisk Analytics Inc,VRSK,549300I1YSWNIRKBWP67,1442145,2011.0,Q3,2011-07-01,2011-09-30,2012-10-30 16:26:09+00:00,8797000.0,0.43,0.43,,10798000.0,0.41,45842000.0,70987000.0,70987000.0,,70987000.0,137619000.0,340098000.0,-86000.0,,,51475000.0,137619000.0,202479000.0,14593000.0,99000.0,71070000.0,131409000.0,-14580000.0,116829000.0,340098000.0,165100000.0,164195325.0,171169658.0
Verisk Analytics Inc,VRSK,549300I1YSWNIRKBWP67,1442145,2011.0,Q2YTD,2011-01-01,2011-06-30,,17332000.0,0.78,0.78,,22160000.0,0.75,87649000.0,131453000.0,131453000.0,,131453000.0,255741000.0,640149000.0,487000.0,,-3364000.0,105165000.0,255741000.0,384408000.0,24500000.0,,141293000.0,243115000.0,-24013000.0,219102000.0,640149000.0,168100000.0,166960806.0,174634046.0
Verisk Analytics Inc,VRSK,549300I1YSWNIRKBWP67,1442145,2011.0,Q2TTM,2010-07-01,2011-06-30,,30406000.0,1.51,1.51,,43015000.0,1.45,168763000.0,260226000.0,260226000.0,,260226000.0,489221000.0,1220661000.0,521000.0,,-2820000.0,191387000.0,489221000.0,731440000.0,42253000.0,181000.0,261988000.0,470540000.0,-41551000.0,428989000.0,1220661000.0,168100000.0,166960806.0,174634046.0
Verisk Analytics Inc,VRSK,549300I1YSWNIRKBWP67,1442145,2011.0,Q2,2011-04-01,2011-06-30,2012-07-31 16:47:21+00:00,8877000.0,0.39,0.39,,10855000.0,0.38,43471000.0,65577000.0,65577000.0,,65577000.0,131185000.0,327280000.0,125000.0,,-3364000.0,55909000.0,131185000.0,196095000.0,14885000.0,-10000.0,72277000.0,123818000.0,-14770000.0,109048000.0,327280000.0,168100000.0,166960806.0,174634046.0
