company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,rdexpense,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Garmin Ltd,GRMN,,1121788,2007.0,FY,2006-12-31,2007-12-29,2010-02-24 12:36:08+00:00,3.95,3.95,,3.89,123262000.0,206948000.0,855011000.0,855011000.0,855011000.0,1717064000.0,3180319000.0,29134000.0,159406000.0,189550000.0,1717064000.0,1463255000.0,207000.0,41995000.0,555904000.0,907351000.0,70922000.0,978273000.0,3180319000.0,216500000.0,216500000.0,219800000.0
Garmin Ltd,GRMN,,1121788,2008.0,FY,2007-12-30,2008-12-27,2011-02-23 11:40:00+00:00,3.51,3.51,,3.48,181518000.0,208177000.0,732848000.0,732848000.0,732848000.0,1940562000.0,3494077000.0,17421000.0,206109000.0,277212000.0,1940562000.0,1553515000.0,607000.0,35535000.0,691498000.0,862017000.0,52349000.0,914366000.0,3494077000.0,208800000.0,208800000.0,210600000.0
Garmin Ltd,GRMN,,1121788,2008.0,Q3,2008-06-29,2008-09-27,2009-11-04 11:10:57+00:00,0.83,0.83,,0.82,40168000.0,50742000.0,171244000.0,171244000.0,171244000.0,484716000.0,870355000.0,-11386000.0,52749000.0,67785000.0,484716000.0,385639000.0,,8435000.0,171276000.0,214363000.0,-2951000.0,211412000.0,870355000.0,206300000.0,206634000.0,208107000.0
Garmin Ltd,GRMN,,1121788,2008.0,Q2,2008-03-30,2008-06-28,2009-09-01 14:56:42+00:00,1.2,1.2,,1.19,60071000.0,58327000.0,256092000.0,256092000.0,256092000.0,494543000.0,911671000.0,67859000.0,53597000.0,66701000.0,494543000.0,417128000.0,,9801000.0,178625000.0,238503000.0,77660000.0,316163000.0,911671000.0,213400000.0,213756000.0,215572000.0
Garmin Ltd,GRMN,,1121788,2009.0,Q4,2009-09-27,2009-12-26,,1.39,1.39,-1.5,1.38,13799000.0,52420000.0,278408000.0,278408000.0,278408000.0,572623000.0,1059383000.0,-6681000.0,71584000.0,70740000.0,572623000.0,486760000.0,,6872000.0,194744000.0,292016000.0,191000.0,292207000.0,1059383000.0,200395000.0,200395000.0,200395000.0
Garmin Ltd,GRMN,,1121788,2009.0,FY,2008-12-28,2009-12-26,2012-02-29 16:14:55+00:00,3.51,3.51,,3.5,104701000.0,155521000.0,703950000.0,703950000.0,703950000.0,1502329000.0,2946440000.0,-878000.0,238378000.0,264202000.0,1502329000.0,1444111000.0,,23519000.0,658101000.0,786010000.0,22641000.0,808651000.0,2946440000.0,200395000.0,200395000.0,200395000.0
Garmin Ltd,GRMN,,1121788,2009.0,Q3YTD,2008-12-28,2009-09-26,,2.12,2.12,1.5,2.12,90902000.0,103101000.0,425542000.0,425542000.0,425542000.0,929706000.0,1887057000.0,5803000.0,166794000.0,193462000.0,929706000.0,957351000.0,,16647000.0,463357000.0,493994000.0,22450000.0,516444000.0,1887057000.0,201100000.0,200546000.0,201599000.0
Garmin Ltd,GRMN,,1121788,2009.0,Q3,2009-06-28,2009-09-26,2010-11-03 11:30:09+00:00,1.07,1.07,0.75,1.07,41546000.0,45853000.0,215133000.0,215133000.0,215133000.0,371512000.0,781254000.0,13436000.0,55507000.0,71499000.0,371512000.0,409742000.0,,6360000.0,172859000.0,236883000.0,19796000.0,256679000.0,781254000.0,201100000.0,200546000.0,201599000.0
Garmin Ltd,GRMN,,1121788,2009.0,Q2YTD,2008-12-28,2009-06-27,,1.05,1.05,0.75,1.05,49356000.0,57248000.0,210409000.0,210409000.0,210409000.0,558194000.0,1105803000.0,-7633000.0,111287000.0,121963000.0,558194000.0,547609000.0,,10287000.0,290498000.0,257111000.0,2654000.0,259765000.0,1105803000.0,199800000.0,200296000.0,200853000.0
Garmin Ltd,GRMN,,1121788,2009.0,Q2,2009-03-29,2009-06-27,2010-08-04 10:30:56+00:00,0.81,0.81,0.75,0.81,37970000.0,34023000.0,161871000.0,161871000.0,161871000.0,317490000.0,669104000.0,-4501000.0,56253000.0,62186000.0,317490000.0,351614000.0,,5190000.0,152462000.0,199152000.0,689000.0,199841000.0,669104000.0,199800000.0,200296000.0,200853000.0
