company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,explorationexpense,extraordinaryincome,impairmentexpense,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,otheroperatingexpenses,otherrevenue,otherspecialcharges,preferreddividends,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Eli Lilly and Co,LLY,FRDRIPF3EKNDJ2CQJL29,59478,2007.0,FY,2007-01-01,2007-12-31,2010-02-22 12:45:27+00:00,,2.71,2.71,,,2.71,,,,923800000.0,,2953000000.0,2953000000.0,,2953000000.0,,4248800000.0,18633500000.0,,122000000.0,,,,,4232300000.0,302500000.0,6095100000.0,4248800000.0,14384700000.0,,,10629900000.0,3754800000.0,122000000.0,3876800000.0,18633500000.0,1089700000.0,1089700000.0,1089700000.0
Eli Lilly and Co,LLY,FRDRIPF3EKNDJ2CQJL29,59478,2008.0,FY,2008-01-01,2008-12-31,2010-02-22 12:45:27+00:00,,-1.89,-1.89,,,-1.89,,,,764300000.0,,-2071900000.0,-2071900000.0,,-2071900000.0,,4376700000.0,20371900000.0,,-26100000.0,,,,,8676300000.0,1974000000.0,6626400000.0,4376700000.0,15995200000.0,,,17276700000.0,-1281500000.0,-26100000.0,-1307600000.0,20371900000.0,1096200000.0,1096200000.0,1096200000.0
Eli Lilly and Co,LLY,FRDRIPF3EKNDJ2CQJL29,59478,2008.0,Q3,2008-07-01,2008-09-30,2009-10-30 13:15:47+00:00,,-0.43,-0.43,0.47,,-0.43,,,,232800000.0,,-465600000.0,-465600000.0,,-465600000.0,,1155200000.0,5092400000.0,,2500000.0,,117100000.0,,,981000000.0,1659400000.0,1649200000.0,1155200000.0,4054300000.0,,,4289600000.0,-235300000.0,2500000.0,-232800000.0,5209500000.0,1082800000.0,1082800000.0,1082800000.0
Eli Lilly and Co,LLY,FRDRIPF3EKNDJ2CQJL29,59478,2008.0,Q2,2008-04-01,2008-06-30,2009-07-31 10:22:37+00:00,0.0,0.88,0.0,0.47,0.0,0.0,0.0,0.0,0.0,247500000.0,0.0,894200000.0,894200000.0,0.0,894200000.0,0.0,1200900000.0,0.0,0.0,-32300000.0,0.0,5150400000.0,0.0,0.0,986500000.0,88900000.0,1700100000.0,1200900000.0,3949500000.0,0.0,0.0,2775500000.0,1174000000.0,-32300000.0,1141700000.0,5150400000.0,1016100000.0,0.0,0.0
Eli Lilly and Co,LLY,FRDRIPF3EKNDJ2CQJL29,59478,2009.0,Q4,2009-10-01,2009-12-31,,,0.82,1.88,0.49,,1.88,,,,221800000.0,,867200000.0,867200000.0,,867200000.0,,1431300000.0,11227000000.0,,-116000000.0,,-5292800000.0,,,1306700000.0,37900000.0,1953300000.0,1431300000.0,4502900000.0,,,3297900000.0,1205000000.0,-116000000.0,1089000000.0,5934200000.0,1098338000.0,1098338000.0,1098338000.0
Eli Lilly and Co,LLY,FRDRIPF3EKNDJ2CQJL29,59478,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 17:07:08+00:00,,3.94,3.94,1.96,,3.94,,,,1029000000.0,,4328800000.0,4328800000.0,,4328800000.0,,4247000000.0,21836000000.0,,-229500000.0,,,,,4416500000.0,692700000.0,6892500000.0,4247000000.0,17589000000.0,,,12001700000.0,5587300000.0,-229500000.0,5357800000.0,21836000000.0,1098338000.0,1098338000.0,1098338000.0
Eli Lilly and Co,LLY,FRDRIPF3EKNDJ2CQJL29,59478,2009.0,Q3,2009-07-01,2009-09-30,2010-10-29 09:15:32+00:00,,0.86,0.86,0.49,,0.86,,,,127700000.0,,941800000.0,941800000.0,,941800000.0,,1051900000.0,5562000000.0,,-66900000.0,,,,,1122100000.0,549800000.0,1701800000.0,1051900000.0,4510100000.0,,,3373700000.0,1136400000.0,-66900000.0,1069500000.0,5562000000.0,1095100000.0,1095100000.0,1095100000.0
Eli Lilly and Co,LLY,FRDRIPF3EKNDJ2CQJL29,59478,2009.0,Q3YTD,2009-01-01,2009-09-30,,,3.12,2.06,1.47,,2.06,,,,807200000.0,,3461600000.0,3461600000.0,,3461600000.0,,2815700000.0,10609000000.0,,-113500000.0,,5292800000.0,,,3109800000.0,654800000.0,4939200000.0,2815700000.0,13086100000.0,,,8703800000.0,4382300000.0,-113500000.0,4268800000.0,15901800000.0,1095100000.0,1095100000.0,1095100000.0
Eli Lilly and Co,LLY,FRDRIPF3EKNDJ2CQJL29,59478,2009.0,Q2,2009-04-01,2009-06-30,2009-07-31 10:22:37+00:00,0.0,1.06,0.0,0.49,0.0,0.0,0.0,0.0,0.0,309200000.0,0.0,1206700000.0,1206700000.0,0.0,1206700000.0,0.0,947400000.0,0.0,0.0,24100000.0,0.0,5292800000.0,0.0,0.0,1040400000.0,105000000.0,1708200000.0,947400000.0,4345400000.0,0.0,0.0,2853600000.0,1491800000.0,24100000.0,1515900000.0,5292800000.0,1138400000.0,0.0,0.0
Eli Lilly and Co,LLY,FRDRIPF3EKNDJ2CQJL29,59478,2009.0,Q2YTD,2009-01-01,2009-06-30,,,2.26,1.2,0.98,,1.2,,,,679500000.0,,2519800000.0,2519800000.0,,2519800000.0,,1763800000.0,5047000000.0,,-46600000.0,,5292800000.0,,,1987700000.0,105000000.0,3237400000.0,1763800000.0,8576000000.0,,,5330100000.0,3245900000.0,-46600000.0,3199300000.0,10339800000.0,1138400000.0,0.0,0.0
