company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Flowserve Corp,FLS,6Y0GK87T6V7NJKZJVM41,30625,2007.0,FY,2007-01-01,2007-12-31,2010-02-24 16:37:13+00:00,4.48,4.48,0.6,4.44,104294000.0,257748000.0,257748000.0,255774000.0,1974000.0,2514972000.0,3762694000.0,5947000.0,854527000.0,2514972000.0,1247722000.0,60119000.0,23019000.0,854527000.0,393195000.0,-31153000.0,362042000.0,3762694000.0,57100000.0,57100000.0,57600000.0
Flowserve Corp,FLS,6Y0GK87T6V7NJKZJVM41,30625,2008.0,FY,2008-01-01,2008-12-31,2011-02-23 16:07:09+00:00,7.75,7.75,1.0,7.71,147721000.0,445219000.0,445219000.0,442413000.0,2806000.0,2893161000.0,4473473000.0,20163000.0,981597000.0,2893161000.0,1580312000.0,51293000.0,25355000.0,981597000.0,598715000.0,-5775000.0,592940000.0,4473473000.0,57100000.0,57100000.0,57400000.0
Flowserve Corp,FLS,6Y0GK87T6V7NJKZJVM41,30625,2008.0,Q3,2008-07-01,2008-09-30,2009-10-28 16:18:07+00:00,2.05,2.05,0.25,2.04,26948000.0,117923000.0,117923000.0,117049000.0,874000.0,748668000.0,1153592000.0,-8690000.0,243799000.0,748668000.0,404924000.0,13105000.0,5541000.0,243799000.0,161125000.0,-16254000.0,144871000.0,1153592000.0,57100000.0,57100000.0,57400000.0
Flowserve Corp,FLS,6Y0GK87T6V7NJKZJVM41,30625,2008.0,Q2,2008-04-01,2008-06-30,2009-07-29 16:20:40+00:00,2.14,2.14,0.25,2.12,38165000.0,123613000.0,123613000.0,122864000.0,749000.0,739635000.0,1157605000.0,575000.0,250152000.0,739635000.0,417970000.0,12732000.0,6117000.0,250152000.0,167818000.0,-6040000.0,161778000.0,1157605000.0,57400000.0,57400000.0,58000000.0
Flowserve Corp,FLS,6Y0GK87T6V7NJKZJVM41,30625,2009.0,Q4,2009-10-01,2009-12-31,,1.97,1.97,0.27,1.96,37867000.0,110263000.0,110263000.0,110420000.0,-157000.0,790240000.0,1199073000.0,-5599000.0,250530000.0,790240000.0,408833000.0,9846000.0,5272000.0,250530000.0,158303000.0,-10173000.0,148130000.0,1199073000.0,55840000.0,55840000.0,55840000.0
Flowserve Corp,FLS,6Y0GK87T6V7NJKZJVM41,30625,2009.0,FY,2009-01-01,2009-12-31,2012-02-22 16:07:42+00:00,7.66,7.66,1.08,7.59,156460000.0,428331000.0,428331000.0,427887000.0,444000.0,2817130000.0,4365262000.0,-7968000.0,934451000.0,2817130000.0,1548132000.0,40005000.0,19083000.0,934451000.0,613681000.0,-28890000.0,584791000.0,4365262000.0,55840000.0,55840000.0,55840000.0
Flowserve Corp,FLS,6Y0GK87T6V7NJKZJVM41,30625,2009.0,Q3,2009-07-01,2009-09-30,2010-10-27 16:23:20+00:00,2.1,2.1,0.27,2.07,42006000.0,116639000.0,116639000.0,116944000.0,-305000.0,665859000.0,1051064000.0,6997000.0,227265000.0,665859000.0,385205000.0,10119000.0,3827000.0,227265000.0,157940000.0,705000.0,158645000.0,1051064000.0,55700000.0,55700000.0,56500000.0
Flowserve Corp,FLS,6Y0GK87T6V7NJKZJVM41,30625,2009.0,Q3YTD,2009-01-01,2009-09-30,,5.69,5.69,0.81,5.63,118593000.0,318068000.0,318068000.0,317467000.0,601000.0,2026890000.0,3166189000.0,-2369000.0,683921000.0,2026890000.0,1139299000.0,30159000.0,13811000.0,683921000.0,455378000.0,-18717000.0,436661000.0,3166189000.0,55700000.0,55700000.0,56500000.0
Flowserve Corp,FLS,6Y0GK87T6V7NJKZJVM41,30625,2009.0,Q2,2009-04-01,2009-06-30,2009-07-29 16:20:40+00:00,1.94,1.94,0.27,1.92,40604000.0,108604000.0,108604000.0,108218000.0,386000.0,704078000.0,1090399000.0,-71000.0,231345000.0,704078000.0,386321000.0,9931000.0,4234000.0,231345000.0,154976000.0,-5768000.0,149208000.0,1090399000.0,55800000.0,55800000.0,56400000.0
Flowserve Corp,FLS,6Y0GK87T6V7NJKZJVM41,30625,2009.0,Q2YTD,2009-01-01,2009-06-30,,3.59,3.59,0.54,3.56,76587000.0,201429000.0,201429000.0,200523000.0,906000.0,1361031000.0,2115125000.0,-9366000.0,456656000.0,1361031000.0,754094000.0,20040000.0,9984000.0,456656000.0,297438000.0,-19422000.0,278016000.0,2115125000.0,55800000.0,55800000.0,56400000.0
