company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofplantpropertyandequipment
Flowserve Corp,FLS,6Y0GK87T6V7NJKZJVM41,30625,2007.0,FY,2007-01-01,2007-12-31,2010-02-24 16:37:13+00:00,-2312000.0,11627000.0,64663000.0,59550000.0,67836000.0,,13140000.0,84848000.0,,-50144000.0,-77883000.0,417668000.0,-50144000.0,-77883000.0,417668000.0,302781000.0,257748000.0,257748000.0,-4391000.0,28629000.0,,-25984000.0,-88975000.0,-7991000.0,-44798000.0,13404000.0
Flowserve Corp,FLS,6Y0GK87T6V7NJKZJVM41,30625,2008.0,FY,2008-01-01,2008-12-31,2011-02-23 16:07:09+00:00,,11680000.0,112545000.0,49634000.0,71584000.0,,-4882000.0,-122849000.0,14938000.0,-185469000.0,-119621000.0,408790000.0,-185469000.0,-119621000.0,408790000.0,98818000.0,445219000.0,445219000.0,3156000.0,24471000.0,,-54246000.0,-126932000.0,-5682000.0,-164950000.0,7311000.0
Flowserve Corp,FLS,6Y0GK87T6V7NJKZJVM41,30625,2008.0,Q4,2008-10-01,2008-12-31,,,2896000.0,112545000.0,49634000.0,17170000.0,,5319000.0,267438000.0,5294000.0,-46135000.0,-54671000.0,413593000.0,-46135000.0,-54671000.0,413593000.0,318106000.0,114989000.0,114989000.0,11100000.0,-3157000.0,,-16898000.0,-54426000.0,-1421000.0,-29953000.0,-245000.0
Flowserve Corp,FLS,6Y0GK87T6V7NJKZJVM41,30625,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-10-28 16:18:07+00:00,0.0,8784000.0,,,54414000.0,,-10201000.0,-390287000.0,9644000.0,-139334000.0,-64950000.0,-4803000.0,-139334000.0,-64950000.0,-4803000.0,-219288000.0,330230000.0,330230000.0,-7944000.0,27628000.0,,-37348000.0,-72506000.0,-4261000.0,-134997000.0,7556000.0
Flowserve Corp,FLS,6Y0GK87T6V7NJKZJVM41,30625,2008.0,Q3,2008-07-01,2008-09-30,,,2855000.0,,,17913000.0,,-17854000.0,39847000.0,-1172000.0,-109327000.0,-29422000.0,173451000.0,-109327000.0,-29422000.0,173451000.0,16848000.0,117925000.0,117925000.0,-5089000.0,7633000.0,,-14351000.0,-34800000.0,-1420000.0,-100017000.0,5378000.0
Flowserve Corp,FLS,6Y0GK87T6V7NJKZJVM41,30625,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-07-29 16:20:40+00:00,0.0,5929000.0,,,36501000.0,,7653000.0,-430134000.0,10816000.0,-30007000.0,-35528000.0,-178254000.0,-30007000.0,-35528000.0,-178254000.0,-236136000.0,212305000.0,212305000.0,-2855000.0,19995000.0,,-22997000.0,-37706000.0,-2841000.0,-34980000.0,2178000.0
Flowserve Corp,FLS,6Y0GK87T6V7NJKZJVM41,30625,2009.0,Q4,2009-10-01,2009-12-31,,,3468000.0,189520000.0,38067000.0,22058000.0,,-8053000.0,286094000.0,-88000.0,-34498000.0,-20825000.0,426471000.0,-34498000.0,-20825000.0,426471000.0,363095000.0,110261000.0,110261000.0,4590000.0,577000.0,,-16690000.0,-21381000.0,-4869000.0,-13428000.0,556000.0
Flowserve Corp,FLS,6Y0GK87T6V7NJKZJVM41,30625,2009.0,FY,2009-01-01,2009-12-31,2012-02-22 16:07:42+00:00,-30750000.0,12068000.0,189520000.0,38067000.0,85585000.0,,-3293000.0,-126511000.0,0.0,-107078000.0,-138642000.0,431277000.0,-107078000.0,-138642000.0,431277000.0,182264000.0,428331000.0,428331000.0,31804000.0,4113000.0,0.0,-61106000.0,-108448000.0,-9130000.0,-40955000.0,556000.0
Flowserve Corp,FLS,6Y0GK87T6V7NJKZJVM41,30625,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-10-27 16:23:20+00:00,-30750000.0,8600000.0,,,63527000.0,,4760000.0,-412605000.0,88000.0,-72580000.0,-117817000.0,4806000.0,-72580000.0,-117817000.0,4806000.0,-180831000.0,318070000.0,318070000.0,27214000.0,3536000.0,0.0,-44416000.0,-87067000.0,-4261000.0,-27527000.0,0.0
Flowserve Corp,FLS,6Y0GK87T6V7NJKZJVM41,30625,2009.0,Q3TTM,2008-10-01,2009-09-30,,-30750000.0,11496000.0,112545000.0,49634000.0,80697000.0,,10079000.0,-145167000.0,5382000.0,-118715000.0,-172488000.0,418399000.0,-118715000.0,-172488000.0,418399000.0,137275000.0,433059000.0,433059000.0,38314000.0,379000.0,,-61314000.0,-141493000.0,-5682000.0,-57480000.0,-245000.0
