company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,currentemployeebenefitliabilities,dividendspayable,goodwill,intangibleassets,longtermdebt,netinventory,netppe,noncontrollinginterests,noncurrentdeferredrevenue,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingliabilities,otherequity,othernoncurrentassets,othernoncurrentliabilities,restrictedcash,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
Zoetis Inc,ZTS,549300HD9Q1LOC9KLJ48,1555280,2012.0,FY,,2012-12-31,2014-03-26 17:15:58+00:00,319000000.0,900000000.0,,-157000000.0,317000000.0,,0.0,101000000.0,537000000.0,194000000.0,0.0,985000000.0,868000000.0,509000000.0,1345000000.0,1241000000.0,15000000.0,159000000.0,216000000.0,323000000.0,201000000.0,,,4183000000.0,88000000.0,107000000.0,,0.0,73000000.0,,6262000000.0,4026000000.0,2864000000.0,1123000000.0,4026000000.0,4041000000.0,2221000000.0,6262000000.0,2157000000.0,1098000000.0,,
Zoetis Inc,ZTS,549300HD9Q1LOC9KLJ48,1555280,2013.0,FY,,2013-12-31,2015-02-27 16:52:38+00:00,506000000.0,1138000000.0,570000000.0,-219000000.0,610000000.0,,883000000.0,97000000.0,40000000.0,229000000.0,36000000.0,982000000.0,803000000.0,3642000000.0,1293000000.0,1295000000.0,22000000.0,49000000.0,63000000.0,322000000.0,219000000.0,19000000.0,,0.0,58000000.0,168000000.0,,276000000.0,15000000.0,,6558000000.0,940000000.0,3357000000.0,1415000000.0,940000000.0,962000000.0,5596000000.0,6558000000.0,1906000000.0,4181000000.0,0.0,
Zoetis Inc,ZTS,549300HD9Q1LOC9KLJ48,1555280,2013.0,Q3,,2013-09-29,2013-11-13 16:58:07+00:00,482000000.0,1110000000.0,,-245000000.0,389000000.0,,881000000.0,66000000.0,599000000.0,184000000.0,33000000.0,980000000.0,815000000.0,3642000000.0,1290000000.0,1252000000.0,23000000.0,41000000.0,70000000.0,269000000.0,228000000.0,,,0.0,59000000.0,133000000.0,,207000000.0,10000000.0,,6259000000.0,843000000.0,3083000000.0,1308000000.0,843000000.0,866000000.0,5393000000.0,6259000000.0,1924000000.0,4085000000.0,,
Zoetis Inc,ZTS,549300HD9Q1LOC9KLJ48,1555280,2013.0,Q2,,2013-06-30,2013-08-14 09:29:26+00:00,587000000.0,1137000000.0,,-183000000.0,369000000.0,,874000000.0,92000000.0,532000000.0,157000000.0,33000000.0,982000000.0,834000000.0,3640000000.0,1257000000.0,1252000000.0,23000000.0,38000000.0,54000000.0,308000000.0,227000000.0,,,0.0,57000000.0,131000000.0,,109000000.0,12000000.0,,6261000000.0,800000000.0,3082000000.0,1321000000.0,800000000.0,823000000.0,5438000000.0,6261000000.0,1927000000.0,4117000000.0,,
Zoetis Inc,ZTS,549300HD9Q1LOC9KLJ48,1555280,2014.0,FY,,2014-12-31,2016-02-24 11:32:51+00:00,290000000.0,980000000.0,475000000.0,-361000000.0,882000000.0,,963000000.0,109000000.0,26000000.0,238000000.0,42000000.0,976000000.0,727000000.0,3624000000.0,1289000000.0,1318000000.0,26000000.0,57000000.0,54000000.0,277000000.0,205000000.0,8000000.0,0.0,0.0,48000000.0,207000000.0,,709000000.0,7000000.0,,6588000000.0,1311000000.0,3465000000.0,1086000000.0,1311000000.0,1337000000.0,5251000000.0,6588000000.0,1805000000.0,4165000000.0,0.0,0.0
Zoetis Inc,ZTS,549300HD9Q1LOC9KLJ48,1555280,2014.0,Q3,,2014-09-28,2014-11-10 16:31:04+00:00,259000000.0,1057000000.0,,-240000000.0,598000000.0,,943000000.0,106000000.0,86000000.0,201000000.0,0.0,982000000.0,757000000.0,3642000000.0,1388000000.0,1313000000.0,25000000.0,57000000.0,55000000.0,265000000.0,204000000.0,442000000.0,,0.0,67000000.0,176000000.0,,661000000.0,10000000.0,,6527000000.0,1364000000.0,3353000000.0,998000000.0,1364000000.0,1389000000.0,5138000000.0,6527000000.0,1861000000.0,4140000000.0,0.0,0.0
Zoetis Inc,ZTS,549300HD9Q1LOC9KLJ48,1555280,2014.0,Q2,,2014-06-29,2014-08-12 16:42:46+00:00,337000000.0,1098000000.0,,-199000000.0,578000000.0,,928000000.0,108000000.0,540000000.0,172000000.0,0.0,984000000.0,774000000.0,3642000000.0,1336000000.0,1309000000.0,23000000.0,54000000.0,57000000.0,314000000.0,207000000.0,,,0.0,71000000.0,168000000.0,,531000000.0,12000000.0,,6522000000.0,1260000000.0,3327000000.0,1061000000.0,1260000000.0,1283000000.0,5239000000.0,6522000000.0,1886000000.0,4178000000.0,0.0,0.0
Zoetis Inc,ZTS,549300HD9Q1LOC9KLJ48,1555280,2014.0,Q1,,2014-03-30,2014-05-13 17:10:12+00:00,363000000.0,1100000000.0,,-229000000.0,506000000.0,,911000000.0,95000000.0,535000000.0,177000000.0,36000000.0,982000000.0,787000000.0,3642000000.0,1316000000.0,1292000000.0,22000000.0,51000000.0,57000000.0,319000000.0,205000000.0,,,0.0,63000000.0,165000000.0,,395000000.0,16000000.0,,6403000000.0,1077000000.0,3222000000.0,1127000000.0,1077000000.0,1099000000.0,5304000000.0,6403000000.0,1889000000.0,4177000000.0,0.0,
Zoetis Inc,ZTS,549300HD9Q1LOC9KLJ48,1555280,2015.0,FY,,2015-12-31,2017-02-16 16:26:45+00:00,293000000.0,937000000.0,676000000.0,-622000000.0,1154000000.0,,1017000000.0,,63000000.0,234000000.0,47000000.0,1455000000.0,1190000000.0,4463000000.0,1467000000.0,1307000000.0,23000000.0,63000000.0,82000000.0,264000000.0,272000000.0,59000000.0,4000000.0,0.0,49000000.0,251000000.0,,876000000.0,405000000.0,,7913000000.0,1068000000.0,3830000000.0,1781000000.0,1068000000.0,1091000000.0,6822000000.0,7913000000.0,2776000000.0,5041000000.0,0.0,-203000000.0
Zoetis Inc,ZTS,549300HD9Q1LOC9KLJ48,1555280,2015.0,Q3,,2015-09-27,2015-11-05 17:00:40+00:00,306000000.0,1038000000.0,599000000.0,-562000000.0,592000000.0,,998000000.0,127000000.0,91000000.0,197000000.0,0.0,1163000000.0,679000000.0,3226000000.0,1403000000.0,1293000000.0,25000000.0,63000000.0,58000000.0,227000000.0,290000000.0,57000000.0,,0.0,43000000.0,258000000.0,,943000000.0,408000000.0,,6686000000.0,1229000000.0,3450000000.0,1658000000.0,1229000000.0,1254000000.0,5432000000.0,6686000000.0,1943000000.0,3774000000.0,0.0,-150000000.0
