company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,rdexpense,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Nektar Therapeutics,NKTR,,906709,2009.0,FY,2009-01-01,2009-12-31,2012-02-29 16:50:35+00:00,-1.11,-1.11,-1.11,0.0,-253000.0,-102519000.0,-102519000.0,-102519000.0,30948000.0,71931000.0,848000.0,95109000.0,41006000.0,30948000.0,40983000.0,12176000.0,3688000.0,136115000.0,-95132000.0,-7640000.0,-102772000.0,71931000.0,92772000.0,92400000.0,92400000.0
Nektar Therapeutics,NKTR,,906709,2010.0,Q4,2010-10-01,2010-12-31,,-0.23,-0.23,-0.23,12576000.0,264000.0,-22580000.0,-22580000.0,-22580000.0,10237000.0,45314000.0,391000.0,31455000.0,11585000.0,10237000.0,35077000.0,2488000.0,320000.0,55616000.0,-20539000.0,-1777000.0,-22316000.0,45314000.0,94079000.0,94800000.0,94800000.0
Nektar Therapeutics,NKTR,,906709,2010.0,FY,2010-01-01,2010-12-31,2013-02-28 21:43:09+00:00,-0.4,-0.4,-0.4,12576000.0,881000.0,-37938000.0,-37938000.0,-37938000.0,25667000.0,159039000.0,827000.0,108065000.0,40986000.0,25667000.0,133372000.0,11174000.0,1545000.0,161627000.0,-28255000.0,-8802000.0,-37057000.0,159039000.0,94079000.0,94800000.0,94800000.0
Nektar Therapeutics,NKTR,,906709,2010.0,Q3YTD,2010-01-01,2010-09-30,,-0.17,-0.17,-0.17,,617000.0,-15358000.0,-15358000.0,-15358000.0,15430000.0,113725000.0,436000.0,76610000.0,29401000.0,15430000.0,98295000.0,8686000.0,1225000.0,106011000.0,-7716000.0,-7025000.0,-14741000.0,113725000.0,94213000.0,96800000.0,96800000.0
Nektar Therapeutics,NKTR,,906709,2010.0,Q3,2010-07-01,2010-09-30,2011-11-03 20:03:03+00:00,-0.09,-0.09,-0.09,,278000.0,-8711000.0,-8711000.0,-8711000.0,6245000.0,37925000.0,249000.0,27724000.0,10181000.0,6245000.0,31680000.0,2826000.0,369000.0,37905000.0,-6225000.0,-2208000.0,-8433000.0,37925000.0,94213000.0,96800000.0,96800000.0
Nektar Therapeutics,NKTR,,906709,2010.0,Q2YTD,2010-01-01,2010-06-30,,-0.08,-0.08,-0.08,,339000.0,-6647000.0,-6647000.0,-6647000.0,9185000.0,75800000.0,187000.0,48886000.0,19220000.0,9185000.0,66615000.0,5860000.0,856000.0,68106000.0,-1491000.0,-4817000.0,-6308000.0,75800000.0,94065000.0,51700000.0,51700000.0
Nektar Therapeutics,NKTR,,906709,2010.0,Q2,2010-04-01,2010-06-30,2011-08-05 16:34:07+00:00,-0.01,-0.01,-0.01,,31000.0,-517000.0,-517000.0,-517000.0,4889000.0,42563000.0,163000.0,25600000.0,10207000.0,4889000.0,37674000.0,2909000.0,393000.0,35807000.0,1867000.0,-2353000.0,-486000.0,42563000.0,94065000.0,51700000.0,51700000.0
Nektar Therapeutics,NKTR,,906709,2010.0,Q1,2010-01-01,2010-03-31,2011-04-29 16:05:15+00:00,-0.07,-0.07,-0.07,,308000.0,-6130000.0,-6130000.0,-6130000.0,4296000.0,33237000.0,24000.0,23286000.0,9013000.0,4296000.0,28941000.0,2951000.0,463000.0,32299000.0,-3358000.0,-2464000.0,-5822000.0,33237000.0,93631000.0,87600000.0,87600000.0
Nektar Therapeutics,NKTR,,906709,2011.0,Q4,2011-10-01,2011-12-31,,-0.33,-0.33,-0.33,,718000.0,-37495000.0,-37495000.0,-37495000.0,5450000.0,15782000.0,-445000.0,33302000.0,11498000.0,5450000.0,10332000.0,2525000.0,661000.0,44800000.0,-34468000.0,-2309000.0,-36777000.0,15782000.0,112942000.0,112600000.0,112600000.0
Nektar Therapeutics,NKTR,,906709,2011.0,FY,2011-01-01,2011-12-31,2014-02-27 16:26:07+00:00,-1.19,-1.19,-1.19,0.0,1018000.0,-133978000.0,-133978000.0,-133978000.0,21891000.0,71480000.0,-1044000.0,126766000.0,46760000.0,21891000.0,49589000.0,10223000.0,2244000.0,173526000.0,-123937000.0,-9023000.0,-132960000.0,71480000.0,112942000.0,112600000.0,112600000.0
