company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,customerandotherreceivables,deferredacquisitioncost,interestbearingdeposits,longtermdebt,netpremisesandequipment,noncontrollinginterests,noninterestbearingdeposits,otherassets,otherequity,otherlongtermliabilities,othershorttermpayables,redeemablenoncontrollinginterest,restrictedcash,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities
Apartment Investment and Management Co,AIV,,922864,2009.0,FY,,2009-12-31,2011-02-24 20:16:25+00:00,-1138000.0,81260000.0,0.0,3073830000.0,23744000.0,50282000.0,246556000.0,4851493000.0,6711327000.0,294985000.0,34052000.0,821195000.0,-2493474000.0,753804000.0,316147000.0,116656000.0,218660000.0,53057000.0,7906468000.0,579218000.0,1239718000.0,1534703000.0,6255109000.0,7906468000.0,660500000.0,
Apartment Investment and Management Co,AIV,,922864,2010.0,FY,,2010-12-31,2012-02-23 12:20:54+00:00,-2076000.0,111325000.0,,3071472000.0,,45387000.0,279309000.0,5181538000.0,6153671000.0,260730000.0,32876000.0,868993000.0,-2680955000.0,150199000.0,324444000.0,103428000.0,199190000.0,,7378566000.0,388441000.0,1046042000.0,1306772000.0,5968366000.0,7378566000.0,657601000.0,
Apartment Investment and Management Co,AIV,,922864,2010.0,Q3,,2010-09-30,2010-10-29 17:59:26+00:00,-4455000.0,145062000.0,,3077942000.0,11038000.0,49958000.0,6491000.0,4940829000.0,6685389000.0,269038000.0,35833000.0,509256000.0,-2638318000.0,701035000.0,313308000.0,103537000.0,216369000.0,53231000.0,7617072000.0,435169000.0,1193770000.0,1462808000.0,6050727000.0,7617072000.0,758601000.0,
Apartment Investment and Management Co,AIV,,922864,2010.0,Q2,,2010-06-30,2010-08-16 15:04:31+00:00,-2872000.0,78318000.0,0.0,3080400000.0,13191000.0,50272000.0,3276000.0,5035995000.0,6810113000.0,313581000.0,35794000.0,544112000.0,-2598290000.0,707375000.0,306710000.0,106389000.0,211795000.0,58943000.0,7707801000.0,479238000.0,1139738000.0,1453319000.0,6148093000.0,7707801000.0,660500000.0,
Apartment Investment and Management Co,AIV,,922864,2011.0,FY,,2011-12-31,2013-02-25 17:12:01+00:00,-6860000.0,91066000.0,,3099542000.0,,,417164000.0,4772774000.0,5590329000.0,236345000.0,,1006497000.0,-2841467000.0,138808000.0,315058000.0,83384000.0,183970000.0,,6871862000.0,251215000.0,908329000.0,1144674000.0,5643804000.0,6871862000.0,657114000.0,
Apartment Investment and Management Co,AIV,,922864,2011.0,Q3,,2011-09-30,2011-10-28 16:47:54+00:00,-8312000.0,75831000.0,0.0,3107288000.0,,46670000.0,0.0,5233525000.0,6179415000.0,249802000.0,34516000.0,531305000.0,-2803679000.0,150357000.0,303605000.0,93385000.0,209481000.0,26200000.0,7042702000.0,295297000.0,951312000.0,1201114000.0,5748203000.0,7042702000.0,656015000.0,
Apartment Investment and Management Co,AIV,,922864,2011.0,Q2,,2011-06-30,2011-07-29 20:48:56+00:00,-1147000.0,85324000.0,,3097199000.0,5179000.0,46984000.0,24177000.0,4872614000.0,6262701000.0,262036000.0,34982000.0,568358000.0,-2774353000.0,581618000.0,254384000.0,93387000.0,196426000.0,62474000.0,7164972000.0,321699000.0,979300000.0,1241336000.0,5830249000.0,7164972000.0,657601000.0,
Apartment Investment and Management Co,AIV,,922864,2011.0,Q1,,2011-03-31,2011-04-29 13:54:43+00:00,-2042000.0,81360000.0,0.0,3085763000.0,8049000.0,48171000.0,4066000.0,4963846000.0,6417197000.0,262559000.0,35323000.0,507814000.0,-2726882000.0,584797000.0,248116000.0,103404000.0,199241000.0,45281000.0,7261832000.0,356839000.0,1014440000.0,1276999000.0,5881429000.0,7261832000.0,657601000.0,
Apartment Investment and Management Co,AIV,,922864,2012.0,FY,,2012-12-31,2014-02-21 16:27:20+00:00,-3542000.0,84413000.0,,3714140000.0,,,281438000.0,4413083000.0,5234961000.0,239469000.0,,936421000.0,-2863287000.0,127561000.0,344358000.0,80046000.0,145585000.0,0.0,6401380000.0,847311000.0,915425000.0,1154894000.0,5166440000.0,6401380000.0,68114000.0,
Apartment Investment and Management Co,AIV,,922864,2013.0,FY,,2013-12-31,2015-02-26 20:42:52+00:00,-4602000.0,55751000.0,,3702798000.0,,,,4337785000.0,5391209000.0,205287000.0,,505416000.0,-2798853000.0,107775000.0,330756000.0,79953000.0,127037000.0,50400000.0,6079413000.0,899343000.0,967457000.0,1172744000.0,4826716000.0,6079413000.0,68114000.0,
