company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,investmentsecuritiesinterestincome,longtermdebtinterestexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,netinterestincome,netoccupancyequipmentexpense,netrealizedcapitalgains,nonoperatingincome,otheradjustmentstoconsolidatednetincome,otheradjustmentstonetincometocommon,othergains,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,otherspecialcharges,preferreddividends,provisionforcreditlosses,restructuringcharge,totalinterestexpense,totalinterestincome,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,trustfeeincome,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Apartment Investment and Management Co,AIV,,922864,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 20:16:25+00:00,3.96,3.96,7.48,376473000.0,3.96,91138000.0,-56574000.0,19543000.0,311448000.0,627002000.0,-117926000.0,744928000.0,351314000.0,214995000.0,-291905000.0,519241000.0,97403000.0,-4736000.0,,,,1080048000.0,126909000.0,,,60693000.0,17577000.0,22802000.0,311448000.0,19543000.0,1136563000.0,1276281000.0,-174500000.0,984376000.0,98830000.0,88690000.0,88700000.0,88700000.0
Apartment Investment and Management Co,AIV,,922864,2009.0,FY,2009-01-01,2009-12-31,2012-02-23 12:20:54+00:00,-1.0,-1.0,,402035000.0,-1.0,760000.0,-20473000.0,8421000.0,297425000.0,-44800000.0,-197505000.0,152705000.0,-114840000.0,19474000.0,-289004000.0,464650000.0,21574000.0,-11401000.0,,,,997850000.0,86614000.0,,,50566000.0,21549000.0,11241000.0,297425000.0,8421000.0,965300000.0,1069276000.0,-217978000.0,780272000.0,49852000.0,114301000.0,114800000.0,114800000.0
Apartment Investment and Management Co,AIV,,922864,2009.0,Q3,2009-07-01,2009-09-30,2010-10-29 17:59:26+00:00,-0.35,-0.35,0.1,110290000.0,-0.35,66000.0,-2725000.0,1880000.0,76778000.0,-9556000.0,-54960000.0,45404000.0,-40490000.0,17946000.0,-74898000.0,133224000.0,-853000.0,-362000.0,,,,275072000.0,24622000.0,,-1233000.0,12988000.0,,,76778000.0,1880000.0,266969000.0,284544000.0,-57685000.0,209646000.0,10325000.0,115563000.0,115700000.0,115700000.0
Apartment Investment and Management Co,AIV,,922864,2009.0,Q2,2009-04-01,2009-06-30,2010-08-16 15:04:31+00:00,-0.26,-0.26,0.1,108437000.0,-0.26,1569000.0,-2473000.0,2225000.0,81771000.0,-7626000.0,-43905000.0,36279000.0,-29921000.0,10818000.0,-79546000.0,125665000.0,1767000.0,,,,,279041000.0,23041000.0,,1534000.0,11477000.0,,,81771000.0,2225000.0,260246000.0,293414000.0,-46378000.0,213868000.0,12606000.0,115510000.0,115100000.0,115100000.0
Apartment Investment and Management Co,AIV,,922864,2010.0,Q4,2010-10-01,2010-12-31,,-0.33,-0.33,-0.2,53713000.0,-0.33,65000.0,-5445000.0,2298000.0,48114000.0,-34212000.0,-38586000.0,4374000.0,-38383000.0,-12751000.0,-45816000.0,39507000.0,11767000.0,-23112000.0,,,,120577000.0,24919000.0,,-284000.0,16922000.0,949000.0,,48114000.0,2298000.0,117920000.0,143766000.0,-44031000.0,97950000.0,11422000.0,116369000.0,116000000.0,116000000.0
Apartment Investment and Management Co,AIV,,922864,2010.0,FY,2010-01-01,2010-12-31,2013-02-25 17:12:01+00:00,-1.08,-1.08,,363261000.0,-1.08,65000.0,-16839000.0,9769000.0,276538000.0,-89624000.0,-160777000.0,71153000.0,-125318000.0,-17896000.0,-266769000.0,415513000.0,10631000.0,-23112000.0,,,,922910000.0,77118000.0,,,53590000.0,949000.0,,276538000.0,9769000.0,855957000.0,969171000.0,-177616000.0,702402000.0,35630000.0,116369000.0,116000000.0,116000000.0
Apartment Investment and Management Co,AIV,,922864,2010.0,Q3,2010-07-01,2010-09-30,2011-10-28 16:47:54+00:00,-0.25,-0.25,0.1,101704000.0,-0.25,0.0,-4385000.0,2362000.0,74544000.0,-28482000.0,-46992000.0,18510000.0,-28500000.0,-13558000.0,-72182000.0,116786000.0,-14770000.0,0.0,,,,263481000.0,19121000.0,,6000.0,13576000.0,,,74544000.0,2362000.0,237617000.0,258422000.0,-51377000.0,186240000.0,9711000.0,116434000.0,114000000.0,114000000.0
Apartment Investment and Management Co,AIV,,922864,2010.0,Q3YTD,2010-01-01,2010-09-30,,-0.75,-0.75,0.2,309548000.0,-0.75,,-11394000.0,7471000.0,228424000.0,-55412000.0,-122191000.0,66779000.0,-86935000.0,-5145000.0,-220953000.0,376006000.0,-1136000.0,,,,,802333000.0,52199000.0,,284000.0,36668000.0,,,228424000.0,7471000.0,738037000.0,825405000.0,-133585000.0,604452000.0,24208000.0,116434000.0,114000000.0,114000000.0
Apartment Investment and Management Co,AIV,,922864,2010.0,Q2YTD,2010-01-01,2010-06-30,,-0.5,-0.5,0.1,207844000.0,-0.5,,-7009000.0,5109000.0,153880000.0,-26930000.0,-75199000.0,48269000.0,-58435000.0,8413000.0,-148771000.0,259220000.0,13634000.0,,,,,538852000.0,33078000.0,,278000.0,23092000.0,,,153880000.0,5109000.0,500420000.0,566983000.0,-82208000.0,418212000.0,14497000.0,116323000.0,120000000.0,120000000.0
Apartment Investment and Management Co,AIV,,922864,2010.0,Q2,2010-04-01,2010-06-30,2011-07-29 20:48:56+00:00,-0.15,-0.15,0.1,102809000.0,-0.15,,-3385000.0,1909000.0,76203000.0,-10170000.0,-38266000.0,28096000.0,-17995000.0,-2345000.0,-74294000.0,128421000.0,3041000.0,,,,,266728000.0,15840000.0,,-148000.0,10170000.0,,,76203000.0,1909000.0,246922000.0,279565000.0,-41651000.0,205271000.0,9796000.0,116323000.0,120000000.0,120000000.0
Apartment Investment and Management Co,AIV,,922864,2010.0,Q1,2010-01-01,2010-03-31,2011-04-29 13:54:43+00:00,-0.35,-0.35,0.0,105035000.0,-0.35,,-3624000.0,3200000.0,77677000.0,-16760000.0,-36933000.0,20173000.0,-40440000.0,10758000.0,-74477000.0,130799000.0,10593000.0,,,,,272124000.0,17238000.0,,426000.0,12922000.0,,,77677000.0,3200000.0,253498000.0,287418000.0,-40557000.0,212941000.0,4701000.0,116305000.0,115500000.0,115500000.0
Apartment Investment and Management Co,AIV,,922864,2011.0,Q4,2011-10-01,2011-12-31,,0.48,0.48,-0.72,-214003000.0,0.48,,4387000.0,-6357000.0,-194353000.0,39758000.0,61513000.0,-21755000.0,80179000.0,-5753000.0,187996000.0,-280264000.0,-935000.0,-7747000.0,,-4650000.0,,-622490000.0,-33183000.0,38661000.0,-509000.0,-30018000.0,,,-194353000.0,-6357000.0,-527959000.0,-642308000.0,65900000.0,-454312000.0,-57544000.0,120000000.0,119312000.0,119312000.0
