company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments
Apartment Investment and Management Co,AIV,,922864,2009.0,Q4,2009-10-01,2009-12-31,,,8586000.0,4560000.0,348341000.0,173907000.0,,45586000.0,,156807000.0,,-366641000.0,244426000.0,53764000.0,42677000.0,-366641000.0,244426000.0,96441000.0,-25774000.0,4956000.0,4956000.0,-179271000.0,-61614000.0,-294000.0,,-24478000.0,-85341000.0,,-437356000.0,,,330061000.0
Apartment Investment and Management Co,AIV,,922864,2009.0,FY,2009-01-01,2009-12-31,2012-02-23 12:20:54+00:00,,8586000.0,4560000.0,348341000.0,495568000.0,,-44347000.0,,788170000.0,,-1082482000.0,630254000.0,233812000.0,,-1082482000.0,630254000.0,233812000.0,-218416000.0,-44800000.0,-44800000.0,-181195000.0,-174722000.0,-5680000.0,,-147550000.0,-307186000.0,,-1544180000.0,,-4200000.0,943120000.0
Apartment Investment and Management Co,AIV,,922864,2009.0,Q3,2009-07-01,2009-09-30,,,,,,109055000.0,,19301000.0,,20560000.0,,-319531000.0,236481000.0,109796000.0,-31826000.0,-319531000.0,236481000.0,77970000.0,-5080000.0,-9556000.0,-9556000.0,-9004000.0,58667000.0,1292000.0,,-24615000.0,-74508000.0,,-374143000.0,,,309697000.0
Apartment Investment and Management Co,AIV,,922864,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-10-29 17:59:26+00:00,,,,,321661000.0,,-89933000.0,,631363000.0,,-715841000.0,385828000.0,180048000.0,-42677000.0,-715841000.0,385828000.0,137371000.0,-192642000.0,-49756000.0,-49756000.0,-1924000.0,-113108000.0,-5386000.0,,-123072000.0,-221845000.0,,-1106824000.0,,-4200000.0,613059000.0
Apartment Investment and Management Co,AIV,,922864,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-16 15:04:31+00:00,,,,,212606000.0,,-109234000.0,,610803000.0,,-396310000.0,149347000.0,70252000.0,-10851000.0,-396310000.0,149347000.0,59401000.0,-187562000.0,-40200000.0,-40200000.0,7080000.0,-171775000.0,-6678000.0,,-98457000.0,-147337000.0,,-732681000.0,,-4200000.0,303362000.0
Apartment Investment and Management Co,AIV,,922864,2010.0,Q4,2010-10-01,2010-12-31,,,8398000.0,3798000.0,622864000.0,131767000.0,-13118000.0,-6041000.0,14046000.0,282017000.0,,-145918000.0,44850000.0,67331000.0,,-145918000.0,44850000.0,67331000.0,-33737000.0,-34212000.0,-34212000.0,-32581000.0,-34771000.0,14096000.0,,-26377000.0,-50756000.0,,-279833000.0,,-101000000.0,94628000.0
Apartment Investment and Management Co,AIV,,922864,2010.0,FY,2010-01-01,2010-12-31,2013-02-25 17:12:01+00:00,,8398000.0,3798000.0,622864000.0,436833000.0,,-26447000.0,14046000.0,449384000.0,96110000.0,-313810000.0,86375000.0,257500000.0,,-313810000.0,86375000.0,257500000.0,30065000.0,-89624000.0,-89624000.0,-71660000.0,-82058000.0,13128000.0,,-100164000.0,-188328000.0,,-583128000.0,,-108000000.0,261575000.0
Apartment Investment and Management Co,AIV,,922864,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-10-28 16:47:54+00:00,,,,,305066000.0,13118000.0,-20406000.0,0.0,167367000.0,96110000.0,-167892000.0,41525000.0,190169000.0,,-167892000.0,41525000.0,190169000.0,63802000.0,-55412000.0,-55412000.0,-39079000.0,-47287000.0,-968000.0,,-73787000.0,-137572000.0,,-303295000.0,,-7000000.0,166947000.0
Apartment Investment and Management Co,AIV,,922864,2010.0,Q3TTM,2009-10-01,2010-09-30,,,8586000.0,4560000.0,348341000.0,478973000.0,13118000.0,25180000.0,,324174000.0,96110000.0,-534533000.0,285951000.0,243933000.0,42677000.0,-534533000.0,285951000.0,286610000.0,38028000.0,-50456000.0,-50456000.0,-218350000.0,-108901000.0,-1262000.0,,-98265000.0,-222913000.0,,-740651000.0,,-7000000.0,497008000.0
Apartment Investment and Management Co,AIV,,922864,2010.0,Q3,2010-07-01,2010-09-30,,,,,,98974000.0,13118000.0,8121000.0,,41876000.0,96110000.0,2370000.0,-14832000.0,79206000.0,,2370000.0,-14832000.0,79206000.0,66744000.0,-28482000.0,-28482000.0,593000.0,-28552000.0,-13353000.0,,-24624000.0,-55258000.0,,-82440000.0,,,40661000.0
