company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
W W Grainger Inc,GWW,549300TWZSP6O1IH2V34,277135,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 11:09:46+00:00,5.01,5.01,1.34,4.91,261741000.0,420120000.0,420120000.0,420120000.0,0.0,3814391000.0,6418014000.0,41000.0,1932970000.0,3814391000.0,2603623000.0,2974000.0,14141000.0,1932970000.0,670653000.0,11208000.0,681861000.0,6418014000.0,83900000.0,82403958.0,84173381.0
W W Grainger Inc,GWW,549300TWZSP6O1IH2V34,277135,2008.0,FY,2008-01-01,2008-12-31,2010-02-25 11:09:46+00:00,6.07,6.07,1.55,5.97,297863000.0,475355000.0,475355000.0,475355000.0,0.0,4041810000.0,6850032000.0,2351000.0,2025550000.0,4041810000.0,2808222000.0,14485000.0,2680000.0,2025550000.0,782672000.0,-9454000.0,773218000.0,6850032000.0,78300000.0,76579856.0,77887620.0
W W Grainger Inc,GWW,549300TWZSP6O1IH2V34,277135,2008.0,Q3,2008-07-01,2008-09-30,2009-10-29 14:19:44+00:00,,1.8,0.4,1.77,88667000.0,140023000.0,140023000.0,140023000.0,,1097127000.0,1839475000.0,-731000.0,510891000.0,1097127000.0,742348000.0,4393000.0,2357000.0,510891000.0,231457000.0,-2767000.0,228690000.0,1839475000.0,,75967774.0,77407743.0
W W Grainger Inc,GWW,549300TWZSP6O1IH2V34,277135,2008.0,Q2,2008-04-01,2008-06-30,2009-07-31 11:12:29+00:00,1.44,1.44,0.4,1.42,71201000.0,113179000.0,113179000.0,113179000.0,,1050979000.0,1756856000.0,731000.0,521042000.0,1050979000.0,705877000.0,3765000.0,2579000.0,521042000.0,184835000.0,-455000.0,184380000.0,1756856000.0,78600000.0,76542071.0,78028077.0
W W Grainger Inc,GWW,549300TWZSP6O1IH2V34,277135,2009.0,Q4,2009-10-01,2009-12-31,,4.47,1.29,0.46,1.28,66459000.0,97364000.0,97364000.0,97058000.0,306000.0,949617000.0,1633815000.0,125000.0,518837000.0,949617000.0,684198000.0,2032000.0,369000.0,518837000.0,165361000.0,-1538000.0,163823000.0,1633815000.0,75500000.0,73786346.0,74891852.0
W W Grainger Inc,GWW,549300TWZSP6O1IH2V34,277135,2009.0,FY,2009-01-01,2009-12-31,2012-02-27 17:34:36+00:00,5.7,5.7,1.78,5.62,276565000.0,430772000.0,430772000.0,430466000.0,306000.0,3623465000.0,6221991000.0,681000.0,1933302000.0,3623465000.0,2598526000.0,8766000.0,50198000.0,1933302000.0,665224000.0,42113000.0,707337000.0,6221991000.0,75500000.0,73786346.0,74891852.0
W W Grainger Inc,GWW,549300TWZSP6O1IH2V34,277135,2009.0,Q3,2009-07-01,2009-09-30,2009-10-29 14:19:44+00:00,,1.91,0.46,1.88,88856000.0,144564000.0,144564000.0,144564000.0,,929720000.0,1589665000.0,526000.0,473225000.0,929720000.0,659945000.0,2198000.0,48372000.0,473225000.0,186720000.0,46700000.0,233420000.0,1589665000.0,,74047973.0,75202845.0
W W Grainger Inc,GWW,549300TWZSP6O1IH2V34,277135,2009.0,Q3YTD,2009-01-01,2009-09-30,,1.23,4.41,1.32,4.34,210106000.0,333408000.0,333408000.0,333408000.0,,2673848000.0,4588176000.0,556000.0,1414465000.0,2673848000.0,1914328000.0,6734000.0,49829000.0,1414465000.0,499863000.0,43651000.0,543514000.0,4588176000.0,,74047973.0,75202845.0
W W Grainger Inc,GWW,549300TWZSP6O1IH2V34,277135,2009.0,Q2,2009-04-01,2009-06-30,2009-07-31 11:12:29+00:00,1.23,1.23,0.46,1.21,59160000.0,92466000.0,92466000.0,92466000.0,,908295000.0,1533263000.0,-965000.0,471039000.0,908295000.0,624968000.0,2318000.0,980000.0,471039000.0,153929000.0,-2303000.0,151626000.0,1533263000.0,75200000.0,73443360.0,74558636.0
W W Grainger Inc,GWW,549300TWZSP6O1IH2V34,277135,2009.0,Q2YTD,2009-01-01,2009-06-30,,1.23,2.5,0.86,2.46,121250000.0,188844000.0,188844000.0,188844000.0,,1744128000.0,2998511000.0,30000.0,941240000.0,1744128000.0,1254383000.0,4536000.0,1457000.0,941240000.0,313143000.0,-3049000.0,310094000.0,2998511000.0,75200000.0,73443360.0,74558636.0
