company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
W W Grainger Inc,GWW,549300TWZSP6O1IH2V34,277135,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 11:09:46+00:00,-9480000.0,244541000.0,4409000.0,131999000.0,,6935000.0,-128154000.0,110054000.0,-513887000.0,-196957000.0,468875000.0,-513887000.0,-196957000.0,468875000.0,-235034000.0,420120000.0,420120000.0,44910000.0,144196000.0,,-113093000.0,-2138000.0,-197423000.0,-7751000.0,-647293000.0,,12084000.0
W W Grainger Inc,GWW,549300TWZSP6O1IH2V34,277135,2008.0,FY,2008-01-01,2008-12-31,2011-02-28 16:12:08+00:00,-34290000.0,306960000.0,14508000.0,139570000.0,,-7768000.0,-151684000.0,529959000.0,-36810000.0,-202635000.0,530066000.0,-36810000.0,-202635000.0,530066000.0,282853000.0,475355000.0,475355000.0,66825000.0,60366000.0,,-121504000.0,,-181355000.0,-111384000.0,-394247000.0,13010000.0,
W W Grainger Inc,GWW,549300TWZSP6O1IH2V34,277135,2008.0,Q4,2008-10-01,2008-12-31,,-295000.0,306960000.0,14508000.0,38805000.0,,-6410000.0,23743000.0,10823000.0,-106691000.0,-49775000.0,194749000.0,-106691000.0,-49775000.0,194749000.0,31873000.0,107915000.0,107915000.0,24286000.0,7530000.0,-19211000.0,-31120000.0,6486000.0,-49765000.0,-7229000.0,-86695000.0,13010000.0,
W W Grainger Inc,GWW,549300TWZSP6O1IH2V34,277135,2008.0,Q3,2008-07-01,2008-09-30,,-22961000.0,,,165660000.0,,5692000.0,-169444000.0,11694000.0,-52462000.0,-63642000.0,216595000.0,-52462000.0,-63642000.0,216595000.0,106183000.0,140023000.0,140023000.0,80356000.0,11576000.0,-218000.0,-31033000.0,-6486000.0,-33977000.0,-8097000.0,-36602000.0,,
W W Grainger Inc,GWW,549300TWZSP6O1IH2V34,277135,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-10-29 14:19:44+00:00,-33995000.0,,,100765000.0,,-1358000.0,-175427000.0,519136000.0,69881000.0,-152860000.0,335317000.0,69881000.0,-152860000.0,335317000.0,250980000.0,367440000.0,367440000.0,42539000.0,52836000.0,19211000.0,-90384000.0,-6486000.0,-131590000.0,-104155000.0,-307552000.0,,
W W Grainger Inc,GWW,549300TWZSP6O1IH2V34,277135,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-07-31 11:12:29+00:00,-11034000.0,,,-64895000.0,,-7050000.0,-5983000.0,507442000.0,122343000.0,-89218000.0,118722000.0,122343000.0,-89218000.0,118722000.0,144797000.0,227417000.0,227417000.0,-37817000.0,41260000.0,19429000.0,-59351000.0,,-97613000.0,-96058000.0,-270950000.0,0.0,
W W Grainger Inc,GWW,549300TWZSP6O1IH2V34,277135,2009.0,FY,2009-01-01,2009-12-31,2011-02-28 16:12:08+00:00,-123093000.0,235043000.0,8766000.0,147531000.0,,7278000.0,125704000.0,46125000.0,-413530000.0,-262563000.0,732396000.0,-413530000.0,-262563000.0,732396000.0,63581000.0,430772000.0,430772000.0,28389000.0,110195000.0,-140730000.0,-134684000.0,,,-62439000.0,-372727000.0,1260000.0,
W W Grainger Inc,GWW,549300TWZSP6O1IH2V34,277135,2009.0,Q4,2009-10-01,2009-12-31,,-123093000.0,235043000.0,8766000.0,43438000.0,-11254000.0,2428000.0,51664000.0,7154000.0,-251584000.0,-185665000.0,222657000.0,-251584000.0,-185665000.0,222657000.0,-212164000.0,97364000.0,97364000.0,30191000.0,37667000.0,-140730000.0,-34635000.0,,88152000.0,-16739000.0,-245031000.0,1260000.0,
W W Grainger Inc,GWW,549300TWZSP6O1IH2V34,277135,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-10-28 16:50:51+00:00,,,,104093000.0,11254000.0,4850000.0,74040000.0,38971000.0,-161946000.0,-76898000.0,509739000.0,-161946000.0,-76898000.0,509739000.0,275745000.0,333408000.0,333408000.0,-1802000.0,72528000.0,,-100049000.0,,-88152000.0,-45700000.0,-127696000.0,,
W W Grainger Inc,GWW,549300TWZSP6O1IH2V34,277135,2009.0,Q3TTM,2008-10-01,2009-09-30,,-295000.0,306960000.0,14508000.0,142898000.0,11254000.0,-1560000.0,97783000.0,49794000.0,-268637000.0,-126673000.0,704488000.0,-268637000.0,-126673000.0,704488000.0,307618000.0,441323000.0,441323000.0,22484000.0,80058000.0,-19211000.0,-131169000.0,6486000.0,-137917000.0,-52929000.0,-214391000.0,13010000.0,
W W Grainger Inc,GWW,549300TWZSP6O1IH2V34,277135,2009.0,Q3,2009-07-01,2009-09-30,,5108000.0,,,35588000.0,9909000.0,4046000.0,117408000.0,35975000.0,1856000.0,-27287000.0,277129000.0,1856000.0,-27287000.0,277129000.0,255744000.0,144564000.0,144564000.0,-20431000.0,45640000.0,-948000.0,-34875000.0,,-41356000.0,-44884000.0,,,
W W Grainger Inc,GWW,549300TWZSP6O1IH2V34,277135,2009.0,Q2,2009-04-01,2009-06-30,,-5084000.0,,,34872000.0,1345000.0,2670000.0,57717000.0,1289000.0,-12815000.0,-21180000.0,190094000.0,-12815000.0,-21228000.0,190094000.0,158721000.0,92466000.0,92466000.0,5039000.0,20402000.0,948000.0,-34559000.0,,-18389000.0,53000.0,,,
