company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
Capri Holdings,CPRI,,1530721,2011.0,FY,2010-04-04,2011-04-02,2013-05-29 17:01:08+00:00,-482000.0,3245000.0,27252000.0,1202000.0,25543000.0,,649000.0,3394000.0,,194605000.0,-37726000.0,-57830000.0,110308000.0,-37726000.0,-57830000.0,110308000.0,15401000.0,72506000.0,72506000.0,5620000.0,,,-57348000.0,-232331000.0,,
Capri Holdings,CPRI,,1530721,2012.0,FY,2011-04-03,2012-03-31,2014-05-28 16:40:54+00:00,,4712000.0,84389000.0,1266000.0,37554000.0,,-453000.0,-71184000.0,9550000.0,110764000.0,58639000.0,-88187000.0,115290000.0,58639000.0,-88187000.0,115290000.0,85289000.0,147364000.0,147364000.0,-3156000.0,41953000.0,,-88187000.0,-103628000.0,,
Capri Holdings,CPRI,,1530721,2013.0,Q4,2012-12-30,2013-03-30,,-4927000.0,1308000.0,16442000.0,84000.0,15210000.0,,-1794000.0,5952000.0,,,18773000.0,-57413000.0,114670000.0,18773000.0,-57413000.0,114670000.0,74236000.0,101101000.0,101101000.0,-8901000.0,20421000.0,-6000000.0,-46486000.0,-1648000.0,,
Capri Holdings,CPRI,,1530721,2013.0,FY,2012-04-01,2013-03-30,2015-05-27 16:12:34+00:00,-11778000.0,3948000.0,70500000.0,484000.0,54291000.0,,-1641000.0,28997000.0,,16280000.0,150561000.0,-139099000.0,363837000.0,150561000.0,-139099000.0,363837000.0,373658000.0,397602000.0,397602000.0,-121001000.0,174943000.0,-6000000.0,-121321000.0,-40662000.0,0.0,
Capri Holdings,CPRI,,1530721,2013.0,Q3,2012-09-30,2012-12-29,,-6851000.0,333000.0,3196000.0,,13768000.0,,-146000.0,-6686000.0,,,-2964000.0,-38845000.0,135487000.0,-2964000.0,-38845000.0,135487000.0,93532000.0,130028000.0,130028000.0,-1956000.0,10779000.0,,-31994000.0,-13743000.0,,
Capri Holdings,CPRI,,1530721,2013.0,Q3YTD,2012-04-01,2012-12-29,2014-02-06 17:08:55+00:00,-6851000.0,2640000.0,54058000.0,400000.0,39081000.0,,153000.0,23045000.0,,16280000.0,131788000.0,-81686000.0,249167000.0,131788000.0,-81686000.0,249167000.0,299422000.0,296501000.0,296501000.0,-112100000.0,154522000.0,,-74835000.0,-39014000.0,,
Capri Holdings,CPRI,,1530721,2013.0,Q2,2012-07-01,2012-09-29,,,924000.0,34444000.0,305000.0,12258000.0,,1317000.0,52638000.0,,6477000.0,119225000.0,-25471000.0,55098000.0,119225000.0,-25471000.0,55098000.0,150169000.0,97828000.0,97828000.0,-108550000.0,134756000.0,,-25471000.0,-22008000.0,,
Capri Holdings,CPRI,,1530721,2013.0,Q2YTD,2012-04-01,2012-09-29,2013-11-07 15:34:34+00:00,,2307000.0,50862000.0,400000.0,25313000.0,,299000.0,29731000.0,,16280000.0,134752000.0,-42841000.0,113680000.0,134752000.0,-42841000.0,113680000.0,205890000.0,166473000.0,166473000.0,-110144000.0,143743000.0,,-42841000.0,-25271000.0,,
Capri Holdings,CPRI,,1530721,2013.0,Q1,2012-04-01,2012-06-30,2013-08-08 15:34:46+00:00,,1383000.0,16418000.0,95000.0,13055000.0,,-1018000.0,-22907000.0,,9803000.0,15527000.0,-17370000.0,58582000.0,15527000.0,-17370000.0,58582000.0,55721000.0,68645000.0,68645000.0,-1594000.0,8987000.0,,-17370000.0,-3263000.0,,
Capri Holdings,CPRI,,1530721,2014.0,FY,2013-03-31,2014-03-29,2016-06-01 16:51:35+00:00,-30800000.0,7000000.0,280700000.0,700000.0,79700000.0,,-4700000.0,-96400000.0,,21100000.0,71100000.0,-215500000.0,633000000.0,71100000.0,-215500000.0,633000000.0,483900000.0,661500000.0,661500000.0,-18800000.0,73700000.0,,-184700000.0,-21300000.0,-2400000.0,
