company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,aoci,cashandequivalents,commonequity,currentdeferredrevenue,currentdeferredtaxassets,currentdeferredtaxliabilities,employeebenefitassets,goodwill,grossppe,intangibleassets,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,noncurrentdeferredrevenue,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,noncurrentnotereceivables,notereceivable,othercurrentassets,otherequity,othernoncurrentassets,othernoncurrentliabilities,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
Boeing Co,BA,RVHJWBXLJ1RFUBSY1F30,12927,2008.0,FY,,2008-12-31,2010-02-08 16:28:55+00:00,5871000000.0,5602000000.0,11564000000.0,-13525000000.0,3268000000.0,8517000000.0,12737000000.0,1046000000.0,41000000.0,16000000.0,3647000000.0,,2685000000.0,6952000000.0,1328000000.0,15612000000.0,8762000000.0,152000000.0,1154000000.0,4114000000.0,,15705000000.0,5857000000.0,425000000.0,,-1203000000.0,1406000000.0,337000000.0,22675000000.0,560000000.0,11000000.0,53779000000.0,-1294000000.0,25964000000.0,30773000000.0,-1294000000.0,-1142000000.0,54921000000.0,53779000000.0,19053000000.0,24148000000.0,-17758000000.0
Boeing Co,BA,RVHJWBXLJ1RFUBSY1F30,12927,2009.0,FY,,2009-12-31,2011-02-09 11:31:43+00:00,7096000000.0,5785000000.0,12822000000.0,-11877000000.0,9215000000.0,8785000000.0,12076000000.0,966000000.0,182000000.0,16000000.0,4319000000.0,,2877000000.0,12217000000.0,1030000000.0,16933000000.0,8784000000.0,97000000.0,827000000.0,3062000000.0,,13364000000.0,5466000000.0,368000000.0,,-1615000000.0,1224000000.0,537000000.0,22746000000.0,707000000.0,2008000000.0,62053000000.0,2128000000.0,35275000000.0,32883000000.0,2128000000.0,2225000000.0,59828000000.0,62053000000.0,17994000000.0,26945000000.0,-15911000000.0
Boeing Co,BA,RVHJWBXLJ1RFUBSY1F30,12927,2009.0,Q3,,2009-09-30,2009-10-21 12:41:43+00:00,7053000000.0,6718000000.0,12217000000.0,-12821000000.0,6095000000.0,9017000000.0,11792000000.0,741000000.0,14000000.0,20000000.0,4293000000.0,,2920000000.0,10065000000.0,1120000000.0,15981000000.0,8912000000.0,151000000.0,998000000.0,3835000000.0,,15897000000.0,5923000000.0,341000000.0,,-1595000000.0,1417000000.0,535000000.0,22104000000.0,973000000.0,351000000.0,58667000000.0,-1028000000.0,30227000000.0,32049000000.0,-1028000000.0,-877000000.0,59544000000.0,58667000000.0,19528000000.0,27495000000.0,-17733000000.0
Boeing Co,BA,RVHJWBXLJ1RFUBSY1F30,12927,2009.0,Q2,,2009-06-30,2009-07-22 12:32:52+00:00,6664000000.0,6588000000.0,11821000000.0,-13120000000.0,4599000000.0,8622000000.0,11717000000.0,1099000000.0,654000000.0,21000000.0,3688000000.0,,2727000000.0,8700000000.0,1188000000.0,17200000000.0,8808000000.0,154000000.0,,3858000000.0,1182000000.0,15889000000.0,5969000000.0,463000000.0,,-1249000000.0,1333000000.0,335000000.0,23668000000.0,416000000.0,171000000.0,57712000000.0,180000000.0,30120000000.0,31272000000.0,180000000.0,334000000.0,57378000000.0,57712000000.0,18784000000.0,26106000000.0,-17741000000.0
Boeing Co,BA,RVHJWBXLJ1RFUBSY1F30,12927,2010.0,FY,,2010-12-31,2012-02-09 12:37:00+00:00,7715000000.0,5422000000.0,13802000000.0,-13758000000.0,5359000000.0,8927000000.0,12323000000.0,31000000.0,607000000.0,,4937000000.0,,2979000000.0,11473000000.0,1111000000.0,24317000000.0,8931000000.0,96000000.0,418000000.0,4031000000.0,,17825000000.0,4395000000.0,285000000.0,,,1609000000.0,592000000.0,24784000000.0,948000000.0,5158000000.0,68565000000.0,2766000000.0,40572000000.0,35395000000.0,2766000000.0,2862000000.0,65703000000.0,68565000000.0,19062000000.0,30308000000.0,-17187000000.0
Boeing Co,BA,RVHJWBXLJ1RFUBSY1F30,12927,2010.0,Q3,,2010-09-30,2010-10-20 12:46:10+00:00,7563000000.0,6445000000.0,12760000000.0,-11375000000.0,2864000000.0,8887000000.0,11844000000.0,1066000000.0,1118000000.0,33000000.0,4871000000.0,,3027000000.0,11466000000.0,1035000000.0,21692000000.0,8671000000.0,98000000.0,838000000.0,2223000000.0,,13584000000.0,4688000000.0,285000000.0,,,1220000000.0,544000000.0,24244000000.0,953000000.0,7102000000.0,65222000000.0,4454000000.0,39454000000.0,34238000000.0,4454000000.0,4552000000.0,60670000000.0,65222000000.0,17097000000.0,26432000000.0,-17302000000.0
Boeing Co,BA,RVHJWBXLJ1RFUBSY1F30,12927,2010.0,Q2,,2010-06-30,2010-07-28 13:12:54+00:00,6960000000.0,6565000000.0,12899000000.0,-11744000000.0,4468000000.0,8893000000.0,12009000000.0,1052000000.0,713000000.0,27000000.0,4302000000.0,,2821000000.0,11439000000.0,1008000000.0,20368000000.0,8584000000.0,96000000.0,860000000.0,2379000000.0,,13534000000.0,5084000000.0,316000000.0,,-1899000000.0,1223000000.0,661000000.0,23409000000.0,1507000000.0,5558000000.0,63755000000.0,3077000000.0,38327000000.0,34088000000.0,3077000000.0,3173000000.0,60582000000.0,63755000000.0,16844000000.0,26494000000.0,-15582000000.0
Boeing Co,BA,RVHJWBXLJ1RFUBSY1F30,12927,2010.0,Q1,,2010-03-31,2010-04-21 12:36:16+00:00,7469000000.0,6359000000.0,12267000000.0,-11747000000.0,4517000000.0,9325000000.0,11857000000.0,1030000000.0,412000000.0,21000000.0,4317000000.0,,2878000000.0,11464000000.0,1030000000.0,18773000000.0,8693000000.0,97000000.0,896000000.0,2754000000.0,,13435000000.0,5273000000.0,274000000.0,,-2157000000.0,1206000000.0,652000000.0,23265000000.0,1479000000.0,5845000000.0,62970000000.0,2942000000.0,36798000000.0,33484000000.0,2942000000.0,3039000000.0,59931000000.0,62970000000.0,17479000000.0,26447000000.0,-15744000000.0
Boeing Co,BA,RVHJWBXLJ1RFUBSY1F30,12927,2011.0,FY,,2011-12-31,2013-02-11 12:50:46+00:00,8406000000.0,5793000000.0,12239000000.0,-16500000000.0,10049000000.0,9094000000.0,15496000000.0,29000000.0,2780000000.0,,4945000000.0,,3044000000.0,10018000000.0,1043000000.0,32240000000.0,9313000000.0,93000000.0,122000000.0,5892000000.0,,24057000000.0,4296000000.0,476000000.0,,,1643000000.0,907000000.0,27524000000.0,2353000000.0,1223000000.0,79986000000.0,3515000000.0,49810000000.0,41274000000.0,3515000000.0,3608000000.0,76378000000.0,79986000000.0,20863000000.0,35104000000.0,-16603000000.0
Boeing Co,BA,RVHJWBXLJ1RFUBSY1F30,12927,2011.0,Q3,,2011-09-30,2011-10-26 12:31:11+00:00,8502000000.0,6296000000.0,11213000000.0,-13146000000.0,5954000000.0,9049000000.0,14320000000.0,31000000.0,1955000000.0,6000000.0,4939000000.0,,3095000000.0,10777000000.0,1109000000.0,30493000000.0,9190000000.0,94000000.0,390000000.0,3709000000.0,,18183000000.0,4313000000.0,294000000.0,,,1455000000.0,1159000000.0,26779000000.0,1603000000.0,3279000000.0,74163000000.0,5967000000.0,46347000000.0,37593000000.0,5967000000.0,6061000000.0,68102000000.0,74163000000.0,18626000000.0,30509000000.0,-16715000000.0
