company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,othernetchangesincash,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Teradata Corp,TDC,549300JU9SOUHV4U4R71,816761,2008.0,FY,2008-01-01,2008-12-31,2011-03-01 15:34:09+00:00,-25000000.0,33000000.0,1000000.0,60000000.0,,-5000000.0,107000000.0,8000000.0,-167000000.0,-136000000.0,440000000.0,-167000000.0,-136000000.0,440000000.0,132000000.0,250000000.0,250000000.0,23000000.0,1000000.0,,-90000000.0,-71000000.0,,-176000000.0,50000000.0,
Teradata Corp,TDC,549300JU9SOUHV4U4R71,816761,2009.0,Q4,2009-10-01,2009-12-31,,-9000000.0,44000000.0,,17000000.0,-6000000.0,-3000000.0,-13000000.0,11000000.0,-89000000.0,-42000000.0,91000000.0,-89000000.0,-42000000.0,91000000.0,-43000000.0,84000000.0,84000000.0,3000000.0,3000000.0,,,-27000000.0,,-103000000.0,,
Teradata Corp,TDC,549300JU9SOUHV4U4R71,816761,2009.0,FY,2009-01-01,2009-12-31,2012-02-29 09:07:08+00:00,-9000000.0,44000000.0,0.0,63000000.0,,5000000.0,115000000.0,25000000.0,-144000000.0,-57000000.0,455000000.0,-144000000.0,-57000000.0,455000000.0,259000000.0,254000000.0,254000000.0,23000000.0,5000000.0,,-25000000.0,-88000000.0,0.0,-174000000.0,65000000.0,
Teradata Corp,TDC,549300JU9SOUHV4U4R71,816761,2009.0,Q3,2009-07-01,2009-09-30,,,,,19000000.0,,5000000.0,4000000.0,6000000.0,-14000000.0,-21000000.0,96000000.0,-14000000.0,-21000000.0,96000000.0,66000000.0,63000000.0,63000000.0,10000000.0,1000000.0,,,-21000000.0,,-21000000.0,,
Teradata Corp,TDC,549300JU9SOUHV4U4R71,816761,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-04 16:44:45+00:00,,,,46000000.0,6000000.0,8000000.0,128000000.0,14000000.0,-55000000.0,-15000000.0,364000000.0,-55000000.0,-15000000.0,364000000.0,302000000.0,170000000.0,170000000.0,20000000.0,2000000.0,,-25000000.0,-61000000.0,,-71000000.0,65000000.0,
Teradata Corp,TDC,549300JU9SOUHV4U4R71,816761,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-05 16:47:41+00:00,,,,27000000.0,6000000.0,3000000.0,124000000.0,8000000.0,-41000000.0,6000000.0,268000000.0,-41000000.0,6000000.0,268000000.0,236000000.0,107000000.0,107000000.0,10000000.0,1000000.0,,-25000000.0,-40000000.0,,-50000000.0,65000000.0,
Teradata Corp,TDC,549300JU9SOUHV4U4R71,816761,2010.0,FY,2010-01-01,2010-12-31,2013-02-28 11:20:52+00:00,-62000000.0,89000000.0,0.0,60000000.0,,1000000.0,36000000.0,31000000.0,-47000000.0,-145000000.0,413000000.0,-47000000.0,-145000000.0,413000000.0,222000000.0,301000000.0,301000000.0,16000000.0,10000000.0,,,-83000000.0,0.0,-88000000.0,,
Teradata Corp,TDC,549300JU9SOUHV4U4R71,816761,2010.0,Q4,2010-10-01,2010-12-31,,-1000000.0,89000000.0,,17000000.0,,-1000000.0,45000000.0,10000000.0,17000000.0,-22000000.0,148000000.0,17000000.0,-22000000.0,148000000.0,142000000.0,85000000.0,85000000.0,1000000.0,7000000.0,,,-21000000.0,,,,
Teradata Corp,TDC,549300JU9SOUHV4U4R71,816761,2010.0,Q3TTM,2009-10-01,2010-09-30,,-70000000.0,44000000.0,,60000000.0,-6000000.0,-1000000.0,-22000000.0,32000000.0,-153000000.0,-165000000.0,356000000.0,-153000000.0,-165000000.0,356000000.0,37000000.0,300000000.0,300000000.0,18000000.0,6000000.0,,,-89000000.0,,-191000000.0,,
Teradata Corp,TDC,549300JU9SOUHV4U4R71,816761,2010.0,Q3,2010-07-01,2010-09-30,,-29000000.0,,,15000000.0,,6000000.0,-27000000.0,9000000.0,-7000000.0,-47000000.0,65000000.0,-7000000.0,-47000000.0,65000000.0,17000000.0,75000000.0,75000000.0,2000000.0,1000000.0,,,-18000000.0,,-17000000.0,,
Teradata Corp,TDC,549300JU9SOUHV4U4R71,816761,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-11-04 10:38:51+00:00,-61000000.0,,,43000000.0,,2000000.0,-9000000.0,21000000.0,-64000000.0,-123000000.0,265000000.0,-64000000.0,-123000000.0,265000000.0,80000000.0,216000000.0,216000000.0,15000000.0,3000000.0,,,-62000000.0,0.0,-88000000.0,,
