company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,investmentsecuritiesinterestincome,longtermdebtinterestexpense,netincome,netincomecontinuing,netincometocommon,netinterestincome,netoccupancyequipmentexpense,netrealizedcapitalgains,otheradjustmentstonetincometocommon,otherinterestincome,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,otherspecialcharges,preferreddividends,provisionforcreditlosses,salariesandemployeebenefitsexpense,totalinterestexpense,totalinterestincome,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,trustfeeincome,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Northern Trust Corp,NTRS,549300GLF98S992BC502,73124,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 15:13:15+00:00,3.28,3.28,1.03,3.23,333900000.0,2784200000.0,1938800000.0,726900000.0,726900000.0,726900000.0,845400000.0,375800000.0,357800000.0,,,,631300000.0,160600000.0,150000000.0,,18000000.0,1273100000.0,1938800000.0,2784200000.0,2430200000.0,2663600000.0,1060800000.0,3509000000.0,2145200000.0,221600000.0,219680628.0,223079180.0
Northern Trust Corp,NTRS,549300GLF98S992BC502,73124,2008.0,FY,2008-01-01,2008-12-31,2010-02-26 15:13:15+00:00,3.51,3.51,1.12,3.47,480900000.0,2478500000.0,1399400000.0,794800000.0,794800000.0,782800000.0,1079100000.0,407300000.0,727800000.0,12000000.0,,,1200100000.0,259700000.0,-76100000.0,,115000000.0,1356500000.0,1399400000.0,2478500000.0,2887800000.0,3199400000.0,1275700000.0,4278500000.0,2211900000.0,223000000.0,221446382.0,224053430.0
Northern Trust Corp,NTRS,549300GLF98S992BC502,73124,2008.0,Q3,2008-07-01,2008-09-30,2009-10-30 14:25:10+00:00,-0.66,-0.66,0.28,-0.66,-104500000.0,640900000.0,387500000.0,-148300000.0,-148300000.0,-148300000.0,253400000.0,102500000.0,124900000.0,,,,738800000.0,53800000.0,30000000.0,,25000000.0,282700000.0,387500000.0,640900000.0,1154000000.0,672800000.0,-252800000.0,926200000.0,494100000.0,224700000.0,221899198.0,221899198.0
Northern Trust Corp,NTRS,549300GLF98S992BC502,73124,2008.0,Q2,2008-04-01,2008-06-30,2009-08-03 16:44:49+00:00,0.97,0.97,0.28,0.96,212500000.0,588900000.0,352800000.0,215600000.0,215600000.0,215600000.0,236100000.0,96600000.0,126600000.0,,,,178000000.0,53200000.0,0.0,,10000000.0,368700000.0,352800000.0,588900000.0,643300000.0,845300000.0,428100000.0,1081400000.0,665500000.0,222300000.0,220603902.0,223868529.0
Northern Trust Corp,NTRS,549300GLF98S992BC502,73124,2009.0,Q4,2009-10-01,2009-12-31,,0.84,0.84,-0.84,0.83,78800000.0,324300000.0,90100000.0,200300000.0,200300000.0,200300000.0,234200000.0,115900000.0,85100000.0,,,,180700000.0,56600000.0,,,40000000.0,324700000.0,90100000.0,324300000.0,621300000.0,706200000.0,279100000.0,940400000.0,564500000.0,236800000.0,235511879.0,236416029.0
Northern Trust Corp,NTRS,549300GLF98S992BC502,73124,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 17:06:53+00:00,3.18,3.18,,3.16,391000000.0,1406000000.0,406200000.0,864200000.0,864200000.0,753100000.0,999800000.0,431900000.0,422300000.0,111100000.0,,,560800000.0,218600000.0,-17800000.0,,215000000.0,1341800000.0,406200000.0,1406000000.0,2316700000.0,2787100000.0,1255200000.0,3786900000.0,2146200000.0,236800000.0,235511879.0,236416029.0
Northern Trust Corp,NTRS,549300GLF98S992BC502,73124,2009.0,Q3,2009-07-01,2009-09-30,2009-10-30 14:25:10+00:00,0.77,0.77,0.28,0.77,70600000.0,333200000.0,94900000.0,187900000.0,187900000.0,187900000.0,238300000.0,110900000.0,88900000.0,,,,162900000.0,54500000.0,-17800000.0,,60000000.0,343200000.0,94900000.0,333200000.0,599200000.0,679400000.0,258500000.0,917700000.0,536000000.0,244000000.0,241415698.0,242631248.0
Northern Trust Corp,NTRS,549300GLF98S992BC502,73124,2009.0,Q3YTD,2009-01-01,2009-09-30,,2.34,2.34,0.84,2.33,312200000.0,1081700000.0,316100000.0,663900000.0,663900000.0,552800000.0,765600000.0,316000000.0,337200000.0,111100000.0,,,380100000.0,162000000.0,-17800000.0,,175000000.0,1017100000.0,316100000.0,1081700000.0,1695400000.0,2080900000.0,976100000.0,2846500000.0,1581700000.0,244000000.0,241415698.0,242631248.0
Northern Trust Corp,NTRS,549300GLF98S992BC502,73124,2009.0,Q2,2009-04-01,2009-06-30,2009-08-03 16:44:49+00:00,0.95,0.95,0.28,0.95,158300000.0,354700000.0,104500000.0,314200000.0,314200000.0,226100000.0,250200000.0,101600000.0,116800000.0,88100000.0,,,51300000.0,50000000.0,0.0,,60000000.0,349800000.0,104500000.0,354700000.0,502700000.0,785000000.0,472500000.0,1035200000.0,618200000.0,238000000.0,235455068.0,236346486.0
Northern Trust Corp,NTRS,549300GLF98S992BC502,73124,2009.0,Q2YTD,2009-01-01,2009-06-30,,1.57,1.57,0.56,1.56,241600000.0,748500000.0,221200000.0,476000000.0,476000000.0,364900000.0,527300000.0,205100000.0,248300000.0,111100000.0,,,217200000.0,107500000.0,,,115000000.0,673900000.0,221200000.0,748500000.0,1096200000.0,1401500000.0,717600000.0,1928800000.0,1045700000.0,238000000.0,235455068.0,236346486.0
Northern Trust Corp,NTRS,549300GLF98S992BC502,73124,2009.0,Q1,2009-01-01,2009-03-31,2010-04-30 14:22:02+00:00,0.62,0.62,0.28,0.61,83300000.0,393800000.0,116700000.0,161800000.0,161800000.0,138800000.0,277100000.0,103500000.0,131500000.0,23000000.0,,,165900000.0,57500000.0,,,55000000.0,324100000.0,116700000.0,393800000.0,593500000.0,616500000.0,245100000.0,893600000.0,427500000.0,223900000.0,223357446.0,224401185.0
