Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Tangible Book Value,Net Utility Plant,Source: Bloomberg
03/31/1990,136.100006,136.100006,136.100006,,7.005694,2.035951,1.594599,0.6,0.6,0.6,0.6,0.6,0.6,,0.591264,0.591264,0.281359,14.655525,,44.443687,
06/30/1990,136.100006,136.100006,136.100006,,5.421454,1.381697,0.917788,0.18,0.18,0.18,0.18,0.18,0.18,,1.599846,1.599846,0.932726,14.84371,,44.851975,
09/30/1990,136.100006,136.100006,136.100006,,5.011859,1.683857,1.221462,0.37,0.37,0.37,0.37,0.37,0.37,,0.888905,0.888905,0.235951,15.215033,,45.150013,
12/31/1990,136.100006,136.100006,136.100006,,5.740411,0.937509,0.477575,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,,0.524475,0.524475,0.46709,14.365305,,45.691528,
03/31/1991,136.100006,136.100006,136.100006,,7.292101,2.385525,1.877259,0.73,0.73,0.73,0.73,0.73,0.73,,0.852138,0.852138,0.958104,15.099838,,45.829961,
06/30/1991,136.100006,136.100006,136.100006,,5.92964,1.797046,1.228913,0.35,0.35,0.35,0.35,0.35,0.35,,1.723527,1.723527,0.685555,15.463511,,46.118933,
09/30/1991,136.100006,136.100006,136.100006,,5.39637,1.488729,0.943953,0.23,0.23,0.23,0.23,0.23,0.23,0.16,1.227884,1.227884,0.329243,15.54036,,46.464171,
12/31/1991,136.100006,136.100006,136.100006,,6.23507,1.537178,0.972439,0.18,0.18,0.18,0.18,0.18,0.18,0.16,0.517083,0.517083,0.201161,15.544026,,47.312327,
03/31/1992,136.100006,136.100006,136.100006,,7.596921,2.452344,1.911866,0.68,0.68,0.68,0.68,0.68,0.68,0.16,1.265224,1.265224,0.195253,16.041373,,47.420542,
06/30/1992,136.755997,136.287994,136.287994,,6.467386,1.864676,1.342048,0.46,0.46,0.46,0.46,0.46,0.46,0.2,1.196283,1.196283,1.908903,16.300542,,47.559318,
09/30/1992,137.020004,136.820007,136.820007,,6.011767,1.368389,0.825844,0.23,0.23,0.23,0.23,0.23,0.23,0.2,0.879367,0.879367,0.283294,16.298138,,47.710034,
12/31/1992,137.160004,137.072006,137.072006,,7.030094,1.69756,1.104945,0.24,0.24,0.24,0.24,0.24,0.24,0.2,1.148564,1.148564,0.32002,16.334507,,48.602253,
03/31/1993,137.296005,137.207993,137.207993,,8.279685,2.511413,1.961431,0.86,0.86,0.86,0.86,0.86,0.86,0.2,1.108201,1.108201,0.276942,16.703414,,48.50391,
06/30/1993,141.960007,140.169998,140.169998,,6.629414,1.809139,1.252215,0.41,0.41,0.41,0.41,0.41,0.41,0.25,1.148063,1.148063,0.88732,17.298245,,47.075384,
09/30/1993,142.112,142.011993,142.011993,,6.196322,1.55001,0.987029,0.29,0.29,0.29,0.29,0.29,0.29,0.25,1.292264,1.292264,1.48459,17.313928,,47.362622,
12/31/1993,142.427002,142.278,142.278,,6.945522,1.274378,0.718298,0.16,0.16,0.16,0.16,0.16,0.16,0.25,0.855663,0.855663,0.873086,17.247186,,48.286434,
03/31/1994,142.705994,142.498001,142.498001,,8.670704,2.643258,2.046709,0.92,0.92,0.92,0.92,0.92,0.92,0.25,1.25759,1.25759,1.183531,17.888422,,48.028194,
06/30/1994,143.317001,142.912003,142.912003,,6.855268,1.835486,1.22877,0.42,0.42,0.42,0.42,0.42,0.42,0.28,1.460003,1.460003,0.93102,18.027198,,47.954116,
09/30/1994,143.886002,143.539993,143.539993,,6.401073,1.566323,0.957392,0.27,0.27,0.27,0.27,0.27,0.27,0.28,1.173986,1.173986,1.013955,17.997672,,48.183568,
12/31/1994,144.311005,144.072006,144.072006,,7.066675,0.226574,-0.37811,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,0.28,0.235514,0.235514,0.653658,17.063134,,48.753337,
03/31/1995,144.330002,144.324005,144.324005,,7.793665,2.358069,1.77917,0.75,0.75,0.75,0.75,0.75,0.75,0.28,1.245496,0.752702,0.694145,17.538419,,48.638563,
06/30/1995,144.330002,144.330002,144.330002,,6.504649,1.655505,1.0552,0.31,0.31,0.31,0.31,0.31,0.31,0.28,1.283531,0.718659,0.73546,17.583912,,48.607266,
09/30/1995,144.330002,144.330002,144.330002,,6.147239,1.614328,0.988928,0.26,0.26,0.26,0.26,0.26,0.26,0.28,1.228421,0.681896,0.72089,17.583517,,48.49804,
12/31/1995,144.332001,144.332001,144.332001,,6.696214,1.551278,0.916138,0.13,0.13,0.13,0.13,0.13,0.13,0.28,0.978979,0.249938,1.063347,17.417842,,48.553702,
03/31/1996,144.332993,144.332993,144.332993,,8.058192,2.131273,1.487061,0.6,0.6,0.6,0.6,0.6,0.6,0.0,1.301172,0.92924,1.262206,18.019137,,48.324961,
06/30/1996,144.350006,144.436996,144.436996,,6.651834,1.62727,0.988355,0.3,0.3,0.3,0.3,0.3,0.3,,1.619093,0.783594,2.345119,18.31621,,48.156805,
09/30/1996,144.365005,144.343994,144.343994,,6.205405,0.96004,0.326435,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,,1.066709,0.79675,2.639539,18.159865,,48.16366,
12/31/1996,144.365005,144.365005,144.365005,,6.726741,1.447823,0.816209,-0.24,0.22,0.22,-0.24,0.22,0.22,0.0,0.838707,-0.071264,2.253995,17.909963,,48.194611,
03/31/1997,144.391006,144.389008,144.389008,,8.060392,2.241757,1.606334,0.65,0.65,0.65,0.65,0.65,0.65,0.0,1.59242,1.239741,3.237764,18.539174,,47.923553,
06/30/1997,144.391006,144.391006,144.391006,,6.549563,1.530019,0.905209,0.217,0.217,0.217,0.217,0.217,0.217,0.0,1.356449,0.92156,4.170938,18.769001,,47.710812,
09/30/1997,144.419006,144.417007,144.417007,,6.208202,1.405485,0.762888,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.816905,0.334088,4.200895,18.922904,,47.534145,
12/31/1997,144.419006,145.0,145.0,,6.622786,1.214752,0.593269,-0.01,-0.01,0.84,-0.01,-0.01,0.84,0.0,-0.072986,-0.746138,2.61899,18.031055,,47.556372,
03/31/1998,144.419006,144.419006,144.419006,,8.059168,1.578601,0.911023,0.08,0.08,0.36,0.08,0.08,0.36,,0.88093,-0.035806,3.020766,18.117123,,47.76147,
06/30/1998,187.365005,144.891006,144.890625,,6.51998,1.118264,0.480977,-1.04,-1.04,0.14,-1.04,-1.04,0.14,0.0,-24.95775,-25.577024,1.402135,17.039991,,36.844313,
09/30/1998,187.365005,187.365005,187.365005,,5.229226,1.117429,0.593659,0.05,0.05,0.05,0.05,0.05,0.05,0.0,1.169284,0.806341,1.424738,17.061772,,36.665507,
12/31/1998,187.365005,188.979004,188.979004,,4.783949,0.88449,0.527392,-0.14,-0.14,-0.14,-0.139999,-0.14,-0.14,0.0,0.10136,-0.339953,0.923321,16.919606,,36.708877,
03/31/1999,187.365005,187.365005,187.365005,,5.973015,1.898551,1.344157,0.27,0.27,0.27,0.27,0.27,0.27,0.0,1.532928,1.165522,1.815664,16.533306,,36.528112,
06/30/1999,187.365005,187.365005,187.365005,,4.879892,0.959373,0.433128,-0.19,-0.13,-0.13,-0.19,-0.13,-0.13,0.0,1.05905,0.709081,3.078985,16.991652,,34.568221,
09/30/1999,187.365005,187.365005,187.365005,,5.519852,0.990292,0.524756,-0.17,-0.1,-0.1,-0.17,-0.1,-0.1,0.0,0.686916,0.338532,0.778742,16.825623,,32.994951,
12/31/1999,177.364868,184.684006,184.684006,,5.504018,0.968622,0.513472,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0.0,1.085259,0.552484,0.654944,16.779472,16.503561,33.19847,
03/31/2000,176.630859,177.352005,177.352005,,6.735672,1.529659,1.051051,0.08,0.08,0.08,0.08,0.08,0.08,0.0,1.417086,1.100884,1.665745,16.877226,16.60549,33.193526,
06/30/2000,164.399551,171.087997,171.087997,,6.110855,0.937015,0.438318,-0.12,-0.11,-0.11,-0.12,-0.11,-0.11,0.0,0.955339,0.656908,1.1401,16.904949,16.61872,35.195444,
09/30/2000,160.239822,161.001007,161.001007,,6.829796,1.28157,0.752256,0.02,0.02,0.02,0.02,0.02,0.02,0.0,1.073155,0.74684,0.70943,16.982557,16.695213,35.90162,
12/31/2000,160.239822,160.240005,160.240005,,7.518116,0.927871,0.389347,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,0.0,1.690296,0.977889,0.67613,16.694439,16.413085,36.085536,
03/31/2001,160.240005,160.240005,160.240005,,8.532308,1.49097,0.959954,0.26,0.18,0.11,0.26,0.18,0.11,0.0,0.809873,0.467642,1.130673,16.943491,16.668129,35.676553,
06/30/2001,160.240005,160.240005,160.240005,,6.801029,0.942399,0.414098,-0.5,-0.5,-0.23,-0.5,-0.5,-0.23,0.0,1.876597,1.483718,1.055735,16.368016,16.098645,35.549613,
09/30/2001,160.239822,160.240005,160.240005,,7.079599,1.389603,0.848278,0.03,0.03,0.53,0.03,0.03,0.53,0.0,1.110609,0.697685,2.937703,16.327395,,28.627802,
