Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
11/30/2000,2831.0,,,-1418.0,,,1413.0,,-544.0,,,,,869.0,194.0,,4.0,-22.549,0.0,-175.451,1063.0,-53.0,1010.0,-188.0,,,1198.0,0.0,1198.0,0.0,0.0,1198.0,1198.0,,,,,,,,,,
02/28/2001,2881.697998,,,-1559.484009,,,1322.213989,,-640.02002,,,,,682.19397,-179.657005,,5.68,-19.846001,0.0,193.823006,502.536965,-82.998001,419.539001,0.0,,,419.538964,0.0,419.539001,0.0,0.0,419.539001,419.539001,,,,,,,,,,
05/31/2001,2953.289062,,,-1566.286987,,,1387.002075,,-1271.430054,,,,,115.571999,-21.43,,15.305,-17.218,0.0,23.343,94.141998,-284.937012,-190.794998,0.0,,,-190.795013,0.0,-190.794998,0.0,0.0,-190.794998,-190.794998,,,,,,,,,,
08/31/2001,2777.719971,,,-1637.213013,,,1140.506958,,-1263.135986,,,,,-122.628998,-742.514023,,17.278,-20.165001,0.0,745.401024,-865.143021,-81.615997,-946.758972,0.026,,,-946.785018,577.187988,-369.596985,0.0,0.0,-369.596985,-369.596985,,,,,,,,,,
11/30/2001,3341.322021,,,-2158.873047,,,1182.448974,,-768.192017,,,,,414.256989,-91.453998,,9.77,-14.785,0.0,96.468998,322.802991,-122.665001,200.138,0.0,,,200.13799,-118.461998,81.676003,0.0,0.0,81.676003,81.676003,,410.489014,0.2,0.2,0.26,1014.489014,0.2,0.2,0.25,
02/28/2002,3328.437012,,,-2123.256104,,,1205.180908,,-816.901978,,,,,388.278992,-218.445005,,13.774,-9.255,0.0,213.926005,169.833987,-145.057007,24.777,0.0,,,24.77698,-14.166,10.611,0.0,0.0,10.611,10.611,,409.576996,0.03,0.03,0.24,1035.795044,0.02,0.02,0.23,
05/31/2002,3350.659912,,,-2122.904053,,,1227.755859,,-792.77002,,,,,434.985992,6.625,,12.712,-9.51,0.0,-9.827,441.610992,-167.813004,273.798004,0.0,,,273.797988,-159.337006,114.460999,0.0,0.0,114.460999,114.460999,,414.463013,0.28,0.28,0.28,1027.990967,0.27,0.27,0.27,
08/31/2002,3084.60498,,,-2022.697021,,,1061.907959,,-803.455017,,,,,258.453003,-125.143004,,12.608,-12.635,0.0,125.170004,133.309999,-55.535999,77.774002,0.0,,,77.774,-39.626999,38.146999,0.0,0.0,38.146999,38.146999,,468.82901,0.08,0.08,0.17,1006.393982,0.08,0.08,0.16,
11/30/2002,3327.447021,,,-2171.686035,,,1155.760986,,-726.564026,,,,,429.196991,4.057,,6.536,-9.093,0.0,-1.5,433.253991,-164.636993,268.617004,0.0,,,268.616998,-141.746002,126.871002,0.0,0.0,126.871002,126.871002,,468.118988,0.27,0.27,0.27,1000.572021,0.27,0.27,0.27,
02/28/2003,3189.022949,,,-2179.532959,,,1009.48999,,-641.669006,,,,,367.821014,35.164001,,4.501,-10.824,0.0,-28.841001,402.985015,-153.134003,249.850998,0.0,,,249.851012,-131.130005,118.721001,0.0,0.0,118.721001,118.721001,,467.076996,0.25,0.25,0.21,997.771973,0.25,0.25,0.233,
