Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1995,163.998001,30.181,30.181,0.0,37.883999,,,2.482,,,,,4.947,,,,,,,75.494003,25.504999,45.425999,-19.921,0.0,,62.999001,,,,,62.999001,88.504,,7.901,7.901,,,,0.57,,,,,,12.331999,,,12.331999,20.802999,55.324001,,,,,1.724,,,,,,1.724,57.048001,77.851,0.0,123.732002,,,0.0,,-40.928001,82.804001,3.343,86.147001,163.998001,
03/31/1996,228.167007,10.555,10.555,0.0,69.304001,,,,,,,,9.054,,,,,,,88.913002,39.651001,,,0.0,,99.602997,,,,,99.602997,139.253998,,,,,,,,,,,,,27.809,,,27.809,27.809,107.806,,,,,1.226,,,,,,1.226,109.032,136.841,0.0,123.697998,,,0.0,,-36.647999,87.049999,4.276,91.325999,228.166999,
06/30/1996,291.04599,39.969002,39.969002,0.0,82.375,,,,,,,,9.075,,,,,,,131.419006,44.456001,,,0.0,,115.170998,,,,,115.170998,159.626999,,,,,,,0.0,,,,,,23.365999,,,23.365999,23.365999,59.101002,,,,,0.523,,,,,,0.523,59.624002,82.990001,0.0,234.395004,,,0.0,,-30.879999,203.515005,4.541,208.056005,291.046006,
09/30/1996,320.42099,5.44,5.44,0.0,95.314003,,,0.0,,,,,15.177,,,,,,,115.931,49.443001,,,0.0,,155.046997,,,,,155.046997,204.489998,,,,,,,,,,,,,30.677,,,30.677,30.677,79.007004,,,,,1.052,,,,,,1.052,80.059004,110.736004,0.0,236.459,,,0.0,,-32.099998,204.359001,5.326,209.685001,320.421005,
12/31/1996,374.079987,19.881001,19.881001,0.0,91.009003,,,6.045,,,,,14.351,,,,,,,131.285995,58.265999,84.625999,-26.360001,0.0,,184.528,,,,,184.528,242.793999,,9.818,9.818,,,,2.064,,,,,,20.105,,,20.105,31.987,102.552002,,,,,3.861,,,,,,3.861,106.413002,138.400002,0.0,255.923004,,,0.0,,-24.957001,230.966003,4.714,235.680003,374.080005,
03/31/1997,385.532013,7.133,7.133,0.0,102.667,,,0.0,,,,,22.855,,,,,,,132.654999,63.479,,,0.0,,189.397995,,,,,189.397995,252.876995,,,,,,,0.0,,,,,,33.042999,,,33.042999,33.042999,102.459,,,,,3.45,,,,,,3.45,105.909,138.951999,0.0,257.921997,,,0.0,,-17.190001,240.731996,5.848,246.579996,385.531995,
06/30/1997,486.196014,6.039,6.039,0.0,122.362999,,,0.0,,,,,23.827,,,,,,,152.229004,78.850998,,,0.0,,255.115997,,,,,255.115997,333.966995,,,,,,,,,,,,,33.278,,,33.278,33.278,192.078995,,,,,3.205,,,,,,3.205,195.283995,228.561995,0.0,258.670013,,,0.0,,-8.365,250.305014,7.329,257.634014,486.196008,
09/30/1997,554.817017,15.455,15.455,0.0,131.455994,,,0.0,,,,,25.066,,,,,,,171.977005,84.846001,84.846001,0.0,0.0,,297.993988,,,,,297.993988,382.839989,,,,,,,0.0,,,,,,28.784,,,28.784,28.784,253.880005,,,,,2.856,,,,,,2.856,256.736005,285.520005,0.0,260.200989,,,0.0,,1.456,261.656989,7.64,269.296989,554.816994,
12/31/1997,695.340027,5.4,5.4,0.0,152.481003,,,8.743,,,,,19.426001,,,,,,,186.050003,100.060997,138.979996,-38.918999,0.0,,409.229004,,,,,409.229004,509.290001,,14.547,14.547,,,,2.021,,,,,,23.208001,,,23.208001,39.776001,356.562988,,,,,6.25,,,,,,6.25,362.812988,402.588989,0.0,261.855011,,,0.0,,11.817,273.672011,19.079,292.751011,695.34,
03/31/1998,1471.900024,65.508003,65.508003,0.0,298.264008,,,0.0,0.0,0.0,0.0,,77.806999,,,,,,,441.57901,182.050995,,,0.0,,848.27002,,,,,848.27002,1030.321014,,0.0,0.0,,,,6.157,,,,,,102.944997,,,102.944997,109.101997,931.570007,,,,,5.02,,,,,,5.02,936.590007,1045.692005,0.0,395.709015,,,0.0,,10.457,406.166015,20.042,426.208014,1471.900019,
