Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,1221.760986,,,-864.971008,,356.789978,,-217.285995,,,,,,139.503998,9.326,,20.855,,,,-30.181,148.829998,-20.275999,,,,128.554001,0.0,,,128.553999,0.0,128.554001,0.0,,128.554001,128.554001,,950.883972,0.135,0.135,,950.883972,0.135,0.135,0.135,
06/30/1990,1292.064941,,,-904.067017,,387.997925,,-219.001999,,,,,,168.996002,16.617001,,20.582001,,,,-37.199001,185.613003,-40.856998,,,,144.755997,0.0,,,144.756004,0.0,144.755997,0.0,,144.755997,144.755997,,951.096008,0.1525,0.1525,,951.096008,0.1525,0.1525,0.1525,
09/30/1990,1323.755249,,,-921.215027,,402.540222,,-222.690002,,,,,,179.850296,7.624001,,21.372,,,,-28.996,187.474297,-40.055,,,,147.419296,0.0,,,147.419296,0.0,147.419296,0.0,,147.419296,147.419296,,953.952026,0.155,0.155,,953.952026,0.155,0.155,0.155,
12/31/1990,1468.635742,,,-1041.20105,,427.434692,,-258.131989,,,,,,169.302704,7.177,,23.877001,,19.0,,-50.054001,176.479704,-26.927999,,,,149.551697,0.0,,,149.551705,0.0,149.551697,0.0,,149.551697,149.551697,,953.033996,0.1575,0.1575,0.1575,953.033996,0.1575,0.1575,0.1575,
03/31/1991,1510.977051,,,-1100.875,,410.102051,,-248.244995,,,,,,161.856995,5.054001,,27.063999,,,,-32.118,166.910995,-34.091999,,,,132.819,0.0,,,132.818996,0.0,132.819,0.0,,132.819,132.819,,952.768005,0.14,0.14,,952.768005,0.14,0.14,0.14,
06/30/1991,1552.734009,,,-1096.053955,,456.680054,,-244.679001,,,,,,212.001007,3.472,,26.483,,,,-29.955,215.473007,-34.625,,,,180.848007,0.0,,,180.848007,0.0,180.848007,0.0,,180.848007,180.848007,,953.995972,0.19,0.19,,953.995972,0.19,0.19,0.19,
09/30/1991,1470.081055,,,-1060.435059,,409.645996,,-239.373993,,,,,,170.272003,64.238001,,25.552,,,,-89.790001,234.510004,-38.243999,,,,196.266006,0.0,,,196.266005,0.0,196.266006,0.0,,196.266006,196.266006,,957.971985,0.205,0.205,,957.971985,0.205,0.205,0.205,
12/31/1991,1611.379028,,,-1167.469971,,443.909057,,-257.083008,,,,,,186.826004,177.933998,,23.167,,2.0,,-203.100998,364.760002,-59.041,,,,305.718994,0.0,,,305.719002,0.0,305.718994,0.0,,305.718994,305.718994,,959.616028,0.32,0.32,0.32,959.616028,0.32,0.32,0.32,
03/31/1992,1552.11499,,,-1127.543945,,424.571045,,-260.945007,,,,,,163.626007,20.596998,,19.448,,,,-40.044998,184.223005,-27.92,,,,156.302994,0.0,,,156.303005,0.0,156.302994,0.0,,156.302994,156.302994,,960.072021,0.1625,0.1625,,960.072021,0.1625,0.1625,0.1625,
06/30/1992,1553.249023,,,-1106.237061,,447.011963,,-253.593994,,,,,,193.417999,6.686001,,19.816,,,,-26.502001,200.104,-21.611,,,,178.492996,0.0,,,178.493,0.0,178.492996,0.0,,178.492996,178.492996,,961.495972,0.185,0.185,,961.495972,0.185,0.185,0.185,
09/30/1992,1594.232056,,,-1142.906982,,451.325073,,-262.963013,,,,,,188.362,4.755999,,18.860001,,,,-23.615999,193.117998,-20.4,,,,172.718002,0.0,,,172.717999,0.0,172.718002,0.0,,172.718002,172.718002,,965.632019,0.18,0.18,,965.632019,0.18,0.18,0.18,
12/31/1992,1631.912964,,,-1202.713989,,429.198975,,-272.729004,,,,,,156.470001,14.056,,19.27,,22.0,,-55.326,170.526001,-16.437,,,,154.089005,0.0,,,154.089001,0.0,154.089005,0.0,,154.089005,154.089005,,967.21002,0.16,0.16,0.16,967.21002,0.16,0.16,0.16,
03/31/1993,1597.557007,,,-1186.874023,,410.682983,,-256.669006,,,,,,154.014008,6.908001,,19.049999,,,,-25.958,160.922009,-27.735001,,,,133.186996,248.0,,,-114.812992,0.0,-114.813004,0.0,,-114.813004,-114.813004,,967.460022,-0.12,0.1375,,967.460022,-0.12,0.1375,0.1375,
06/30/1993,1719.296021,,,-1271.982056,,447.313965,,-268.096985,,,,,,179.216995,8.087002,,17.966999,,,,-26.054001,187.303997,-24.344999,,,,162.959,0.0,,,162.958998,0.0,162.959,0.0,,162.959,162.959,,968.539978,0.1675,0.1675,,968.539978,0.1675,0.1675,0.1675,
09/30/1993,1642.437988,,,-1213.604004,,428.833984,,-254.511002,,,,,,174.322998,6.588001,,16.153999,,,,-22.742001,180.910999,-18.254999,,,,162.656006,0.0,,,162.656,0.0,162.656006,0.0,,162.656006,162.656006,,936.835999,0.1675,0.1675,,936.835999,0.1675,0.1675,0.1675,
12/31/1993,1746.175049,,,-1352.135986,,394.039063,,-267.623993,,,,,,126.415001,8.330001,,15.717,,,,-24.047001,134.745002,-10.784,,,,123.960999,0.0,,,123.961002,0.0,123.960999,0.0,,123.960999,123.960999,,973.895996,0.1275,0.1275,0.1275,973.895996,0.1275,0.1275,0.1275,
03/31/1994,1640.302979,,,-1264.26001,,376.042969,,-243.817001,,,,,,132.225998,7.959,,14.843,,,,-22.802,140.184998,-18.709999,,,,121.474998,0.0,,,121.474998,0.0,121.474998,0.0,,121.474998,121.474998,,974.495972,0.125,0.125,,974.495972,0.125,0.125,0.125,
06/30/1994,1639.05896,,,-1256.444946,,382.614014,,-247.016006,,,,,,135.598007,3.932,,15.119,,,,-19.051001,139.530007,-16.139999,,,,123.389999,0.0,,,123.390008,0.0,123.389999,0.0,,123.389999,123.389999,,973.515991,0.1275,0.1275,,973.515991,0.1275,0.1275,0.1275,
09/30/1994,1636.733032,,,-1237.858032,,398.875,,-241.061996,,,,,,157.813004,3.326,,16.427999,,,,-19.754,161.139004,-24.513,,,,136.626007,0.0,,,136.626003,0.0,136.626007,0.0,,136.626007,136.626007,,975.604004,0.14,0.14,,975.604004,0.14,0.14,0.14,
12/31/1994,1780.75,,,-1349.32605,,431.42395,,-260.158997,,,,,,171.264999,5.353,,16.938,,,,-22.291,176.617999,-22.032,,,,154.585999,0.0,,,154.585999,0.0,154.585999,0.0,,154.585999,154.585999,,971.148012,0.16,0.16,0.16,971.148012,0.16,0.16,0.16,
03/31/1995,1762.296997,,,-1336.462036,,425.834961,,-254.809998,,,,,,171.024994,3.352001,,20.525999,,,,-23.878,174.376995,-27.568001,,,,146.809006,0.0,,,146.808994,0.0,146.809006,0.0,,146.809006,146.809006,,968.208008,0.1525,0.1525,,968.208008,0.1525,0.1525,0.1525,
06/30/1995,1877.081055,,,-1417.744995,,459.33606,,-262.862,,,,,,196.473999,0.709,,21.472,,,,-22.181,197.182999,-30.329,,,,166.854004,0.0,,,166.853998,0.0,166.854004,0.0,,166.854004,166.854004,,967.547974,0.1725,0.1725,,967.547974,0.1725,0.1725,0.1725,
09/30/1995,1918.781006,,,-1455.031006,,463.75,,-261.005005,,,,,,202.744995,1.531,,20.764,,,,-22.295,204.275995,-35.478001,,,,168.798004,0.0,,,168.797995,0.0,168.798004,0.0,,168.798004,168.798004,,970.599976,0.175,0.175,,970.599976,0.175,0.175,0.175,
12/31/1995,2063.534912,,,-1594.918945,,468.615967,,-278.402008,,,,,,190.214005,4.323999,,18.858,,,,-23.181999,194.538004,-27.841999,,,,166.695999,0.0,,,166.696005,0.0,166.695999,0.0,,166.695999,166.695999,,971.731996,0.1725,0.1725,0.1725,971.731996,0.1725,0.1725,0.1725,
03/31/1996,2027.828003,,,-1549.603027,,478.224976,,-269.247986,,,,,,208.977005,0.027,,17.343,,,,-17.370001,209.004005,-38.137001,,,,170.867004,0.0,,,170.867004,0.0,170.867004,0.0,,170.867004,170.867004,,973.432007,0.175,0.175,0.175,976.383972,0.175,0.175,0.175,
