Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1997,4540.353,15.724,15.724,0.0,270.285,270.285,,,0.0,,,,,61.862,,,,,,347.871,3161.629,4654.673,-1493.044,527.973,,502.88,,,,502.88,4192.482,,348.608,348.608,,,,8.799,,,,,,0.0,,,0.0,357.407,1756.105,,,,,731.497,,,,,,731.497,2487.602,2845.009,,1477.734,,,0.0,230.143,-12.533,1695.344,0.0,1695.344,4540.353,
06/30/1997,4439.595,17.865,17.865,0.0,240.826,240.826,,,0.0,,,,,53.896,,,,,,312.587,3278.372,4815.702,-1537.33,443.663,,404.973,,,,404.973,4127.008,,336.075,336.075,,,,8.7,,,,,,0.0,,,0.0,344.775,1758.405,,,,,767.806,,,,,,767.806,2526.211,2870.986,,1508.542,,,0.0,65.934,-5.867,1568.609,,1568.609,4439.595,
09/30/1997,4502.169922,26.681999,26.681999,0.0,239.287994,,,,0.0,,,,,68.661003,,,,,,334.631012,3336.766113,4927.37207,-1590.605957,422.631012,,408.141998,0.0,,,408.141998,4167.539123,,,,,,,8.579,,,,,,318.514994,,,318.514994,327.093994,1585.360962,,,,,791.84198,,,,,,791.84198,2377.202942,2704.296936,201.25,1525.218994,,,0.0,,71.403999,1797.872993,0.0,1797.872993,4502.169929,
12/31/1997,4872.852051,35.162998,35.162998,0.0,277.404999,,,,19.885,0.0,0.0,19.885,0.0,44.826,,,,,,377.278992,3667.792969,5297.736816,-1629.94397,398.498993,,429.281006,0.0,,,429.281006,4495.572968,,222.457993,222.457993,,,,6.691,,,,,,188.721002,,,188.721002,417.869995,1706.531982,,,,,831.362976,,,,,,831.362976,2537.894958,2955.764953,201.25,1543.17395,,,0.0,,136.037003,1880.460953,36.625999,1917.086952,4872.851905,
03/31/1998,4939.831,45.383,45.383,0.0,266.082,266.082,,,0.0,,,,,72.261,,,,,,383.726,3675.289,5418.345,-1743.056,454.56,,426.256,,,,426.256,4556.105,,364.732,364.732,,,,6.069,,,,,,0.0,,,0.0,370.801,1990.933,,,,,825.422,,,,,,825.422,2816.355,3187.156,,1567.704,,,0.0,141.091,9.79,1718.585,34.09,1752.675,4939.831,
06/30/1998,4967.067,55.425,55.425,0.0,249.115,,,,0.0,,,,,57.36,,,,,,361.9,3736.533,5530.262,-1793.729,449.009,,419.625,,,,419.625,4605.167,,356.16,356.16,,,,7.704,,,,,,0.0,,,0.0,363.864,1978.168,,,,,835.975,,,,,,835.975,2814.143,3178.007,,1593.628,,,0.0,,163.876,1757.504,31.556,1789.06,4967.067,
09/30/1998,5101.908203,57.699001,57.699001,0.0,298.080994,,,,0.0,,,,,65.681999,,,,,,421.462006,3820.034912,5669.12207,-1849.087036,441.829987,,418.580994,0.0,,,418.580994,4680.445893,,,,,,,22.253,,,,,,374.691,,,374.691,396.944,1856.717041,,,,,846.377014,,,,,,846.377014,2703.094055,3100.038055,,1614.859985,,,0.0,,157.363007,1772.222992,229.647003,2001.869995,5101.90805,
12/31/1998,5292.932,31.922,31.922,0.0,175.074,175.074,,,13.706,0.0,,,,85.86,,,,,,306.562,2705.087,4045.752,-1340.665,464.146,,1817.137,0.0,,,1817.137,4986.37,,175.304,175.304,,,,117.672,,,,,,197.622,,,197.622,490.598,1976.588,,,,,1003.19,,,,,,1003.19,2979.778,3470.376,0.0,1618.975,,,0.0,117.104,56.692,1792.771,29.785,1822.556,5292.932,
03/31/1999,5313.453125,21.65,21.65,0.0,287.88501,,,,0.0,0.0,0.0,0.0,0.0,56.215,,,,,,365.75,4083.345947,6062.068848,-1978.723022,430.354004,,434.002991,0.0,,,434.002991,4947.702942,,,,,,,9.31,,,,,,437.785001,,,437.785001,447.095001,1972.390015,,,,,832.153015,,,,,,832.153015,2804.54303,3251.638031,,1622.150024,,,0.0,,214.302002,1836.452026,225.363007,2061.815033,5313.453064,
06/30/1999,5470.48877,27.596001,27.596001,0.0,294.037994,,,,0.0,0.0,0.0,0.0,0.0,56.648998,,,,,,378.28299,4217.990234,6262.405762,-2044.416016,435.761993,,438.45401,0.0,,,438.45401,5092.206237,,,,,,,23.878,,,,,,430.603995,,,430.603995,454.481995,2106.513916,,,,,837.817993,,,,,,837.817993,2944.331909,3398.813904,,1629.004028,,,0.0,,221.763,1850.767028,220.908005,2071.675033,5470.488937,
09/30/1999,5600.257812,35.869999,35.869999,0.0,223.516998,,,,0.0,0.0,0.0,0.0,0.0,31.202999,,,,,,290.589996,2868.60791,4380.737793,-1512.130005,541.497986,,1899.562012,0.0,,,1899.562012,5309.667908,,449.966003,449.966003,,,,22.333,,,,,,8e-06,,,8e-06,472.299011,2080.050049,,,,,968.598022,,,,,,968.598022,3048.648071,3520.947082,0.0,1629.562988,,,0.0,,233.651001,1863.213989,216.097,2079.310989,5600.258071,
12/31/1999,5771.745117,37.140999,37.140999,0.0,241.518997,,,,12.624,,,12.624,0.0,17.34,,,,,,308.623993,2888.718018,4458.653809,-1569.936035,591.385986,,1983.016968,1656.41394,,,326.603028,5463.120972,,187.983994,187.983994,,,,31.156,,,,,,247.871999,,,247.871999,467.011993,2107.459961,,,,,1064.975952,,,,,,1064.975952,3172.435913,3639.447906,201.25,1643.421997,,,0.0,,276.513,2121.184997,11.112,2132.296997,5771.744903,
