Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/01/1990,750.598999,156.813993,131.496994,25.316999,104.098999,,,114.640999,,,,,17.392,,,,392.946014,334.22699,,,0.0,23.426001,,,,,,23.426001,357.65299,,57.240002,57.240002,,,,60.001999,,,,,53.192997,,,53.192997,170.434998,187.300995,,,,16.476,,,16.476,203.776995,374.211992,0.0,222.891998,,,0.0,,68.802002,291.694,84.693001,376.387001,750.598993,
07/01/1990,784.960999,150.880001,103.151001,47.729,120.574997,,,130.796005,,,,,27.774,,,,430.024994,332.940002,,,0.0,21.996,,,,,,21.996,354.936003,,62.591999,62.591999,,,,71.055,,,,,52.334995,,,52.334995,185.981995,195.735992,,,,15.58,,,15.58,211.315992,397.297987,0.0,223.184998,,,0.0,,78.091003,301.276001,86.387001,387.663002,784.960989,
09/30/1990,850.106018,183.452995,82.353996,101.098999,118.843002,,,131.891006,,,,,34.049,,,,468.235992,356.526001,,,0.0,25.344,,,,,,25.344,381.870001,,60.966999,60.966999,,,,87.942001,,,,,62.145992,,,62.145992,211.054993,199.546997,,,,22.672001,,,22.672001,222.218998,433.273991,0.0,225.789001,,,0.0,,94.302002,320.091003,96.740997,416.832001,850.105991,
12/30/1990,771.682007,158.687004,140.270004,18.417,114.977997,,,124.831001,,,,,25.549,,,,424.045013,328.707001,623.088989,-294.381989,0.0,18.93,,,,,,18.93,347.637001,,79.111,79.111,,,,59.375,,,,,54.310997,,,54.310997,192.796997,189.794998,,,,22.778,,,22.778,212.572998,405.369995,0.0,226.098999,,,0.0,,41.630001,267.729,98.583,366.312,771.681995,
03/31/1991,782.198975,174.461006,128.240005,46.221001,113.461998,,,116.400002,,,,,46.451,,,,450.773987,315.093994,,,0.0,16.330999,,,,,,16.330999,331.424994,,76.769997,76.769997,,,,62.123001,,,,,58.364006,,,58.364006,197.257004,180.270996,,,,25.5,,,25.5,205.770996,403.028,0.0,229.781998,,,0.0,,52.257999,282.039997,97.130997,379.170994,782.198994,
06/30/1991,776.497986,180.963993,143.175995,37.787998,104.445,,,111.897003,,,,,47.018002,,,,444.324005,315.423004,,,0.0,16.750999,,,,,,16.750999,332.174004,,80.305,80.305,,,,54.507,,,,,49.115993,,,49.115993,183.927994,172.850006,,,,30.614,,,30.614,203.464006,387.392,0.0,232.039993,,,0.0,,58.990002,291.029995,98.075996,389.105991,776.497992,
09/29/1991,773.801025,180.672005,110.203003,70.469002,105.970001,,,101.119003,,,,,45.780998,,,,433.541992,324.554993,,,0.0,15.704,,,,,,15.704,340.258993,,81.740997,81.740997,,,,33.791,,,,,64.212997,,,64.212997,179.744995,170.276001,,,,26.934999,,,26.934999,197.211,376.955996,0.0,232.837997,,,0.0,,61.818001,294.655998,102.189003,396.845001,773.800997,
12/29/1991,748.455994,156.888,59.502998,97.385002,101.554001,,,88.397003,,,,,39.403999,,,,386.243011,341.114014,650.932983,-309.819,0.0,21.099001,,,,,,21.099001,362.213015,,79.307999,79.307999,,,,29.037001,,,,,52.705003,,,52.705003,161.050003,166.106995,,,,26.304001,,,26.304001,192.410996,353.460999,0.0,235.682999,,,0.0,,57.391998,293.074997,101.919998,394.994995,748.455994,
03/29/1992,759.416016,170.597,104.977997,65.619003,100.657997,,,80.360001,,,,,36.151001,,,,387.765991,351.214996,,,0.0,20.434999,,,,,,20.434999,371.649996,,81.660004,81.660004,,,,19.469,,,,,58.031,,,58.031,159.160004,188.432999,,,,25.796,,,25.796,214.228998,373.389002,0.0,237.056,,,0.0,,51.458,288.514,97.513,386.027,759.416002,
06/28/1992,745.20697,143.446999,78.528999,64.917999,98.082001,,,75.697998,,,,,38.672001,,,,355.898987,368.609009,,,0.0,20.698999,,,,,,20.698999,389.308008,,64.653999,64.653999,,,,16.677,,,,,54.042994,,,54.042994,135.373993,183.587997,,,,28.695,,,28.695,212.282997,347.65699,0.0,239.634995,,,0.0,,53.719002,293.353996,104.195999,397.549995,745.206985,
