Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
08/31/1989,125.984001,30.072001,27.995001,2.077,31.731001,,,24.000999,,,,,2.456,,,,,88.260002,22.91,28.896999,-5.987,0.0,,14.814,,,,14.814,37.724,,3.83,3.83,,,0.0,,,,,15.312,,,15.312,19.142,0.0,,,,3.125,,,,,,3.125,3.125,22.267,0.0,42.602001,,,0.0,,61.115002,103.717003,0.0,103.717003,125.984003,
11/30/1989,132.522995,33.257,29.513,3.744,34.102001,,,24.889,,,,,2.169,,,,,94.417,23.469999,30.228001,-6.758,0.0,,14.636,,,,14.636,38.105999,,4.494,4.494,,,0.0,,,,,14.173999,,,14.173999,18.667999,0.0,,,,3.132,,,,,,3.132,3.132,21.799999,0.0,43.021,,,0.0,,67.702003,110.723003,0.0,110.723003,132.523003,
02/28/1990,145.425995,35.985,30.875,5.11,39.368,,,26.330999,,,,,4.014,,,,,105.697998,25.181,32.983002,-7.802,0.0,,14.547,,,,14.547,39.728,,7.042,7.042,,,0.0,,,,,15.264999,,,15.264999,22.306999,0.0,,,,3.152,,,,,,3.152,3.152,25.458999,0.0,43.269001,,,0.0,,76.697998,119.966999,0.0,119.966999,145.425998,
05/31/1990,153.548004,42.875,34.695,8.18,38.133999,,,28.122,,,,,4.273,,,,,113.403999,25.761999,34.167,-8.405,0.0,,14.382,,,,14.382,40.143999,,6.148,6.148,,,0.0,,,,,14.682999,,,14.682999,20.830999,0.0,,,,3.343,,,,,,3.343,3.343,24.173999,0.0,44.165001,,,0.0,,85.209,129.374001,0.0,129.374001,153.548,
08/31/1990,168.320999,53.122998,43.537998,9.585,38.264,,,30.200001,,,,,4.457,,,,,126.043999,27.868,37.493,-9.625,0.0,,14.409,,,,14.409,42.277,,6.77,6.77,,,0.0,,,,,17.387,,,17.387,24.157,0.0,,,,3.373,,,,,,3.373,3.373,27.529999,0.0,44.762001,,,0.0,,96.028999,140.791,0.0,140.791,168.321,
11/30/1990,178.709,54.388999,41.980999,12.408,39.849998,,,35.127998,,,,,5.338,,,,,134.705002,29.039,39.894001,-10.855,0.0,,14.965,,,,14.965,44.004,,5.421,5.421,,,0.0,,,,,17.479999,,,17.479999,22.900999,0.0,,,,3.381,,,,,,3.381,3.381,26.281999,0.0,45.652,,,0.0,,106.775002,152.427002,0.0,152.427002,178.709001,
02/28/1991,192.869003,50.242001,37.276001,12.966,48.039001,,,36.709999,,,,,8.212,,,,,143.203003,30.820999,42.813,-11.992,0.0,,18.844999,,,,18.844999,49.665998,,9.219,9.219,,,0.0,,,,,17.782,,,17.782,27.000999,0.0,,,,3.096,,,,,,3.096,3.096,30.096999,0.0,46.25,,,0.0,,116.522003,162.772003,0.0,162.772003,192.869003,
05/31/1991,210.660004,50.678999,33.091999,17.587,54.959999,,,41.171001,,,,,5.272,,,,,152.082001,34.368,46.688,-12.32,0.0,,24.209999,,,,24.209999,58.577999,,13.842,13.842,,,1.993,,,,,17.735,,,17.735,33.57,0.0,,,,4.162,,,,,,4.162,4.162,37.732,0.0,48.493,,,0.0,,124.434998,172.927998,0.0,172.927998,210.659998,
08/31/1991,227.162003,55.347,37.901001,17.445999,56.084,,,45.77,,,,,8.379,,,,,165.580002,35.896999,49.544998,-13.648,0.0,,25.684999,,,,25.684999,61.581999,,12.81,12.81,,,2.349,,,,,22.007,,,22.007,37.166,0.0,,,,4.49,,,,,,4.49,4.49,41.656,0.0,49.351002,,,0.0,,136.154999,185.506001,0.0,185.506001,227.162001,
11/30/1991,242.403,58.749001,41.949001,16.799999,62.188,,,49.124001,,,,,8.495,,,,,178.556,37.979,53.159,-15.18,0.0,,25.868,,,,25.868,63.847,,12.79,12.79,,,2.674,,,,,22.279,,,22.279,37.743,0.0,,,,4.496,,,,,,4.496,4.496,42.239,0.0,50.441002,,,0.0,,149.723007,200.164009,0.0,200.164009,242.403009,
