Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
04/29/1989,1877.0,,-1224.0,,653.0,,-574.0,,,,79.0,-21.0,,21.0,,,0.0,58.0,-22.0,,36.0,0.0,,,36.0,0.0,36.0,0.0,,36.0,36.0,,128.800003,0.28,0.28,,128.800003,0.28,0.28,0.28,
07/29/1989,1983.0,,-1303.0,,680.0,,-576.0,,,,104.0,-27.0,,27.0,,,0.0,77.0,-29.0,,48.0,0.0,,,48.0,0.0,48.0,0.0,,48.0,48.0,,129.0,0.37,0.37,,129.0,0.37,0.37,0.37,
10/28/1989,2165.0,,-1409.0,,756.0,,-613.0,,,,143.0,-29.0,,29.0,,,0.0,114.0,-44.0,,70.0,0.0,,,70.0,0.0,70.0,0.0,,70.0,70.0,,129.399994,0.54,0.54,,129.399994,0.54,0.54,0.54,
01/27/1990,2795.0,,-1823.0,,972.0,,-683.0,,,,289.0,-24.0,,24.0,,,0.0,265.0,-90.0,,175.0,0.0,,,175.0,0.0,175.0,-0.4,,174.6,174.6,,128.955002,1.355,1.355,,128.955002,1.355,1.355,1.355,
04/28/1990,2065.0,,-1347.0,,718.0,,-636.0,,,,82.0,-22.0,,22.0,,,0.0,60.0,-22.0,,38.0,0.0,,,38.0,0.0,38.0,0.0,,38.0,38.0,,129.199997,0.29,0.29,,129.199997,0.29,0.29,0.29,
07/28/1990,2191.0,,-1441.0,,750.0,,-642.0,,,,108.0,-28.0,,28.0,,,0.0,80.0,-30.0,,50.0,0.0,,,50.0,0.0,50.0,0.0,,50.0,50.0,,129.399994,0.39,0.39,,129.399994,0.39,0.39,0.39,
10/26/1990,2469.0,,-1624.0,,845.0,,-691.0,,,,154.0,-26.0,,26.0,,,0.0,128.0,-48.0,,80.0,0.0,,,80.0,0.0,80.0,0.0,,80.0,80.0,,129.5,0.62,0.62,,129.5,0.62,0.62,0.62,
01/26/1991,3064.0,,-2122.0,,942.0,,-698.0,,,,244.0,-19.0,,19.0,,,0.0,225.0,-76.0,,149.0,0.0,,,149.0,0.0,149.0,-0.3,,148.7,148.7,,129.627502,1.15,1.15,1.15,129.627502,1.15,1.15,1.15,
04/27/1991,2127.0,,-1421.0,,706.0,,-667.0,,,,39.0,-18.0,,18.0,,,0.0,21.0,-8.0,,13.0,113.0,,,-100.0,0.0,-100.0,0.0,,-100.0,-100.0,,129.699997,-0.77,0.101241,,129.699997,-0.77,0.101241,0.101241,
07/27/1991,2228.0,,-1509.0,,719.0,,-664.0,,,,55.0,-22.0,,22.0,,,0.0,33.0,-12.0,,21.0,0.0,,,21.0,0.0,21.0,0.0,,21.0,21.0,,130.0,0.16,0.16,,130.0,0.16,0.16,0.16,
