Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/24/1990,640.249023,-221.755005,418.494019,-393.079987,25.414,,0.0,1.004,26.418,-9.917,16.500999,0.0,0.0,16.500999,0.0,16.500999,,16.501,,0.42,0.42,39.16,,,,,
06/16/1990,669.27002,-224.481995,444.788025,-409.140991,35.646999,,0.0,1.403,37.049999,-14.242,22.808001,0.0,0.0,22.808001,0.0,22.808001,,22.808,,0.58,0.58,39.185001,,,,,
09/08/1990,703.521973,-230.966003,472.555969,-418.321991,54.234001,,0.0,1.225,55.459001,-20.931,34.528,0.0,0.0,34.528,0.0,34.528,,34.528001,,0.88,0.88,39.171001,,,,,
12/31/1990,958.19397,-332.651001,625.542969,-552.445007,73.098,,0.0,2.513,75.611,-30.368,45.243,0.0,0.0,45.243,0.0,45.243,,45.243,1.17,1.17,1.17,38.824501,1.17,1.17,1.17,38.824501,
03/24/1991,667.71698,-237.593002,430.123978,-401.790009,28.334,,0.0,2.119,30.453,-11.849,18.604,0.0,0.0,18.604,0.0,18.604,,18.604,,0.48,0.48,38.644001,,,,,
06/15/1991,711.478027,-245.798996,465.679031,-426.179993,39.499001,,0.0,3.303,42.802001,-17.094,25.708,0.0,0.0,25.708,0.0,25.708,,25.708001,,0.66,0.66,38.825001,,,,,
09/07/1991,744.286011,-253.345993,490.940018,-440.973999,49.966,,0.0,2.11,52.075999,-20.547001,31.528999,0.0,0.0,31.528999,0.0,31.528999,,31.528999,,0.81,0.81,38.973999,,,,,
12/31/1991,1053.474976,-352.281006,701.19397,-616.140991,85.053001,,0.0,3.222,88.275001,-36.792999,51.481998,0.0,0.0,51.481998,0.0,51.481998,,51.482002,1.32,1.32,1.32,39.108501,1.32,1.32,1.32,39.108501,
03/28/1992,802.666016,-278.730011,523.936005,-475.028992,48.907001,,0.0,2.61,51.517001,-20.794001,30.723,0.0,0.0,30.723,0.0,30.723,,30.723001,,0.78,0.78,39.263,,,,,
06/20/1992,803.500977,-279.802002,523.698975,-473.216003,50.483002,,0.0,3.885,54.368002,-22.004999,32.362999,0.0,0.0,32.362999,0.0,32.362999,,32.363003,,0.82,0.82,39.396999,,,,,
09/12/1992,836.700989,-295.778015,540.922974,-489.061005,51.862,,0.0,3.401,55.263,-22.427,32.835999,0.0,0.0,32.835999,0.0,32.835999,,32.835999,,0.83,0.83,39.682999,,,,,
01/01/1993,1134.733032,-407.415985,727.317047,-641.765015,85.552002,,0.0,3.766,89.318002,-37.833,51.485001,0.0,0.0,51.485001,0.0,51.485001,,51.485002,1.3,1.3,1.3,39.712002,1.3,1.3,1.3,39.712002,
03/27/1993,856.052002,-315.460999,540.591003,-509.786011,30.805,,0.0,3.763,34.568,-14.307,20.261,-18.130999,0.0,2.13,0.0,2.13,,20.261,,0.51,0.05,39.741001,,,,,
06/19/1993,939.263,-335.325012,603.937988,-562.142029,41.796001,,0.0,4.839,46.635002,-19.312,27.323,0.0,0.0,27.323,0.0,27.323,,27.323001,,0.69,0.69,39.696999,,,,,
09/11/1993,983.872009,-344.19101,639.681,-586.094971,53.585999,,0.0,1.289,54.874999,-25.836,29.039,0.0,0.0,29.039,0.0,29.039,,29.038998,,0.74,0.74,39.321999,,,,,
12/31/1993,1376.753052,-504.484985,872.268067,-795.682983,76.584999,,0.0,1.742,78.326999,-35.615002,42.712002,0.0,0.0,42.712002,0.0,42.712002,,42.711997,1.08,1.08,1.08,39.368999,1.08,1.08,1.08,39.368999,
03/26/1994,1023.73999,-389.574005,634.165985,-604.987,29.179001,,0.0,0.035,29.214001,-13.302,15.912,0.0,0.0,15.912,0.0,15.912,,15.912001,,0.4,0.4,39.372002,,,,,
06/18/1994,930.156982,,,-971.322998,-41.166,,0.0,0.324,-40.842,19.115999,-21.726,0.0,0.0,-21.726,0.0,-21.726,,-21.726001,,-0.55,-0.55,39.395,,,,,
09/10/1994,1091.506958,-428.463989,663.042969,-639.296997,23.746,,0.0,1.422,25.168,-13.519,11.649,0.0,0.0,11.649,0.0,11.649,,11.649,,0.3,0.3,39.402,,,,,
12/31/1994,1526.599976,-1055.071045,471.528931,-432.730011,38.799,,0.0,0.099,38.898,-25.173,13.725,0.0,0.0,13.725,0.0,13.725,,13.725,0.35,0.35,0.35,39.398998,0.35,0.35,0.35,39.398998,
03/25/1995,543.468994,-183.304001,360.164993,-326.692993,33.472,,0.0,1.709,35.181,-13.651,21.530001,-15.679,0.0,5.851,0.0,5.851,,21.53,0.55,0.548,0.15,39.433998,,,,,
06/17/1995,550.778992,-181.619003,369.159988,-337.42099,31.739,,0.0,2.449,34.188,-11.831,22.357,-24.358999,0.0,-2.002,0.0,-2.002,,22.357,0.567,0.567,-0.05,39.466999,,,,,
09/09/1995,552.741028,-186.604996,366.136032,-330.925995,35.209999,,0.0,,35.209999,-12.992,22.218,-19.889999,0.0,2.328,0.0,2.328,,22.217999,0.564,0.564,0.06,39.470001,,,,,
12/31/1995,801.182983,-275.130005,526.052978,-470.746002,55.306999,,0.0,,55.306999,-29.003,26.304001,-59.686001,0.0,-33.382,0.0,-33.382,,26.303999,0.662,0.662,-0.85,39.463001,0.662,0.662,-0.85,39.463001,
03/23/1996,582.073975,-199.837997,382.235977,-364.054993,18.181,,0.0,-1.232,16.949,-7.328,9.621,0.0,0.0,9.621,0.0,9.621,,9.621,0.24,0.24,0.24,39.505001,,,,,
06/15/1996,615.901001,-214.667999,401.233002,-399.819,1.414,,0.0,-1.37,0.044,0.176,0.22,0.0,0.0,0.22,0.0,0.22,,0.22,0.01,0.01,0.01,39.525002,,,,,
09/07/1996,627.226013,-216.968994,410.257019,-410.03299,0.224,-2.965,0.0,0.0,-2.741,0.771,-1.97,0.0,0.0,-1.97,0.0,-1.97,,-1.97,-0.5,-0.05,-0.05,39.505001,,,,,
12/31/1996,892.940979,-309.393005,583.547974,-570.370972,13.177,,0.0,-218.358994,-205.181993,43.613998,-172.994003,0.0,0.0,-172.994003,0.0,-172.994003,,-161.567995,0.05,0.05,0.05,39.421001,,,,,
03/29/1997,641.195984,-586.669983,54.526001,-41.0,13.526,,0.0,-85.125,-71.599,22.375,-49.223999,0.0,0.0,-49.223999,0.0,-49.223999,85.0,-49.224,0.18,-1.25,-1.25,39.247002,,,,,
06/21/1997,574.676025,-528.023987,46.652039,-21.691999,24.959999,,0.0,-2.403,22.556999,-8.972,13.585,0.0,0.0,13.585,0.0,13.585,,13.584999,0.62,0.34,0.34,39.208,,,,,
09/13/1997,592.487976,-514.625977,77.862,-19.440001,58.422001,,0.0,-3.039,55.383001,-22.934,32.449001,0.0,0.0,32.449001,0.0,32.449001,,32.449001,0.9,0.83,0.83,39.207001,,,,,
12/31/1997,794.642029,,,,,,,,,,,,,60.471001,,60.471001,,,1.42,1.42,1.54,39.206001,,,,,
