Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2009,19101,2457,2457,0,738,738,0.0,0,0.0,0.0,0.0,0.0,1662,223.0,,,1237,4857,10077,12027,-1950,0.0,,4167,2564,0.0,2564,77.0,1526,14244,,1656,784,,105.0,767,977,0,159,159,,818,4572,2871,7.0,2724,7205,6971,5736,1235,1235,,7580,,1813,,,696.0,2193,14551,21756,0,2972,2,2970,-28,-5690,91,-2655,0,-2655,19101,
06/30/2009,18806,2566,2566,0,921,921,0.0,228,,,,,1039,311.0,,,626,4754,9943,12039,-2096,0.0,,4109,2507,0.0,2507,79.0,1523,14052,,1612,791,,93.0,728,1011,0,165,165,,846,4477,2905,3.0,2949,7100,6801,5604,1197,1197,,7534,,1819,,,582.0,2225,14335,21435,0,2972,2,2970,-28,-5662,89,-2629,0,-2629,18806,
09/30/2009,18347,2525,2525,0,843,843,0.0,216,,,,,942,285.0,,,565,4526,9732,11974,-2242,0.0,,4089,2472,0.0,2472,90.0,1527,13821,,1658,807,,120.0,731,828,0,177,177,,651,4151,2823,1.0,2647,6637,6979,5767,1212,1212,,7376,,1808,,,576.0,2168,14355,20992,0,3003,2,3001,-28,-5719,99,-2645,0,-2645,18347,
12/31/2009,18684,3042,3042,0,743,743,,0,0.0,0.0,0.0,0.0,1320,,,,1257,5105,9840,12195,-2355,,,3739,2455,0.0,2455,88.0,1196,13579,,1504,803,,,701,971,0,426,426,,545,3998,2720,,2483,6473,7572,6378,1194,1194,,7450,,2021,,,551.0,2158,15022,21495,0,3138,2,3136,-28,-5956,35,-2811,0,-2811,18684,
03/31/2010,19952,3516,3516,0,1640,968,672.0,188,,,,,1176,307.0,,,818,6520,9714,12255,-2541,0.0,,3718,2439,,2439,95.0,1184,13432,,1604,887,,,717,1072,0,493,493,,579,4863,2339,,3027,7539,8232,7153,1079,1079,,7068,,1937,,,539.0,2253,15300,22839,0,3141,2,3139,-30,-6038,40,-2887,0,-2887,19952,
06/30/2010,20134,4906,4906,0,971,971,0.0,280,,,,,826,,,,775,6983,9603,12318,-2715,0.0,,3548,2416,,2416,97.0,1035,13151,,1743,926,,,817,1879,0,464,464,,1415,4951,2356,,3142,8573,7295,6281,1014,1014,,7022,,1940,,,537.0,2189,14317,22890,0,3148,2,3146,-30,-5765,-109,-2756,0,-2756,20134,
09/30/2010,20055,4938,4938,0,1044,1044,0.0,286,,,,,802,,,,728,7070,9490,12364,-2874,0.0,,3495,2400,,2400,101.0,994,12985,,1807,889,,,918,1910,0,461,461,,1449,4539,2358,,2854,8256,6931,6025,906,906,,7074,,1948,,,583.0,2185,14005,22261,0,3154,2,3152,-31,-5377,48,-2206,0,-2206,20055,
12/31/2010,39598,8680,8069,611,1613,1613,0.0,0,0.0,0.0,0.0,0.0,1752,,0.0,,1161,12045,16715,20029,-3314,0.0,,10838,9440,4523.0,4917,,1398,27553,,3275,1805,0.0,0.0,1470,2663,0,252,252,,2411,6707,3491,0.0,4125,12645,12470,11434,1036,1036,,12756,0.0,3817,,,1585.0,3863,25226,37871,0,7074,3,7071,-31,-5703,387,1727,0,1727,39598,
03/31/2011,40552,8887,8165,722,2357,2357,0.0,0,0.0,0.0,0.0,0.0,1904,,,,1350,13148,16563,20156,-3593,0.0,,10841,9389,4523.0,4866,98.0,1354,27404,,3105,1897,,,1208,2467,0,148,148,,2319,8302,3523,,5737,13874,12117,11115,1002,1002,,12649,,3831,,,1549.0,3746,24766,38640,0,7103,3,7100,-31,-5916,756,1912,0,1912,40552,
06/30/2011,39694,8579,7519,1060,1863,1863,0.0,0,0.0,0.0,0.0,0.0,1949,,,,1327,12391,16386,20306,-3920,0.0,,10917,9338,4523.0,4815,101.0,1478,27303,,3228,1999,,,1229,1527,0,138,138,,1389,8007,3355,,5516,12762,12071,11101,970,970,,12919,,3841,,,1618.0,4105,24990,37752,0,7109,3,7106,-31,-5378,242,1942,0,1942,39694,
