Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Tangible Book Value,Net Utility Plant,Source: Bloomberg
03/31/1990,426.79599,429.837006,429.837006,,5.229459,1.289775,1.289775,0.43,0.43,0.43,0.43,0.43,0.43,0.38,2.679904,2.679904,,17.441211,,39.1846,
06/30/1990,421.608002,425.384003,425.384003,,5.107388,1.291553,1.291553,0.33,0.33,0.33,0.33,0.33,0.33,0.38,0.128956,0.128956,,17.213195,,39.677769,
09/30/1990,420.932007,420.869995,420.869995,,6.172096,2.005995,2.005995,0.88,0.88,0.88,0.88,0.88,0.88,0.38,1.999789,1.999789,,17.647384,,40.048323,
12/31/1990,420.218994,418.945007,418.945007,,5.852859,1.46672,1.46672,0.46,0.46,0.46,0.46,0.46,0.46,0.38,0.732807,0.732807,0.240843,17.862619,,40.907916,
03/31/1991,418.868011,419.993988,419.993988,,5.406932,1.154145,1.154145,0.28,0.28,0.28,0.28,0.28,0.28,0.41,2.616499,2.616499,,17.637606,,40.872511,
06/30/1991,417.556,417.942993,417.942993,,5.627291,1.699854,1.699854,0.67,0.67,0.67,0.67,0.67,0.67,0.41,0.63574,0.63574,,17.81982,,41.201177,
09/30/1991,417.209991,416.895996,416.895996,,6.045491,1.822774,1.822774,0.75,0.75,0.75,0.75,0.75,0.75,0.41,2.173022,2.173022,,18.103871,,41.54195,
12/31/1991,417.571991,417.027008,417.027008,,6.318564,1.489318,1.489318,0.54,0.54,0.54,0.54,0.54,0.54,0.41,1.047803,1.047803,0.232966,18.395209,,42.55664,
03/31/1992,419.761993,419.15799,419.15799,,5.773143,2.307789,1.555349,0.61,0.61,0.61,0.61,0.61,0.61,0.44,2.685241,2.685241,,18.610827,,42.399846,
06/30/1992,422.261993,421.593994,421.593994,,5.976553,2.511618,1.782485,0.75,0.75,0.75,0.75,0.75,0.75,0.44,0.612122,0.612122,0.930877,18.985301,,43.311779,
09/30/1992,424.490997,423.881012,423.881012,,6.602709,2.579875,1.823148,0.78,0.78,0.78,0.78,0.78,0.78,0.44,2.027623,2.027623,0.268067,19.299432,,43.892145,
12/31/1992,426.846008,426.222992,426.222992,,6.001054,2.205247,1.323406,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.639904,0.639904,0.228635,19.405446,,44.268462,
03/31/1993,429.044006,428.425995,428.425995,,5.75086,2.220626,1.442819,0.56,0.56,0.56,0.56,0.56,0.56,0.47,2.583391,2.583391,1.694845,19.494739,,45.278873,
06/30/1993,431.235992,430.639008,430.639008,,5.72202,2.121275,1.344964,0.53,0.53,0.53,0.53,0.53,0.53,0.47,0.76752,0.76752,0.258946,19.620074,,45.493643,
09/30/1993,432.73999,432.471985,432.471985,,6.814994,2.867499,2.061558,0.79,0.79,0.79,0.79,0.79,0.79,0.47,2.354268,2.354268,1.16158,19.946763,,45.457932,
12/31/1993,427.218994,430.910004,430.910004,,6.282451,2.589972,1.579919,0.45,0.45,0.45,0.45,0.45,0.45,0.47,0.600364,0.600364,0.142938,19.769807,,46.388401,
03/31/1994,429.078003,428.531006,428.531006,,5.867186,2.40089,1.550375,0.52,0.52,0.52,0.52,0.52,0.52,0.49,2.269465,2.269465,0.424077,19.792641,,45.923509,
06/30/1994,429.562988,429.761993,429.761993,,5.676816,2.255642,1.411451,0.53,0.53,0.53,0.53,0.53,0.53,0.49,0.799373,0.799373,0.229694,19.848248,,45.702593,
09/30/1994,429.915009,430.438995,430.438995,,6.633277,2.896973,2.166702,0.96,0.96,0.96,0.96,0.96,0.96,0.49,2.6171,2.6171,0.329167,20.318944,,45.468607,
12/31/1994,430.243011,430.622009,430.622009,,6.126438,1.764668,0.822935,0.21,0.21,0.21,0.21,0.21,0.21,0.49,1.142896,1.142896,0.318192,20.070111,,45.414183,
03/31/1995,428.549988,430.085999,430.085999,,5.36486,2.594514,1.698184,0.73,0.73,0.73,0.73,0.73,0.73,0.49,3.125908,2.667741,0.916442,20.253738,,45.321229,
06/30/1995,423.820007,426.621002,426.621002,,5.737481,2.911486,1.942284,0.92,0.92,0.92,0.92,0.92,0.92,0.49,1.214371,0.740925,0.982202,20.596619,,45.439032,
09/30/1995,418.385986,421.578003,421.578003,,6.274575,2.744211,1.902822,0.85,0.85,0.85,0.85,0.85,0.85,0.49,2.099075,1.522992,0.809671,20.823692,,45.765875,
