Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
01/31/1994,-3.375,-5.15,,,,,,,,,,,-0.144,,,,-0.144,,,,,,,,,,0.144,,,,,,,,,,,,,,,
04/30/1994,-0.997,-3.85,,,,,,,,,,,-0.163,,,,-0.163,,,,,,,,,,0.163,,,,,,,,,,,,,,,
07/31/1994,1.04,3.054,,,,,,,,,,,-0.144,,,,-0.144,,,,,,,,,,0.144,,,,,,,,,,,,,,,
10/31/1994,1.333,1.16,,,,,,,,,,,-0.487,,,,-0.487,,,,,,,,,,0.487,,,,,,,,,,,,,,,
01/31/1995,-5.008,0.275,,,,,,,,,,,-0.341,,,,-0.341,,,,,,,,,,0.341,,,,,,,,,,,,,,,
04/30/1995,-0.95,0.605,,,,,,,,,,,-0.499,,,,-0.499,,,,,,,,,,0.499,,,,,,,,,,,,,,,
07/31/1995,4.307,2.82,,,,,,,,,,,-0.61,,,,-0.61,,,,,,,,,,0.61,,,,,,,,,,,,,,,
10/31/1995,5.022,-3.585,,,,,,,,,,,-0.735,,,,-0.735,,,,,,,,,,0.735,,,,,,,,,,,,,,,
01/31/1996,-7.834,0.652,,,,,,,,,,,-0.398,,,,-0.398,,,,,,,,,,0.398,,,,,,,,,,,,,,,
04/30/1996,0.476,2.809,,,,,,,,,,,-0.345,,,,-0.345,,,,,,,,,,0.345,,,,,,,,,,,,,,,
07/31/1996,5.264,4.669,,,,,,,,,,,-1.215,,,,-1.215,,,,,,,,,,1.215,,,,,,,,,,,,,,,
10/31/1996,5.551,8.473,,,,,,,,,,,-1.224,,,,-1.224,,,,,,,,,,1.224,,,,,,,,,,,,,,,
01/31/1997,-2.252,3.31,,,,,,,,,,-3.334,-2.234,0.0,,,-2.234,,,0.0,0.0,0.0,,,,,-1.1,1.385,0.0,1.339,,,,0.046,0.046,0.0,0.0,,-4.201,,,
04/30/1997,2.547,5.373,,,,,,,,,,-11.078,-1.869,0.0,,,-1.869,,,0.0,0.0,0.0,,,,,-9.209,7.433,0.0,2.454,,,,0.0,0.0,0.0,4.979,,-1.098,,,
07/31/1997,2.623,7.186,,,,,,,,,,-1.795,-1.704,0.0,,,-1.704,,,0.0,0.0,0.0,,,,,-0.091,40.925,0.0,-4.527,,,,50.452,50.452,0.0,-5.0,,41.752998,,,
10/31/1997,8.813,15.513,,,,,,,,,,-1.246,-1.928,0.0,,,-1.928,,,0.0,0.0,0.0,,,,,0.682,-32.609001,0.0,-32.118001,,,,0.0,0.0,0.0,-0.491,,-25.042,,,
01/31/1998,-7.035,5.993,,,,,,,,,,-25.837999,-2.362,0.0,,,-2.362,,,0.0,0.0,0.0,,,,,-23.475999,23.381,0.0,24.574,,,,0.0,0.0,0.0,-1.193,,-9.492,,,
04/30/1998,3.261,8.483,,,,,,,,,,-16.462999,-6.103,0.0,,,-6.103,,,0.0,0.0,0.0,,,,,-10.359999,5.892,0.0,1.091,,,,0.0,0.0,0.0,4.801,,-7.31,,,
07/31/1998,2.51,10.174,,,,,,,,,,-6.134,-6.134,0.0,,,-6.134,,,0.0,0.0,0.0,,,,,0.0,8.462,0.0,11.871,,,,0.0,0.0,0.0,-3.409,,4.838,0.0,0.0,
10/31/1998,8.858,15.196,,,,,,,,,,-10.855,-4.974,0.0,,,-4.974,,,0.0,0.0,0.0,,,,,-5.881,-0.729,0.0,7.354,,,,-7.993,0.0,-7.993,-0.09,,-2.726,,,
01/31/1999,-3.43,3.899,,,,,,,,,,4.867,-2.186,0.0,,,-2.186,,,0.0,0.0,0.0,,,,,7.053,-2.996,0.0,-4.441,,,,0.0,0.0,0.0,1.445,,-1.559,,,
04/30/1999,9.223,7.135,,,,,,,,,,21.507999,-3.247,0.0,,,-3.247,,,0.0,0.0,0.0,,,,,24.754999,-31.063999,0.0,-20.381999,,,,-7.345,0.0,-7.345,-3.337,,-0.333,,,
07/31/1999,9.496,6.546,,,,,,,,,,-3.493,-2.114,0.0,,,-2.114,,,0.0,0.0,0.0,,,,,-1.379,0.282,-0.28,-2.776,,,,0.948,0.948,0.0,2.39,,6.285,0.0,0.0,
10/31/1999,12.409,7.52,,,,,,,,,,-2.725999,-2.574,0.0,,,-2.574,,,0.0,0.0,0.0,,,,,-0.151999,-0.487002,-0.281,-0.523001,,,,0.0,0.0,0.0,0.317,,9.196,,7.248,
01/31/2000,5.309,4.395,2.011,1.431,,,1.431,-2.528,,-2.528,,-25.016001,-3.29,0.0,,,-3.29,,,0.0,0.0,0.0,,,,,-21.726001,1.467001,-0.281,1.259001,,,,0.0,0.0,0.0,0.489,,-18.24,,,
04/30/2000,10.606,6.763,2.189,-1.153,,,-1.153,2.807,,2.807,,-4.724,-2.904,0.0,,,-2.904,,,0.0,0.0,0.0,,,,,-1.82,-3.817,-0.283,-4.089,,,,0.0,0.0,0.0,0.555,,2.065,,,
07/31/2000,12.492,8.661,,,,,,,,,,-7.32,-4.988,0.0,,,-4.988,,,0.0,0.0,0.0,,,,,-2.332,-0.491,-0.284,-2.48,,,,3.02,3.02,0.0,-0.747,,4.681,,,
10/31/2000,12.621,9.149,,,,,,,,,,-3.504,-3.483,0.0,,,-3.483,,,0.0,0.0,0.0,,,,,-0.021,-3.937,-0.286,-3.847,,,,0.058,0.058,0.0,0.138,,5.18,,4.13,
01/31/2001,2.45,6.309,2.536,3.276,,,3.276,-9.671,,-9.671,,-6.689,-3.269,0.0,,,-3.269,,,0.0,0.0,0.0,,,,,-3.42,1.611,-0.289,0.058,,,,1.727,1.727,0.0,0.115,,-2.628,,,
04/30/2001,7.646,8.71,2.532,-1.405,,,-1.405,-2.191,,-2.191,,-20.344,-3.91,0.0,,,-3.91,,,0.0,0.0,0.0,,,,,-16.434,12.615,0.0,3.477,,,,9.112,9.112,0.0,0.026,,-0.083,,,
07/31/2001,9.843,10.361,2.838,0.045,,,0.045,-3.401,,-3.401,,-20.891001,-4.612,0.0,,,-4.612,,,0.0,0.0,0.0,,,,,-16.279001,10.419,-0.749,3.432,,,,7.606,7.606,0.0,0.13,,-0.629,,,
10/31/2001,5.679999,11.756001,3.082,6.009,,,6.009,-15.167001,,-15.167001,,-17.284,-4.966,0.0,,,-4.966,,,0.0,0.0,0.0,,,,,-12.318001,13.263998,0.0,13.144998,,,,0.467,0.467,0.0,-0.348,,1.66,,3.179,
01/31/2002,4.168,9.405,2.093,-2.969,,,-2.969,-4.361,,-4.361,,-8.066,-6.273,0.0,,,-6.273,,,0.0,0.0,0.0,,,,,-1.793,-4.163,-0.761,-3.711,,,,0.33,0.33,0.0,-0.021,,-8.061,,,
04/30/2002,20.514,13.361,3.052,-0.558,,,-0.558,4.659,,4.659,,-45.278999,-5.719,0.0,,,-5.719,,,0.0,0.0,0.0,,,,,-39.559999,36.931001,0.0,35.508001,,,,1.646,1.646,0.0,-0.223,,12.166,,,
07/31/2002,15.252,13.361,3.344,-3.418,,,-3.418,1.965,,1.965,,-89.644997,-4.97,0.0,,,-4.97,,,0.0,0.0,0.0,,,,,-84.674997,66.150004,-0.766,65.638004,,,,1.214,1.214,0.0,0.064,,-8.243,,,
10/31/2002,16.013,16.191,2.88,2.054,,,2.054,-5.112,,-5.112,,-12.103,-6.472,0.0,,,-6.472,,,0.0,0.0,0.0,,,,,-5.631,-2.444999,0.0,-5.707999,,,,2.935,2.935,0.0,0.328,,1.465,,8.787,
01/31/2003,3.112,13.855,2.971,4.941,,,4.941,-18.655001,,-18.655001,,-38.169998,-5.898,0.0,,,-5.898,,,0.0,0.0,0.0,,,,,-32.271998,33.857002,-0.927,33.939002,,,,0.657,0.741,-0.084,0.188,,-1.201,,,
04/30/2003,27.031,15.211,2.977,-0.743,,,-0.743,9.586,,9.586,,-13.781,-7.508,0.0,,,-7.508,,,0.0,0.0,0.0,,,,,-6.273,-10.409,0.0,-13.345,,,,2.598,2.599,-0.001,0.338,,2.841,,,
07/31/2003,18.004,18.663,3.144,-3.794,,,-3.794,-0.009,,-0.009,,-34.532001,-9.348,0.0,,,-9.348,,,0.0,0.0,0.0,,,,,-25.184002,35.430992,-1.025,29.215992,,,,7.169,7.169,,0.071,,18.903,,,
