Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
11/30/1993,2.977,0.86,2.025,0.544,,,0.544,-0.452,,,,-0.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/1994,-10.986,1.918,2.051,-1.982,,,-1.982,-12.973,,,,-12.973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/31/1994,0.17,0.429,2.192,0.656,,,0.656,-3.107,,,,-3.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/31/1994,-6.568,-0.639,3.192,-0.598,,,-0.598,-8.523,,,,-8.523,,,,,,,,,,,,,,,,,,,,,,,,,,-6.568,,,
11/30/1994,12.618,1.826,2.608,-0.291,,,-0.291,8.475,,,,8.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/1995,-9.521,-0.767,2.774,-0.735,,,-0.735,-10.793,,,,-10.793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/31/1995,5.732,1.234,2.968,-0.976,,,-0.976,2.507,,,,2.507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/31/1995,-21.877001,4.987,3.641,2.532,,,2.532,-33.037998,,,,-33.037998,,,,,,,,,,,,,,,,,,,,,,,,,,-21.877001,,,
11/30/1995,-23.986,5.215,4.037,-1.284,,,-1.284,-31.954,,,,-31.954,,,-12.885,,,,-12.885,,,,,,,,,,12.885,,,,,,,,,,,,
02/29/1996,21.996,6.338,4.587,-1.456,,,-1.456,12.527,,,,12.527,,,-6.491,,,,-6.491,,,,,,,,,,6.491,,,,,,,,,,,,
05/31/1996,52.403999,6.237,4.238,-1.046,,,-1.046,42.974998,,,,42.974998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/31/1996,49.650002,6.559,5.348,-2.236,,,-2.236,39.979,,,,39.979,,,,,,,,,,,,,,,,,,,,,,,,,,49.650002,,,
11/30/1996,12.548,8.828,5.433,-0.344,,,-0.344,-1.369,,,,-1.369,,,-13.318,,,,-13.318,,,,,,,,,,13.318,,,,,,,,,,,,
02/28/1997,8.333,11.059,6.014,-2.712,,,-2.712,-6.028,,,,-6.028,,,-18.718,,,,-18.718,,,,,,,,,,18.718,,,,,,,,,,,,
05/31/1997,23.85,14.572,5.479,-0.664,,,-0.664,4.463,,,,4.463,,,-31.518999,,,,-31.518999,,,,,,,,,,31.518999,,,,,,,,,,,,
08/31/1997,24.629,18.038,7.998,1.413,,,1.413,-2.82,,,,-2.82,,-30.25,-30.25,,,,-30.25,,,,,,,,,,0.0,,,,,,,,,-5.621,,,
11/30/1997,21.493,19.070999,7.128,-0.263,,,-0.263,-4.443,,,,-4.443,,-31.408001,-31.407999,0.01,,,-31.417999,,,0.0,0.0,0.0,,,,,-2e-06,7.609,0.0,7.525,0.084,0.084,0.0,0.0,,-2.306,,,
02/28/1998,48.220001,20.139,8.175,0.687,,,0.687,19.219,,,,19.219,,-26.948999,-26.949001,0.053,,,-27.002001,,,0.0,0.0,0.0,,,,,1e-06,-8.742,0.0,-10.0,1.258,1.258,0.0,0.0,,12.529,,,
05/31/1998,69.481,56.491,23.545,0.623,,0.706,-0.083,-11.178,-6.876,12.536,,-16.838,,-70.534,-70.534,0.328,,,-70.862,,,0.0,0.0,0.0,,,,,0.0,-1.056,0.0,-2.475,1.419,1.419,0.0,0.0,,-2.109,,,
08/31/1998,28.966999,0.442,12.157,-3.385,,,-3.385,19.753,,,,19.753,,-91.540001,-26.55,2.37,,,-28.92,,,0.0,0.0,0.0,,,,,-64.990001,42.364,0.0,40.0,1.415,1.415,0.0,0.949,,-20.209,,,
11/30/1998,26.6,20.014999,12.964,2.634,,,2.634,-9.013,,,,-9.013,,-35.574001,-35.574,0.218,,,-35.792,,,0.0,0.0,0.0,,,,,-1e-06,-1.394,0.0,-1.93,0.141,0.141,0.0,0.395,,-10.368,,,
02/28/1999,7.55,22.254,18.224001,2.231,,,2.231,-35.159,,,,-35.159,,-59.096001,-59.096001,0.021,,,-59.117001,,,0.0,0.0,0.0,,,,,0.0,55.457999,0.0,52.325999,3.132,3.132,0.0,0.0,,3.912,,,
05/31/1999,71.299004,22.382,16.763,3.936,,,3.936,28.218,,,,28.218,,-39.110001,-39.11,0.549,,,-39.659,,,0.0,0.0,0.0,,,,,0.0,113.334007,0.0,-86.042,199.376007,199.376007,0.0,0.0,,145.522995,,,
08/31/1999,5.016,20.167999,15.466,-5.592,,,-5.592,-25.025999,,,,-25.025999,,-58.935001,-31.758999,2.347,,,-34.105999,,,0.0,0.0,0.0,,,,,-27.176002,7.778,0.0,3.674,4.104,4.104,0.0,0.0,,-46.140999,,5.493,
11/30/1999,-0.696,26.488,23.006,10.364,,11.473,-1.109,-60.554,-54.384,-78.297,,72.127,,-88.52,-61.134,0.75,,,-61.884,,,0.0,0.0,0.0,,,,,-27.386,6.521,0.0,-2.656,4.533,4.533,0.0,4.644,,-82.695,,,
02/29/2000,-20.087,33.936001,20.518,4.965,,,4.965,-79.505997,,,,-79.505997,,-43.479,-64.956003,0.858,,,-65.814003,,,0.0,0.0,0.0,,,,,21.477003,76.924003,0.0,93.412003,5.818,5.818,0.0,-22.306,,13.358,,,
05/31/2000,-5.95,38.173,27.559999,2.49,,,2.49,-74.172997,,,,-74.172997,,-89.782997,-89.783001,0.52,,,-90.303001,,,0.0,0.0,0.0,,,,,4e-06,78.119998,0.0,76.666998,1.453,1.453,0.0,0.0,,-17.613001,,,
08/31/2000,62.148998,47.050999,28.253,-2.402,,,-2.402,-10.753,,,,-10.753,,-114.557999,-110.927001,4.211,,,-115.138,,,0.0,0.0,0.0,,,,,-3.630998,351.012024,0.0,-180.0,531.012024,531.012024,0.0,0.0,,298.602997,,8.004,
11/30/2000,-60.98,47.742,30.57,6.246,,7.739,-1.493,-145.538,-45.202,-163.966,,63.63,,-147.384,-147.384,0.098,,,-147.482,,,,,,,,,,0.0,1.829,,,1.829,1.829,,,,-206.535,,,
02/28/2001,83.461998,40.726002,41.632999,-15.804,,,-15.804,16.907,,,,16.907,,-79.929001,-79.928999,1.572,,,-81.500999,,,0.0,0.0,0.0,,,,,-1e-06,11.525,0.0,0.0,5.596,5.596,0.0,5.929,,15.058,,,
05/31/2001,14.499,18.808001,39.271999,9.687,,,9.687,-53.268002,,,,-53.268002,,-40.849998,-40.85,0.504,,,-41.354,,,0.0,0.0,0.0,,,,,2e-06,337.684,0.0,336.667,1.017,1.017,0.0,0.0,,311.333008,,,
08/31/2001,145.798004,11.241,43.912998,13.858,,,13.858,76.786003,,,,76.786003,,-173.352997,-34.153002,4.712,,,-38.865002,,,0.0,0.0,0.0,,,,,-139.199995,0.749,0.0,-7.451,8.2,8.2,0.0,0.0,,-26.806,,4.209,
11/30/2001,153.052002,8.375,43.93,21.427999,,,21.427999,79.319,,,,79.319,,-92.463997,-21.474999,0.787,,,-22.261999,,,0.0,0.0,0.0,,,,,-70.988998,1.143,0.0,0.0,1.143,1.143,0.0,0.0,,61.730999,,,
02/28/2002,150.925995,3.702,45.818001,-14.095,,,-14.095,115.500999,,,,115.500999,,-6.239,-0.327001,13.806,,,-14.133,,,0.0,0.0,0.0,,,,,-5.911999,6.274,0.0,0.0,6.76,6.76,0.0,-0.486,,150.960999,,,
05/31/2002,143.052002,20.806,48.610001,51.904999,,,51.904999,21.731001,,,,21.731001,,-120.558998,-17.202999,0.0,,,-17.202999,,,0.0,0.0,0.0,,,,,-103.355999,-7.146,0.0,-8.334,0.693,0.693,0.0,0.495,,15.347,,,
08/31/2002,107.078003,1.832,49.950001,13.967,,,13.967,41.328999,,,,41.328999,,-131.110992,-32.750999,0.0,,,-32.750999,,,0.0,0.0,0.0,,,,,-98.359993,6.077,0.0,0.0,6.086,6.086,0.0,-0.009,,-17.955999,,,
11/30/2002,93.584,8.357,51.483002,12.719,,,12.719,21.025,,,,21.025,,-346.352997,-21.597,3.386,,,-24.983,,,0.0,0.0,0.0,,,,,-324.755997,150.293,0.0,149.918,0.352,0.352,0.0,0.023,,-102.475998,,,
02/28/2003,58.198002,10.112,58.354,15.614,,,15.614,-25.882,,,,-25.882,,-58.283001,-25.764999,1.007,,,-26.771999,,,0.0,0.0,0.0,,,,,-32.518002,-40.823001,0.0,-49.970001,6.766,6.766,0.0,2.381,,-40.908001,,,
05/31/2003,44.125,4.466,56.268002,22.186001,,,22.186001,-38.794998,,,,-38.794998,,-22.954,-14.813,7.528,,,-22.341,,,0.0,0.0,0.0,,,,,-8.141,-4.097,0.0,-8.301,0.776,0.776,0.0,3.428,,17.073999,,,
08/31/2003,67.586009,20.072,58.333991,-23.810001,,-28.958,5.147999,12.989997,-286.644012,68.639999,,230.99401,,-89.902983,-40.151997,2.967,,,-43.118997,,,0.0,0.0,0.0,,,,,-49.750986,207.639995,0.0,203.612995,9.217,9.217,0.0,-5.19,,185.323,6.937,14.367,
11/30/2003,76.836998,42.495998,56.327999,-5.435,,,-5.435,-16.552,,,,-16.552,,-39.175999,-38.487,2.319,,,-40.806,,,0.0,0.0,0.0,,,,,-0.688999,11.271,0.0,-0.118,7.399,7.399,0.0,3.99,,48.931999,,,
02/29/2004,180.906006,40.014999,54.658001,6.717,,,6.717,79.515999,,,,79.515999,,-37.446999,-36.466999,8.23,,,-44.696999,,,0.0,0.0,0.0,,,,,-0.98,8.548,0.0,-0.127,10.823,10.823,0.0,-2.148,,152.007004,,,
05/31/2004,94.596001,40.131001,54.613998,-22.18,,,-22.18,22.031,,,,22.031,,-52.07,-52.247001,2.806,,,-55.053001,,,0.0,0.0,0.0,,,,,0.177002,-347.049006,0.0,-346.087006,3.94,3.94,0.0,-4.902,,-304.52301,,,
11/30/2004,27.862,55.915001,54.012001,-6.322,,-4.75,-1.572,-75.742996,-148.951004,-73.373001,,146.581009,,-47.148998,-47.149,8.635,,,-55.784,,,0.0,0.0,0.0,,,,,2e-06,17.801,0.0,-10.769,2.678,2.678,0.0,25.892,,-1.486,,,
02/28/2005,198.938,46.047,56.717,-0.113,,-3.747,3.634,96.287,273.414,75.166,,-252.293,,-46.087,-40.9,4.453,,,-45.353,,,0.0,0.0,0.0,,,,,-5.187,7.089,0.0,-4.975,8.024,8.024,0.0,4.04,,159.94,,,
05/31/2005,190.584,59.353,58.55,16.887,,14.669,2.218,55.794,-99.198,-30.894,,185.886,,-299.629,-62.337,0.599,,,-62.936,,,0.0,0.0,0.0,,,,,-237.292,10.311,0.0,17.461,11.79,11.79,0.0,-18.94,,-98.734,,,
08/31/2005,172.617004,58.373001,50.844002,14.321,,-7.604,21.925,49.078999,-56.334999,-77.190002,,182.604,,-95.829002,-92.083001,0.693,,,-92.776001,,,0.0,0.0,0.0,,,,,-3.746001,38.241001,0.0,13.525,27.77,27.77,0.0,-3.054,,115.028999,,,
11/30/2005,143.509003,76.889999,48.084,14.685,,-1.972,16.657,3.85,-140.972,-127.747002,,272.569002,,-65.514999,-65.466004,1.305,,,-66.771004,,,0.0,0.0,0.0,,,,,-0.048996,1.555,0.0,0.057,11.08,11.08,0.0,-9.582,,79.549004,,,
02/28/2006,5.898,69.021004,49.179001,5.416,,-2.236,7.652,-117.718002,28.455,-36.749001,,-109.424002,,-62.778999,-51.480999,1.326,,,-52.806999,,,0.0,0.0,0.0,,,,,-11.298,99.883002,0.0,2.713,90.496002,90.496002,0.0,6.674,,43.001999,,,
05/31/2006,120.790001,64.225998,50.529999,-6.821,,-11.992,5.171,12.855,-42.833,-190.311005,,245.999004,,-209.380997,-57.892004,7.129,,,-65.021004,,,0.0,0.0,0.0,,,,,-151.488993,24.847996,0.0,-29.921005,34.554001,34.554001,0.0,20.215,,-63.743,,,
