Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1992,250.207001,113.431999,113.431999,0.0,65.742996,,,0.0,,,,,22.868999,,,,,,202.044006,9.17,,,0.0,,38.993,,,,38.993,48.163,,7.56,7.56,,,,5.018,,,,,74.578998,,,,74.578998,87.156998,0.0,,,,4.762,,,,,4.762,4.762,91.918998,0,141.811996,,,0.0,,16.476,158.287996,0.0,158.287996,250.206994,
03/31/1993,268.076996,113.242996,113.242996,0.0,72.931,,,0.0,,,,,25.423,,,,,,211.597,12.584,21.982,-9.398,0.0,,43.896,,,,43.896,56.48,,7.269,7.269,,,,0.0,,,,,85.204,,,,85.204,92.473,0.0,,,,4.45,,,,,4.45,4.45,96.922999,0,142.537003,,,0.0,,28.617001,171.154003,0.0,171.154003,268.077003,
06/30/1993,265.114014,120.728996,120.728996,0.0,61.998001,,,0.0,,,,,25.106001,,,,,,207.832993,11.777,,,1.735,,43.769001,,,,43.769001,57.281001,,6.672,6.672,,,,0.0,,,,,75.995,,,,75.995,82.667,0.0,,,,4.23,,,,,4.23,4.23,86.897,0,144.091003,,,0.0,,34.125999,178.217003,0.0,178.217003,265.114003,
09/30/1993,277.147003,117.470997,99.003998,18.466999,67.584,,,0.0,,,,,26.014999,,,,,,211.070007,11.871,,,4.187,,50.019001,,,,50.019001,66.077001,,6.241,6.241,,,,0.0,,,,,74.202001,,,,74.202001,80.443001,0.0,,,,5.298,,,,,5.298,5.298,85.741001,0,147.447006,,,0.0,,43.959,191.406006,0.0,191.406006,277.147007,
12/31/1993,316.024994,126.595999,109.002998,17.593,87.750999,,,0.0,,,,,30.215,,,,,,244.561996,13.084,,,14.875,,43.504002,,,,43.504002,71.463001,,6.729,6.729,,,,0.0,,,,,90.911999,,,,90.911999,97.640999,0.0,,,,5.335,,,,,5.335,5.335,102.975999,0,152.270996,,,0.0,,60.778,213.048996,0.0,213.048996,316.024995,
03/31/1994,401.875,124.194001,74.07,50.124001,130.604996,,,0.0,,,,,35.789001,,,,,,290.588013,20.778,37.983002,-17.205,41.932999,,48.576,,,,48.576,111.286999,,15.721,15.721,,,,0.0,,,,,125.325005,,,,125.325005,141.046005,0.0,,,,6.904,,,,,6.904,6.904,147.950005,0,168.570999,,,0.0,,85.353996,253.924995,0.0,253.924995,401.875,
06/30/1994,400.260986,106.09,62.777,43.313,120.088997,,,1.325,,,,,38.814999,,,,,,266.319,22.822001,,,41.237,,69.883003,,,,69.883003,133.942003,,18.372,18.372,,,,0.0,,,,,121.898005,,,,121.898005,140.270004,0.0,,,,8.132,,,,,8.132,8.132,148.402004,0,170.423996,,,0.0,,81.434998,251.858994,0.0,251.858994,400.260998,
09/30/1994,420.339996,93.134003,46.831001,46.303001,129.134003,,,0.0,,,,,39.379002,,,,,,261.647003,43.337002,,,42.831001,,72.525002,,,,72.525002,158.693005,,14.575,14.575,,,,0.0,,,,,121.438001,,,,121.438001,136.013,0.0,,,,9.272,,,,,9.272,9.272,145.285001,0,175.483994,,,0.0,,99.570999,275.054993,0.0,275.054993,420.339993,
12/31/1994,465.912994,98.815002,55.691002,43.124001,161.440994,,,0.0,,,,,26.731001,,,,,,286.987,44.952999,,,56.153,,77.82,,,,77.82,178.925999,,19.348,19.348,,,,0.0,,,,,137.601006,,,,137.601006,156.949005,0.0,,,,7.292,,,,,7.292,7.292,164.241005,0,177.042999,,,0.0,,124.628998,301.671997,0.0,301.671997,465.913002,
03/31/1995,524.094971,165.115997,67.226997,97.889,177.975006,,,0.0,,,,,27.132999,,,,,,370.223999,47.116001,72.468002,-25.351999,42.650002,,64.105003,,,,64.105003,153.871006,,14.812,14.812,,,,0.0,,,,,164.801998,,,,164.801998,179.613998,0.0,,,,8.28,,,,,8.28,8.28,187.893998,0,187.550003,,,0.0,,148.651001,336.201004,0.0,336.201004,524.095002,
