Date,Cash From Operating Activities,Net Income,D&A and Provision for Loan Losses,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Change in Loans,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Change in Deposits,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,1.55,1.053,0.0,0.968,3.571,,,,,,,,,,,,,,,,,,,
06/30/1990,,1.745,1.424,0.0,-2.405,0.764,,,,,,,,,,,,,,,,,,,
09/30/1990,,1.012,2.006,0.0,-4.116,-1.098,,,,,,,,,,,,,,,,,,,
12/31/1990,,0.037,3.581,-1.965,3.762,5.415,,,,,,,,,,,,,,,,,5.415,,
03/31/1991,,0.14,2.503,-0.968,3.661,5.336,,,,,,,,,,,,,,,,,,,
06/30/1991,,1.523,1.918,-0.397,-1.826,1.218,,,,,,,,,,,,,,,,,,,
09/30/1991,,1.561,1.495,-0.59,-0.483,1.983,,,,,,,,,,,,,,,,,,,
12/31/1991,,2.783,3.693,-5.899,-3.608,-3.011,,,,,,,,,,,,,,,,,-3.011,,
03/31/1992,,2.108,1.946,-1.121,-4.015,-1.082,,,,,,,,,,,,,,,,,,,
06/30/1992,,2.147,2.564,0.549,-0.732,4.528,,,,,,,,,,,,,,,,,,,
09/30/1992,,2.713,3.762,-2.456,-11.318,-7.299,,,,,,,,,,,,,,,,,,,
12/31/1992,,3.049,2.431,-0.893,-3.039,1.548,,,,,,,,,,,,,,,,,1.548,,
03/31/1993,,3.159,2.649,-0.431,137.376999,142.753998,,,,,,,,,,,,,,,,,,,
06/30/1993,,3.558,3.061,-0.578,37.159,43.200001,,,,,,,,,,,,,,,,,,,
09/30/1993,,3.743,2.815,-1.175,-185.479004,-180.095993,,,,,,,,,,,,,,,,,,,
12/31/1993,,4.155,12.591,-1.321,-22.188999,-6.764,,,,,,,,,,,,,,,,,-6.764,,
03/31/1994,,4.637,6.248,-0.686,22.370001,32.569,,,,,,,,,,,,,,,,,,,
06/30/1994,,5.289,5.458,-0.441,-41.959,-31.653,,,,,,,,,,,,,,,,,,,
09/30/1994,,5.516,4.654,-1.369,9.13,17.931,,,,,,,,,,,,,,,,,,,
12/31/1994,,4.935,3.918,-8.592,51.347,51.608002,,,,,,,,,,,,,,,,,51.608002,,
03/31/1995,,5.243,3.875,-0.71,1.061,9.469,,,-2.748,,,,,,,,,,,,,,,,
06/30/1995,,5.816,3.703,-3.414,-15.723,-9.618,,,-7.546,,,,,,,,,,,,,,,,
09/30/1995,,6.277,3.834,0.703,7.557,18.371,,,-4.825,,,,,,,,,,,,,,,,
12/31/1995,,6.149,4.368,-8.484,-4.917,-2.884,-8.94,,-8.94,,,,,,,,,,,,,,-11.824,,
03/31/1996,,7.161,,,,27.913,,,-3.24,,,,,,,,,,,,,,,,
06/30/1996,,7.51,,,,2.061,,,-9.452,,,,,,,,,,,,,,,,
09/30/1996,,7.134,,,,26.077999,,,-6.083,,,,,,,,,,,,,,,,
12/31/1996,,6.445,,,,-3.208,-25.766001,,-25.766001,,,,,,,,,,,,,,-28.974001,,
03/31/1997,,9.434,5.739,-0.437,6.658,21.393999,,,-4.561,,,,,,,,,,,,,,,,
06/30/1997,,10.034,5.337,-7.722,-18.368999,-10.72,,,-7.58,,,,,,,,,,,,,,,,
09/30/1997,,10.377,5.737,-2.476,15.662,29.299999,,,-8.02,,,,,,,,,,,,,,,,
12/31/1997,,10.48,5.293,-5.097,-2.481,8.195,,,-11.074,,,,,,,,,,,,,,,,
03/31/1998,,12.68,7.203,14.312,-10.124,24.070999,,,-8.48,,,,,,,,,,,,,,,,
06/30/1998,,13.446,8.277,-10.803,-8.537,2.383,,,-15.116,,,,,,,,,,,,,,,,
09/30/1998,,13.999,8.798,-18.052999,-19.34,-14.596,,,-8.814,,,,,,,,,,,,,,,,
12/31/1998,,2.03,11.124,11.094,-33.951,-9.703,,,-15.91,,,,,,,,,,,,,,,,
03/31/1999,,15.481,9.79,-41.842999,42.981998,26.41,,,-13.2168,,,,,,,,,,,,,,,,
06/30/1999,,16.016001,9.862,25.983,-49.689999,2.171,,,-17.343,,,,,,,,,,,,,,,,
09/30/1999,,16.84,8.372,-37.740002,14.402,1.874,,,-17.007,,,,,,,,,,,,,,,,
12/31/1999,,17.622999,9.337,-37.714001,-23.458,-34.212002,,,-25.736,,,,,,,,,,,,,,,,
03/31/2000,,18.295,10.468,27.525,55.627998,111.916,,,-22.804001,,,,,,,,,,,,,,,,
06/30/2000,,19.377001,10.363,-30.315001,-23.815001,-24.389999,,,-23.025999,,,,,,,,,,,,,,,,
09/30/2000,,20.990999,13.617,22.341999,-92.167,-35.216999,,,-28.556,,,,,,,,,,,,,,,,
12/31/2000,,21.384001,12.079,-20.433001,32.798,45.827999,,,-35.314999,,,,,,,,,,,,,,,,
03/31/2001,,23.400999,14.524,68.768997,-52.014,54.68,,,-19.322001,,,,,,,,,,,,,,,,
06/30/2001,,25.110001,18.584999,54.735001,-14.682,83.748001,,,-23.611,,,,,,,,,,,,,,,,
09/30/2001,,26.281,17.358999,-177.694,-4.638,-138.692001,,,-22.156,,,,,,,,,,,,,,,,
12/31/2001,,28.23,20.179001,91.417,-133.091003,6.735,,,-63.048,,,,,,,,,,,,,,,,
03/31/2002,,31.75,20.431,-25.631001,71.641998,98.192001,,,-38.044998,,,,,,,,,,,,,,,,
06/30/2002,,34.801998,24.708,0.687,30.818001,91.014999,,,-41.549,,,,,,,,,,,,,,,,
09/30/2002,,37.688999,22.634001,-48.511002,-17.037001,-5.225,,,-64.435997,,,,,,,,,,,,,,,,
12/31/2002,,40.574001,35.839001,97.036003,-162.147995,11.301,,,-50.528999,,,,,,,,,,,,,,,,
03/31/2003,,42.889999,34.359001,-74.332001,162.537994,165.455002,,,-70.165001,,,,,,,,,,,,,,,,
06/30/2003,,45.317001,40.383999,43.650002,0.125,129.475998,,,-81.334,,,,,,,,,,,,,,,,
09/30/2003,,49.473999,43.973999,-47.438,-28.73,17.280001,,,-71.040001,,,,,,,,,,,,,,,,
12/31/2003,,56.605999,45.564999,3.968,103.813004,209.951996,,,-77.795998,,,,,,,,,,,,,,,,
03/31/2004,,61.974998,36.793999,36.667999,-69.527,65.910004,-1984.56604,0.0,-65.181,-4068.283936,2487.229004,-338.329987,0.0,2036.46106,-14.547,0.0,0.0,-173.531998,45.261002,0.0,2181.278076,-1.999,117.805,,
06/30/2004,,66.235001,46.882999,-88.0,59.602001,84.720001,-2017.19397,0.0,-71.550003,-3192.441895,1805.964966,-559.166992,0.0,1994.536011,-14.768,0.0,806.062012,,24.172001,0.0,1179.069946,0.0,62.062,,
09/30/2004,,70.089996,44.523998,92.919998,-58.846001,148.688004,-1332.688965,0.0,-80.513,-1981.454956,1313.698975,-584.419983,0.0,1418.359985,-14.872,0.0,,-778.187012,31.521,0.0,2179.884033,0.014,234.358994,,
12/31/2004,,75.117996,44.571999,-3.8,68.822998,184.712997,-2401.409912,0.0,-122.711998,-3265.188965,1534.284058,-547.79303,0.0,1943.18103,-15.018,0.0,495.34201,,45.103001,0.0,1417.253052,0.501,-273.515991,,
03/31/2005,,77.137001,43.423,40.219002,-57.025002,103.753998,-1402.803955,0.0,-43.625999,-2251.413086,1416.098022,-523.862976,0.0,1324.295044,-17.604,-524.94397,0.0,0.0,39.164001,0.0,1829.072998,-1.394,25.245001,,
06/30/2005,,79.408997,43.178001,-160.095001,21.368999,-16.139,-1128.042969,0.0,-84.031998,-3061.885986,2982.663086,-964.788025,0.0,1482.177002,-17.774,431.095001,0.0,0.0,37.75,0.0,1031.10498,0.001,337.994995,,
09/30/2005,,79.455002,45.727001,-0.699,262.112,386.595001,-3336.339111,0.0,-110.217003,-4785.579102,2165.584961,-606.127991,0.0,2895.278076,-17.958,135.880997,0.0,-0.155,52.533001,0.0,2724.623047,0.354,-54.466,,
12/31/2005,,46.938,50.324001,70.761002,63.112999,231.136002,-1867.353027,0.0,-186.600998,-3138.726074,2518.387939,-1066.078003,5.664,1573.401001,-19.027,403.216003,0.0,-57.099998,64.574997,0.0,1180.702026,1.035,-62.816002,,
03/31/2006,,77.296997,44.054001,-34.761002,12.29,98.879997,-2418.591064,0.0,-59.081001,-2427.384033,894.252014,-826.377991,0.0,2214.840088,-21.479,-236.690002,0.0,0.0,87.582001,0.0,2385.394043,0.033,-104.871002,,
06/30/2006,,79.519997,46.125999,-58.548,25.844,92.942001,-2512.792969,0.0,-121.087997,-2767.995117,1171.704956,-795.414978,0.0,2694.094971,-21.973,1698.692017,0.0,0.0,79.718002,0.0,937.655029,0.003,274.243988,,
09/30/2006,,79.668999,49.275002,41.414001,-30.153,140.205002,32.755001,0.0,-118.392998,-971.205994,1557.119019,-434.765015,0.0,-341.22699,-22.284,-2450.044922,0.0,0.0,39.206001,0.0,2091.898926,-0.003,-168.266998,,
12/31/2006,,78.663,50.805,13.846,13.728,157.042,-2067.864,0.0,-213.75,-2848.774,1909.126,-914.466,0.0,1829.642,-22.456,659.004,0.0,0.0,46.544,0.0,1146.55,0.0,-81.18,,
03/31/2007,,77.935997,50.805,-14.997,-45.939999,67.804001,-1555.589966,0.0,-86.094002,-3119.832031,1983.406982,-333.071014,0.0,2014.504028,-24.511,-654.679016,0.0,0.0,6.039,0.0,2687.655029,0.0,526.718018,,
06/30/2007,,76.903,55.493999,-47.229,95.598,180.766006,-1348.94104,0.0,-119.749001,-2342.332031,1554.426025,-441.286011,0.0,840.163025,-24.9,422.584991,0.0,0.0,30.079,0.0,412.398987,0.0,-328.011993,,
09/30/2007,,-47.910999,81.634003,177.276001,-25.24,185.759003,-2062.604004,0.0,-124.733002,-2523.48999,1285.198975,-699.580017,0.0,1810.390015,-24.999001,-341.179993,0.0,0.0,30.521,0.0,2146.048096,0.0,-66.455002,,
12/31/2007,,33.36,104.159,-8.767,7072.463,7201.215,-5758.184,0.0,-155.579,-6656.722,1866.762,-812.645,0.0,-535.333,-25.191,-103.176,0.0,0.0,88.596,0.0,-495.562,0.0,907.698,,
