Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Compensation,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/28/1997,668.462,46.269,46.269,0.0,90.266,,,291.687,,,,,38.371,,,,,,466.593,117.339,213.004,-95.665,0.0,,84.53,,,,,84.53,201.869,,72.914,72.914,,,,10.392,,,,,,81.282,,,81.282,164.588,0.0,,,,,22.632,,,,,,,22.632,22.632,187.22,0.0,447.438,,,0.0,,33.804,481.242,0.0,481.242,668.462,
09/27/1997,723.947,53.453,53.453,0.0,138.51,,,288.879,,,,,31.334,,,,,,512.176,121.669,223.676,-102.007,0.0,,90.102,,,,,90.102,211.771,,71.647,71.647,,,,6.97,,,,,,96.404,,,96.404,175.021,0.0,,,,,22.751,,,,,,,22.751,22.751,197.772,0.0,447.438,,,0.0,,78.737,526.175,0.0,526.175,723.947,
12/27/1997,773.257019,116.503998,116.503998,0.0,115.119003,,,280.041992,,,,,32.296001,,,,,,543.960999,131.927002,239.248993,-107.321999,0.0,,97.369003,,,,,97.369003,229.296005,,66.024002,66.024002,,,,0.507,,,,,,128.692005,,,128.692005,195.223007,0.0,,,,,22.548,,,,,,,22.548,22.548,217.771008,0.0,447.437988,,,0.0,,108.047997,555.485985,0.0,555.485985,773.256992,
03/28/1998,825.130005,58.755001,58.755001,0.0,149.119995,,,298.484985,26.364,12.406,259.714996,,50.104,,,,,,556.463989,175.348007,297.970001,-122.622002,0.0,,93.318001,0.0,,,,93.318001,268.666008,,100.125999,100.125999,,,,0.337,,,,,,101.794996,,,101.794996,202.257996,0.0,,,,,38.546001,,,,,,,38.546001,38.546001,240.803997,0.0,448.92099,,,0.0,,135.404999,584.325989,0.0,584.325989,825.129986,
06/27/1998,842.456,35.173,35.173,0.0,111.824,111.824,,357.71,22.07,11.479,324.161,0.0,54.242,,,,,,558.949,185.332,318.42,-133.088,0.0,,98.175,,,,,98.175,283.507,,92.513,92.513,,,,3.0,,,,,,106.048,,,106.048,201.561,0.0,,,,,41.088,,,,,,,41.088,41.088,242.649,0.0,448.939,,,-7.248,159.449,-1.333,599.807,0.0,599.807,842.456,
09/26/1998,1015.813,46.53,46.53,0.0,170.453,170.453,,398.335,19.11,10.954,368.271,,56.037,,,,,,671.355,229.774,,,0.0,,114.684,,,,,114.684,344.458,,132.789,132.789,,,,79.6,,,,,,116.554,,,116.554,328.943,0.0,,,,,45.885,,,,,,,45.885,45.885,374.828,0.0,449.034,,,-16.084,209.368,-1.333,640.985,0.0,640.985,1015.813,
12/26/1998,964.093994,21.077,21.077,0.0,133.003006,133.003006,,380.053986,19.221001,11.993,348.839996,0.0,63.591999,,,,,,597.726013,247.641006,,,0.0,,118.726997,,,,,118.726997,366.368004,,84.582001,84.582001,,,,40.0,,,,,,121.274994,,,121.274994,245.856995,0.0,,,,,51.901001,,,,,,,51.901001,51.901001,297.757996,0.0,449.033997,,,-16.084,234.718994,-1.332993,666.335999,0.0,666.335999,964.093994,
04/03/1999,1104.584,44.458,44.458,0.0,157.203,157.203,,376.86,17.675,8.545,350.64,0.0,100.933,,,,,,679.454,261.799,413.678,-151.879,0.0,,163.331,0.0,27.464,-27.464,,163.331,425.13,,88.898,88.898,,,,115.5,115.5,0.0,0.0,,,143.574,,,143.574,347.972,44.217,44.217,0.0,0.0,,53.49,,,,,,,53.49,97.707,445.679,0.0,451.034,,,-16.084,227.288,-3.333,658.905,0.0,658.905,1104.584,
07/03/1999,1178.684,44.13,44.13,0.0,148.66,148.66,,426.457,8.719,15.98,401.758,0.0,85.944,,,,,,705.191,299.308,475.688,-176.38,0.0,,174.185,77.209,84.239,-7.03,,96.976,473.493,,99.73,99.73,,,,125.5,,,,,,127.98,,,127.98,353.21,80.0,,,,,68.291,,,,,,,68.291,148.291,501.501,0.0,451.034,,,-22.583,251.398,-2.666,677.183,0.0,677.183,1178.684,
10/02/1999,1264.322,42.353,42.353,0.0,212.331,212.331,,420.769,17.226,8.246,395.297,0.0,85.733,,,,,,761.186,326.07,,,,,177.066,76.014,76.014,0.0,,101.052,503.136,,107.196,107.196,,,,154.8,,,,,,125.566,,,125.566,387.562,80.0,,,,,71.794,,,,,,,71.794,151.794,539.356,0.0,451.034,,,-30.149,306.747,-2.666,724.966,0.0,724.966,1264.322,
01/01/2000,1419.651,345.33,345.33,0.0,128.908,128.908,,343.21,14.304,8.94,319.966,0.0,81.35,,,,,,898.798,334.901,547.736,-212.835,0.0,,185.952,76.937,76.937,0.0,,109.015,520.853,,82.741,82.741,,,,25.0,,,,,,128.194,,,128.194,235.935,356.705,,,,,73.198,,,,,,,73.198,429.903,665.838,0.0,451.034,,,-36.829,339.015,0.593,753.813,0.0,753.813,1419.651,
04/01/2000,1620.562012,164.570999,164.570999,0.0,204.447006,204.447006,,390.953003,13.649,6.337,370.96701,0.0,92.919998,,,,,,852.890991,372.97699,605.903992,-232.927002,0.0,,394.694,277.821991,277.821991,0.0,,116.872009,767.67099,,151.281006,151.281006,,,,86.130997,86.130997,0.0,0.0,,,168.815994,,,168.815994,406.227997,342.707001,342.707001,0.0,0.0,,99.190002,,,,,,,99.190002,441.897003,848.125,0.0,451.033997,,,-57.346001,370.785004,7.964012,772.437012,0.0,772.437012,1620.562012,
