Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,12441,465,388,77.0,739,,,265,,,,,247,,,,1716,9662,14267.0,-4605.0,,1063,,,,,,1063,10725,,892,892,,,,649,,,,,,907,,,907,2448,2690,,,,,3729,,,,3729,6419,8867,150.0,1248,,,,,2053,3451,123.0,3574,12441,
06/30/1990,12381,310,230,80.0,799,,,276,,,,,290,,,,1675,9731,14373.0,-4642.0,,975,,,,,,975,10706,,820,820,,,,726,,,,,,829,,,829,2375,2635,,,,,3718,,,,3718,6353,8728,150.0,1253,,,,,2123,3526,127.0,3653,12381,
09/30/1990,12494,326,229,97.0,824,,,281,,,,,217,,,,1648,9844,14581.0,-4737.0,,1002,,,,,,1002,10846,,822,822,,,,542,,,,,,885,,,885,2249,2893,,,,,3787,,,,3787,6680,8929,,1256,,,,,2188,3444,121.0,3565,12494,
12/31/1990,12804,609,609,,728,,,257,,,,,131,,,,1725,9991,14927.0,-4936.0,,1088,,,,,,1088,11079,,1032,1032,,,,357,,,,,,914,,,914,2303,3025,,,,,3935,,,,3935,6960,9263,,1259,,,,,2282,3541,,3541,12804,
03/31/1991,12701,533,533,,665,,,261,,,,,145,,,,1604,9964,14917.0,-4953.0,,1133,,,,,,1133,11097,,875,875,,,,312,,,,,,902,,,902,2089,3136,,,,,3891,,,,3891,7027,9116,,1284,,,,,2301,3585,,3585,12701,
06/30/1991,12814,544,544,,716,,,234,,,,,127,,,,1621,10053,15020.0,-4967.0,,1140,,,,,,1140,11193,,923,923,,,,518,,,,,,1010,,,1010,2451,2769,,,,,3914,,,,3914,6683,9134,,1300,,,,,2380,3680,,3680,12814,
09/30/1991,12873,479,479,,729,,,213,,,,,134,,,,1555,10169,15191.0,-5022.0,,1149,,,,,,1149,11318,,857,857,,,,566,,,,,,899,,,899,2322,2792,,,,,3994,,,,3994,6786,9108,,1313,,,,,2452,3765,,3765,12873,
12/31/1991,12798,465,465,,728,,,206,,,,,136,,,,1535,10177,15176.0,-4999.0,,1086,,,,,,1086,11263,,926,926,,,,398,,,,,,1153,,,1153,2477,2804,,,,,4335,,,,4335,7139,9616,,1319,,,,,1863,3182,,3182,12798,
03/31/1992,12531,243,243,,673,,,216,,,,,133,,,,1265,10121,15161.0,-5040.0,,1145,,,,,,1145,11266,,823,823,,,,299,,,,,,1022,,,1022,2144,2829,,,,,4337,,,,4337,7166,9310,,1336,,,,,1885,3221,,3221,12531,
06/30/1992,12767,381,381,,654,,,231,,,,,96,,,,1362,10313,15428.0,-5115.0,,1092,,,,,,1092,11405,,899,899,,,,252,,,,,,1284,,,1284,2435,2978,,,,,4486,,,,4486,7464,9899,,1344,,,,,1524,2868,,2868,12767,
09/30/1992,12868,401,401,,655,,,218,,,,,133,,,,1407,10406,15480.0,-5074.0,,1055,,,,,,1055,11461,,799,799,,,,252,,,,,,1124,,,1124,2175,3204,,,,,4527,,,,4527,7731,9906,0.0,1349,,,,,1613,2962,,2962,12868,
12/31/1992,13049,530,530,,605,,,189,,,,,97,,,,1421,10636,15702.0,-5066.0,,992,,,,,,992,11628,,901,901,,,,214,,,,,,1165,,,1165,2280,3245,,,,,4549,,,,4549,7794,10074,0.0,1353,,,0.0,,1622,2975,0.0,2975,13049,
03/31/1993,13156,379,379,,597,,,211,,,,,280,,,,1467,10621,15752.0,-5131.0,,1068,,,,,,1068,11689,,907,907,,,,268,,,,,,1087,,,1087,2262,3242,,,,,4704,,,,4704,7946,10208,0.0,1375,,,,,1573,2948,,2948,13156,
06/30/1993,13437,587,587,,652,,,210,,,,,291,,,,1740,10660,15794.0,-5134.0,,1037,,,,,,1037,11697,,899,899,,,,422,,,,,,1164,,,1164,2485,5586,,,,,2299,,,,2299,7885,10370,0.0,1379,,,,,1688,3067,0.0,3067,13437,
09/30/1993,13327,523,523,,695,,,207,,,,,176,,,,1601,10666,15673.0,-5007.0,,1060,,,,,,1060,11726,,1887,1887,,,,458,,,,,,0,,,0,2345,3158,,,,,4731,,,,4731,7889,10234,0.0,1383,,,0.0,,1710,3093,0.0,3093,13327,
12/31/1993,13420,499,499,0.0,668,,,199,,,,,205,,,,1571,10788,15853.0,-5065.0,0.0,1061,,,,,,1061,11849,,917,917,,,,310,,,,,,1048,,,1048,2275,3133,,,,,4832,,,,4832,7965,10240,0.0,1411,,,0.0,,1769,3180,0.0,3180,13420,
04/01/1994,13463,496,496,0.0,709,,,213,,,,,209,,,,1627,10782,15933.0,-5151.0,0.0,1054,,,,,,1054,11836,,852,852,,,,547,,,,,,908,,,908,2307,3107,,,,,4798,,,,4798,7905,10212,0.0,1456,,,0.0,,1795,3251,0.0,3251,13463,
07/01/1994,13445,478,478,0.0,680,,,216,,,,,210,,,,1584,10817,16019.0,-5202.0,0.0,1044,,,,,,1044,11861,,1790,1790,,,,448,,,,,,0,,,0,2238,2978,,,,,4853,,,,4853,7831,10069,0.0,1464,,,0.0,,1912,3376,0.0,3376,13445,
09/30/1994,13699,650,650,0.0,812,,,190,,,,,204,,,,1856,10858,16116.0,-5258.0,0.0,985,,,,,,985,11843,,1990,1990,,,,439,,,,,,0,,,0,2429,2953,,,,,4806,,,,4806,7759,10188,0.0,1468,,,0.0,,2043,3511,0.0,3511,13699,
12/30/1994,13724,535,535,0.0,706,,,211,,,,,213,,,,1665,11044,16315.0,-5271.0,0.0,1015,,,,,,1015,12059,,1992,1992,,,,513,,,,,,0,,,0,2505,2618,,,,,4870,,,,4870,7488,9993,0.0,1473,,,0.0,,2258,3731,0.0,3731,13724,
03/31/1995,13871,560,560,0.0,777,,,234,,,,,204,,,,1775,11099,16424.0,-5325.0,0.0,997,,,,,,997,12096,,1990,1990,,,,651,,,,,,0,,,0,2641,2546,,,,,4847,,,,4847,7393,10034,0.0,1502,,,0.0,,2335,3837,0.0,3837,13871,
06/30/1995,13894,562,562,0.0,724,,,247,,,,,219,,,,1752,11119,16517.0,-5398.0,0.0,1023,,,,,,1023,12142,,2062,2062,,,,637,,,,,,0,,,0,2699,2577,,,,,4797,,,,4797,7374,10073,0.0,1511,,,0.0,,2310,3821,0.0,3821,13894,
09/29/1995,14028,563,563,0.0,811,,,225,,,,,211,,,,1810,11188,16654.0,-5466.0,0.0,1030,,,,,,1030,12218,,2122,2122,,,,542,,,,,,0,,,0,2664,2564,,,,,4811,,,,4811,7375,10039,0.0,1523,,,0.0,,2466,3989,0.0,3989,14028,
12/30/1995,14282,660,660,0.0,832,,,220,,,,,223,,,,1935,11297,16673.0,-5376.0,0.0,1050,,,,,,1050,12347,,1121,1121,,,,634,,,,,,1236,,,1236,2991,2222,,,,,4827,,,,4827,7049,10040,0.0,1529,,,0.0,,2713,4242,0.0,4242,14282,
03/29/1996,14366,581,581,0.0,851,,,242,,,,,246,,,,1920,11483,,,0.0,963,,,,,,963,12446,,1048,1048,,,,830,,,,,,1050,,,1050,2928,2247,,,,,4817,,,,4817,7064,9992,0.0,1573,,,0.0,,2801,4374,0.0,4374,14366,
06/28/1996,14531,550,550,0.0,922,,,241,,,,,266,,,,1979,11568,,,0.0,984,,,,,,984,12552,,1097,1097,,,,577,,,,,,1160,,,1160,2834,2271,,,,,4859,,,,4859,7130,9964,0.0,1587,,,0.0,,2980,4567,0.0,4567,14531,
09/27/1996,14641,515,515,0.0,928,,,217,,,,,259,,,,1919,11720,,,0.0,1002,,,,,,1002,12722,,1073,1073,,,,477,,,,,,1149,,,1149,2699,2288,,,,,4839,,,,4839,7127,9826,0.0,1669,,,0.0,,3146,4815,0.0,4815,14641,
12/31/1996,16965,682,682,0.0,894,,,229,,,,,267,,,,2072,11906,17420.0,-5514.0,1965.0,1022,,,,,,1022,14893,,1189,1189,,,,436,,,,,,1132,,,1132,2757,4331,,,,,4882,,,,4882,9213,11970,0.0,1650,,,0.0,,3345,4995,0.0,4995,16965,
03/28/1997,16888,510,510,0.0,924,,,243,,,,,264,,,,1941,11924,,,0.0,3023,,,,,,3023,14947,,1053,1053,,,,430,,,,,,1088,,,1088,2571,4243,,,,,4947,,,,4947,9190,11761,0.0,1688,,,0.0,,3439,5127,0.0,5127,16888,
06/27/1997,19469,706,706,0.0,917,,,237,,,,,293,,,,2153,11998,,,0.0,5318,,,,,,5318,17316,,1093,1093,,,,156,,,,,,1181,,,1181,2430,6753,,,,,4976,,,,4976,11729,14159,0.0,1700,,,0.0,,3610,5310,0.0,5310,19469,
09/26/1997,19528,559,559,0.0,963,,,242,,,,,307,,,,2071,12098,17828.0,-5730.0,0.0,5359,,,,,,5359,17457,,1107,1107,,,,288,,,,,,1174,,,1174,2569,6443,,,,,5036,,,,5036,11479,14048,0.0,1721,,,0.0,,3759,5480,0.0,5480,19528,
12/26/1997,19957,690,251,439.0,987,,,227,227.0,0.0,0.0,,271,,,,2175,12406,18270.0,-5864.0,0.0,5376,,,,,,5376,17782,,1179,1179,,,,355,,,,,,1173,,,1173,2707,6416,,,,,5068,,,,5068,11484,14191,0.0,1770,,,0.0,,3996,5766,,5766,19957,
06/26/1998,20130,387,387,0.0,1002,,,279,279.0,0.0,0.0,0.0,325,,,,1993,12622,18664.0,-6042.0,0.0,5515,0.0,,,,,5515,18137,,1069,1069,,,,848,,,,,,1115,,,1115,3032,6138,,,,,5091,,,,5091,11229,14261,0.0,1763,,,0.0,,4106,5869,0.0,5869,20130,
09/25/1998,20113,472,472,0.0,899,,,212,212.0,0.0,0.0,0.0,321,,,,1904,12328,18192.0,-5864.0,0.0,5881,0.0,,,,,5881,18209,,1098,1098,,,,289,,,,,,1006,,,1006,2393,6200,,,,,5544,,,,5544,11744,14137,0.0,1748,,,0.0,,4228,5976,0.0,5976,20113,
12/25/1998,20427,533,533,0.0,898,,,225,225.0,0.0,0.0,0.0,328,,,,1984,12645,18678.0,-6033.0,0.0,5798,0.0,,,,,5798,18443,,1216,1216,,,,287,,,,,,1097,,,1097,2600,6432,,,,,5515,,,,5515,11947,14547,0.0,1706,,,0.0,,4174,5880,0.0,5880,20427,
04/02/1999,20549,550,550,,986,986.0,,234,234.0,,,,328,,,,2098,12654,18830.0,-6176.0,,5797,,,,,5270.0,527,18451,,1103,1103,,,,541,,,,,,1130,,,1130,2774,6476,,,,,5457,,,,5457,11933,14707,,1708,,,,4255.0,-121,5842,,5842,20549,
07/02/1999,20927,549,549,,1172,1172.0,,245,245.0,,,,322,,,,2288,12825,19142.0,-6317.0,,5814,,,,,5288.0,526,18639,,1116,1116,,,,682,,,,,,1236,,,1236,3034,6555,,,,,5426,,,,5426,11981,15015,,1730,,,,4303.0,-121,5912,,5912,20927,
