Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1991,5213,49,49,0.0,348,,,659,,,,,55,,,,,1111,2728,8459.0,-5731.0,,,1374,,,,,1374,4102,,593,593,,,,145,,,,,,326,,,326,1064,1273,,,,,955,,,,955,2228,3292,23.0,,,,,,1898,1921,0,1921,5213,
06/30/1991,5422,63,63,0.0,395,,,642,,,,,87,,,,,1187,2783,8543.0,-5760.0,,,1452,,,,,1452,4235,,579,579,,,,208,,,,,,293,,,293,1080,1550,,,,,914,,,,914,2464,3544,25.0,,,,,,1853,1878,0,1878,5422,
09/30/1991,5641,64,64,0.0,504,,,684,,,,,92,,,,,1344,2797,8582.0,-5785.0,,,1500,,,,,1500,4297,,601,601,,,,197,,,,,,305,,,305,1103,1786,,,,,883,,,,883,2669,3772,25.0,,,,,,1844,1869,0,1869,5641,
12/31/1991,5627,79,79,0.0,487,,,623,,,,,103,,,,,1292,2797,8656.0,-5859.0,264.0,,1274,,,,,1274,4335,,653,653,,,,194,,,,,,346,,,346,1193,1848,,,,,894,,,,894,2742,3935,25.0,,,,-8.0,,1675,1692,0,1692,5627,
03/31/1992,5521,1,1,0.0,467,,,676,,,,,1,,,,,1145,2802,8702.0,-5900.0,,,1574,,,,,1574,4376,,549,549,,,,202,,,,,,329,,,329,1080,1938,,,,,834,,,,834,2772,3852,25.0,,,,,,1644,1669,0,1669,5521,
06/30/1992,5581,37,37,0.0,410,,,684,,,,,10,,,,,1141,2830,8787.0,-5957.0,,,1610,,,,,1610,4440,,568,568,,,,189,,,,,,328,,,328,1085,1825,,,,,808,,,,808,2633,3718,25.0,,,,,,1838,1863,0,1863,5581,
09/30/1992,5984,265,265,0.0,450,,,721,,,,,32,,,,,1468,2842,8838.0,-5996.0,,,1674,,,,,1674,4516,,561,561,,,,455,,,,,,340,,,340,1356,1959,,,,,825,,,,825,2784,4140,25.0,,,,,,1819,1844,0,1844,5984,
12/31/1992,6251,22,22,0.0,400,,,644,,,,,255,,,,,1321,2809,8842.0,-6033.0,205.0,,1916,,,,,1916,4930,,579,579,,,,142,,,,,,542,,,542,1263,2132,,,,,2609,,,,2609,4741,6004,25.0,,,,0.0,,222,247,0,247,6251,
03/31/1993,6282,33,33,0.0,416,,,693,,,,,200,,,,,1342,2772,8874.0,-6102.0,,,2168,,,,,2168,4940,,648,648,,,,75,,,,,,541,,,541,1264,1792,,,,,2636,,,,2636,4428,5692,32.0,,,,0.0,,558,590,0,590,6282,
06/30/1993,6498,24,24,0.0,481,,,675,,,,,412,,,,,1592,2712,8798.0,-6086.0,,,2194,,,,,2194,4906,,1379,1379,,,,68,,,,,,558,,,558,2005,1735,,,,,2520,,,,2520,4255,6260,32.0,,,,0.0,,206,238,0,238,6498,
09/30/1993,6565,44,44,0.0,478,,,664,,,,,408,,,,,1594,2688,8851.0,-6163.0,,,2283,,,,,2283,4971,,1375,1375,,,,21,,,,,,570,,,570,1966,1479,,,,,2516,,,,2516,3995,5961,32.0,,,,0.0,,572,604,0,604,6565,
12/31/1993,6616,79,79,0.0,583,,,629,,,,,284,,,,,1575,2653,8637.0,-5984.0,163.0,,2225,,,,,2225,5041,,672,672,,,,11,,,,,,938,,,938,1621,1540,,,,,2838,,,,2838,4378,5999,32.0,,,,0.0,,585,617,0,617,6616,
03/31/1994,6523,47,47,0.0,519,,,629,,,,,296,,,,,1491,2623,8658.0,-6035.0,,,2409,,,,,2409,5032,,633,633,,,,19,,,,,,569,,,569,1221,1599,,,,,2877,,,,2877,4476,5697,96.0,,,,0.0,,730,826,0,826,6523,
