Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Trading Assets & Liab,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Increase in Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1999,-15.086,12.218,5.355,-3.397,,,,-3.397,-29.261999,,,,,-4.93,,-4.93,,,,,,,,,,,,4.93,,,,,,,,,,,,,,,2.906,2.318,
06/30/1999,30.702,13.767,4.101,-1.807,,,,-1.807,14.641,,,,,-4.184,,-4.184,,,,,,,,,,,,4.184,,,,,,,,,,,,,,,13.983,5.273,
09/30/1999,86.162003,16.222,4.29,1.673,,,,1.673,63.977001,,,,,-3.824,,-3.824,,,,,,,,,,,,3.824,,,,,,,,,,,,,,,8.975,0.895,
12/31/1999,14.548,17.209,4.408,2.072,,,,2.072,-9.141,,,,-5.987,-5.987,,-5.987,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8.561,9.036,2.922,
03/31/2000,-34.821999,19.197001,4.633,-3.904,,,,-3.904,-54.748001,,,,-5.63,-5.63,,-5.63,,,,,,,,,,,,0.0,,,,,,,,,,,,,,-40.451999,0.088,1.058,
06/30/2000,40.558998,20.857,4.902,-2.242,,,,-2.242,17.042,,,,-4.962,-4.962,,-4.962,,,,,,,,,,,,0.0,,,,,,,,,,,,,,35.596998,26.9,0.0,
09/30/2000,59.117001,22.761,5.457,2.364,,,,2.364,28.535,,,,-11.861,-11.861,,-11.861,,,,,,,,,,,,0.0,,,,,,,,,,,,,,47.256001,15.526,0.0,
12/31/2000,49.490001,24.546,14.538001,34.278,,,,34.278,-23.872,,,,-33.798,-20.900002,0.0,-20.900002,-12.898,0.0,-12.898,0.0,,,,,,,,2e-06,-27.487001,0.0,-28.200001,,,,,1.212,1.228,-0.016,0.0,-0.499,,-11.795002,64.519998,,
03/31/2001,-26.459,25.496,5.749,8.433,,,,8.433,-66.137001,,,,,-8.195,,-8.195,,,,,,,,,,,,8.195,,,,,,,,,,,,,,,3.451,0.0,
06/30/2001,86.931,26.23,6.382,3.689,,,,3.689,50.630001,,,,,-9.838,,-9.838,,,,,,,,,,,,9.838,,,,,,,,,,,,,,,14.756,0.804,
