Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,308.052002,80.019001,39.240002,40.778999,33.505001,,,31.162001,,,,,37.512001,,,182.197998,118.514,153.856995,-35.342999,0.0,,7.34,,,,,7.34,125.854,,11.96,11.96,,,,1.893,,,,,,41.350999,,,,41.350999,55.203999,64.744003,,,,,0.0,,,,,0.0,64.744003,119.948002,0.0,195.223007,,,0.0,,-7.119,188.104007,0.0,188.104007,308.052009,
06/30/1990,346.951996,135.012001,81.749001,53.263,35.044998,,,28.419001,,,,,11.529,,,210.005005,126.706001,,,3.155,,7.086,,,,,7.086,136.947001,,5.434,5.434,,,,1.724,,,,,,61.856999,,,,61.856999,69.014999,64.097,,,,,0.0,,,,,0.0,64.097,133.112,0.0,209.813004,,,0.0,,4.027,213.840003,0.0,213.840003,346.952003,
09/30/1990,396.735992,140.757996,42.264999,98.492996,38.098,,,33.201,,,,,14.185,,,226.242004,143.850998,,,21.108999,,5.534,,,,,5.534,170.493997,,9.423,9.423,,,,1.755,,,,,,68.669999,,,,68.669999,79.848,13.688,,,,,0.0,,,,,0.0,13.688,93.535999,0.0,284.859009,,,0.0,,18.341,303.200008,0.0,303.200008,396.736008,
12/31/1990,459.546997,170.428001,55.220001,115.208,41.039001,,,33.983002,,,,,39.771999,,,285.221985,149.988998,197.656998,-47.667999,0.0,,24.336,,,,,24.336,174.324999,,7.385,7.385,,,,1.616,,,,,,78.161002,,,,78.161002,87.162003,63.271999,,,,,0.0,,,,,0.0,63.271999,150.434002,0.0,318.764008,,,0.0,,-9.651,309.113008,0.0,309.113008,459.547009,
03/31/1991,514.026001,156.537003,35.749001,120.788002,89.860001,,,35.849998,,,,,44.655998,,,326.903015,165.744003,,,0.0,,21.379,,,,,21.379,187.123003,,19.861,19.861,,,,1.651,,,,,,81.682,,,,81.682,103.194,12.817,,,,,0.0,,,,,0.0,12.817,116.011001,0.0,370.795013,,,0.0,,27.219999,398.015013,0.0,398.015013,514.026013,
07/02/1991,644.991028,232.416992,77.695999,154.720993,85.487999,,,35.217999,,,,,84.134003,,,437.256989,188.899994,,,0.0,,18.834,,,,,18.834,207.733994,,14.63,14.63,,,,1.812,,,,,,248.44301,,,,248.44301,264.88501,12.286,,,,,0.0,,,,,0.0,12.286,277.17101,0.0,388.979004,,,0.0,,-21.159,367.820004,0.0,367.820004,644.991014,
10/02/1991,730.645996,300.218002,107.134003,193.084,72.046997,,,40.224998,,,,,86.482002,,,498.971985,207.147995,,,0.0,,24.525999,,,,,24.525999,231.673994,,11.783,11.783,,,,1.715,,,,,,277.449998,,,,277.449998,290.947998,11.971,,,,,0.0,,,,,0.0,11.971,302.918998,0.0,399.487,,,0.0,,28.24,427.726999,0.0,427.726999,730.645997,
12/31/1991,865.531006,377.770996,146.453995,231.317001,88.191002,,,40.168999,,,,,83.448997,,,589.580017,245.733002,309.812012,-64.079002,0.0,,30.218,,,,,30.218,275.951002,,29.507999,29.507999,,,,1.75,,,,,,263.411007,,,,263.411007,294.669006,39.716999,,,,,0.0,,,,,0.0,39.716999,334.386005,0.0,442.944,,,0.0,,88.200996,531.144997,0.0,531.144997,865.531002,
03/31/1992,1020.60199,461.941009,140.063995,321.877014,96.634003,,,44.981998,,,,,86.388,,,689.945007,289.251007,,,0.0,,41.405998,,,,,41.405998,330.657005,,24.694,24.694,,,,1.842,,,,,,281.845012,,,,281.845012,308.381012,97.877998,,,,,0.0,,,,,0.0,97.877998,406.25901,0.0,468.319,,,0.0,,146.024002,614.343002,0.0,614.343002,1020.602012,
06/30/1992,1123.053955,488.976997,72.825996,416.151001,117.742996,,,47.521,,,,,87.592003,,,741.833008,331.07901,,,0.0,,50.141998,,,,,50.141998,381.221008,,24.509001,24.509001,,,,1.994,,,,,,307.680989,,,,307.680989,334.18399,97.422997,,,,,0.0,,,,,0.0,97.422997,431.606987,0.0,496.251007,,,0.0,,195.195999,691.447006,0.0,691.447006,1123.053993,
