Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,1368.974976,132.413998,112.849998,19.563999,246.613007,,,345.96701,,,,,108.461998,,,,833.455994,360.432007,656.854004,-296.421997,0.0,,175.087006,,,,,175.087006,535.519012,,178.350998,178.350998,,,,,,,,,,247.285995,,,247.285995,425.636993,104.019997,,,,,168.709,,,,168.709,272.728996,698.36599,0.0,193.151001,,,-131.479004,,608.937012,670.609009,0.0,670.609009,1368.974998,
06/30/1990,1405.557007,6.042,4.201,1.841,263.134003,,,366.029999,,,,,108.426003,,,,743.632019,356.362,653.750977,-297.389008,0.0,,305.562988,,,,,305.562988,661.924988,,195.218002,195.218002,,,,0.0,,,,,,228.241013,,,228.241013,423.459015,104.514999,,,,,167.651993,,,,167.651993,272.166992,695.626007,0.0,196.550003,,,-132.393997,,645.774978,709.930984,0.0,709.930984,1405.556991,
09/30/1990,1448.438965,56.589001,56.589001,0.0,279.40799,,,338.645996,,,,,102.925003,,,,777.567993,363.734009,666.200989,-302.46701,0.0,,307.136993,,,,,307.136993,670.871002,,177.602005,177.602005,,,,,,,,,,239.934006,,,239.934006,417.536011,110.515999,,,,,171.162003,,,,171.162003,281.678001,699.214012,0.0,197.410004,,,-132.449997,,684.264999,749.225006,0.0,749.225006,1448.439018,
12/31/1990,1504.395996,98.976997,95.976997,3.0,229.925995,,,373.338013,,,,,122.027,,,,824.268005,373.350006,687.857971,-314.507996,0.0,,306.778015,,,,,306.778015,680.128021,,202.854996,202.854996,,,,2.691,,,,,,226.636011,,,226.636011,432.182007,137.998993,,,,,170.511002,,,,170.511002,308.509995,740.692002,0.0,199.419998,,,-132.679993,,696.96399,763.703995,0.0,763.703995,1504.395997,
03/31/1991,1517.083008,1.858,1.858,0.0,292.427002,,,407.597992,,,,,130.953003,,,,832.835999,372.230011,697.705017,-325.475006,0.0,,312.016998,,,,,312.016998,684.247009,,207.063004,207.063004,,,,19.0,,,,,,215.111984,,,215.111984,441.174988,136.779007,,,,,172.317001,,,,172.317001,309.096008,750.270996,0.0,205.457001,,,-133.791,,695.145981,766.811981,0.0,766.811981,1517.082977,
06/30/1991,1594.389038,6.553,6.553,0.0,338.636993,,,410.932007,,,,,127.157997,,,,883.280029,381.238007,716.130981,-334.893005,0.0,,329.871002,,,,,329.871002,711.109009,,235.615005,235.615005,,,,27.0,,,,,,249.185989,,,249.185989,511.800995,98.782997,,,,,176.328995,,,,176.328995,275.111992,786.912987,0.0,209.225998,,,-133.871994,,732.121994,807.475998,0.0,807.475998,1594.388985,
09/30/1991,1599.927002,69.278999,69.278999,0.0,317.408997,,,389.424011,,,,,113.876999,,,,889.989014,380.502014,725.883972,-345.381989,0.0,,329.436005,,,,,329.436005,709.938019,,222.947006,222.947006,,,,,,,,,,253.201004,,,253.201004,476.14801,98.306999,,,,,175.617996,,,,175.617996,273.924995,750.073006,0.0,210.731003,,,-133.934006,,773.056992,849.853989,0.0,849.853989,1599.926994,
12/31/1991,1611.906006,100.765999,100.765999,0.0,246.546997,,,421.803986,,,,,118.019997,,,,887.137024,377.089996,734.879028,-357.789001,0.0,,347.678986,,,,,347.678986,724.768982,,203.557999,203.557999,,,,43.151001,,,,,,241.712997,,,241.712997,488.421997,71.767998,,,,,183.753006,,,,183.753006,255.521004,743.943001,0.0,215.166,,,-134.007004,,786.804001,867.962997,0.0,867.962997,1611.905998,
03/31/1992,1623.270996,7.514,7.514,0.0,315.897003,,,450.092987,,,,,115.334,,,,888.838013,381.851013,747.546021,-365.695007,0.0,,352.582001,,,,,352.582001,734.433014,,228.542999,228.542999,,,,9.8,,,,,,265.075,,,265.075,503.417999,70.537003,,,,,257.691986,,,,257.691986,328.228989,831.646988,0.0,221.919006,,,-137.041,,706.746017,791.624023,0.0,791.624023,1623.271011,
06/30/1992,1696.30603,15.727,15.727,0.0,368.539001,,,448.704987,,,,,120.459,,,,953.429993,388.729004,765.51001,-376.781006,0.0,,354.147003,,,,,354.147003,742.876007,,257.869995,257.869995,,,,0.0,,,,,,268.637024,,,268.637024,526.507019,69.265999,,,,,262.988007,,,,262.988007,332.254005,858.761024,0.0,223.979004,,,-137.468002,,751.033981,837.544983,0.0,837.544983,1696.306007,
