Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2017,29809,1729,1729,0,5106,5106,0,,0,0,0,0,0,1301,,0.0,,1301,8136,4971,,,0.0,16702,14597,8199,6398,551,1554,21673,,3879,1281,91,2507,1269,1269,0,0,,,1706,565,,917,6854,6372,0,6372,6372,,4456,0.0,912.0,2208,771,10828,17682,0,12684,152,12532,-497,-209,-162,11816,311,12127,29809,
06/30/2017,31216,2517,2517,0,5776,5776,0,,0,0,0,0,0,1282,,,,1282,9575,3334,,,,18307,15624,8774,6850,445,2238,21641,,4812,1961,126,2725,1203,742,320,320,,141.0,2076,641,,912,8091,6249,0,6249,6249,,4531,,,1979,1911,10780,18871,0,12125,3,12122,-53,-74,7,12005,340,12345,31216,
09/30/2017,33176,2671,2671,0,5676,5676,0,,0,0,0,0,0,1093,,,,1093,9440,3745,,,,19991,17162,9158,8004,386,2443,23736,,5087,1666,186,3235,2200,828,692,692,,680.0,2150,806,,825,9437,6325,0,6325,6325,,4907,,,2117,1984,11232,20669,0,12161,3,12158,-61,110,-70,12140,367,12507,33176,
12/31/2017,33582,2926,2926,0,5611,5611,0,,0,0,0,0,0,984,,,,984,9521,3812,,,0.0,20249,17247,9320,7927,458,2544,24061,,5941,1510,215,4216,2173,841,128,128,,1204.0,1524,856,,0,9638,6367,0,6367,6367,,4375,,,1523,1996,10742,20380,0,12204,3,12201,-83,834,-118,12837,365,13202,33582,
03/31/2018,33921,2593,2593,0,3110,3110,0,1273.0,0,0,0,0,0,2644,,6.0,456.0,2049,9620,3363,7049.0,-3686.0,0.0,20938,13995,7619,6376,373,3201,24301,,4760,1513,127,3120,1918,708,771,771,,439.0,3174,795,0.0,741,9852,6092,5338,754,754,,4140,0.0,879.0,1166,844,10232,20084,0,12213,3,12210,-85,1301,58,13487,350,13837,33921,
06/30/2018,29126,2579,2579,0,5271,5271,0,,0,0,0,0,0,966,,,0.0,966,8816,3349,6894.0,-3545.0,,16961,14350,7451,6899,332,2279,20310,,4722,1326,108,3288,2307,817,561,561,,929.0,2285,351,,755,9314,4747,3552,1195,1195,,3251,,,1182,1718,7998,17312,0,11871,3,11868,-87,0,-312,11472,342,11814,29126,
09/30/2018,28882,2780,2780,0,4928,4928,0,,0,0,0,0,0,1107,,,0.0,1107,8815,3281,,,,16786,14019,7417,6602,326,2441,20067,,4720,1358,94,3268,1618,813,576,576,,229.0,2176,301,,734,8514,5409,4183,1226,1226,,3122,,,1219,1602,8531,17045,0,11851,3,11848,-105,136,-382,11500,337,11837,28882,
12/31/2018,28871,2475,2475,0,5096,5096,0,,0,0,0,0,0,1577,626.0,,0.0,951,8522,3186,,,0.0,17163,14363,7593,6770,407,2393,20349,,5400,1345,122,3933,1580,800,540,540,,240.0,1542,273,0.0,0,8522,5980,4798,1182,1182,,3013,,,1171,1569,8993,17515,0,11346,3,11343,-134,274,-464,11022,334,11356,28871,
03/31/2019,29574,2899,2899,0,2508,2508,0,1114.0,0,0,0,0,0,2545,,0.0,0.0,2507,9066,3179,7137.0,-3958.0,0.0,17329,13545,7606,5939,355,3429,20508,,5229,1666,208,3355,1942,694,482,482,,766.0,2282,256,0.0,648,9453,5470,4825,645,645,,2926,0.0,790.0,1184,696,8396,17849,0,11304,3,11301,-136,478,-244,11402,323,11725,29574,
06/30/2019,32577,1868,1868,0,5234,5234,0,,0,0,0,0,0,1088,,,0.0,1088,8190,5219,9369.0,-4150.0,0.0,19168,15274,8806,6468,356,3538,24387,,4886,1517,186,3183,2097,704,1064,478,586.0,329.0,2355,309,,746,9338,9022,7155,1867,738,1129.0,3000,,,1281,1410,12022,21360,0,10919,3,10916,-149,494,-351,10913,304,11217,32577,
09/30/2019,29516,2880,2880,0,4611,4611,0,,0,0,0,0,0,999,,,0.0,999,8490,5037,9219.0,-4182.0,0.0,15989,12077,5784,6293,330,3582,21026,,4759,1603,213,2943,1960,687,977,488,489.0,296.0,2255,234,,684,8974,8837,7010,1827,688,1139.0,2835,,,1269,1332,11672,20646,0,10796,3,10793,-150,-1668,-428,8550,320,8870,29516,
12/31/2019,29599,2560,2560,0,4619,4619,0,,0,0,0,0,0,1004,,,0.0,1004,8183,5115,9432.0,-4317.0,0.0,16301,12143,6003,6140,372,3786,21416,,4958,1576,243,3139,2079,809,973,475,498.0,297.0,1747,747,,678,8784,8412,6676,1736,639,1097.0,3302,,,1189,1366,11714,20498,0,10704,3,10701,-151,-1628,-176,8749,352,9101,29599,
03/31/2020,26006,3679,3679,0,2094,2094,0,1419.0,0,0,0,0,0,1795,,0.0,,1795,8987,4975,8793.0,-3818.0,0.0,12044,7748,2017,5731,265,4031,17019,,4486,1598,87,2801,1758,542,926,444,482.0,290.0,1651,735,0.0,610,7895,9735,8070,1665,602,1063.0,3247,0.0,761.0,1157,594,12982,20877,0,10717,3,10714,-152,-5177,-603,4785,344,5129,26006,
06/30/2020,27894,5509,5509,0,4271,4271,0,,0,0,0,0,0,928,,,0.0,928,10708,5105,,,0.0,12081,7597,2057,5540,285,4199,17186,,4359,1522,81,2756,2170,967,920,432,488.0,283.0,1796,733,,766,8325,11542,9751,1791,583,1208.0,3085,,,1075,1277,14627,22952,0,10732,3,10729,-154,-5386,-599,4593,349,4942,27894,
