Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,323.401001,19.464001,19.464001,0.0,68.903,,,104.510002,,,,,22.476,,,,215.352997,94.553001,309.160004,-214.606995,0.0,13.495,,,,13.495,108.048001,,18.261,18.261,,,22.5,,,,,40.554003,,,40.554003,81.315002,138.404999,,,,2.561,,,,2.561,140.965999,222.281001,20.0,234.281006,,,0.0,,-153.160995,101.12001,0.0,101.12001,323.401012,
06/30/1990,333.23999,16.473,16.473,0.0,75.712997,,,109.82,,,,,21.820999,,,,223.826996,95.502998,313.709015,-218.205994,0.0,13.91,,,,13.91,109.412998,,21.726,21.726,,,30.083,,,,,36.740004,,,36.740004,88.549004,138.404999,,,,3.01,,,,3.01,141.414999,229.964002,20.0,234.449005,,,0.0,,-151.173004,103.276001,0.0,103.276001,333.240003,
09/30/1990,347.117004,20.743999,20.743999,0.0,82.944,,,113.553001,,,,,18.576,,,,235.817001,97.707001,317.951996,-220.244995,0.0,13.593,,,,13.593,111.300001,,21.061001,21.061001,,,32.778,,,,,43.557003,,,43.557003,97.396004,138.365005,,,,3.138,,,,3.138,141.503006,238.899009,19.995001,234.585999,,,0.0,,-146.363007,108.217993,0.0,108.217993,347.117002,
12/31/1990,395.627991,29.705,29.705,0.0,106.319,,,106.734001,,,,,13.931,,,,256.688995,117.876999,336.967987,-219.091003,0.0,21.062,,,,21.062,138.938999,,28.371,28.371,,,43.584999,,,,,52.924998,,,52.924998,124.880997,145.520004,,,,6.871,,,,6.871,152.391004,277.272001,19.983,239.921997,,,-12.585,,-128.963996,118.356001,0.0,118.356001,395.628002,
03/31/1991,384.21701,19.584999,19.584999,0.0,88.181,,,119.567001,,,,,17.02,,,,244.352997,117.704002,337.414001,-219.710007,0.0,22.16,,,,22.16,139.864002,,26.136999,26.136999,,,35.773998,,,,,51.246,,,51.246,113.156998,145.317001,,,,6.35,,,,6.35,151.667001,264.823999,19.975,240.768005,,,-12.585,,-128.765006,119.393,0.0,119.393,384.216999,
06/30/1991,404.5,16.74,16.74,0.0,97.928001,,,130.490997,,,,,18.341,,,,263.5,121.071999,341.987,-220.914993,0.0,19.927999,,,,19.927999,140.999998,,32.146999,32.146999,,,40.664001,,,,,56.705006,,,56.705006,129.516006,145.113998,,,,6.036,,,,6.036,151.149998,280.666005,19.969999,241.050995,,,-12.585,,-124.601996,123.833998,0.0,123.833998,404.500002,
09/30/1991,405.673004,16.087999,16.087999,0.0,95.788002,,,129.074997,,,,,19.101,,,,260.052002,126.400002,347.744995,-221.345001,0.0,19.221001,,,,19.221001,145.621002,,29.087999,29.087999,,,48.048,,,,,49.169001,,,49.169001,126.305,144.910995,,,,6.693,,,,6.693,151.603995,277.908996,19.969999,241.048996,,,-12.585,,-120.670005,127.76399,0.0,127.76399,405.672986,
12/31/1991,397.334991,18.191999,18.191999,0.0,92.574997,,,120.874001,,,,,8.292,,,,239.932999,129.429993,335.082001,-205.651993,0.0,27.972,,,,27.972,157.401993,,31.955,31.955,,,51.342999,,,,,48.315008,,,48.315008,131.613007,100.019997,,,,8.696,,,,8.696,108.715997,240.329004,19.969999,290.644012,,,-12.4711,,-141.136902,157.006009,0.0,157.006009,397.335013,
03/31/1992,383.22699,16.674999,16.674999,0.0,86.461998,,,114.234001,,,,,9.092,,,,226.462997,130.440994,337.733002,-207.292007,0.0,26.323,,,,26.323,156.763994,,23.983,23.983,,,49.823002,,,,,42.868002,,,42.868002,116.674004,99.734001,,,,7.889,,,,7.889,107.623001,224.297005,19.969999,290.661011,,,-12.585,,-139.116004,158.930006,0.0,158.930006,383.227011,
06/30/1992,376.735992,10.72,10.72,0.0,88.038002,,,112.649002,,,,,10.5,,,,221.906998,129.671005,338.546997,-208.876007,0.0,25.158001,,,,25.158001,154.829006,,27.171,27.171,,,48.042999,,,,,36.895002,,,36.895002,112.109001,99.598999,,,,7.168,,,,7.168,106.766999,218.876,19.969999,290.721985,,,-12.585,,-140.247001,157.859983,0.0,157.859983,376.735984,
09/30/1992,377.303009,11.987,11.987,0.0,95.598,,,106.929001,,,,,10.198,,,,224.712006,129.203995,340.013,-210.809006,0.0,23.386999,,,,23.386999,152.590994,,28.322001,28.322001,,,33.498001,,,,,41.361998,,,41.361998,103.181999,111.994003,,,,6.28,,,,6.28,118.274004,221.456003,19.969999,290.709991,,,-12.585,,-142.247993,155.846998,0.0,155.846998,377.303001,
12/31/1992,370.481995,16.249001,16.249001,0.0,89.264,,,77.315002,,,,,113.396004,,,,296.223999,44.522999,193.263,-148.740005,0.0,29.735001,,,,29.735001,74.258,,30.462999,30.462999,,,149.343002,,,,,33.945998,,,33.945998,213.751999,0.0,,,,6.945,,,,6.945,6.945,220.696999,19.969999,290.683014,,,-12.585,,-148.282996,149.785017,0.0,149.785017,370.482016,
03/31/1993,407.567993,158.375,158.375,0.0,91.662003,,,75.264,,,,,7.106,,,,332.407013,45.205002,196.990005,-151.785004,0.0,29.955999,,,,29.955999,75.161001,,37.271,37.271,,,60.301998,,,,,82.488998,,,82.488998,180.061996,0.0,,,,6.355,,,,6.355,6.355,186.416996,19.969999,290.684998,,,-12.585,,-76.918998,221.150999,0.0,221.150999,407.567996,
06/30/1993,376.464996,143.714996,143.714996,0.0,75.466003,,,76.630997,,,,,7.417,,,,303.229004,45.200001,197.197006,-151.996994,0.0,28.035999,,,,28.035999,73.236,,22.686001,22.686001,,,14.207,,,,,62.315,,,62.315,99.208,46.0,,,,6.792,,,,6.792,52.792,152.0,0.0,318.088013,,,-12.585,,-81.038001,224.465012,0.0,224.465012,376.465012,
09/30/1993,347.687988,120.357002,120.357002,0.0,73.636002,,,73.083,,,,,7.094,,,,274.170013,45.493999,194.067001,-148.572998,0.0,28.024,,,,28.024,73.518,,20.617001,20.617001,,,3.191,,,,,61.142996,,,61.142996,84.950996,46.0,,,,7.141,,,,7.141,53.141,138.091996,0.0,318.13501,,,-12.951,,-95.588001,209.596008,0.0,209.596008,347.688004,
12/31/1993,348.385986,101.560997,101.560997,0.0,67.830002,,,81.653999,,,,,4.802,,,,255.847,62.162003,201.557007,-139.395004,0.0,30.377001,,,,30.377001,92.539004,,24.763,24.763,,,0.702,,,,,54.505001,,,54.505001,79.970001,46.0,,,,7.95,,,,7.95,53.95,133.920001,0.0,318.17099,,,-13.914,,-89.791002,214.465988,0.0,214.465988,348.385989,
03/31/1994,590.882996,14.108,14.108,0.0,181.804993,,,168.643005,,,,,12.42,,,,376.976013,116.153,497.251007,-381.097992,0.0,97.753998,,,,97.753998,213.906998,,50.478001,50.478001,,,12.812,,,,,90.424004,,,90.424004,153.714005,119.5,,,,21.285999,,,,21.285999,140.785999,294.500004,0.0,318.208008,,,-13.914,,-82.611002,221.683006,74.699997,296.383003,590.883007,
06/30/1994,584.366028,10.492,10.492,0.0,178.75,,,174.113007,,,,,10.386,,,,373.740997,121.806,504.872986,-383.066986,0.0,88.819,,,,88.819,210.625,,48.409,48.409,,,12.646,,,,,89.497993,,,89.497993,150.552994,110.699997,,,,23.646999,,,,23.646999,134.346996,284.89999,0.0,318.776001,,,-6.636,,-79.555002,232.584999,66.880997,299.465996,584.365986,
09/30/1994,610.612,7.254,7.254,0.0,185.505997,,,201.235992,,,,,10.76,,,,404.756012,117.211998,503.046997,-385.834991,0.0,88.643997,,,,88.643997,205.855995,,54.160999,54.160999,,,14.322,,,,,87.116,,,87.116,155.598999,119.199997,,,,23.393,,,,23.393,142.592997,298.191996,0.0,319.222992,,,-13.914,,-62.447001,242.861992,69.557999,312.419991,610.611986,
12/31/1994,619.780029,8.145,8.145,0.0,201.052994,,,201.104004,,,,,11.294,,,,421.596008,117.709,267.096985,-149.388,0.0,80.474998,,,,80.474998,198.183998,,67.873001,67.873001,,,15.852,,,,,80.521993,,,80.521993,164.246994,115.0,,,,17.097,,,,17.097,132.097,296.343994,0.0,319.194,,,-13.914,,-52.158998,253.121002,70.315002,323.436004,619.779998,
03/31/1995,631.91803,7.589,7.589,0.0,198.533005,,,210.431,,,,,14.53,,,,431.083008,121.019997,269.600006,-148.580002,0.0,79.815002,,,,79.815002,200.834999,,56.393002,56.393002,,,30.551001,,,,,80.770994,,,80.770994,167.714996,111.099998,,,,16.361,,,,16.361,127.460999,295.175995,0.0,320.381989,,,-13.914,,-41.539999,264.92799,71.814003,336.741993,631.917988,
06/30/1995,664.703003,6.88,6.88,0.0,208.307999,,,217.938995,,,,,18.410999,,,,451.537994,125.819,280.213013,-154.393997,0.0,87.346001,,,,87.346001,213.165001,,64.805,64.805,,,26.264,,,,,84.483994,,,84.483994,175.552994,119.859001,,,,16.224001,,,,16.224001,136.083002,311.635996,0.0,322.069,,,-13.914,,-30.576002,277.578999,75.487999,353.066998,664.702993,
09/30/1995,675.16803,3.448,3.448,0.0,221.070999,,,215.677994,,,,,19.546,,,,459.743011,126.377998,275.26001,-148.882004,0.0,89.046997,,,,89.046997,215.424995,,54.665001,54.665001,,,29.198999,,,,,90.675993,,,90.675993,174.539993,115.249001,,,,16.796,,,,16.796,132.045,306.584993,0.0,322.251007,,,-13.914,,-19.060999,289.276009,79.306999,368.583008,675.168001,
12/31/1995,702.843994,14.845,14.845,0.0,230.589996,,,221.951996,,,,,17.903999,,,,485.290985,132.498993,298.416992,-165.917999,0.0,85.054001,,,,85.054001,217.552994,,71.439003,71.439003,,,25.146999,,,,,88.702999,,,88.702999,185.289001,117.237999,,,,15.754,,,,15.754,132.991999,318.281,0.0,322.516998,,,-13.914,,-7.717001,300.885997,83.677002,384.562999,702.843999,
