Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
12/31/1996,728,284.0,,,,,,,,,,,-158,-158,,,,-158,,,,,,,,,,0,,,,,,,,,,,,570,,,
03/31/1997,232,152.0,,,,,,,,,,,26,-60,85.0,,,-145,,,0.0,0.0,0.0,,,,,86,-237.0,0.0,-240.0,,,,0.0,0.0,0.0,3.0,,21,,,
06/30/1997,827,302.0,,,,,,,,,,,-744,-224,92.0,,,-316,,,0.0,0.0,0.0,,,,,-520,-150.0,0.0,-21.0,,,,-158.0,0.0,-158.0,29.0,,-67,,,
09/30/1997,1323,323.0,,,,,,,,,,,-918,-204,5.0,,,-209,,,0.0,0.0,0.0,,,,,-714,-397.0,0.0,-57.0,,,,-308.0,126.0,-434.0,-32.0,,8,,,
12/31/1997,541,208.0,,,,,,,,,,,-100,-621,99.0,,,-720,,,0.0,0.0,0.0,,,,,521,-404.0,0.0,-330.0,,,,52.0,200.0,-148.0,-126.0,,37,,,
03/31/1998,500,290.0,318.0,-108.0,,,-108.0,,,,,,-241,-415,90.0,,,-505,,,0.0,0.0,0.0,,,,,174,-199.0,0.0,-93.0,,,,-106.0,58.0,-164.0,0.0,,60,27.0,96.0,
06/30/1998,797,409.0,320.0,68.0,,,68.0,,,,,,-681,-613,106.0,,,-719,,,0.0,0.0,0.0,,,,,-68,-136.0,0.0,49.0,,,,-185.0,17.0,-202.0,0.0,,-20,246.0,63.0,
09/30/1998,1271,433.0,328.0,510.0,,,510.0,,,,,,-755,-699,27.0,,,-726,,,0.0,0.0,0.0,,,,,-56,-550.0,0.0,-140.0,,,,-518.0,5.0,-523.0,108.0,,-34,162.0,67.0,
12/31/1998,606,182.0,,,,,,,,,,,-554,-624,87.0,,,-711,,,0.0,0.0,0.0,,,,,70,-29.0,0.0,-363.0,,,,172.0,277.0,-105.0,162.0,,23,-27.0,51.0,
03/31/1999,178,158.0,316.0,,,,,,,,,,-117,-989,19.0,,,-1008,,,0.0,0.0,0.0,,,,,872,-94.0,0.0,-6.0,,,,-401.0,6.0,-407.0,313.0,,-33,16.0,72.0,
06/30/1999,1075,268.0,351.0,,,,,,,,,,-1176,-1026,27.0,,,-1053,,,0.0,0.0,0.0,,,,,-150,118.0,0.0,648.0,,,,-271.0,18.0,-289.0,-259.0,,17,88.0,49.0,
09/30/1999,910,279.0,317.0,,,,,,,,,,-1177,-794,21.0,,,-815,,,0.0,0.0,0.0,,,,,-383,284.0,0.0,512.0,,,,-228.0,6.0,-234.0,0.0,,17,10.0,76.0,
12/31/1999,101,280.0,108.0,-287.0,,,-287.0,,,,,,-980,-651,12.0,,,-663,,,0.0,0.0,0.0,,,,,-329,876.0,0.0,822.0,,,,54.0,54.0,0.0,0.0,,-3,-43.0,40.0,
03/31/2000,521,132.0,288.0,,,,,,,,,,-329,-781,0.0,,,-781,,,0.0,0.0,0.0,,,,,452,-201.0,0.0,-209.0,,,,8.0,8.0,0.0,0.0,,-9,28.0,77.0,
06/30/2000,1288,321.0,294.0,,,,,,,,,,-1380,-1136,0.0,,,-1136,,,0.0,0.0,0.0,,,,,-244,144.0,0.0,131.0,,,,13.0,13.0,0.0,0.0,,52,-28.0,-77.0,
09/30/2000,923,313.0,307.0,,,,,,,,,,-689,-875,0.0,,,-875,,,0.0,0.0,0.0,,,,,186,-191.0,0.0,-199.0,,,,8.0,8.0,0.0,0.0,,43,0.0,0.0,
12/31/2000,410,47.0,313.0,,,,,,,,,,-877,-887,0.0,,,-887,,,0.0,0.0,0.0,,,,,10,385.0,0.0,347.0,,,,38.0,38.0,0.0,0.0,,-82,,,
03/31/2001,19,-43.0,313.0,,,,,,,,,,-274,-720,127.0,,,-847,,,-312.0,0.0,-312.0,,,,,758,338.0,0.0,313.0,,,,25.0,25.0,0.0,0.0,,83,,,
06/30/2001,866,-507.0,352.0,,,,,,,,,,-1470,-1198,79.0,,,-1277,,,312.0,312.0,0.0,,,,,-584,697.0,0.0,688.0,,,,9.0,9.0,0.0,0.0,,93,,,
09/30/2001,421,-414.0,368.0,,,,,,,,,,-1814,-815,120.0,,,-935,,,0.0,0.0,0.0,,,,,-999,1197.0,0.0,1053.0,,,,3.0,3.0,0.0,141.0,,-196,,,
12/31/2001,-764,-798.0,371.0,,,,,,,,,,-1182,-506,75.0,,,-581,,,0.0,0.0,0.0,,,,,-676,1979.0,0.0,1768.0,,,,-141.0,0.0,-141.0,352.0,,33,,,
03/31/2002,-406,-575.0,341.0,,,,,,,,,,85,-619,0.0,,,-619,,,0.0,0.0,0.0,,,,,704,335.0,0.0,333.0,,,,2.0,2.0,0.0,0.0,,14,,,
06/30/2002,492,-495.0,338.0,,,,,,,,,,-497,-332,162.0,,,-494,,,0.0,0.0,0.0,,,,,-165,66.0,0.0,65.0,,,,1.0,1.0,0.0,0.0,,61,,,
09/30/2002,-558,-924.0,340.0,,,,,,,,,,-858,-393,31.0,,,-424,,,0.0,0.0,0.0,,,,,-465,1344.0,0.0,1344.0,,,,0.0,0.0,0.0,0.0,,-72,,,
12/31/2002,-639,-529.0,347.0,,,,,,,,,,-123,-317,27.0,,,-344,,,0.0,0.0,0.0,,,,,194,761.0,0.0,670.0,,,,0.0,0.0,0.0,91.0,,-1,,,
03/31/2003,-321,-1043.0,338.0,,,,,,,,,,388,-364,29.0,,,-393,,,0.0,0.0,0.0,,,,,752,-14.0,0.0,72.0,,,,0.0,0.0,0.0,-86.0,,53,,,
06/30/2003,705,-75.0,344.0,,,,,,,,,,-820,-447,7.0,,,-454,,,0.0,0.0,0.0,,,,,-373,115.0,0.0,115.0,,,,0.0,0.0,0.0,0.0,,0,,,
09/30/2003,425,1.0,345.0,,,,,,,,,,-496,370,370.0,,,0,,,0.0,0.0,0.0,,,,,-866,72.0,0.0,-14.0,,,,0.0,0.0,0.0,86.0,,1,,,
12/31/2003,-208,-111.0,350.0,,,,,,,,,,283,156,156.0,,,0,,,0.0,0.0,0.0,,,,,127,-113.0,0.0,-114.0,,,,1.0,1.0,0.0,0.0,,-38,,,
03/31/2004,371,-166.0,326.0,,,,,,,,,,-769,-213,0.0,,,-213,,,0.0,0.0,0.0,,,,,-556,430.0,0.0,428.0,,,,2.0,2.0,0.0,0.0,,32,,,
06/30/2004,362,6.0,320.0,,,,,,,,,,-359,-261,40.0,,,-301,,,0.0,0.0,0.0,,,,,-98,41.0,0.0,38.0,,,,3.0,3.0,0.0,0.0,,44,,,
09/30/2004,70,-214.0,317.0,,,,,,,,,,-84,-240,19.0,,,-259,,,0.0,0.0,0.0,,,,,156,-65.0,0.0,-66.0,,,,1.0,1.0,0.0,0.0,,-79,,,
12/31/2004,-86,-387.0,329.0,,,,,,,,,,164,-48,206.0,,,-254,,,0.0,0.0,0.0,,,,,212,-75.0,0.0,-76.0,,,,1.0,1.0,0.0,0.0,,3,,,
03/31/2005,465,-162.0,290.0,,,,,,,,,,-345,-239,3.0,,,-242,,,0.0,0.0,0.0,,,,,-106,-92.0,0.0,-93.0,,,,1.0,1.0,0.0,0.0,,28,,,
06/30/2005,-179,58.0,286.0,,,,,,,,,,-559,-227,15.0,,,-242,,,0.0,0.0,0.0,,,,,-332,-22.0,0.0,-33.0,,,,11.0,11.0,0.0,0.0,,-760,,,
09/30/2005,746,-153.0,292.0,,,,,,,,,,-154,-95,7.0,,,-102,,,0.0,0.0,0.0,,,,,-59,147.0,0.0,-58.0,,,,7.0,7.0,0.0,198.0,,739,,,
12/31/2005,-8,-600.0,296.0,,,,,,,,,,-481,-80,15.0,,,-95,,,0.0,0.0,0.0,,,,,-401,500.0,0.0,305.0,,,,260.0,260.0,0.0,-65.0,,11,,,
