Date,Assets,Cash & Near Cash Items,Short-Term Investments,Accounts & Notes Receivable,Long-Term Investments,Loans & Mortgages,Real Estate Investments,Other Long-Term Investments,Net Fixed Assets,Other Assets,Total Assets,Liabilities & Shareholders' Equity,Customer Deposits,ST Borrowings & Repos,Long-Term Borrowings,Short and Long Term Debt,Other Short-Term Liabilities,Other Long-Term Liabilities,Total Liabilities,Total Preferred Equity,Minority Interest,Share Capital & APIC,Retained Earnings & Other Equity,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/29/1989,,60.110001,24155.914062,0.0,13464.336914,13464.336914,0.0,0.0,176.434006,491.759003,38348.554688,,6178.504883,30286.623047,384.377991,30671.001038,80.027,346.006989,37275.539909,150.0,0.0,861.598022,61.415001,1073.013023,38348.552933,
12/31/1989,,101.732002,24432.990234,0.0,10552.829102,10552.829102,0.0,0.0,180.393997,519.778015,35787.722656,,6983.167969,26889.958984,384.381989,27274.340973,130.139008,340.363007,34728.010956,150.0,0.0,861.598022,48.115002,1059.713024,35787.72398,
03/30/1990,,165.757996,22297.806641,0.0,14061.878906,14061.878906,0.0,0.0,182.326996,466.054993,37173.824219,,7086.958984,28098.515625,383.885986,28482.401611,187.878998,351.846985,36109.086578,150.0,0.0,916.794006,-2.056,1064.738006,37173.824585,
06/30/1990,,91.695,26721.019531,0.0,4077.4021,4077.4021,0.0,0.0,181.324997,503.049988,31574.490234,,7081.901855,22419.769531,383.890015,22803.659546,257.53299,355.338989,30498.43338,150.0,0.0,972.341003,-46.284,1076.057003,31574.490383,
09/28/1990,,36.34,36745.261719,0.0,5057.37207,5057.37207,0.0,0.0,185.149002,597.752014,42621.875,,7549.402832,33251.792969,383.394012,33635.186981,73.725998,344.932007,41603.247818,150.0,0.0,1030.848999,-162.220993,1018.628006,42621.875824,
12/31/1990,,351.179993,13005.362305,20826.755859,0.0,0.0,0.0,0.0,185.348999,582.75,34951.394531,,0.0,24577.65625,383.39801,24961.05426,8604.789062,381.285004,33947.128326,150.0,0.0,1031.338989,-177.070999,1004.26799,34951.396317,
03/29/1991,,291.497986,33133.640625,0.0,3833.700928,3833.700928,0.0,0.0,193.604004,536.151978,37988.59375,,7504.410156,28468.611328,382.903015,28851.514343,204.548004,388.846008,36949.318512,150.0,0.0,1031.350952,-142.076004,1039.274948,37988.59346,
06/30/1991,,478.153015,34080.078125,0.0,3881.931885,3881.931885,0.0,0.0,196.039001,648.708984,39284.910156,,7546.346191,29185.599609,681.846008,29867.445618,281.128998,493.971008,38188.891815,150.0,0.0,1105.401001,-159.378006,1096.022995,39284.91481,
09/27/1991,,86.793999,45436.519531,0.0,7788.98877,7788.98877,0.0,0.0,201.475006,501.350006,54015.128906,,8328.538086,43235.574219,681.383972,43916.958191,146.304001,524.039001,52915.839279,150.0,0.0,1105.401978,-156.113998,1099.287979,54015.127258,
12/31/1991,,84.598999,46672.292969,0.0,7228.055176,7228.055176,0.0,0.0,197.044998,488.105988,54670.097656,,9579.713867,42413.074219,696.40802,43109.482239,287.127014,554.362,53530.68512,150.0,0.0,1177.213013,-187.800995,1139.412018,54670.097137,
03/27/1992,,292.247986,42394.140625,0.0,5419.029785,5419.029785,0.0,0.0,204.612,708.265015,49018.292969,,7854.160156,37721.542969,1025.342041,38746.88501,445.776001,794.781982,47841.603149,150.0,0.0,1177.907959,-151.216995,1176.690964,49018.294113,
06/30/1992,,124.087997,40302.539062,0.0,4311.521973,4311.521973,0.0,0.0,225.968002,804.215027,45768.328125,,9472.55957,32663.380859,1039.395996,33702.776855,438.686005,877.330017,44491.352448,150.0,0.0,1263.640991,-136.656998,1276.983994,45768.336441,
09/25/1992,,217.123993,51643.160156,0.0,4491.806152,4491.806152,0.0,0.0,231.602997,764.351013,57348.039062,,10941.0,42854.390625,1218.54895,44072.939575,158.979996,875.60498,56048.524551,150.0,0.0,1263.927002,-114.416,1299.511002,57348.035553,
12/31/1992,,205.046997,51980.28125,105.686996,5090.137207,5090.137207,0.0,0.0,232.470001,541.666016,58155.28125,,11719.360352,42646.308594,1283.578003,43929.886597,426.851013,749.146973,56825.244934,150.0,0.0,1362.490967,-182.453995,1330.036972,58155.281906,
03/26/1993,,410.296997,48366.460938,80.422997,7162.876953,7162.876953,0.0,0.0,232.276993,548.322998,56800.660156,,12709.379883,39572.109375,1564.135986,41136.245361,625.028992,739.560974,55210.21521,337.5,0.0,1356.480957,-103.530998,1590.449959,56800.665169,
06/30/1993,,317.885986,50266.558594,109.217003,5970.472168,5970.472168,0.0,0.0,238.936005,536.43103,57439.5,,13038.379883,39395.769531,1799.123047,41194.892578,647.323975,782.379028,55662.975464,337.5,0.0,1357.063965,81.966003,1776.529968,57439.505432,
09/24/1993,,275.125,57357.769531,402.868988,6517.658203,6517.658203,0.0,0.0,245.175003,514.049011,65312.648438,,14461.469727,44954.78125,2344.781006,47299.562256,610.924988,986.39801,63358.35498,351.993011,0.0,1483.687988,118.611,1954.292,65312.64698,
12/31/1993,,394.609985,56660.109375,113.810997,9588.125,9588.125,0.0,0.0,250.356995,377.048004,67384.0625,,14972.030273,46444.390625,2624.896973,49069.287598,626.885986,675.442993,65343.646851,351.993011,0.0,1483.824951,204.600998,2040.418961,67384.065811,
03/25/1994,,213.022003,65476.421875,175.988007,11113.370117,11113.370117,0.0,0.0,257.419006,397.746002,77633.960938,,16086.219727,54604.699219,3208.024902,57812.724121,884.142029,617.856018,75400.941895,351.993011,150.0,1484.584961,246.440994,2233.018967,77633.960861,
06/30/1994,,294.604004,58022.839844,178.123001,8247.060547,8247.060547,0.0,0.0,271.807007,377.584991,67392.023438,,16387.929688,44279.78125,3037.095947,47316.877197,881.067993,489.575012,65075.44989,351.993011,150.0,1592.031006,222.542007,2316.566024,67392.015914,
09/30/1994,,930.124023,58872.210938,199.063004,7489.112793,7489.112793,0.0,0.0,284.934998,363.571991,68139.023438,,16141.730469,45357.851562,3434.851074,48792.702637,449.787994,453.975006,65838.196106,351.993011,150.0,1594.397949,204.427994,2300.818954,68139.01506,
12/31/1994,,739.986023,56648.28125,172.828003,8621.03125,8621.03125,0.0,0.0,299.740997,360.230011,66842.09375,,16655.050781,43343.488281,3503.427979,46846.91626,480.166992,552.695007,64534.829041,351.993011,150.0,1596.137939,209.138,2307.268951,66842.097992,
03/31/1995,,387.60199,61346.25,187.664993,7109.022949,7109.022949,0.0,0.0,311.842987,405.214996,69747.601562,,16273.019531,46610.351562,3499.914062,50110.265625,653.109985,351.869995,67388.265137,351.993011,150.0,1600.07605,257.270996,2359.340057,69747.605194,
06/30/1995,,700.500977,66391.90625,227.069,6572.448242,6572.448242,0.0,0.0,312.867004,392.372009,74597.15625,,16236.610352,51207.929688,3415.944092,54623.87378,780.289978,453.924011,72094.698121,351.993011,150.0,1709.439941,291.028015,2502.460967,74597.159088,
