Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1994,1.5,10.3,18.700001,22.200001,,22.200001,-49.700001,,,-49.700001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,-74.099998,19.6,18.1,-102.800003,,-102.800003,-9.0,,,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,20.1,41.299999,18.700001,-16.9,,-16.9,-23.0,,,-23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,-121.0,186.399994,15.2,-276.899994,,-276.899994,-45.700001,,,-45.700001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-121.0,,,
03/31/1995,-6.9,68.300003,19.299999,-89.5,,-89.5,-5.0,,,-5.0,,,-15.5,,,,-15.5,,,,,,,,,,15.5,,,,,,,,,,,,,,,
06/30/1995,143.300003,78.400002,19.200001,40.700001,,40.700001,5.0,,,5.0,,,-34.5,,,,-34.5,,,,,,,,,,34.5,,,,,,,,,,,,,,,
09/30/1995,62.799999,67.199997,19.299999,-23.700001,,-23.700001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1995,100.900002,54.700001,16.799999,81.5,,81.5,-52.099998,,,-52.099998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1996,-102.0,37.0,20.0,-159.0,,-159.0,,,,,,,-5.4,,,,-5.4,,,,,,,,,,5.4,,,,,,,,,,,,,,,
06/30/1996,63.700001,38.5,20.0,5.2,,5.2,,,,,,,-14.6,,,,-14.6,,,,,,,,,,14.6,,,,,,,,,,,,,,,
09/30/1996,52.099998,39.700001,18.700001,-6.3,,-6.3,,,,,,,-35.299999,,,,-35.299999,,,,,,,,,,35.299999,,,,,,,,,,,,,,,
12/31/1996,72.5,30.700001,17.4,24.4,,24.4,,,,,,,-86.300003,,,,-86.300003,,,,,,,,,,86.300003,,,,,,,,,,,,,,,
03/31/1997,105.800003,34.5,20.0,51.299999,,51.299999,,,,,,-113.300003,-88.599998,0.0,,,-88.599998,,,0.0,0.0,0.0,,,,,-24.700005,0.2,-8.0,10.0,,,,-1.8,2.9,-4.7,0.0,,-7.3,,,
06/30/1997,102.099998,39.0,19.9,43.200001,,43.200001,,,,,,-188.0,-102.0,0.0,,,-102.0,,,0.0,0.0,0.0,,,,,-86.0,81.9,-7.9,92.5,,,,-2.7,1.6,-4.3,0.0,,-4.0,,,
09/30/1997,158.5,37.0,19.799999,101.699997,,101.699997,,,,,,-163.100006,-175.199997,0.0,,,-175.199997,,,0.0,0.0,0.0,,,,,12.099991,4.8,-7.9,20.0,,,,-1.3,2.3,-3.6,-6.0,,0.2,,,
12/31/1997,105.599998,40.400002,20.1,45.099998,,45.099998,,,,,,-241.899994,-269.800012,0.9,,,-270.700012,,,0.0,0.0,0.0,,,,,27.900018,-27.500001,-10.3,0.0,,,,-17.000001,0.2,-17.200001,-0.2,,-163.800003,,,
03/31/1998,56.700001,28.4,21.200001,7.1,,7.1,,,,,,-120.099998,-197.300003,0.0,,,-197.300003,,,0.0,0.0,0.0,,,,,77.200005,110.2,-7.5,147.5,,,,-29.5,0.6,-30.1,-0.3,,46.799999,0.2,0.8,
06/30/1998,81.800003,33.400002,18.700001,29.700001,,29.700001,,,,,,-125.400002,-216.800003,0.0,,,-216.800003,,,0.0,0.0,0.0,,,,,91.400002,-12.8,-7.4,0.0,,,,-5.4,0.0,-5.4,0.0,,-56.400002,,,
09/30/1998,-37.700001,30.1,76.900002,-144.699997,,-144.699997,0.0,,,0.0,,-202.600006,-233.899994,0.0,,,-233.899994,,,0.0,0.0,0.0,,,,,31.299988,-53.200002,-14.8,-34.400002,,,,-3.7,0.4,-4.1,-0.3,,-293.5,21.200001,77.699997,
12/31/1998,159.3,63.6,29.1,69.9,,69.9,,,,,,-58.9,-135.2,8.4,,,-143.6,,,0.0,0.0,0.0,,,,,76.3,-6.3,-7.3,0.0,,,,1.0,1.0,0.0,0.0,,94.1,,,
03/31/1999,58.099998,39.599998,50.099998,-31.6,,-31.6,,,,,,-90.0,-90.199997,0.0,,,-90.199997,,,0.0,0.0,0.0,,,,,0.199997,328.800003,-9.8,346.800003,,,,-0.5,0.0,-0.5,-7.7,,296.899994,1.0,0.5,
06/30/1999,90.5,29.700001,50.299999,10.5,,10.5,,,,,,-91.699997,-79.900002,0.0,,,-79.900002,,,0.0,0.0,0.0,,,,,-11.799995,-349.900012,-9.8,-327.700012,,,,4.5,5.2,-0.7,-16.9,,-351.100006,4.0,52.400002,
09/30/1999,50.799999,2.4,54.900002,-6.5,,-6.5,,,,,,-131.300003,-83.300003,0.0,,,-83.300003,,,0.0,0.0,0.0,,,,,-48.0,-82.699997,-10.0,37.8,,,,-109.799997,8.4,-118.199997,-0.7,,-163.199997,1.3,20.299999,
12/31/1999,216.3,-6.3,71.8,150.8,,150.8,,,,,,-10.1,-81.7,2.1,,,-83.8,,,0.0,0.0,0.0,,,,,71.6,-114.7,-13.1,-127.7,,,,13.2,13.2,0.0,12.9,,91.5,,,
03/31/2000,48.799999,26.5,60.200001,-37.900002,,-37.900002,0.0,,,0.0,,-32.799999,-33.400002,0.0,,,-33.400002,,,0.0,0.0,0.0,,,,,0.600002,-13.5,-14.2,-0.2,,,,1.3,1.6,-0.3,-0.4,,2.5,1.8,24.0,
