Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2007,1124.0,,-937.0,,187.0,,-142.0,,,,,45.0,-45.0,32.0,32.0,,13.0,0.0,0.0,,0.0,1.0,,,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,,128.199997,0.01,0.01,0.14,129.0,0.01,0.01,0.14,
06/30/2007,1282.0,,-1044.0,,238.0,,-152.0,,,,,86.0,-41.0,31.0,31.0,,10.0,45.0,-14.0,,31.0,0.0,,,31.0,-2.0,29.0,0.0,0.0,29.0,29.0,,128.300003,0.23,0.23,0.39,129.399994,0.22,0.22,0.37,
09/30/2007,1268.0,,-1055.0,,213.0,,-125.0,,,,,88.0,-32.0,27.0,27.0,,5.0,56.0,-16.0,,40.0,-74.0,,,114.0,-2.0,112.0,0.0,0.0,112.0,112.0,,128.399994,0.87,0.3,0.37,129.0,0.87,0.3,0.37,
12/31/2007,1304.0,,-1165.0,,139.0,,-155.0,,133.0,,22.0,-16.0,-62.0,,32.0,,30.0,-78.0,38.0,,-40.0,6.0,,,-46.0,0.0,-46.0,0.0,0.0,-46.0,-46.0,,128.1,-0.36,-0.31,0.36,128.8,-0.36,-0.31,0.36,
03/31/2008,1353.0,,-1159.0,,194.0,,-164.0,,142.0,,22.0,30.0,-41.0,32.0,32.0,,9.0,-11.0,-2.0,,-13.0,,,,-13.0,,-13.0,0.0,0.0,-13.0,-13.0,,128.8,-0.1,-0.12,0.09,128.8,-0.1,-0.12,0.09,
06/30/2008,1574.0,,-1317.0,,257.0,0.0,-179.0,,165.0,,14.0,78.0,-33.0,29.0,29.0,,4.0,45.0,-2.0,-1.0,42.0,0.0,,,42.0,-1.0,41.0,0.0,0.0,41.0,41.0,,128.8,0.32,0.32,0.32,129.8,0.32,0.32,0.32,
09/30/2008,1629.0,,-1358.0,,271.0,0.0,-156.0,,151.0,,5.0,115.0,-31.0,29.0,29.0,,2.0,84.0,-892.0,2.0,-806.0,0.0,,,-806.0,-1.0,-807.0,0.0,0.0,-807.0,-807.0,,127.0,-6.35,-6.35,-6.35,127.0,-6.35,-6.35,-6.35,
12/31/2008,1317.0,,-1091.0,,226.0,,-169.0,,159.0,,10.0,57.0,-57.0,26.0,26.0,0.0,31.0,0.0,-35.0,,-35.0,0.0,,,-35.0,1.0,-34.0,0.0,0.0,-34.0,-34.0,,124.8,-0.27,-0.27,0.22,124.8,-0.27,-0.27,0.22,
03/31/2009,1074.0,1074.0,-916.0,916.0,158.0,0.0,-176.0,124.0,124.0,15.0,37.0,-18.0,-25.0,25.0,,,0.0,-43.0,14.0,1.0,-28.0,0.0,0.0,0.0,-28.0,,-28.0,0.0,0.0,-28.0,-8.5,19.5,124.3,-0.23,-0.23,-0.068383,124.3,-0.23,-0.23,-0.073121,
06/30/2009,1219.0,1219.0,-969.0,969.0,250.0,0.0,-162.0,128.0,128.0,15.0,19.0,88.0,-26.0,26.0,,,0.0,62.0,-29.0,,33.0,0.0,0.0,0.0,33.0,,33.0,0.0,0.0,33.0,39.5,6.5,124.5,0.27,0.27,0.317269,126.1,0.26,0.26,0.311546,
09/30/2009,1348.0,1348.0,-1068.0,1068.0,280.0,0.0,-160.0,135.0,135.0,15.0,10.0,120.0,-30.0,30.0,,,0.0,90.0,-8.0,-1.0,81.0,0.0,0.0,0.0,81.0,-1.0,80.0,0.0,0.0,80.0,86.5,6.5,124.5,0.64,0.64,0.694779,127.1,0.63,0.63,0.681141,
12/31/2009,1162.0,1162.0,-1001.0,1001.0,161.0,5.0,-164.0,135.0,135.0,16.0,13.0,2.0,-30.0,30.0,,,0.0,-28.0,9.0,,-19.0,0.0,0.0,0.0,-19.0,-2.0,-21.0,0.0,0.0,-21.0,-13.2,7.8,125.7,-0.17,-0.17,-0.105012,125.7,-0.17,-0.17,-0.107947,
03/31/2010,1265.0,1265.0,-1029.0,1029.0,236.0,0.0,-153.0,124.0,124.0,18.0,11.0,83.0,-26.0,26.0,,,0.0,57.0,-9.0,1.0,49.0,0.0,0.0,0.0,49.0,-1.0,48.0,0.0,0.0,48.0,53.2,5.2,126.5,0.38,0.38,0.420553,127.5,0.38,0.38,0.420553,
06/30/2010,1378.0,1378.0,-1094.0,1094.0,284.0,0.0,-159.0,138.0,138.0,18.0,3.0,125.0,-31.0,31.0,,,0.0,94.0,844.0,1.0,939.0,0.0,0.0,0.0,939.0,-2.0,937.0,0.0,0.0,937.0,940.9,3.9,126.8,7.39,7.39,7.420347,127.9,7.33,7.33,7.360493,
09/30/2010,1186.0,1186.0,-950.0,950.0,236.0,0.0,-167.0,123.0,123.0,19.0,25.0,69.0,-28.0,28.0,,,0.0,41.0,19.0,1.0,61.0,0.0,0.0,0.0,61.0,-3.0,58.0,0.0,0.0,58.0,69.05,11.05,125.1,0.46,0.46,0.551958,126.6,0.46,0.46,0.547283,
12/31/2010,1168.0,1168.0,-968.0,968.0,200.0,0.0,-271.0,131.0,131.0,21.0,119.0,-71.0,-25.0,25.0,,,0.0,-96.0,-14.0,1.0,-109.0,0.0,0.0,0.0,-109.0,-1.0,-110.0,0.0,0.0,-110.0,-22.25,87.75,124.0,-0.887096,-0.887096,-0.179435,124.4,-0.887096,-0.887096,-0.179435,
03/31/2011,1238.0,1238.0,-1036.0,1036.0,202.0,0.0,-141.0,135.0,135.0,19.0,-13.0,61.0,-25.0,25.0,,,0.0,36.0,-11.0,,25.0,0.0,0.0,0.0,25.0,-1.0,24.0,0.0,0.0,24.0,24.0,0.0,123.8,0.19,0.19,0.19,125.3,0.19,0.19,0.19,
06/30/2011,1451.0,1451.0,-1172.0,1172.0,279.0,0.0,-144.0,141.0,141.0,19.0,-16.0,135.0,-28.0,28.0,,,0.0,107.0,-29.0,1.0,79.0,0.0,0.0,0.0,79.0,-1.0,78.0,0.0,0.0,78.0,67.6,-10.4,124.0,0.63,0.63,0.545161,125.4,0.62,0.62,0.537065,
09/30/2011,1450.0,1450.0,-1133.0,1133.0,317.0,0.0,-140.0,119.0,119.0,20.0,1.0,177.0,-28.0,28.0,,,0.0,149.0,-23.0,,126.0,0.0,0.0,0.0,126.0,-2.0,124.0,0.0,0.0,124.0,124.0,0.0,121.7,1.02,1.02,1.02,122.6,1.01,1.01,1.01,
12/31/2011,1196.0,1196.0,-966.0,966.0,230.0,0.0,-142.0,130.0,130.0,19.0,-7.0,88.0,-27.0,27.0,,,0.0,61.0,-11.0,1.0,51.0,0.0,0.0,0.0,51.0,-1.0,50.0,0.0,0.0,50.0,50.0,0.0,120.5,0.41,0.41,0.41,121.5,0.41,0.41,0.41,
03/31/2012,1346.0,1346.0,-1160.0,1160.0,186.0,0.0,-198.0,137.0,137.0,19.0,42.0,-12.0,-28.0,28.0,,,0.0,-40.0,-5.0,,-45.0,0.0,0.0,0.0,-45.0,-1.0,-46.0,0.0,0.0,-46.0,-23.9,22.1,121.1,-0.38,-0.38,-0.197358,121.1,-0.38,-0.38,-0.197506,
06/30/2012,1391.0,1391.0,-1152.0,1152.0,239.0,0.0,-154.0,128.0,128.0,21.0,5.0,85.0,-28.0,28.0,,,0.0,57.0,-17.0,,40.0,0.0,0.0,0.0,40.0,-1.0,39.0,0.0,0.0,39.0,40.3,1.3,120.8,0.32,0.32,0.333609,121.5,0.32,0.32,0.3307,
09/30/2012,1276.0,1276.0,-1074.0,1074.0,202.0,0.0,-143.0,115.0,115.0,20.0,8.0,59.0,-29.0,29.0,,,0.0,30.0,14.0,,44.0,0.0,0.0,0.0,44.0,,44.0,0.0,0.0,44.0,44.0,0.0,117.9,0.37,0.37,0.37,118.8,0.37,0.37,0.37,
12/31/2012,1159.0,1159.0,-989.0,989.0,170.0,0.0,-154.0,,129.0,19.0,6.0,16.0,-103.0,29.0,,,74.0,-87.0,36.0,-4.0,-55.0,0.0,0.0,0.0,-55.0,-1.0,-56.0,0.0,0.0,-56.0,7.7,63.7,118.0,-0.47,-0.47,0.065254,118.0,-0.47,-0.47,0.065254,
03/31/2013,1350.0,1350.0,-1137.0,1137.0,213.0,0.0,-156.0,133.0,133.0,18.0,5.0,57.0,-29.0,29.0,,,0.0,28.0,-6.0,0.0,22.0,0.0,0.0,0.0,22.0,,22.0,0.0,0.0,22.0,33.05,11.05,118.5,0.19,0.19,0.278903,119.6,0.18,0.18,0.272391,
06/30/2013,1347.0,1347.0,-1080.0,1080.0,267.0,0.0,-149.0,134.0,134.0,20.0,-5.0,118.0,-29.0,29.0,,,0.0,89.0,-39.0,0.0,50.0,0.0,0.0,0.0,50.0,-1.0,49.0,0.0,0.0,49.0,52.25,3.25,119.1,0.41,0.41,0.438707,120.4,0.41,0.41,0.436993,
09/30/2013,1320.0,1320.0,-1067.0,1067.0,253.0,0.0,-147.0,128.0,128.0,19.0,0.0,106.0,-29.0,29.0,,,0.0,77.0,-26.0,,51.0,0.0,0.0,0.0,51.0,,51.0,0.0,0.0,51.0,58.15,7.15,118.0,0.43,0.43,0.492797,118.8,0.43,0.43,0.490185,
